# AUG 1972 GLE#24 - Phi_omni / 4 (planar geometry) - 68% CL
# Energy(MeV) Phi16(cm^-2*MeV^-1) Phi84(cm^-2*MeV^-1)
1.000000e+00 8.836907e+10 1.119241e+11
1.013939e+00 8.652459e+10 1.095468e+11
1.028073e+00 8.470547e+10 1.072286e+11
1.042404e+00 8.292091e+10 1.049755e+11
1.056935e+00 8.117247e+10 1.027668e+11
1.071668e+00 7.945946e+10 1.006017e+11
1.086606e+00 7.778117e+10 9.846569e+10
1.101753e+00 7.613801e+10 9.638617e+10
1.117111e+00 7.452817e+10 9.435210e+10
1.132683e+00 7.295098e+10 9.235893e+10
1.148472e+00 7.141016e+10 9.040408e+10
1.164481e+00 6.990248e+10 8.848893e+10
1.180713e+00 6.842531e+10 8.661100e+10
1.197171e+00 6.697819e+10 8.476891e+10
1.213859e+00 6.556291e+10 8.297554e+10
1.230780e+00 6.416971e+10 8.121578e+10
1.247936e+00 6.281014e+10 7.949011e+10
1.265332e+00 6.148044e+10 7.779883e+10
1.282970e+00 6.016779e+10 7.613947e+10
1.300854e+00 5.887257e+10 7.450622e+10
1.318987e+00 5.762371e+10 7.291177e+10
1.337373e+00 5.640595e+10 7.133702e+10
1.356015e+00 5.519734e+10 6.980076e+10
1.374917e+00 5.401236e+10 6.829607e+10
1.394083e+00 5.285205e+10 6.682389e+10
1.413516e+00 5.171562e+10 6.539170e+10
1.433219e+00 5.060265e+10 6.398742e+10
1.453198e+00 4.951833e+10 6.260592e+10
1.473454e+00 4.845307e+10 6.125887e+10
1.493993e+00 4.740673e+10 5.993941e+10
1.514819e+00 4.638186e+10 5.864698e+10
1.535935e+00 4.537806e+10 5.737962e+10
1.557345e+00 4.439337e+10 5.613817e+10
1.579053e+00 4.342972e+10 5.492203e+10
1.601064e+00 4.248702e+10 5.372300e+10
1.623382e+00 4.156768e+10 5.254750e+10
1.646012e+00 4.066719e+10 5.139639e+10
1.668956e+00 3.977894e+10 5.026919e+10
1.692220e+00 3.890653e+10 4.916992e+10
1.715809e+00 3.805261e+10 4.809872e+10
1.739726e+00 3.722058e+10 4.704964e+10
1.763977e+00 3.640438e+10 4.602166e+10
1.788566e+00 3.560548e+10 4.501115e+10
1.813498e+00 3.482316e+10 4.402375e+10
1.838777e+00 3.405473e+10 4.306113e+10
1.864409e+00 3.330281e+10 4.211840e+10
1.890397e+00 3.256886e+10 4.119518e+10
1.916748e+00 3.185301e+10 4.029107e+10
1.943467e+00 3.115167e+10 3.940570e+10
1.970558e+00 3.046533e+10 3.853869e+10
1.998026e+00 2.979359e+10 3.768967e+10
2.025878e+00 2.913515e+10 3.685774e+10
2.054117e+00 2.849058e+10 3.604283e+10
2.082751e+00 2.785950e+10 3.524268e+10
2.111783e+00 2.724157e+10 3.445652e+10
2.141220e+00 2.663715e+10 3.368685e+10
2.171068e+00 2.604546e+10 3.293337e+10
2.201331e+00 2.546612e+10 3.219573e+10
2.232016e+00 2.489889e+10 3.147287e+10
2.263130e+00 2.434373e+10 3.077064e+10
2.294676e+00 2.380178e+10 3.007665e+10
2.326663e+00 2.327076e+10 2.939458e+10
2.359095e+00 2.274795e+10 2.872965e+10
2.391980e+00 2.223615e+10 2.807956e+10
2.425323e+00 2.173515e+10 2.744624e+10
2.459130e+00 2.124522e+10 2.682571e+10
2.493409e+00 2.076602e+10 2.622091e+10
2.528166e+00 2.029694e+10 2.562887e+10
2.563407e+00 1.983829e+10 2.504964e+10
2.599140e+00 1.939034e+10 2.448162e+10
2.635371e+00 1.895229e+10 2.392590e+10
2.672106e+00 1.852295e+10 2.338197e+10
2.709354e+00 1.810108e+10 2.284960e+10
2.747121e+00 1.768542e+10 2.232853e+10
2.785414e+00 1.728151e+10 2.181856e+10
2.824241e+00 1.688635e+10 2.131945e+10
2.863610e+00 1.649962e+10 2.083099e+10
2.903527e+00 1.612115e+10 2.035257e+10
2.944000e+00 1.575076e+10 1.988121e+10
2.985038e+00 1.538830e+10 1.942510e+10
3.026648e+00 1.503360e+10 1.897862e+10
3.068838e+00 1.468493e+10 1.854060e+10
3.111616e+00 1.434365e+10 1.811135e+10
3.154990e+00 1.400974e+10 1.769135e+10
3.198969e+00 1.368305e+10 1.728039e+10
3.243561e+00 1.336343e+10 1.687829e+10
3.288774e+00 1.305074e+10 1.648431e+10
3.334618e+00 1.274556e+10 1.609871e+10
3.381101e+00 1.244566e+10 1.572128e+10
3.428231e+00 1.215212e+10 1.535282e+10
3.476019e+00 1.186566e+10 1.499075e+10
3.524473e+00 1.158644e+10 1.463762e+10
3.573602e+00 1.131220e+10 1.429231e+10
3.623416e+00 1.104306e+10 1.395455e+10
3.673925e+00 1.078086e+10 1.362391e+10
3.725137e+00 1.052492e+10 1.330023e+10
3.777064e+00 1.027566e+10 1.298366e+10
3.829714e+00 1.003051e+10 1.267281e+10
3.883098e+00 9.790900e+09 1.236881e+10
3.937226e+00 9.557732e+09 1.207177e+10
3.992109e+00 9.328071e+09 1.178133e+10
4.047757e+00 9.104314e+09 1.149575e+10
4.104181e+00 8.886584e+09 1.121772e+10
4.161391e+00 8.673650e+09 1.094707e+10
4.219398e+00 8.465646e+09 1.068235e+10
4.278214e+00 8.262342e+09 1.042612e+10
4.337850e+00 8.063529e+09 1.017324e+10
4.398317e+00 7.868937e+09 9.925629e+09
4.459628e+00 7.678345e+09 9.684350e+09
4.521792e+00 7.491258e+09 9.447416e+09
4.584824e+00 7.308503e+09 9.216023e+09
4.648734e+00 7.129960e+09 8.989940e+09
4.713535e+00 6.955423e+09 8.769532e+09
4.779239e+00 6.784796e+09 8.554513e+09
4.845859e+00 6.617492e+09 8.344357e+09
4.913407e+00 6.454101e+09 8.139123e+09
4.981898e+00 6.293811e+09 7.938961e+09
5.051342e+00 6.137891e+09 7.743068e+09
5.121755e+00 5.986215e+09 7.551712e+09
5.193150e+00 5.838210e+09 7.365166e+09
5.265540e+00 5.693613e+09 7.181156e+09
5.338938e+00 5.552097e+09 7.001853e+09
5.413360e+00 5.413200e+09 6.827604e+09
