# AUG 1972 GLE#24 - Phi_omni (spherical geometry) - 68% CL
# Energy(MeV) Phi16(cm^-2*MeV^-1) Phi84(cm^-2*MeV^-1)
1.000000e+00 3.534763e+11 4.476962e+11
1.013939e+00 3.460983e+11 4.381873e+11
1.028073e+00 3.388219e+11 4.289145e+11
1.042404e+00 3.316836e+11 4.199021e+11
1.056935e+00 3.246899e+11 4.110671e+11
1.071668e+00 3.178378e+11 4.024067e+11
1.086606e+00 3.111247e+11 3.938628e+11
1.101753e+00 3.045520e+11 3.855447e+11
1.117111e+00 2.981127e+11 3.774084e+11
1.132683e+00 2.918039e+11 3.694357e+11
1.148472e+00 2.856406e+11 3.616163e+11
1.164481e+00 2.796099e+11 3.539557e+11
1.180713e+00 2.737012e+11 3.464440e+11
1.197171e+00 2.679128e+11 3.390756e+11
1.213859e+00 2.622517e+11 3.319022e+11
1.230780e+00 2.566788e+11 3.248631e+11
1.247936e+00 2.512405e+11 3.179604e+11
1.265332e+00 2.459218e+11 3.111953e+11
1.282970e+00 2.406712e+11 3.045579e+11
1.300854e+00 2.354903e+11 2.980249e+11
1.318987e+00 2.304948e+11 2.916471e+11
1.337373e+00 2.256238e+11 2.853481e+11
1.356015e+00 2.207894e+11 2.792031e+11
1.374917e+00 2.160494e+11 2.731843e+11
1.394083e+00 2.114082e+11 2.672956e+11
1.413516e+00 2.068625e+11 2.615668e+11
1.433219e+00 2.024106e+11 2.559497e+11
1.453198e+00 1.980733e+11 2.504237e+11
1.473454e+00 1.938123e+11 2.450355e+11
1.493993e+00 1.896269e+11 2.397576e+11
1.514819e+00 1.855275e+11 2.345879e+11
1.535935e+00 1.815123e+11 2.295185e+11
1.557345e+00 1.775735e+11 2.245527e+11
1.579053e+00 1.737189e+11 2.196881e+11
1.601064e+00 1.699481e+11 2.148920e+11
1.623382e+00 1.662707e+11 2.101900e+11
1.646012e+00 1.626688e+11 2.055856e+11
1.668956e+00 1.591158e+11 2.010767e+11
1.692220e+00 1.556261e+11 1.966797e+11
1.715809e+00 1.522104e+11 1.923949e+11
1.739726e+00 1.488823e+11 1.881986e+11
1.763977e+00 1.456175e+11 1.840866e+11
1.788566e+00 1.424219e+11 1.800446e+11
1.813498e+00 1.392926e+11 1.760950e+11
1.838777e+00 1.362189e+11 1.722445e+11
1.864409e+00 1.332113e+11 1.684736e+11
1.890397e+00 1.302754e+11 1.647807e+11
1.916748e+00 1.274120e+11 1.611643e+11
1.943467e+00 1.246067e+11 1.576228e+11
1.970558e+00 1.218613e+11 1.541547e+11
1.998026e+00 1.191743e+11 1.507587e+11
2.025878e+00 1.165406e+11 1.474310e+11
2.054117e+00 1.139623e+11 1.441713e+11
2.082751e+00 1.114380e+11 1.409707e+11
2.111783e+00 1.089663e+11 1.378261e+11
2.141220e+00 1.065486e+11 1.347474e+11
2.171068e+00 1.041818e+11 1.317335e+11
2.201331e+00 1.018645e+11 1.287829e+11
2.232016e+00 9.959557e+10 1.258915e+11
2.263130e+00 9.737491e+10 1.230825e+11
2.294676e+00 9.520712e+10 1.203066e+11
2.326663e+00 9.308302e+10 1.175783e+11
2.359095e+00 9.099180e+10 1.149186e+11
2.391980e+00 8.894462e+10 1.123182e+11
2.425323e+00 8.694059e+10 1.097850e+11
2.459130e+00 8.498087e+10 1.073028e+11
2.493409e+00 8.306408e+10 1.048836e+11
2.528166e+00 8.118777e+10 1.025155e+11
2.563407e+00 7.935317e+10 1.001986e+11
2.599140e+00 7.756136e+10 9.792647e+10
2.635371e+00 7.580917e+10 9.570361e+10
2.672106e+00 7.409180e+10 9.352790e+10
2.709354e+00 7.240433e+10 9.139838e+10
2.747121e+00 7.074170e+10 8.931414e+10
2.785414e+00 6.912604e+10 8.727425e+10
2.824241e+00 6.754541e+10 8.527782e+10
2.863610e+00 6.599849e+10 8.332397e+10
2.903527e+00 6.448458e+10 8.141029e+10
2.944000e+00 6.300303e+10 7.952483e+10
2.985038e+00 6.155318e+10 7.770038e+10
3.026648e+00 6.013439e+10 7.591450e+10
3.068838e+00 5.873971e+10 7.416239e+10
3.111616e+00 5.737461e+10 7.244541e+10
3.154990e+00 5.603898e+10 7.076538e+10
3.198969e+00 5.473221e+10 6.912155e+10
3.243561e+00 5.345373e+10 6.751317e+10
3.288774e+00 5.220295e+10 6.593722e+10
3.334618e+00 5.098223e+10 6.439483e+10
3.381101e+00 4.978265e+10 6.288511e+10
3.428231e+00 4.860848e+10 6.141130e+10
3.476019e+00 4.746264e+10 5.996300e+10
3.524473e+00 4.634577e+10 5.855046e+10
3.573602e+00 4.524880e+10 5.716925e+10
3.623416e+00 4.417225e+10 5.581821e+10
3.673925e+00 4.312345e+10 5.449565e+10
3.725137e+00 4.209969e+10 5.320092e+10
3.777064e+00 4.110265e+10 5.193464e+10
3.829714e+00 4.012204e+10 5.069124e+10
3.883098e+00 3.916360e+10 4.947524e+10
3.937226e+00 3.823093e+10 4.828709e+10
