# AUG 1972 GLE#24 - Phi_omni (spherical geometry)
# Raukunen et al. 2018
# Energy(MeV) Fluence(cm^-2*MeV^-1)
1.000000e+00 3.997202e+11
1.013939e+00 3.913236e+11
1.028073e+00 3.830965e+11
1.042404e+00 3.750357e+11
1.056935e+00 3.671378e+11
1.071668e+00 3.593998e+11
1.086606e+00 3.518183e+11
1.101753e+00 3.443903e+11
1.117111e+00 3.371129e+11
1.132683e+00 3.299829e+11
1.148472e+00 3.229975e+11
1.164481e+00 3.161538e+11
1.180713e+00 3.094491e+11
1.197171e+00 3.028805e+11
1.213859e+00 2.964454e+11
1.230780e+00 2.901411e+11
1.247936e+00 2.839651e+11
1.265332e+00 2.779148e+11
1.282970e+00 2.719878e+11
1.300854e+00 2.661815e+11
1.318987e+00 2.604936e+11
1.337373e+00 2.549217e+11
1.356015e+00 2.494636e+11
1.374917e+00 2.441169e+11
1.394083e+00 2.388796e+11
1.413516e+00 2.337493e+11
1.433219e+00 2.287241e+11
1.453198e+00 2.238017e+11
1.473454e+00 2.189802e+11
1.493993e+00 2.142575e+11
1.514819e+00 2.096317e+11
1.535935e+00 2.051009e+11
1.557345e+00 2.006632e+11
1.579053e+00 1.963167e+11
1.601064e+00 1.920596e+11
1.623382e+00 1.878902e+11
1.646012e+00 1.838066e+11
1.668956e+00 1.798073e+11
1.692220e+00 1.758904e+11
1.715809e+00 1.720544e+11
1.739726e+00 1.682977e+11
1.763977e+00 1.646186e+11
1.788566e+00 1.610157e+11
1.813498e+00 1.574874e+11
1.838777e+00 1.540322e+11
1.864409e+00 1.506486e+11
1.890397e+00 1.473353e+11
1.916748e+00 1.440909e+11
1.943467e+00 1.409138e+11
1.970558e+00 1.378029e+11
1.998026e+00 1.347568e+11
2.025878e+00 1.317742e+11
2.054117e+00 1.288537e+11
2.082751e+00 1.259943e+11
2.111783e+00 1.231946e+11
2.141220e+00 1.204535e+11
2.171068e+00 1.177697e+11
2.201331e+00 1.151422e+11
2.232016e+00 1.125698e+11
2.263130e+00 1.100514e+11
2.294676e+00 1.075859e+11
2.326663e+00 1.051723e+11
2.359095e+00 1.028094e+11
2.391980e+00 1.004964e+11
2.425323e+00 9.823214e+10
2.459130e+00 9.601570e+10
2.493409e+00 9.384610e+10
2.528166e+00 9.172241e+10
2.563407e+00 8.964369e+10
2.599140e+00 8.760905e+10
2.635371e+00 8.561758e+10
2.672106e+00 8.366842e+10
2.709354e+00 8.176072e+10
2.747121e+00 7.989364e+10
2.785414e+00 7.806635e+10
2.824241e+00 7.627806e+10
2.863610e+00 7.452796e+10
2.903527e+00 7.281530e+10
2.944000e+00 7.113930e+10
2.985038e+00 6.949923e+10
3.026648e+00 6.789436e+10
3.068838e+00 6.632397e+10
3.111616e+00 6.478737e+10
3.154990e+00 6.328386e+10
3.198969e+00 6.181277e+10
3.243561e+00 6.037344e+10
3.288774e+00 5.896523e+10
3.334618e+00 5.758751e+10
3.381101e+00 5.623964e+10
3.428231e+00 5.492102e+10
3.476019e+00 5.363105e+10
3.524473e+00 5.236915e+10
3.573602e+00 5.113474e+10
3.623416e+00 4.992727e+10
3.673925e+00 4.874617e+10
3.725137e+00 4.759091e+10
3.777064e+00 4.646095e+10
3.829714e+00 4.535578e+10
3.883098e+00 4.427489e+10
3.937226e+00 4.321778e+10
3.992109e+00 4.218396e+10
4.047757e+00 4.117294e+10
4.104181e+00 4.018427e+10
4.161391e+00 3.921747e+10
4.219398e+00 3.827209e+10
4.278214e+00 3.734770e+10
4.337850e+00 3.644386e+10
4.398317e+00 3.556014e+10
4.459628e+00 3.469612e+10
4.521792e+00 3.385140e+10
4.584824e+00 3.302557e+10
4.648734e+00 3.221824e+10
4.713535e+00 3.142904e+10
4.779239e+00 3.065757e+10
4.845859e+00 2.990346e+10
4.913407e+00 2.916637e+10
4.981898e+00 2.844592e+10
