# AUG 1972 GLE#24 - Phi_omni / 4 (planar geometry)
# Raukunen et al. 2018
# Energy(MeV) Fluence(cm^-2*MeV^-1)
1.000000e+00 9.993006e+10
1.013939e+00 9.783089e+10
1.028073e+00 9.577412e+10
1.042404e+00 9.375892e+10
1.056935e+00 9.178446e+10
1.071668e+00 8.984994e+10
1.086606e+00 8.795457e+10
1.101753e+00 8.609758e+10
1.117111e+00 8.427821e+10
1.132683e+00 8.249572e+10
1.148472e+00 8.074937e+10
1.164481e+00 7.903845e+10
1.180713e+00 7.736226e+10
1.197171e+00 7.572012e+10
1.213859e+00 7.411135e+10
1.230780e+00 7.253529e+10
1.247936e+00 7.099129e+10
1.265332e+00 6.947871e+10
1.282970e+00 6.799694e+10
1.300854e+00 6.654537e+10
1.318987e+00 6.512339e+10
1.337373e+00 6.373043e+10
1.356015e+00 6.236590e+10
1.374917e+00 6.102924e+10
1.394083e+00 5.971990e+10
1.413516e+00 5.843733e+10
1.433219e+00 5.718101e+10
1.453198e+00 5.595042e+10
1.473454e+00 5.474504e+10
1.493993e+00 5.356438e+10
1.514819e+00 5.240793e+10
1.535935e+00 5.127523e+10
1.557345e+00 5.016580e+10
1.579053e+00 4.907918e+10
1.601064e+00 4.801491e+10
1.623382e+00 4.697255e+10
1.646012e+00 4.595166e+10
1.668956e+00 4.495182e+10
1.692220e+00 4.397261e+10
1.715809e+00 4.301361e+10
1.739726e+00 4.207442e+10
1.763977e+00 4.115466e+10
1.788566e+00 4.025393e+10
1.813498e+00 3.937185e+10
1.838777e+00 3.850805e+10
1.864409e+00 3.766216e+10
1.890397e+00 3.683383e+10
1.916748e+00 3.602271e+10
1.943467e+00 3.522846e+10
1.970558e+00 3.445073e+10
1.998026e+00 3.368920e+10
2.025878e+00 3.294354e+10
2.054117e+00 3.221343e+10
2.082751e+00 3.149857e+10
2.111783e+00 3.079865e+10
2.141220e+00 3.011337e+10
2.171068e+00 2.944243e+10
2.201331e+00 2.878555e+10
2.232016e+00 2.814245e+10
2.263130e+00 2.751285e+10
2.294676e+00 2.689647e+10
2.326663e+00 2.629306e+10
2.359095e+00 2.570236e+10
2.391980e+00 2.512410e+10
2.425323e+00 2.455803e+10
2.459130e+00 2.400392e+10
2.493409e+00 2.346153e+10
2.528166e+00 2.293060e+10
2.563407e+00 2.241092e+10
2.599140e+00 2.190226e+10
2.635371e+00 2.140440e+10
