Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.7005e+05
1.5000e-03	0.0000e+00	3.7013e+05
2.0000e-03	0.0000e+00	3.7019e+05
2.5000e-03	0.0000e+00	3.7023e+05
3.0000e-03	0.0000e+00	3.7026e+05
3.5000e-03	0.0000e+00	3.7029e+05
4.0000e-03	0.0000e+00	3.7032e+05
4.5000e-03	0.0000e+00	3.7034e+05
5.0000e-03	0.0000e+00	3.7036e+05
5.5000e-03	0.0000e+00	3.7038e+05
6.0000e-03	0.0000e+00	3.7040e+05
6.5000e-03	0.0000e+00	3.7041e+05
7.0000e-03	0.0000e+00	3.7043e+05
7.5000e-03	0.0000e+00	3.7044e+05
8.0000e-03	0.0000e+00	3.7045e+05
8.5000e-03	0.0000e+00	3.7046e+05
9.0000e-03	0.0000e+00	3.7047e+05
9.5000e-03	0.0000e+00	3.7048e+05
1.0000e-02	0.0000e+00	3.7049e+05
1.5000e-02	0.0000e+00	3.7057e+05
2.0000e-02	0.0000e+00	3.7063e+05
2.5000e-02	0.0000e+00	3.7067e+05
3.0000e-02	0.0000e+00	3.7070e+05
3.5000e-02	0.0000e+00	3.7075e+05
4.0000e-02	0.0000e+00	3.7088e+05
4.5000e-02	0.0000e+00	3.7099e+05
5.0000e-02	0.0000e+00	3.7109e+05
5.5000e-02	0.0000e+00	3.7118e+05
6.0000e-02	0.0000e+00	3.7126e+05
6.5000e-02	0.0000e+00	3.7133e+05
7.0000e-02	0.0000e+00	3.7140e+05
7.5000e-02	0.0000e+00	3.7147e+05
8.0000e-02	0.0000e+00	3.7153e+05
8.5000e-02	0.0000e+00	3.7159e+05
9.0000e-02	0.0000e+00	3.7165e+05
9.5000e-02	0.0000e+00	3.7175e+05
1.0000e-01	0.0000e+00	3.7185e+05
1.5000e-01	0.0000e+00	3.7265e+05
2.0000e-01	0.0000e+00	3.7345e+05
2.5000e-01	0.0000e+00	3.7428e+05
3.0000e-01	0.0000e+00	3.7511e+05
3.5000e-01	0.0000e+00	3.7593e+05
4.0000e-01	0.0000e+00	3.7675e+05
4.5000e-01	0.0000e+00	3.7757e+05
5.0000e-01	0.0000e+00	3.7839e+05
5.5000e-01	0.0000e+00	3.7918e+05
6.0000e-01	0.0000e+00	3.7997e+05
6.5000e-01	0.0000e+00	3.8074e+05
7.0000e-01	0.0000e+00	3.8150e+05
7.5000e-01	0.0000e+00	3.8227e+05
8.0000e-01	0.0000e+00	3.8307e+05
8.5000e-01	0.0000e+00	3.8388e+05
9.0000e-01	0.0000e+00	3.8469e+05
9.5000e-01	0.0000e+00	3.8550e+05
1.0000e+00	8.8369e+10	3.8631e+05
1.0139e+00	8.6525e+10	3.8654e+05
1.0281e+00	8.4705e+10	3.8677e+05
1.0424e+00	8.2921e+10	3.8700e+05
1.0569e+00	8.1172e+10	3.8724e+05
1.0717e+00	7.9459e+10	3.8748e+05
1.0866e+00	7.7781e+10	3.8772e+05
1.1018e+00	7.6138e+10	3.8797e+05
1.1171e+00	7.4528e+10	3.8823e+05
1.1327e+00	7.2951e+10	3.8848e+05
1.1485e+00	7.1410e+10	3.8873e+05
1.1645e+00	6.9902e+10	3.8900e+05
1.1807e+00	6.8425e+10	3.8926e+05
1.1972e+00	6.6978e+10	3.8953e+05
1.2139e+00	6.5563e+10	3.8980e+05
1.2308e+00	6.4170e+10	3.9008e+05
1.2479e+00	6.2810e+10	3.9036e+05
1.2653e+00	6.1480e+10	3.9064e+05
1.2830e+00	6.0168e+10	3.9093e+05
1.3009e+00	5.8873e+10	3.9122e+05
1.3190e+00	5.7624e+10	3.9152e+05
1.3374e+00	5.6406e+10	3.9182e+05
1.3560e+00	5.5197e+10	3.9212e+05
1.3749e+00	5.4012e+10	3.9243e+05
1.3941e+00	5.2852e+10	3.9274e+05
1.4135e+00	5.1716e+10	3.9306e+05
1.4332e+00	5.0603e+10	3.9338e+05
1.4532e+00	4.9518e+10	3.9371e+05
1.4735e+00	4.8453e+10	3.9403e+05
1.4940e+00	4.7407e+10	3.9437e+05
1.5148e+00	4.6382e+10	3.9471e+05
1.5359e+00	4.5378e+10	3.9505e+05
1.5573e+00	4.4393e+10	3.9540e+05
1.5791e+00	4.3430e+10	3.9576e+05
1.6011e+00	4.2487e+10	3.9611e+05
1.6234e+00	4.1568e+10	3.9648e+05
1.6460e+00	4.0667e+10	3.9684e+05
1.6690e+00	3.9779e+10	3.9722e+05
1.6922e+00	3.8907e+10	3.9760e+05
1.7158e+00	3.8053e+10	3.9798e+05
1.7397e+00	3.7221e+10	3.9837e+05
1.7640e+00	3.6404e+10	3.9876e+05
1.7886e+00	3.5605e+10	3.9917e+05
1.8135e+00	3.4823e+10	3.9957e+05
1.8388e+00	3.4055e+10	3.9998e+05
1.8644e+00	3.3303e+10	4.0040e+05
1.8904e+00	3.2569e+10	4.0082e+05
1.9167e+00	3.1853e+10	4.0125e+05
1.9435e+00	3.1152e+10	4.0168e+05
1.9706e+00	3.0465e+10	4.0212e+05
1.9980e+00	2.9794e+10	4.0257e+05
2.0259e+00	2.9135e+10	4.0302e+05
2.0541e+00	2.8491e+10	4.0348e+05
2.0828e+00	2.7860e+10	4.0395e+05
2.1118e+00	2.7242e+10	4.0442e+05
2.1412e+00	2.6637e+10	4.0490e+05
2.1711e+00	2.6045e+10	4.0538e+05
2.2013e+00	2.5466e+10	4.0587e+05
2.2320e+00	2.4899e+10	4.0637e+05
2.2631e+00	2.4344e+10	4.0687e+05
2.2947e+00	2.3802e+10	4.0739e+05
2.3267e+00	2.3271e+10	4.0790e+05
2.3591e+00	2.2748e+10	4.0843e+05
2.3920e+00	2.2236e+10	4.0896e+05
2.4253e+00	2.1735e+10	4.0950e+05
2.4591e+00	2.1245e+10	4.1005e+05
2.4934e+00	2.0766e+10	4.1061e+05
2.5282e+00	2.0297e+10	4.1117e+05
2.5634e+00	1.9838e+10	4.1125e+05
2.5991e+00	1.9390e+10	4.1069e+05
2.6354e+00	1.8952e+10	4.1100e+05
2.6721e+00	1.8523e+10	4.1151e+05
2.7094e+00	1.8101e+10	4.1211e+05
2.7471e+00	1.7685e+10	4.1272e+05
2.7854e+00	1.7282e+10	4.1334e+05
2.8242e+00	1.6886e+10	4.1397e+05
2.8636e+00	1.6500e+10	4.1460e+05
2.9035e+00	1.6121e+10	4.1525e+05
2.9440e+00	1.5751e+10	4.1590e+05
2.9850e+00	1.5388e+10	4.1656e+05
3.0266e+00	1.5034e+10	4.1723e+05
3.0688e+00	1.4685e+10	4.1791e+05
3.1116e+00	1.4344e+10	4.1860e+05
3.1550e+00	1.4010e+10	4.1930e+05
3.1990e+00	1.3683e+10	4.2001e+05
3.2436e+00	1.3363e+10	4.2073e+05
3.2888e+00	1.3051e+10	4.2145e+05
3.3346e+00	1.2746e+10	4.2219e+05
3.3811e+00	1.2446e+10	4.2294e+05
3.4282e+00	1.2152e+10	4.2370e+05
3.4760e+00	1.1866e+10	4.2446e+05
3.5245e+00	1.1586e+10	4.2524e+05
3.5736e+00	1.1312e+10	4.2603e+05
3.6234e+00	1.1043e+10	4.2683e+05
3.6739e+00	1.0781e+10	4.2764e+05
3.7251e+00	1.0525e+10	4.2846e+05
3.7771e+00	1.0276e+10	4.2930e+05
3.8297e+00	1.0031e+10	4.3014e+05
3.8831e+00	9.7909e+09	4.3099e+05
3.9372e+00	9.5577e+09	4.3186e+05
3.9921e+00	9.3281e+09	4.3274e+05
4.0478e+00	9.1043e+09	4.3363e+05
4.1042e+00	8.8866e+09	4.3453e+05
4.1614e+00	8.6736e+09	4.3544e+05
4.2194e+00	8.4656e+09	4.3637e+05
4.2782e+00	8.2623e+09	4.3731e+05
4.3379e+00	8.0635e+09	4.3826e+05
4.3983e+00	7.8689e+09	4.3922e+05
4.4596e+00	7.6783e+09	4.4020e+05
4.5218e+00	7.4913e+09	4.4119e+05
4.5848e+00	7.3085e+09	4.4219e+05
4.6487e+00	7.1300e+09	4.4321e+05
4.7135e+00	6.9554e+09	4.4424e+05
4.7792e+00	6.7848e+09	4.4528e+05
4.8459e+00	6.6175e+09	4.4633e+05
4.9134e+00	6.4541e+09	4.4740e+05
4.9819e+00	6.2938e+09	4.4848e+05
5.0513e+00	6.1379e+09	4.4957e+05
5.1218e+00	5.9862e+09	4.5068e+05
5.1932e+00	5.8382e+09	4.5179e+05
5.2655e+00	5.6936e+09	4.5283e+05
5.3389e+00	5.5521e+09	4.5384e+05
5.4134e+00	5.4132e+09	4.5499e+05
5.4888e+00	5.2775e+09	4.5617e+05
5.5653e+00	5.1449e+09	4.5736e+05
5.6429e+00	5.0148e+09	4.5857e+05
5.7216e+00	4.8879e+09	4.5979e+05
5.8013e+00	4.7641e+09	4.6102e+05
5.8822e+00	4.6427e+09	4.6228e+05
5.9642e+00	4.5237e+09	4.6354e+05
6.0473e+00	4.4076e+09	4.6482e+05
6.1316e+00	4.2944e+09	4.6612e+05
6.2171e+00	4.1840e+09	4.6743e+05
6.3038e+00	4.0761e+09	4.6876e+05
6.3916e+00	3.9709e+09	4.7011e+05
6.4807e+00	3.8682e+09	4.7147e+05
6.5711e+00	3.7677e+09	4.7285e+05
6.6627e+00	3.6702e+09	4.7424e+05
6.7555e+00	3.5752e+09	4.7566e+05
6.8497e+00	3.4827e+09	4.7708e+05
6.9452e+00	3.3923e+09	4.7853e+05
7.0420e+00	3.3039e+09	4.7999e+05
7.1402e+00	3.2173e+09	4.8147e+05
7.2397e+00	3.1333e+09	4.8297e+05
7.3406e+00	3.0512e+09	4.8448e+05
7.4429e+00	2.9710e+09	4.8601e+05
7.5467e+00	2.8927e+09	4.8756e+05
7.6519e+00	2.8162e+09	4.8913e+05
7.7585e+00	2.7416e+09	4.9071e+05
7.8667e+00	2.6687e+09	4.9232e+05
7.9763e+00	2.5974e+09	4.9393e+05
8.0875e+00	2.5278e+09	4.9557e+05
8.2003e+00	2.4598e+09	4.9723e+05
8.3146e+00	2.3936e+09	4.9891e+05
8.4305e+00	2.3290e+09	5.0060e+05
8.5480e+00	2.2664e+09	5.0231e+05
8.6671e+00	2.2051e+09	5.0405e+05
8.7880e+00	2.1450e+09	5.0580e+05
8.9105e+00	2.0860e+09	5.0758e+05
9.0347e+00	2.0286e+09	5.0938e+05
9.1606e+00	1.9734e+09	5.1119e+05
9.2883e+00	1.9193e+09	5.1302e+05
9.4178e+00	1.8663e+09	5.1487e+05
9.5490e+00	1.8147e+09	5.1675e+05
9.6822e+00	1.7640e+09	5.1870e+05
9.8171e+00	1.7149e+09	5.2070e+05
