Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	4.2670e+05
1.5000e-03	0.0000e+00	4.2679e+05
2.0000e-03	0.0000e+00	4.2686e+05
2.5000e-03	0.0000e+00	4.2691e+05
3.0000e-03	0.0000e+00	4.2695e+05
3.5000e-03	0.0000e+00	4.2698e+05
4.0000e-03	0.0000e+00	4.2701e+05
4.5000e-03	0.0000e+00	4.2703e+05
5.0000e-03	0.0000e+00	4.2706e+05
5.5000e-03	0.0000e+00	4.2708e+05
6.0000e-03	0.0000e+00	4.2710e+05
6.5000e-03	0.0000e+00	4.2712e+05
7.0000e-03	0.0000e+00	4.2713e+05
7.5000e-03	0.0000e+00	4.2715e+05
8.0000e-03	0.0000e+00	4.2716e+05
8.5000e-03	0.0000e+00	4.2718e+05
9.0000e-03	0.0000e+00	4.2719e+05
9.5000e-03	0.0000e+00	4.2720e+05
1.0000e-02	0.0000e+00	4.2721e+05
1.5000e-02	0.0000e+00	4.2730e+05
2.0000e-02	0.0000e+00	4.2736e+05
2.5000e-02	0.0000e+00	4.2741e+05
3.0000e-02	0.0000e+00	4.2745e+05
3.5000e-02	0.0000e+00	4.2751e+05
4.0000e-02	0.0000e+00	4.2765e+05
4.5000e-02	0.0000e+00	4.2778e+05
5.0000e-02	0.0000e+00	4.2790e+05
5.5000e-02	0.0000e+00	4.2800e+05
6.0000e-02	0.0000e+00	4.2809e+05
6.5000e-02	0.0000e+00	4.2818e+05
7.0000e-02	0.0000e+00	4.2826e+05
7.5000e-02	0.0000e+00	4.2834e+05
8.0000e-02	0.0000e+00	4.2841e+05
8.5000e-02	0.0000e+00	4.2847e+05
9.0000e-02	0.0000e+00	4.2854e+05
9.5000e-02	0.0000e+00	4.2866e+05
1.0000e-01	0.0000e+00	4.2877e+05
1.5000e-01	0.0000e+00	4.2969e+05
2.0000e-01	0.0000e+00	4.3063e+05
2.5000e-01	0.0000e+00	4.3158e+05
3.0000e-01	0.0000e+00	4.3254e+05
3.5000e-01	0.0000e+00	4.3349e+05
4.0000e-01	0.0000e+00	4.3444e+05
4.5000e-01	0.0000e+00	4.3538e+05
5.0000e-01	0.0000e+00	4.3632e+05
5.5000e-01	0.0000e+00	4.3724e+05
6.0000e-01	0.0000e+00	4.3815e+05
6.5000e-01	0.0000e+00	4.3904e+05
7.0000e-01	0.0000e+00	4.3991e+05
7.5000e-01	0.0000e+00	4.4080e+05
8.0000e-01	0.0000e+00	4.4172e+05
8.5000e-01	0.0000e+00	4.4265e+05
9.0000e-01	0.0000e+00	4.4359e+05
9.5000e-01	0.0000e+00	4.4453e+05
1.0000e+00	9.9930e+10	4.4546e+05
1.0139e+00	9.7831e+10	4.4573e+05
1.0281e+00	9.5774e+10	4.4599e+05
1.0424e+00	9.3759e+10	4.4626e+05
1.0569e+00	9.1784e+10	4.4654e+05
1.0717e+00	8.9850e+10	4.4681e+05
1.0866e+00	8.7955e+10	4.4709e+05
1.1018e+00	8.6098e+10	4.4738e+05
1.1171e+00	8.4278e+10	4.4767e+05
1.1327e+00	8.2496e+10	4.4796e+05
1.1485e+00	8.0749e+10	4.4826e+05
1.1645e+00	7.9038e+10	4.4856e+05
1.1807e+00	7.7362e+10	4.4887e+05
1.1972e+00	7.5720e+10	4.4917e+05
1.2139e+00	7.4111e+10	4.4949e+05
1.2308e+00	7.2535e+10	4.4981e+05
1.2479e+00	7.0991e+10	4.5013e+05
1.2653e+00	6.9479e+10	4.5046e+05
1.2830e+00	6.7997e+10	4.5079e+05
1.3009e+00	6.6545e+10	4.5113e+05
1.3190e+00	6.5123e+10	4.5147e+05
1.3374e+00	6.3730e+10	4.5182e+05
1.3560e+00	6.2366e+10	4.5217e+05
1.3749e+00	6.1029e+10	4.5252e+05
1.3941e+00	5.9720e+10	4.5288e+05
1.4135e+00	5.8437e+10	4.5325e+05
1.4332e+00	5.7181e+10	4.5362e+05
1.4532e+00	5.5950e+10	4.5400e+05
1.4735e+00	5.4745e+10	4.5437e+05
1.4940e+00	5.3564e+10	4.5476e+05
1.5148e+00	5.2408e+10	4.5515e+05
1.5359e+00	5.1275e+10	4.5555e+05
1.5573e+00	5.0166e+10	4.5595e+05
1.5791e+00	4.9079e+10	4.5636e+05
1.6011e+00	4.8015e+10	4.5677e+05
1.6234e+00	4.6973e+10	4.5719e+05
1.6460e+00	4.5952e+10	4.5762e+05
1.6690e+00	4.4952e+10	4.5805e+05
1.6922e+00	4.3973e+10	4.5849e+05
1.7158e+00	4.3014e+10	4.5893e+05
1.7397e+00	4.2074e+10	4.5938e+05
1.7640e+00	4.1155e+10	4.5983e+05
1.7886e+00	4.0254e+10	4.6030e+05
1.8135e+00	3.9372e+10	4.6076e+05
1.8388e+00	3.8508e+10	4.6124e+05
1.8644e+00	3.7662e+10	4.6172e+05
1.8904e+00	3.6834e+10	4.6221e+05
1.9167e+00	3.6023e+10	4.6270e+05
1.9435e+00	3.5228e+10	4.6320e+05
1.9706e+00	3.4451e+10	4.6371e+05
1.9980e+00	3.3689e+10	4.6423e+05
2.0259e+00	3.2944e+10	4.6475e+05
2.0541e+00	3.2213e+10	4.6528e+05
2.0828e+00	3.1499e+10	4.6581e+05
2.1118e+00	3.0799e+10	4.6636e+05
2.1412e+00	3.0113e+10	4.6691e+05
2.1711e+00	2.9442e+10	4.6747e+05
2.2013e+00	2.8786e+10	4.6803e+05
2.2320e+00	2.8142e+10	4.6861e+05
2.2631e+00	2.7513e+10	4.6919e+05
2.2947e+00	2.6896e+10	4.6978e+05
2.3267e+00	2.6293e+10	4.7038e+05
2.3591e+00	2.5702e+10	4.7099e+05
2.3920e+00	2.5124e+10	4.7160e+05
2.4253e+00	2.4558e+10	4.7223e+05
2.4591e+00	2.4004e+10	4.7286e+05
2.4934e+00	2.3462e+10	4.7350e+05
2.5282e+00	2.2931e+10	4.7415e+05
2.5634e+00	2.2411e+10	4.7424e+05
2.5991e+00	2.1902e+10	4.7359e+05
2.6354e+00	2.1404e+10	4.7395e+05
2.6721e+00	2.0917e+10	4.7454e+05
2.7094e+00	2.0440e+10	4.7524e+05
2.7471e+00	1.9973e+10	4.7594e+05
2.7854e+00	1.9517e+10	4.7666e+05
2.8242e+00	1.9070e+10	4.7738e+05
2.8636e+00	1.8632e+10	4.7811e+05
2.9035e+00	1.8204e+10	4.7886e+05
2.9440e+00	1.7785e+10	4.7961e+05
2.9850e+00	1.7375e+10	4.8038e+05
3.0266e+00	1.6974e+10	4.8115e+05
3.0688e+00	1.6581e+10	4.8193e+05
3.1116e+00	1.6197e+10	4.8273e+05
3.1550e+00	1.5821e+10	4.8354e+05
3.1990e+00	1.5453e+10	4.8436e+05
3.2436e+00	1.5093e+10	4.8518e+05
3.2888e+00	1.4741e+10	4.8602e+05
3.3346e+00	1.4397e+10	4.8688e+05
3.3811e+00	1.4060e+10	4.8774e+05
3.4282e+00	1.3730e+10	4.8861e+05
3.4760e+00	1.3408e+10	4.8950e+05
3.5245e+00	1.3092e+10	4.9040e+05
3.5736e+00	1.2784e+10	4.9131e+05
3.6234e+00	1.2482e+10	4.9223e+05
3.6739e+00	1.2187e+10	4.9317e+05
3.7251e+00	1.1898e+10	4.9412e+05
3.7771e+00	1.1615e+10	4.9508e+05
3.8297e+00	1.1339e+10	4.9605e+05
3.8831e+00	1.1069e+10	4.9704e+05
3.9372e+00	1.0804e+10	4.9804e+05
3.9921e+00	1.0546e+10	4.9905e+05
4.0478e+00	1.0293e+10	5.0008e+05
4.1042e+00	1.0046e+10	5.0112e+05
4.1614e+00	9.8044e+09	5.0218e+05
4.2194e+00	9.5680e+09	5.0325e+05
4.2782e+00	9.3369e+09	5.0433e+05
4.3379e+00	9.1110e+09	5.0543e+05
4.3983e+00	8.8900e+09	5.0655e+05
4.4596e+00	8.6740e+09	5.0768e+05
4.5218e+00	8.4628e+09	5.0882e+05
4.5848e+00	8.2564e+09	5.0998e+05
4.6487e+00	8.0546e+09	5.1115e+05
4.7135e+00	7.8573e+09	5.1234e+05
4.7792e+00	7.6644e+09	5.1354e+05
4.8459e+00	7.4759e+09	5.1476e+05
4.9134e+00	7.2916e+09	5.1599e+05
4.9819e+00	7.1115e+09	5.1724e+05
5.0513e+00	6.9354e+09	5.1851e+05
5.1218e+00	6.7634e+09	5.1979e+05
5.1932e+00	6.5953e+09	5.2108e+05
5.2655e+00	6.4309e+09	5.2228e+05
5.3389e+00	6.2704e+09	5.2345e+05
5.4134e+00	6.1135e+09	5.2478e+05
5.4888e+00	5.9602e+09	5.2614e+05
5.5653e+00	5.8103e+09	5.2752e+05
5.6429e+00	5.6640e+09	5.2892e+05
5.7216e+00	5.5210e+09	5.3033e+05
5.8013e+00	5.3813e+09	5.3176e+05
5.8822e+00	5.2448e+09	5.3321e+05
5.9642e+00	5.1115e+09	5.3467e+05
6.0473e+00	4.9812e+09	5.3616e+05
6.1316e+00	4.8540e+09	5.3766e+05
6.2171e+00	4.7297e+09	5.3918e+05
6.3038e+00	4.6084e+09	5.4072e+05
6.3916e+00	4.4899e+09	5.4228e+05
6.4807e+00	4.3741e+09	5.4386e+05
6.5711e+00	4.2611e+09	5.4545e+05
6.6627e+00	4.1507e+09	5.4707e+05
6.7555e+00	4.0429e+09	5.4870e+05
6.8497e+00	3.9376e+09	5.5036e+05
6.9452e+00	3.8349e+09	5.5203e+05
7.0420e+00	3.7346e+09	5.5373e+05
7.1402e+00	3.6366e+09	5.5545e+05
7.2397e+00	3.5410e+09	5.5718e+05
7.3406e+00	3.4477e+09	5.5894e+05
7.4429e+00	3.3566e+09	5.6071e+05
7.5467e+00	3.2676e+09	5.6251e+05
7.6519e+00	3.1808e+09	5.6432e+05
7.7585e+00	3.0961e+09	5.6616e+05
7.8667e+00	3.0135e+09	5.6802e+05
