Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	4.9654e+05
1.5000e-03	0.0000e+00	4.9667e+05
2.0000e-03	0.0000e+00	4.9675e+05
2.5000e-03	0.0000e+00	4.9682e+05
3.0000e-03	0.0000e+00	4.9687e+05
3.5000e-03	0.0000e+00	4.9691e+05
4.0000e-03	0.0000e+00	4.9695e+05
4.5000e-03	0.0000e+00	4.9698e+05
5.0000e-03	0.0000e+00	4.9701e+05
5.5000e-03	0.0000e+00	4.9704e+05
6.0000e-03	0.0000e+00	4.9706e+05
6.5000e-03	0.0000e+00	4.9708e+05
7.0000e-03	0.0000e+00	4.9710e+05
7.5000e-03	0.0000e+00	4.9712e+05
8.0000e-03	0.0000e+00	4.9714e+05
8.5000e-03	0.0000e+00	4.9716e+05
9.0000e-03	0.0000e+00	4.9717e+05
9.5000e-03	0.0000e+00	4.9719e+05
1.0000e-02	0.0000e+00	4.9720e+05
1.5000e-02	0.0000e+00	4.9731e+05
2.0000e-02	0.0000e+00	4.9740e+05
2.5000e-02	0.0000e+00	4.9748e+05
3.0000e-02	0.0000e+00	4.9754e+05
3.5000e-02	0.0000e+00	4.9760e+05
4.0000e-02	0.0000e+00	4.9767e+05
4.5000e-02	0.0000e+00	4.9775e+05
5.0000e-02	0.0000e+00	4.9783e+05
5.5000e-02	0.0000e+00	4.9791e+05
6.0000e-02	0.0000e+00	4.9799e+05
6.5000e-02	0.0000e+00	4.9809e+05
7.0000e-02	0.0000e+00	4.9819e+05
7.5000e-02	0.0000e+00	4.9828e+05
8.0000e-02	0.0000e+00	4.9837e+05
8.5000e-02	0.0000e+00	4.9846e+05
9.0000e-02	0.0000e+00	4.9855e+05
9.5000e-02	0.0000e+00	4.9863e+05
1.0000e-01	0.0000e+00	4.9873e+05
1.5000e-01	0.0000e+00	4.9968e+05
2.0000e-01	0.0000e+00	5.0064e+05
2.5000e-01	0.0000e+00	5.0159e+05
3.0000e-01	0.0000e+00	5.0255e+05
3.5000e-01	0.0000e+00	5.0351e+05
4.0000e-01	0.0000e+00	5.0447e+05
4.5000e-01	0.0000e+00	5.0543e+05
5.0000e-01	0.0000e+00	5.0624e+05
5.5000e-01	0.0000e+00	5.0702e+05
6.0000e-01	0.0000e+00	5.0794e+05
6.5000e-01	0.0000e+00	5.0889e+05
7.0000e-01	0.0000e+00	5.0983e+05
7.5000e-01	0.0000e+00	5.1077e+05
8.0000e-01	0.0000e+00	5.1172e+05
8.5000e-01	0.0000e+00	5.1267e+05
9.0000e-01	0.0000e+00	5.1362e+05
9.5000e-01	0.0000e+00	5.1457e+05
1.0000e+00	3.5348e+11	5.1552e+05
1.0139e+00	3.4610e+11	5.1578e+05
1.0281e+00	3.3882e+11	5.1605e+05
1.0424e+00	3.3168e+11	5.1632e+05
1.0569e+00	3.2469e+11	5.1659e+05
1.0717e+00	3.1784e+11	5.1687e+05
1.0866e+00	3.1112e+11	5.1715e+05
1.1018e+00	3.0455e+11	5.1744e+05
1.1171e+00	2.9811e+11	5.1773e+05
1.1327e+00	2.9180e+11	5.1802e+05
1.1485e+00	2.8564e+11	5.1832e+05
1.1645e+00	2.7961e+11	5.1863e+05
1.1807e+00	2.7370e+11	5.1894e+05
1.1972e+00	2.6791e+11	5.1925e+05
1.2139e+00	2.6225e+11	5.1957e+05
1.2308e+00	2.5668e+11	5.1990e+05
1.2479e+00	2.5124e+11	5.2023e+05
1.2653e+00	2.4592e+11	5.2056e+05
1.2830e+00	2.4067e+11	5.2089e+05
1.3009e+00	2.3549e+11	5.2124e+05
1.3190e+00	2.3049e+11	5.2158e+05
1.3374e+00	2.2562e+11	5.2193e+05
1.3560e+00	2.2079e+11	5.2229e+05
1.3749e+00	2.1605e+11	5.2265e+05
1.3941e+00	2.1141e+11	5.2302e+05
1.4135e+00	2.0686e+11	5.2339e+05
1.4332e+00	2.0241e+11	5.2376e+05
1.4532e+00	1.9807e+11	5.2414e+05
