Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	5.7659e+05
1.5000e-03	0.0000e+00	5.7673e+05
2.0000e-03	0.0000e+00	5.7683e+05
2.5000e-03	0.0000e+00	5.7691e+05
3.0000e-03	0.0000e+00	5.7696e+05
3.5000e-03	0.0000e+00	5.7701e+05
4.0000e-03	0.0000e+00	5.7706e+05
4.5000e-03	0.0000e+00	5.7709e+05
5.0000e-03	0.0000e+00	5.7713e+05
5.5000e-03	0.0000e+00	5.7716e+05
6.0000e-03	0.0000e+00	5.7718e+05
6.5000e-03	0.0000e+00	5.7721e+05
7.0000e-03	0.0000e+00	5.7723e+05
7.5000e-03	0.0000e+00	5.7726e+05
8.0000e-03	0.0000e+00	5.7728e+05
8.5000e-03	0.0000e+00	5.7730e+05
9.0000e-03	0.0000e+00	5.7731e+05
9.5000e-03	0.0000e+00	5.7733e+05
1.0000e-02	0.0000e+00	5.7735e+05
1.5000e-02	0.0000e+00	5.7748e+05
2.0000e-02	0.0000e+00	5.7758e+05
2.5000e-02	0.0000e+00	5.7767e+05
3.0000e-02	0.0000e+00	5.7774e+05
3.5000e-02	0.0000e+00	5.7781e+05
4.0000e-02	0.0000e+00	5.7789e+05
4.5000e-02	0.0000e+00	5.7799e+05
5.0000e-02	0.0000e+00	5.7808e+05
5.5000e-02	0.0000e+00	5.7817e+05
6.0000e-02	0.0000e+00	5.7826e+05
6.5000e-02	0.0000e+00	5.7838e+05
7.0000e-02	0.0000e+00	5.7850e+05
7.5000e-02	0.0000e+00	5.7861e+05
8.0000e-02	0.0000e+00	5.7871e+05
8.5000e-02	0.0000e+00	5.7881e+05
9.0000e-02	0.0000e+00	5.7891e+05
9.5000e-02	0.0000e+00	5.7901e+05
1.0000e-01	0.0000e+00	5.7913e+05
1.5000e-01	0.0000e+00	5.8023e+05
2.0000e-01	0.0000e+00	5.8134e+05
2.5000e-01	0.0000e+00	5.8245e+05
3.0000e-01	0.0000e+00	5.8356e+05
3.5000e-01	0.0000e+00	5.8468e+05
4.0000e-01	0.0000e+00	5.8579e+05
4.5000e-01	0.0000e+00	5.8690e+05
5.0000e-01	0.0000e+00	5.8785e+05
5.5000e-01	0.0000e+00	5.8875e+05
6.0000e-01	0.0000e+00	5.8983e+05
6.5000e-01	0.0000e+00	5.9093e+05
7.0000e-01	0.0000e+00	5.9202e+05
7.5000e-01	0.0000e+00	5.9311e+05
8.0000e-01	0.0000e+00	5.9422e+05
8.5000e-01	0.0000e+00	5.9532e+05
9.0000e-01	0.0000e+00	5.9643e+05
9.5000e-01	0.0000e+00	5.9753e+05
1.0000e+00	3.9972e+11	5.9864e+05
1.0139e+00	3.9132e+11	5.9894e+05
1.0281e+00	3.8310e+11	5.9925e+05
1.0424e+00	3.7504e+11	5.9956e+05
1.0569e+00	3.6714e+11	5.9988e+05
1.0717e+00	3.5940e+11	6.0020e+05
1.0866e+00	3.5182e+11	6.0053e+05
1.1018e+00	3.4439e+11	6.0086e+05
1.1171e+00	3.3711e+11	6.0120e+05
1.1327e+00	3.2998e+11	6.0155e+05
1.1485e+00	3.2300e+11	6.0189e+05
1.1645e+00	3.1615e+11	6.0225e+05
1.1807e+00	3.0945e+11	6.0261e+05
1.1972e+00	3.0288e+11	6.0298e+05
1.2139e+00	2.9645e+11	6.0335e+05
1.2308e+00	2.9014e+11	6.0372e+05
1.2479e+00	2.8397e+11	6.0410e+05
1.2653e+00	2.7791e+11	6.0449e+05
1.2830e+00	2.7199e+11	6.0488e+05
1.3009e+00	2.6618e+11	6.0528e+05
1.3190e+00	2.6049e+11	6.0568e+05
1.3374e+00	2.5492e+11	6.0609e+05
1.3560e+00	2.4946e+11	6.0650e+05
1.3749e+00	2.4412e+11	6.0692e+05
1.3941e+00	2.3888e+11	6.0735e+05
1.4135e+00	2.3375e+11	6.0778e+05
1.4332e+00	2.2872e+11	6.0822e+05
1.4532e+00	2.2380e+11	6.0866e+05
1.4735e+00	2.1898e+11	6.0911e+05
1.4940e+00	2.1426e+11	6.0956e+05
1.5148e+00	2.0963e+11	6.1000e+05
1.5359e+00	2.0510e+11	6.1029e+05
1.5573e+00	2.0066e+11	6.1059e+05
1.5791e+00	1.9632e+11	6.1095e+05
1.6011e+00	1.9206e+11	6.1142e+05
1.6234e+00	1.8789e+11	6.1190e+05
1.6460e+00	1.8381e+11	6.1239e+05
1.6690e+00	1.7981e+11	6.1290e+05
1.6922e+00	1.7589e+11	6.1342e+05
