# Energy(MeV)  Phi_res(p/cm2/MeV)  S(MeV*cm2/g)  Dose(MeV/g)  Dose(Gy)
1.000000e-03 1.130800e+07 1.060000e+02 5.993240e+05 9.601170e-05
1.500000e-03 1.131200e+07 1.298000e+02 7.341488e+05 1.176106e-04
2.000000e-03 1.131400e+07 1.499000e+02 8.479843e+05 1.358471e-04
2.500000e-03 1.131600e+07 1.662000e+02 9.403596e+05 1.506456e-04
3.000000e-03 1.131700e+07 1.816000e+02 1.027584e+06 1.646189e-04
3.500000e-03 1.131900e+07 1.958000e+02 1.108130e+06 1.775224e-04
4.000000e-03 1.132000e+07 2.088000e+02 1.181808e+06 1.893256e-04
4.500000e-03 1.132100e+07 2.206000e+02 1.248706e+06 2.000427e-04
5.000000e-03 1.132200e+07 2.314000e+02 1.309955e+06 2.098549e-04
5.500000e-03 1.132200e+07 2.412000e+02 1.365433e+06 2.187424e-04
6.000000e-03 1.132300e+07 2.503000e+02 1.417073e+06 2.270152e-04
6.500000e-03 1.132400e+07 2.589000e+02 1.465892e+06 2.348359e-04
7.000000e-03 1.132400e+07 2.671000e+02 1.512320e+06 2.422737e-04
7.500000e-03 1.132500e+07 2.751000e+02 1.557754e+06 2.495522e-04
8.000000e-03 1.132500e+07 2.829000e+02 1.601921e+06 2.566278e-04
8.500000e-03 1.132600e+07 2.905000e+02 1.645101e+06 2.635453e-04
9.000000e-03 1.132600e+07 2.981000e+02 1.688140e+06 2.704401e-04
9.500000e-03 1.132700e+07 3.056000e+02 1.730766e+06 2.772686e-04
1.000000e-02 1.132800e+07 3.131000e+02 1.773398e+07 2.840984e-03
1.500000e-02 1.133900e+07 3.813000e+02 2.161780e+07 3.463172e-03
2.000000e-02 1.134600e+07 4.346000e+02 2.465486e+07 3.949708e-03
2.500000e-02 1.135200e+07 4.732000e+02 2.685883e+07 4.302785e-03
3.000000e-02 1.136100e+07 4.999000e+02 2.839682e+07 4.549170e-03
3.500000e-02 1.136900e+07 5.177000e+02 2.942866e+07 4.714471e-03
4.000000e-02 1.137600e+07 5.289000e+02 3.008383e+07 4.819430e-03
4.500000e-02 1.138400e+07 5.352000e+02 3.046358e+07 4.880266e-03
5.000000e-02 1.139200e+07 5.380000e+02 3.064448e+07 4.909246e-03
5.500000e-02 1.140000e+07 5.382000e+02 3.067740e+07 4.914519e-03
6.000000e-02 1.140800e+07 5.365000e+02 3.060196e+07 4.902434e-03
6.500000e-02 1.141600e+07 5.334000e+02 3.044647e+07 4.877525e-03
7.000000e-02 1.142400e+07 5.293000e+02 3.023362e+07 4.843425e-03
7.500000e-02 1.143200e+07 5.245000e+02 2.998042e+07 4.802863e-03
8.000000e-02 1.143900e+07 5.192000e+02 2.969564e+07 4.757242e-03
8.500000e-02 1.144800e+07 5.136000e+02 2.939846e+07 4.709634e-03
9.000000e-02 1.145600e+07 5.077000e+02 2.908106e+07 4.658785e-03
9.500000e-02 1.146300e+07 5.017000e+02 2.875494e+07 4.606541e-03
1.000000e-01 1.147200e+07 4.957000e+02 2.143875e+07 3.434487e-03
