# E(MeV) Phi16 Phi84
5.000000e-02 1.680642e+11 2.563497e+11
5.100225e-02 1.639578e+11 2.492942e+11
5.202458e-02 1.599705e+11 2.426828e+11
5.306741e-02 1.561234e+11 2.362034e+11
5.413114e-02 1.523499e+11 2.299206e+11
5.521620e-02 1.485261e+11 2.237045e+11
5.632300e-02 1.448495e+11 2.175892e+11
5.745199e-02 1.412705e+11 2.118067e+11
5.860361e-02 1.377799e+11 2.062340e+11
5.977832e-02 1.345479e+11 2.007827e+11
6.097657e-02 1.314559e+11 1.955722e+11
6.219884e-02 1.283041e+11 1.902812e+11
6.344561e-02 1.250060e+11 1.852351e+11
6.471737e-02 1.217719e+11 1.801824e+11
6.601463e-02 1.189701e+11 1.752104e+11
6.733789e-02 1.160362e+11 1.705414e+11
6.868767e-02 1.132856e+11 1.658529e+11
7.006451e-02 1.105005e+11 1.612014e+11
7.146895e-02 1.078844e+11 1.568691e+11
7.290154e-02 1.053298e+11 1.526942e+11
7.436284e-02 1.026531e+11 1.486235e+11
7.585344e-02 1.000684e+11 1.446535e+11
7.737392e-02 9.759551e+10 1.408004e+11
7.892487e-02 9.533994e+10 1.370698e+11
8.050691e-02 9.313624e+10 1.333791e+11
8.212067e-02 9.094005e+10 1.298456e+11
8.376677e-02 8.872286e+10 1.263260e+11
8.544587e-02 8.647612e+10 1.228374e+11
8.715862e-02 8.429851e+10 1.196366e+11
8.890571e-02 8.217560e+10 1.162545e+11
9.068782e-02 8.019960e+10 1.130529e+11
9.250565e-02 7.831906e+10 1.099615e+11
9.435992e-02 7.648496e+10 1.070193e+11
9.625136e-02 7.455644e+10 1.042826e+11
9.818071e-02 7.274247e+10 1.014956e+11
1.001487e-01 7.086801e+10 9.869304e+10
1.021562e-01 6.911475e+10 9.603913e+10
1.042039e-01 6.740614e+10 9.345983e+10
1.062927e-01 6.576275e+10 9.088420e+10
1.084233e-01 6.416923e+10 8.841912e+10
1.105966e-01 6.260531e+10 8.617301e+10
1.128135e-01 6.100779e+10 8.395642e+10
1.150749e-01 5.946586e+10 8.169701e+10
1.173816e-01 5.798531e+10 7.959733e+10
1.197345e-01 5.654124e+10 7.753958e+10
1.221345e-01 5.510923e+10 7.545984e+10
1.245827e-01 5.366778e+10 7.348163e+10
1.270800e-01 5.236645e+10 7.159755e+10
1.296273e-01 5.114755e+10 6.963928e+10
1.322256e-01 4.993595e+10 6.786158e+10
1.348761e-01 4.864412e+10 6.620555e+10
1.375797e-01 4.743980e+10 6.452507e+10
1.403374e-01 4.630142e+10 6.280671e+10
1.431505e-01 4.521549e+10 6.106199e+10
1.460199e-01 4.415397e+10 5.936169e+10
1.489469e-01 4.305492e+10 5.771468e+10
1.519325e-01 4.196260e+10 5.612357e+10
1.549780e-01 4.086485e+10 5.453236e+10
1.580845e-01 3.981080e+10 5.304997e+10
1.612533e-01 3.887984e+10 5.157093e+10
1.644856e-01 3.791048e+10 5.018273e+10
1.677827e-01 3.695966e+10 4.884864e+10
1.711459e-01 3.603410e+10 4.758662e+10
1.745765e-01 3.506142e+10 4.635345e+10
1.780759e-01 3.417433e+10 4.509606e+10
1.816454e-01 3.330413e+10 4.387302e+10
1.852865e-01 3.244873e+10 4.277020e+10
1.890005e-01 3.162390e+10 4.169510e+10
1.927890e-01 3.085144e+10 4.060955e+10
1.966535e-01 3.008062e+10 3.950308e+10
2.005954e-01 2.933063e+10 3.835779e+10
2.046163e-01 2.864235e+10 3.739173e+10
2.087178e-01 2.795663e+10 3.638459e+10
2.129015e-01 2.725039e+10 3.547920e+10
2.171691e-01 2.656868e+10 3.455108e+10
2.215223e-01 2.589216e+10 3.362287e+10
2.259627e-01 2.522385e+10 3.273781e+10
2.304921e-01 2.459099e+10 3.187419e+10
2.351123e-01 2.397749e+10 3.102579e+10
2.398251e-01 2.337091e+10 3.022946e+10
2.446324e-01 2.276144e+10 2.941666e+10
2.495360e-01 2.217562e+10 2.861171e+10
2.545379e-01 2.159387e+10 2.784384e+10
2.596401e-01 2.105714e+10 2.706554e+10
2.648446e-01 2.051562e+10 2.634041e+10
2.701534e-01 1.999177e+10 2.564334e+10
2.755686e-01 1.947066e+10 2.496105e+10
2.810923e-01 1.895194e+10 2.429265e+10
2.867268e-01 1.845999e+10 2.362229e+10
2.924742e-01 1.799031e+10 2.298823e+10
2.983368e-01 1.752800e+10 2.239700e+10
3.043170e-01 1.708260e+10 2.181204e+10
