# E(MeV) Fluence
5.000000e-02 2.067463e+11
5.100225e-02 2.015929e+11
5.202458e-02 1.965874e+11
5.306741e-02 1.916116e+11
5.413114e-02 1.868289e+11
5.521620e-02 1.821650e+11
5.632300e-02 1.777504e+11
5.745199e-02 1.733237e+11
5.860361e-02 1.688052e+11
5.977832e-02 1.644152e+11
6.097657e-02 1.601368e+11
6.219884e-02 1.561419e+11
6.344561e-02 1.520316e+11
6.471737e-02 1.481833e+11
6.601463e-02 1.443621e+11
6.733789e-02 1.406474e+11
6.868767e-02 1.370237e+11
7.006451e-02 1.335028e+11
7.146895e-02 1.299925e+11
7.290154e-02 1.265281e+11
7.436284e-02 1.231701e+11
7.585344e-02 1.200024e+11
7.737392e-02 1.169461e+11
7.892487e-02 1.140376e+11
8.050691e-02 1.111574e+11
8.212067e-02 1.083598e+11
8.376677e-02 1.056039e+11
8.544587e-02 1.029646e+11
8.715862e-02 1.003064e+11
8.890571e-02 9.768236e+10
9.068782e-02 9.525418e+10
9.250565e-02 9.270401e+10
9.435992e-02 9.033005e+10
9.625136e-02 8.798892e+10
9.818071e-02 8.579458e+10
1.001487e-01 8.358629e+10
1.021562e-01 8.141800e+10
1.042039e-01 7.926769e+10
1.062927e-01 7.723767e+10
1.084233e-01 7.524874e+10
1.105966e-01 7.335853e+10
1.128135e-01 7.152247e+10
1.150749e-01 6.964248e+10
1.173816e-01 6.789409e+10
1.197345e-01 6.611119e+10
1.221345e-01 6.447593e+10
1.245827e-01 6.285825e+10
1.270800e-01 6.132269e+10
1.296273e-01 5.971139e+10
1.322256e-01 5.816910e+10
1.348761e-01 5.667416e+10
1.375797e-01 5.525039e+10
1.403374e-01 5.384808e+10
1.431505e-01 5.245340e+10
1.460199e-01 5.106719e+10
1.489469e-01 4.973549e+10
1.519325e-01 4.846314e+10
1.549780e-01 4.724011e+10
1.580845e-01 4.597614e+10
1.612533e-01 4.479970e+10
1.644856e-01 4.363166e+10
1.677827e-01 4.251280e+10
1.711459e-01 4.143083e+10
1.745765e-01 4.037568e+10
1.780759e-01 3.933741e+10
1.816454e-01 3.831067e+10
1.852865e-01 3.730076e+10
1.890005e-01 3.633306e+10
1.927890e-01 3.538956e+10
1.966535e-01 3.445598e+10
2.005954e-01 3.354861e+10
2.046163e-01 3.265300e+10
2.087178e-01 3.180837e+10
2.129015e-01 3.096958e+10
2.171691e-01 3.021167e+10
2.215223e-01 2.942928e+10
2.259627e-01 2.867737e+10
2.304921e-01 2.796886e+10
2.351123e-01 2.724592e+10
2.398251e-01 2.653988e+10
2.446324e-01 2.584306e+10
2.495360e-01 2.518459e+10
2.545379e-01 2.451282e+10
2.596401e-01 2.388549e+10
2.648446e-01 2.325239e+10
2.701534e-01 2.264827e+10
2.755686e-01 2.205220e+10
2.810923e-01 2.146899e+10
2.867268e-01 2.091520e+10
2.924742e-01 2.035331e+10
2.983368e-01 1.981742e+10
3.043170e-01 1.930737e+10
3.104170e-01 1.881403e+10
3.166393e-01 1.833926e+10
3.229863e-01 1.786017e+10
3.294605e-01 1.739336e+10
3.360645e-01 1.694689e+10
3.428009e-01 1.651351e+10
3.496723e-01 1.608371e+10
3.566815e-01 1.565110e+10
3.638311e-01 1.523750e+10
3.711241e-01 1.483128e+10
3.785633e-01 1.444604e+10
3.861515e-01 1.406371e+10
3.938919e-01 1.369460e+10
4.017874e-01 1.333834e+10
4.098412e-01 1.299931e+10
4.180565e-01 1.266302e+10
4.264364e-01 1.232811e+10
4.349843e-01 1.200141e+10
4.437035e-01 1.169244e+10
4.525975e-01 1.138601e+10
4.616698e-01 1.107111e+10
4.709239e-01 1.077605e+10
4.803635e-01 1.049129e+10
4.899924e-01 1.021318e+10
4.998143e-01 9.941517e+09
5.098330e-01 9.675382e+09
5.200526e-01 9.423452e+09
5.304770e-01 9.178841e+09
5.411103e-01 8.929767e+09
5.519569e-01 8.689791e+09
5.630208e-01 8.462004e+09
5.743065e-01 8.230892e+09
5.858184e-01 8.005026e+09
5.975611e-01 7.793051e+09
6.095392e-01 7.587760e+09
6.217573e-01 7.390607e+09
6.342204e-01 7.194380e+09
6.469333e-01 6.997380e+09
6.599011e-01 6.804883e+09
6.731287e-01 6.622943e+09
6.866215e-01 6.443264e+09
7.003848e-01 6.267689e+09
7.144240e-01 6.095919e+09
7.287445e-01 5.931873e+09
7.433522e-01 5.770422e+09
7.582526e-01 5.616122e+09
7.734517e-01 5.461828e+09
7.889555e-01 5.313041e+09
8.047701e-01 5.170566e+09
8.209016e-01 5.031032e+09
8.373565e-01 4.891382e+09
8.541413e-01 4.757328e+09
8.712625e-01 4.633613e+09
8.887268e-01 4.508991e+09
9.065413e-01 4.386605e+09
9.247129e-01 4.263227e+09
9.432487e-01 4.142938e+09
9.621560e-01 4.027895e+09
9.814423e-01 3.915723e+09
1.001115e+00 3.808245e+09
1.021183e+00 3.701307e+09
1.041652e+00 3.595524e+09
1.062532e+00 3.497203e+09
1.083830e+00 3.400112e+09
1.105556e+00 3.304036e+09
1.127716e+00 3.213463e+09
1.150321e+00 3.126337e+09
1.173379e+00 3.037019e+09
1.196900e+00 2.953344e+09
1.220892e+00 2.872086e+09
1.245364e+00 2.789936e+09
1.270327e+00 2.710177e+09
1.295791e+00 2.634292e+09
1.321765e+00 2.560238e+09
1.348260e+00 2.488655e+09
1.375286e+00 2.417434e+09
1.402853e+00 2.348238e+09
1.430973e+00 2.279327e+09
1.459657e+00 2.213518e+09
1.488916e+00 2.148645e+09
1.518761e+00 2.088659e+09
1.549204e+00 2.029119e+09
1.580258e+00 1.970162e+09
1.611934e+00 1.913402e+09
1.644245e+00 1.856599e+09
1.677204e+00 1.802426e+09
1.710823e+00 1.748382e+09
1.745117e+00 1.695114e+09
1.780097e+00 1.643867e+09
1.815779e+00 1.594114e+09
1.852176e+00 1.545556e+09
1.889303e+00 1.500674e+09
1.927174e+00 1.456831e+09
1.965804e+00 1.413612e+09
2.005209e+00 1.369114e+09
2.045403e+00 1.327055e+09
2.086403e+00 1.286032e+09
2.128224e+00 1.244958e+09
2.170885e+00 1.205689e+09
2.214400e+00 1.167933e+09
2.258787e+00 1.133098e+09
2.304064e+00 1.097491e+09
2.350249e+00 1.065725e+09
2.397360e+00 1.031327e+09
2.445415e+00 1.000533e+09
2.494433e+00 9.679174e+08
2.544434e+00 9.384666e+08
2.595437e+00 9.095347e+08
2.647462e+00 8.807849e+08
2.700530e+00 8.541035e+08
2.754662e+00 8.253250e+08
2.809879e+00 7.981919e+08
2.866203e+00 7.721805e+08
2.923656e+00 7.469314e+08
2.982260e+00 7.224733e+08
3.042039e+00 6.988507e+08
3.103017e+00 6.768306e+08
3.165216e+00 6.548340e+08
3.228663e+00 6.333966e+08
3.293381e+00 6.117378e+08
3.359397e+00 5.907120e+08
3.426736e+00 5.702106e+08
3.495424e+00 5.508767e+08
3.565490e+00 5.330754e+08
3.636960e+00 5.148158e+08
3.709862e+00 4.969203e+08
3.784226e+00 4.798697e+08
3.860081e+00 4.624164e+08
3.937456e+00 4.473725e+08
4.016382e+00 4.321661e+08
4.096890e+00 4.171715e+08
4.179012e+00 4.027368e+08
4.262780e+00 3.893607e+08
4.348227e+00 3.758149e+08
4.435387e+00 3.621680e+08
4.524294e+00 3.486155e+08
4.614983e+00 3.359853e+08
4.707490e+00 3.251594e+08
4.801851e+00 3.137717e+08
4.898104e+00 3.026293e+08
4.996286e+00 2.911476e+08
5.096436e+00 2.804210e+08
5.198594e+00 2.695945e+08
5.302799e+00 2.590940e+08
5.409093e+00 2.492577e+08
5.517518e+00 2.401761e+08
5.628116e+00 2.319561e+08
5.740932e+00 2.236047e+08
5.856008e+00 2.150740e+08
5.973391e+00 2.068868e+08
6.093127e+00 1.984577e+08
6.215264e+00 1.910919e+08
6.339848e+00 1.847818e+08
6.466930e+00 1.783942e+08
6.596559e+00 1.722956e+08
6.728787e+00 1.660371e+08
6.863665e+00 1.598396e+08
7.001246e+00 1.542645e+08
7.141586e+00 1.481370e+08
7.284738e+00 1.423755e+08
7.430760e+00 1.372060e+08
7.579709e+00 1.314923e+08
7.731644e+00 1.258146e+08
7.886624e+00 1.207715e+08
8.044711e+00 1.163003e+08
8.205967e+00 1.122629e+08
8.370455e+00 1.073974e+08
8.538240e+00 1.030297e+08
8.709388e+00 9.848908e+07
8.883967e+00 9.464927e+07
9.062045e+00 9.131561e+07
9.243693e+00 8.796973e+07
9.428983e+00 8.488601e+07
9.617986e+00 8.174696e+07
9.810778e+00 7.870166e+07
1.000743e+01 7.573907e+07
1.020803e+01 7.266680e+07
1.041265e+01 6.969772e+07
1.062137e+01 6.696116e+07
1.083428e+01 6.405049e+07
1.105145e+01 6.146059e+07
1.127297e+01 5.920120e+07
1.149894e+01 5.692812e+07
1.172944e+01 5.461579e+07
1.196455e+01 5.235140e+07
1.220438e+01 4.996222e+07
1.244902e+01 4.798398e+07
1.269856e+01 4.600524e+07
1.295310e+01 4.405375e+07
1.321274e+01 4.216032e+07
1.347759e+01 4.033513e+07
1.374775e+01 3.872467e+07
1.402332e+01 3.702800e+07
1.430442e+01 3.527969e+07
1.459115e+01 3.352529e+07
1.488362e+01 3.185814e+07
1.518197e+01 3.037271e+07
1.548629e+01 2.880635e+07
1.579671e+01 2.732965e+07
1.611335e+01 2.588430e+07
1.643634e+01 2.449378e+07
1.676581e+01 2.320052e+07
1.710188e+01 2.203004e+07
1.744468e+01 2.082963e+07
1.779436e+01 1.971640e+07
1.815105e+01 1.868090e+07
1.851488e+01 1.767650e+07
1.888601e+01 1.672081e+07
1.926458e+01 1.589135e+07
1.965074e+01 1.506791e+07
2.004464e+01 1.427961e+07
2.044643e+01 1.354583e+07
2.085628e+01 1.291479e+07
2.127434e+01 1.227301e+07
2.170078e+01 1.164400e+07
2.213577e+01 1.104728e+07
2.257948e+01 1.048729e+07
2.303209e+01 9.952519e+06
2.349376e+01 9.433008e+06
2.396469e+01 8.940637e+06
2.444506e+01 8.473985e+06
2.493506e+01 8.024128e+06
2.543488e+01 7.599171e+06
2.594472e+01 7.196726e+06
2.646478e+01 6.815599e+06
2.699527e+01 6.459140e+06
2.753639e+01 6.139859e+06
2.808835e+01 5.836368e+06
2.865138e+01 5.545611e+06
2.922570e+01 5.257550e+06
2.981152e+01 4.984441e+06
3.040909e+01 4.725511e+06
3.101864e+01 4.484218e+06
3.164041e+01 4.256755e+06
3.227464e+01 4.041574e+06
3.292158e+01 3.840845e+06
3.358149e+01 3.650074e+06
3.425463e+01 3.467169e+06
3.494126e+01 3.284829e+06
3.564165e+01 3.113302e+06
3.635609e+01 2.943920e+06
3.708484e+01 2.783773e+06
3.782820e+01 2.632356e+06
3.858647e+01 2.490919e+06
3.935993e+01 2.362228e+06
4.014890e+01 2.241431e+06
4.095368e+01 2.121288e+06
4.177459e+01 2.002727e+06
4.261196e+01 1.894909e+06
4.346611e+01 1.796953e+06
4.433739e+01 1.701890e+06
4.522613e+01 1.610566e+06
4.613268e+01 1.524138e+06
4.705741e+01 1.443125e+06
4.800067e+01 1.367469e+06
4.896284e+01 1.296978e+06
4.994430e+01 1.230095e+06
5.094543e+01 1.164727e+06
5.196662e+01 1.099124e+06
5.300829e+01 1.037872e+06
5.407084e+01 9.844529e+05
5.515468e+01 9.337802e+05
5.626026e+01 8.857132e+05
5.738799e+01 8.401180e+05
5.853833e+01 7.965299e+05
5.971172e+01 7.541618e+05
6.090864e+01 7.140443e+05
6.212955e+01 6.760578e+05
6.337493e+01 6.400893e+05
6.464528e+01 6.056778e+05
6.594109e+01 5.725017e+05
6.726287e+01 5.411406e+05
6.861115e+01 5.114952e+05
6.998645e+01 4.834719e+05
7.138933e+01 4.569818e+05
7.282032e+01 4.305510e+05
7.428000e+01 4.055819e+05
7.576894e+01 3.820606e+05
7.728772e+01 3.605394e+05
7.883694e+01 3.413574e+05
8.041722e+01 3.220115e+05
8.202918e+01 3.035289e+05
8.367345e+01 2.855030e+05
8.535068e+01 2.681960e+05
8.706153e+01 2.513493e+05
8.880667e+01 2.363665e+05
9.058679e+01 2.223835e+05
9.240260e+01 2.099555e+05
9.425480e+01 1.982219e+05
9.614413e+01 1.871438e+05
9.807133e+01 1.759921e+05
1.000372e+02 1.648991e+05
1.020424e+02 1.545282e+05
1.040878e+02 1.457484e+05
1.061743e+02 1.374775e+05
1.083025e+02 1.297278e+05
1.104734e+02 1.224145e+05
1.126879e+02 1.153740e+05
1.149467e+02 1.085892e+05
1.172508e+02 1.024461e+05
1.196011e+02 9.651840e+04
1.219985e+02 9.076744e+04
1.244439e+02 8.525708e+04
1.269384e+02 8.015725e+04
1.294828e+02 7.533798e+04
1.320783e+02 7.079318e+04
1.347258e+02 6.638799e+04
1.374264e+02 6.232577e+04
1.401811e+02 5.853850e+04
1.429910e+02 5.504295e+04
1.458573e+02 5.165097e+04
1.487810e+02 4.855465e+04
1.517633e+02 4.570832e+04
1.548053e+02 4.298023e+04
1.579084e+02 4.049360e+04
1.610737e+02 3.797912e+04
1.643024e+02 3.554940e+04
1.675958e+02 3.336939e+04
1.709552e+02 3.124891e+04
1.743820e+02 2.926527e+04
1.778775e+02 2.746880e+04
1.814430e+02 2.578225e+04
1.850801e+02 2.419891e+04
1.887900e+02 2.271247e+04
1.925743e+02 2.127607e+04
1.964344e+02 1.990703e+04
2.003719e+02 1.862597e+04
2.043883e+02 1.742726e+04
2.084853e+02 1.626101e+04
2.126644e+02 1.515739e+04
2.169272e+02 1.418956e+04
2.212755e+02 1.329221e+04
2.257109e+02 1.238912e+04
2.302353e+02 1.159220e+04
2.348503e+02 1.085581e+04
2.395579e+02 1.015097e+04
2.443598e+02 9.508841e+03
2.492580e+02 8.915034e+03
2.542544e+02 8.381854e+03
2.593509e+02 7.917782e+03
2.645495e+02 7.485723e+03
2.698524e+02 7.037676e+03
2.752616e+02 6.638441e+03
2.807792e+02 6.242620e+03
2.864074e+02 5.843731e+03
2.921484e+02 5.475625e+03
2.980045e+02 5.118463e+03
3.039780e+02 4.769054e+03
3.100712e+02 4.450311e+03
3.162865e+02 4.194447e+03
3.226265e+02 3.958098e+03
3.290935e+02 3.707082e+03
3.356901e+02 3.460929e+03
3.424190e+02 3.231064e+03
3.492828e+02 3.024697e+03
3.562841e+02 2.849350e+03
3.634258e+02 2.687541e+03
3.707107e+02 2.537164e+03
3.781415e+02 2.372715e+03
3.857213e+02 2.224341e+03
3.934531e+02 2.085186e+03
4.013398e+02 1.952453e+03
4.093847e+02 1.828482e+03
4.175907e+02 1.717744e+03
4.259613e+02 1.618617e+03
4.344997e+02 1.514979e+03
4.432092e+02 1.417901e+03
4.520933e+02 1.327046e+03
4.611555e+02 1.242015e+03
4.703993e+02 1.162434e+03
4.798284e+02 1.090243e+03
4.894465e+02 1.022393e+03
4.992574e+02 9.565230e+02
5.092650e+02 8.932963e+02
5.194732e+02 8.342187e+02
5.298860e+02 7.790193e+02
5.405075e+02 7.274449e+02
5.513420e+02 6.792586e+02
5.623936e+02 6.342390e+02
5.736667e+02 5.921794e+02
5.851658e+02 5.528860e+02
5.968954e+02 5.161782e+02
6.088601e+02 4.818867e+02
6.210647e+02 4.498534e+02
6.335139e+02 4.199307e+02
6.462126e+02 3.919802e+02
6.591659e+02 3.658730e+02
6.723788e+02 3.414881e+02
6.858566e+02 3.187128e+02
6.996046e+02 2.987263e+02
7.136281e+02 2.811011e+02
7.279327e+02 2.645775e+02
7.425240e+02 2.492811e+02
7.574079e+02 2.345860e+02
7.725901e+02 2.189917e+02
7.880766e+02 2.044247e+02
8.038735e+02 1.908179e+02
8.199871e+02 1.781082e+02
8.364237e+02 1.662370e+02
8.531897e+02 1.551492e+02
8.702918e+02 1.441673e+02
8.877368e+02 1.339474e+02
9.055314e+02 1.244434e+02
9.236827e+02 1.157999e+02
9.421978e+02 1.078579e+02
9.610841e+02 1.007615e+02
9.803490e+02 9.413806e+01
1.000000e+03 8.767096e+01
