# E(MeV) Phi16 Phi84
5.000000e-02 6.722570e+11 1.025399e+12
5.100225e-02 6.558314e+11 9.971768e+11
5.202458e-02 6.398821e+11 9.707314e+11
5.306741e-02 6.244937e+11 9.448134e+11
5.413114e-02 6.093998e+11 9.196824e+11
5.521620e-02 5.941042e+11 8.948181e+11
5.632300e-02 5.793980e+11 8.703568e+11
5.745199e-02 5.650820e+11 8.472266e+11
5.860361e-02 5.511194e+11 8.249359e+11
5.977832e-02 5.381916e+11 8.031306e+11
6.097657e-02 5.258236e+11 7.822888e+11
6.219884e-02 5.132164e+11 7.611248e+11
6.344561e-02 5.000241e+11 7.409405e+11
6.471737e-02 4.870878e+11 7.207297e+11
6.601463e-02 4.758802e+11 7.008415e+11
6.733789e-02 4.641447e+11 6.821655e+11
6.868767e-02 4.531425e+11 6.634115e+11
7.006451e-02 4.420018e+11 6.448058e+11
7.146895e-02 4.315377e+11 6.274766e+11
7.290154e-02 4.213192e+11 6.107768e+11
7.436284e-02 4.106125e+11 5.944940e+11
7.585344e-02 4.002737e+11 5.786141e+11
7.737392e-02 3.903820e+11 5.632017e+11
7.892487e-02 3.813598e+11 5.482791e+11
8.050691e-02 3.725450e+11 5.335164e+11
8.212067e-02 3.637602e+11 5.193824e+11
8.376677e-02 3.548914e+11 5.053041e+11
8.544587e-02 3.459045e+11 4.913496e+11
8.715862e-02 3.371940e+11 4.785466e+11
8.890571e-02 3.287024e+11 4.650180e+11
9.068782e-02 3.207984e+11 4.522115e+11
9.250565e-02 3.132762e+11 4.398459e+11
9.435992e-02 3.059398e+11 4.280774e+11
9.625136e-02 2.982258e+11 4.171304e+11
9.818071e-02 2.909699e+11 4.059825e+11
1.001487e-01 2.834720e+11 3.947722e+11
1.021562e-01 2.764590e+11 3.841565e+11
1.042039e-01 2.696246e+11 3.738393e+11
1.062927e-01 2.630510e+11 3.635368e+11
1.084233e-01 2.566769e+11 3.536765e+11
1.105966e-01 2.504212e+11 3.446920e+11
1.128135e-01 2.440312e+11 3.358257e+11
1.150749e-01 2.378634e+11 3.267880e+11
1.173816e-01 2.319413e+11 3.183893e+11
1.197345e-01 2.261650e+11 3.101583e+11
1.221345e-01 2.204369e+11 3.018394e+11
1.245827e-01 2.146711e+11 2.939265e+11
1.270800e-01 2.094658e+11 2.863902e+11
1.296273e-01 2.045902e+11 2.785571e+11
1.322256e-01 1.997438e+11 2.714463e+11
1.348761e-01 1.945765e+11 2.648222e+11
1.375797e-01 1.897592e+11 2.581003e+11
1.403374e-01 1.852057e+11 2.512268e+11
1.431505e-01 1.808620e+11 2.442480e+11
1.460199e-01 1.766159e+11 2.374468e+11
1.489469e-01 1.722197e+11 2.308587e+11
1.519325e-01 1.678504e+11 2.244943e+11
1.549780e-01 1.634594e+11 2.181294e+11
1.580845e-01 1.592432e+11 2.121999e+11
1.612533e-01 1.555193e+11 2.062837e+11
1.644856e-01 1.516419e+11 2.007309e+11
1.677827e-01 1.478386e+11 1.953946e+11
1.711459e-01 1.441364e+11 1.903465e+11
1.745765e-01 1.402457e+11 1.854138e+11
1.780759e-01 1.366973e+11 1.803843e+11
1.816454e-01 1.332165e+11 1.754921e+11
1.852865e-01 1.297949e+11 1.710808e+11
1.890005e-01 1.264956e+11 1.667804e+11
1.927890e-01 1.234058e+11 1.624382e+11
1.966535e-01 1.203225e+11 1.580123e+11
2.005954e-01 1.173225e+11 1.534312e+11
2.046163e-01 1.145694e+11 1.495669e+11
2.087178e-01 1.118265e+11 1.455383e+11
2.129015e-01 1.090016e+11 1.419168e+11
2.171691e-01 1.062747e+11 1.382043e+11
2.215223e-01 1.035686e+11 1.344915e+11
2.259627e-01 1.008954e+11 1.309512e+11
2.304921e-01 9.836396e+10 1.274968e+11
2.351123e-01 9.590996e+10 1.241032e+11
2.398251e-01 9.348364e+10 1.209178e+11
2.446324e-01 9.104575e+10 1.176666e+11
2.495360e-01 8.870248e+10 1.144468e+11
2.545379e-01 8.637550e+10 1.113753e+11
2.596401e-01 8.422857e+10 1.082622e+11
2.648446e-01 8.206249e+10 1.053616e+11
2.701534e-01 7.996707e+10 1.025733e+11
2.755686e-01 7.788266e+10 9.984419e+10
2.810923e-01 7.580776e+10 9.717060e+10
2.867268e-01 7.383998e+10 9.448917e+10
2.924742e-01 7.196123e+10 9.195292e+10
2.983368e-01 7.011200e+10 8.958802e+10
3.043170e-01 6.833038e+10 8.724815e+10
3.104170e-01 6.662793e+10 8.487586e+10
3.166393e-01 6.481540e+10 8.262442e+10
3.229863e-01 6.313755e+10 8.048357e+10
3.294605e-01 6.149724e+10 7.827474e+10
3.360645e-01 5.987147e+10 7.620810e+10
3.428009e-01 5.832547e+10 7.416148e+10
3.496723e-01 5.679633e+10 7.226188e+10
3.566815e-01 5.532848e+10 7.032249e+10
3.638311e-01 5.395086e+10 6.851206e+10
3.711241e-01 5.251892e+10 6.675403e+10
3.785633e-01 5.110293e+10 6.503927e+10
3.861515e-01 4.971277e+10 6.334579e+10
3.938919e-01 4.842888e+10 6.171932e+10
4.017874e-01 4.718604e+10 6.014493e+10
4.098412e-01 4.594972e+10 5.853950e+10
4.180565e-01 4.476579e+10 5.699459e+10
4.264364e-01 4.355242e+10 5.556842e+10
4.349843e-01 4.236431e+10 5.409475e+10
