# E(MeV) Fluence
5.000000e-02 8.269850e+11
5.100225e-02 8.063714e+11
5.202458e-02 7.863495e+11
5.306741e-02 7.664463e+11
5.413114e-02 7.473155e+11
5.521620e-02 7.286602e+11
5.632300e-02 7.110016e+11
5.745199e-02 6.932950e+11
5.860361e-02 6.752207e+11
5.977832e-02 6.576608e+11
6.097657e-02 6.405471e+11
6.219884e-02 6.245676e+11
6.344561e-02 6.081266e+11
6.471737e-02 5.927332e+11
6.601463e-02 5.774482e+11
6.733789e-02 5.625896e+11
6.868767e-02 5.480947e+11
7.006451e-02 5.340110e+11
7.146895e-02 5.199699e+11
7.290154e-02 5.061124e+11
7.436284e-02 4.926803e+11
7.585344e-02 4.800098e+11
7.737392e-02 4.677845e+11
7.892487e-02 4.561503e+11
8.050691e-02 4.446295e+11
8.212067e-02 4.334393e+11
8.376677e-02 4.224156e+11
8.544587e-02 4.118585e+11
8.715862e-02 4.012257e+11
8.890571e-02 3.907295e+11
9.068782e-02 3.810167e+11
9.250565e-02 3.708160e+11
9.435992e-02 3.613202e+11
9.625136e-02 3.519557e+11
9.818071e-02 3.431783e+11
1.001487e-01 3.343451e+11
1.021562e-01 3.256720e+11
1.042039e-01 3.170708e+11
1.062927e-01 3.089507e+11
1.084233e-01 3.009950e+11
1.105966e-01 2.934341e+11
1.128135e-01 2.860899e+11
1.150749e-01 2.785699e+11
1.173816e-01 2.715763e+11
1.197345e-01 2.644448e+11
1.221345e-01 2.579037e+11
1.245827e-01 2.514330e+11
1.270800e-01 2.452908e+11
1.296273e-01 2.388456e+11
1.322256e-01 2.326764e+11
1.348761e-01 2.266966e+11
1.375797e-01 2.210015e+11
1.403374e-01 2.153923e+11
1.431505e-01 2.098136e+11
1.460199e-01 2.042688e+11
1.489469e-01 1.989420e+11
1.519325e-01 1.938526e+11
1.549780e-01 1.889604e+11
1.580845e-01 1.839045e+11
1.612533e-01 1.791988e+11
1.644856e-01 1.745267e+11
1.677827e-01 1.700512e+11
1.711459e-01 1.657233e+11
1.745765e-01 1.615027e+11
1.780759e-01 1.573496e+11
1.816454e-01 1.532427e+11
1.852865e-01 1.492030e+11
1.890005e-01 1.453323e+11
1.927890e-01 1.415582e+11
1.966535e-01 1.378239e+11
2.005954e-01 1.341944e+11
2.046163e-01 1.306120e+11
2.087178e-01 1.272335e+11
2.129015e-01 1.238783e+11
2.171691e-01 1.208467e+11
2.215223e-01 1.177171e+11
2.259627e-01 1.147095e+11
2.304921e-01 1.118754e+11
2.351123e-01 1.089837e+11
2.398251e-01 1.061595e+11
2.446324e-01 1.033722e+11
2.495360e-01 1.007384e+11
2.545379e-01 9.805130e+10
2.596401e-01 9.554198e+10
2.648446e-01 9.300956e+10
2.701534e-01 9.059309e+10
2.755686e-01 8.820881e+10
2.810923e-01 8.587597e+10
2.867268e-01 8.366079e+10
2.924742e-01 8.141323e+10
2.983368e-01 7.926966e+10
3.043170e-01 7.722949e+10
3.104170e-01 7.525612e+10
3.166393e-01 7.335703e+10
3.229863e-01 7.144070e+10
3.294605e-01 6.957343e+10
3.360645e-01 6.778758e+10
3.428009e-01 6.605402e+10
3.496723e-01 6.433484e+10
3.566815e-01 6.260441e+10
3.638311e-01 6.094998e+10
3.711241e-01 5.932513e+10
3.785633e-01 5.778417e+10
3.861515e-01 5.625485e+10
3.938919e-01 5.477839e+10
4.017874e-01 5.335336e+10
4.098412e-01 5.199726e+10
4.180565e-01 5.065208e+10
4.264364e-01 4.931245e+10
4.349843e-01 4.800565e+10
4.437035e-01 4.676976e+10
4.525975e-01 4.554405e+10
4.616698e-01 4.428445e+10
4.709239e-01 4.310419e+10
4.803635e-01 4.196517e+10
4.899924e-01 4.085273e+10
4.998143e-01 3.976607e+10
5.098330e-01 3.870153e+10
5.200526e-01 3.769381e+10
5.304770e-01 3.671536e+10
5.411103e-01 3.571907e+10
5.519569e-01 3.475917e+10
5.630208e-01 3.384802e+10
5.743065e-01 3.292357e+10
5.858184e-01 3.202011e+10
5.975611e-01 3.117220e+10
6.095392e-01 3.035104e+10
6.217573e-01 2.956243e+10
6.342204e-01 2.877752e+10
6.469333e-01 2.798952e+10
6.599011e-01 2.721953e+10
6.731287e-01 2.649177e+10
