# Energy(MeV) Phi16 Phi84
5.000000e-02 1.650762e+11 2.449873e+11
5.100225e-02 1.611465e+11 2.387198e+11
5.202458e-02 1.573871e+11 2.325763e+11
5.306741e-02 1.537124e+11 2.266236e+11
5.413114e-02 1.500875e+11 2.205055e+11
5.521620e-02 1.464529e+11 2.145418e+11
5.632300e-02 1.430294e+11 2.088427e+11
5.745199e-02 1.395979e+11 2.035677e+11
5.860361e-02 1.363292e+11 1.983445e+11
5.977832e-02 1.332657e+11 1.932208e+11
6.097657e-02 1.300532e+11 1.882348e+11
6.219884e-02 1.268317e+11 1.833919e+11
6.344561e-02 1.236918e+11 1.786732e+11
6.471737e-02 1.206600e+11 1.740690e+11
6.601463e-02 1.177518e+11 1.695682e+11
6.733789e-02 1.148679e+11 1.649245e+11
6.868767e-02 1.120557e+11 1.603444e+11
7.006451e-02 1.093229e+11 1.559228e+11
7.146895e-02 1.066422e+11 1.518012e+11
7.290154e-02 1.040425e+11 1.479225e+11
7.436284e-02 1.014743e+11 1.442647e+11
7.585344e-02 9.900841e+10 1.406629e+11
7.737392e-02 9.665683e+10 1.368390e+11
7.892487e-02 9.435170e+10 1.328660e+11
8.050691e-02 9.210977e+10 1.291612e+11
8.212067e-02 8.993935e+10 1.257640e+11
8.376677e-02 8.778913e+10 1.224701e+11
8.544587e-02 8.569060e+10 1.192702e+11
8.715862e-02 8.367867e+10 1.161551e+11
8.890571e-02 8.171368e+10 1.131184e+11
9.068782e-02 7.973234e+10 1.099048e+11
9.250565e-02 7.782009e+10 1.069098e+11
9.435992e-02 7.590070e+10 1.040694e+11
9.625136e-02 7.408084e+10 1.014116e+11
9.818071e-02 7.224371e+10 9.872394e+10
1.001487e-01 7.051125e+10 9.617723e+10
1.021562e-01 6.881967e+10 9.377440e+10
1.042039e-01 6.717179e+10 9.126771e+10
1.062927e-01 6.556412e+10 8.889106e+10
1.084233e-01 6.397728e+10 8.665110e+10
1.105966e-01 6.250268e+10 8.442350e+10
1.128135e-01 6.097341e+10 8.211538e+10
1.150749e-01 5.946962e+10 7.995906e+10
1.173816e-01 5.803841e+10 7.788563e+10
1.197345e-01 5.666012e+10 7.589968e+10
1.221345e-01 5.525931e+10 7.402556e+10
1.245827e-01 5.394314e+10 7.215157e+10
1.270800e-01 5.264629e+10 7.017902e+10
1.296273e-01 5.131957e+10 6.835188e+10
1.322256e-01 5.010596e+10 6.657762e+10
1.348761e-01 4.892965e+10 6.485144e+10
1.375797e-01 4.775132e+10 6.316270e+10
1.403374e-01 4.653422e+10 6.147839e+10
1.431505e-01 4.536731e+10 5.988376e+10
1.460199e-01 4.424640e+10 5.833143e+10
1.489469e-01 4.314217e+10 5.682301e+10
1.519325e-01 4.211046e+10 5.534719e+10
1.549780e-01 4.111335e+10 5.390950e+10
1.580845e-01 4.007294e+10 5.248803e+10
1.612533e-01 3.911687e+10 5.111407e+10
1.644856e-01 3.815915e+10 4.978835e+10
1.677827e-01 3.718204e+10 4.845385e+10
1.711459e-01 3.629564e+10 4.720920e+10
1.745765e-01 3.535084e+10 4.597858e+10
1.780759e-01 3.446310e+10 4.475952e+10
1.816454e-01 3.362233e+10 4.359363e+10
1.852865e-01 3.276834e+10 4.246789e+10
1.890005e-01 3.195029e+10 4.135351e+10
1.927890e-01 3.121204e+10 4.027090e+10
1.966535e-01 3.045794e+10 3.922920e+10
2.005954e-01 2.974205e+10 3.820539e+10
2.046163e-01 2.900174e+10 3.719028e+10
2.087178e-01 2.821995e+10 3.622385e+10
2.129015e-01 2.752535e+10 3.529000e+10
2.171691e-01 2.685870e+10 3.434962e+10
2.215223e-01 2.622718e+10 3.345309e+10
2.259627e-01 2.557296e+10 3.255436e+10
2.304921e-01 2.489669e+10 3.170686e+10
2.351123e-01 2.425022e+10 3.085284e+10
2.398251e-01 2.365448e+10 3.005754e+10
2.446324e-01 2.307233e+10 2.926544e+10
2.495360e-01 2.248744e+10 2.850936e+10
2.545379e-01 2.192892e+10 2.777465e+10
2.596401e-01 2.136703e+10 2.707818e+10
2.648446e-01 2.082060e+10 2.636377e+10
2.701534e-01 2.030123e+10 2.567007e+10
2.755686e-01 1.977231e+10 2.499845e+10
2.810923e-01 1.927054e+10 2.434379e+10
2.867268e-01 1.877507e+10 2.372944e+10
2.924742e-01 1.827947e+10 2.312089e+10
2.983368e-01 1.779843e+10 2.251990e+10
3.043170e-01 1.735728e+10 2.192589e+10
3.104170e-01 1.692629e+10 2.135192e+10
3.166393e-01 1.650948e+10 2.080271e+10
3.229863e-01 1.608819e+10 2.025375e+10
3.294605e-01 1.568457e+10 1.973006e+10
3.360645e-01 1.527987e+10 1.922283e+10
3.428009e-01 1.488246e+10 1.871703e+10
3.496723e-01 1.449619e+10 1.824628e+10
3.566815e-01 1.412215e+10 1.778660e+10
3.638311e-01 1.375149e+10 1.733049e+10
3.711241e-01 1.338894e+10 1.688365e+10
3.785633e-01 1.304595e+10 1.646541e+10
3.861515e-01 1.270135e+10 1.603897e+10
3.938919e-01 1.237137e+10 1.561543e+10
4.017874e-01 1.204663e+10 1.521880e+10
4.098412e-01 1.173570e+10 1.482106e+10
4.180565e-01 1.144098e+10 1.444107e+10
4.264364e-01 1.115485e+10 1.407702e+10
4.349843e-01 1.085015e+10 1.372928e+10
4.437035e-01 1.056728e+10 1.338164e+10
4.525975e-01 1.029336e+10 1.304274e+10
4.616698e-01 1.001717e+10 1.271930e+10
4.709239e-01 9.753974e+09 1.239693e+10
4.803635e-01 9.504570e+09 1.208266e+10
4.899924e-01 9.261027e+09 1.177248e+10
4.998143e-01 9.006035e+09 1.147177e+10
5.098330e-01 8.776203e+09 1.117371e+10
5.200526e-01 8.541018e+09 1.089146e+10
5.304770e-01 8.311638e+09 1.060922e+10
5.411103e-01 8.091701e+09 1.033399e+10
5.519569e-01 7.876954e+09 1.006055e+10
5.630208e-01 7.666079e+09 9.805678e+09
5.743065e-01 7.455534e+09 9.554678e+09
5.858184e-01 7.261485e+09 9.309930e+09
5.975611e-01 7.069810e+09 9.073687e+09
6.095392e-01 6.880080e+09 8.839390e+09
6.217573e-01 6.692641e+09 8.616084e+09
6.342204e-01 6.511896e+09 8.390370e+09
6.469333e-01 6.336319e+09 8.169606e+09
6.599011e-01 6.164214e+09 7.960122e+09
6.731287e-01 6.001205e+09 7.755240e+09
6.866215e-01 5.843282e+09 7.553361e+09
7.003848e-01 5.687177e+09 7.354998e+09
7.144240e-01 5.539039e+09 7.158473e+09
7.287445e-01 5.390175e+09 6.975716e+09
7.433522e-01 5.246381e+09 6.795651e+09
7.582526e-01 5.106031e+09 6.621941e+09
7.734517e-01 4.962787e+09 6.453404e+09
7.889555e-01 4.829790e+09 6.284406e+09
8.047701e-01 4.698918e+09 6.118243e+09
8.209016e-01 4.564765e+09 5.958094e+09
8.373565e-01 4.439719e+09 5.805778e+09
8.541413e-01 4.325507e+09 5.651387e+09
8.712625e-01 4.206468e+09 5.501023e+09
8.887268e-01 4.091304e+09 5.358866e+09
9.065413e-01 3.980399e+09 5.214389e+09
9.247129e-01 3.874252e+09 5.075756e+09
9.432487e-01 3.768281e+09 4.942975e+09
9.621560e-01 3.663611e+09 4.808548e+09
9.814423e-01 3.562910e+09 4.682130e+09
1.001115e+00 3.463120e+09 4.556119e+09
1.021183e+00 3.367155e+09 4.433381e+09
1.041652e+00 3.275461e+09 4.317687e+09
1.062532e+00 3.185419e+09 4.200586e+09
1.083830e+00 3.093024e+09 4.089401e+09
1.105556e+00 3.006319e+09 3.975304e+09
1.127716e+00 2.923689e+09 3.870232e+09
