# Energy(MeV) Phi16 Phi84
5.000000e-02 6.603048e+11 9.799493e+11
5.100225e-02 6.445861e+11 9.548791e+11
5.202458e-02 6.295485e+11 9.303053e+11
5.306741e-02 6.148498e+11 9.064943e+11
5.413114e-02 6.003500e+11 8.820218e+11
5.521620e-02 5.858115e+11 8.581670e+11
5.632300e-02 5.721178e+11 8.353708e+11
5.745199e-02 5.583914e+11 8.142706e+11
5.860361e-02 5.453168e+11 7.933779e+11
5.977832e-02 5.330628e+11 7.728832e+11
6.097657e-02 5.202128e+11 7.529393e+11
6.219884e-02 5.073268e+11 7.335677e+11
6.344561e-02 4.947673e+11 7.146929e+11
6.471737e-02 4.826401e+11 6.962759e+11
6.601463e-02 4.710071e+11 6.782726e+11
6.733789e-02 4.594716e+11 6.596979e+11
6.868767e-02 4.482229e+11 6.413775e+11
7.006451e-02 4.372916e+11 6.236912e+11
7.146895e-02 4.265687e+11 6.072047e+11
7.290154e-02 4.161699e+11 5.916898e+11
7.436284e-02 4.058972e+11 5.770586e+11
7.585344e-02 3.960336e+11 5.626515e+11
7.737392e-02 3.866273e+11 5.473562e+11
7.892487e-02 3.774068e+11 5.314640e+11
8.050691e-02 3.684391e+11 5.166448e+11
8.212067e-02 3.597574e+11 5.030562e+11
8.376677e-02 3.511565e+11 4.898805e+11
8.544587e-02 3.427624e+11 4.770807e+11
8.715862e-02 3.347147e+11 4.646204e+11
8.890571e-02 3.268547e+11 4.524737e+11
9.068782e-02 3.189294e+11 4.396193e+11
9.250565e-02 3.112804e+11 4.276392e+11
9.435992e-02 3.036028e+11 4.162777e+11
9.625136e-02 2.963234e+11 4.056462e+11
9.818071e-02 2.889748e+11 3.948958e+11
1.001487e-01 2.820450e+11 3.847089e+11
1.021562e-01 2.752787e+11 3.750976e+11
1.042039e-01 2.686872e+11 3.650708e+11
1.062927e-01 2.622565e+11 3.555642e+11
1.084233e-01 2.559091e+11 3.466044e+11
1.105966e-01 2.500107e+11 3.376940e+11
1.128135e-01 2.438936e+11 3.284615e+11
1.150749e-01 2.378785e+11 3.198363e+11
1.173816e-01 2.321536e+11 3.115425e+11
1.197345e-01 2.266405e+11 3.035987e+11
1.221345e-01 2.210372e+11 2.961022e+11
1.245827e-01 2.157726e+11 2.886063e+11
1.270800e-01 2.105852e+11 2.807161e+11
1.296273e-01 2.052783e+11 2.734075e+11
1.322256e-01 2.004238e+11 2.663105e+11
1.348761e-01 1.957186e+11 2.594058e+11
1.375797e-01 1.910053e+11 2.526508e+11
1.403374e-01 1.861369e+11 2.459135e+11
1.431505e-01 1.814692e+11 2.395350e+11
1.460199e-01 1.769856e+11 2.333257e+11
1.489469e-01 1.725687e+11 2.272920e+11
1.519325e-01 1.684419e+11 2.213887e+11
1.549780e-01 1.644534e+11 2.156380e+11
1.580845e-01 1.602917e+11 2.099521e+11
1.612533e-01 1.564675e+11 2.044563e+11
1.644856e-01 1.526366e+11 1.991534e+11
1.677827e-01 1.487282e+11 1.938154e+11
1.711459e-01 1.451826e+11 1.888368e+11
1.745765e-01 1.414034e+11 1.839143e+11
1.780759e-01 1.378524e+11 1.790381e+11
1.816454e-01 1.344893e+11 1.743745e+11
1.852865e-01 1.310734e+11 1.698716e+11
1.890005e-01 1.278011e+11 1.654141e+11
1.927890e-01 1.248482e+11 1.610836e+11
