# Energy(MeV) Phi16 Phi84
5.000000e-02 1.680660e+11 2.563482e+11
5.049814e-02 1.660165e+11 2.527808e+11
5.100123e-02 1.639625e+11 2.493005e+11
5.150934e-02 1.619541e+11 2.459764e+11
5.202252e-02 1.599788e+11 2.426966e+11
5.254080e-02 1.580410e+11 2.394713e+11
5.306425e-02 1.561324e+11 2.362227e+11
5.359291e-02 1.542114e+11 2.330757e+11
5.412684e-02 1.523658e+11 2.299464e+11
5.466609e-02 1.504597e+11 2.268548e+11
5.521071e-02 1.485451e+11 2.237365e+11
5.576076e-02 1.466930e+11 2.206601e+11
5.631629e-02 1.448713e+11 2.176255e+11
5.687735e-02 1.430722e+11 2.147078e+11
5.744400e-02 1.412953e+11 2.118471e+11
5.801630e-02 1.395405e+11 2.090527e+11
5.859430e-02 1.378075e+11 2.062796e+11
5.917806e-02 1.361476e+11 2.035334e+11
5.976763e-02 1.345758e+11 2.008294e+11
6.036308e-02 1.330221e+11 1.982429e+11
6.096446e-02 1.314863e+11 1.956258e+11
6.157183e-02 1.299680e+11 1.929432e+11
6.218525e-02 1.283421e+11 1.903387e+11
6.280478e-02 1.266789e+11 1.878037e+11
6.343049e-02 1.250455e+11 1.852965e+11
6.406243e-02 1.234111e+11 1.827673e+11
6.470066e-02 1.218081e+11 1.802489e+11
6.534526e-02 1.204463e+11 1.777650e+11
6.599627e-02 1.190142e+11 1.752809e+11
6.665377e-02 1.175014e+11 1.728520e+11
6.731782e-02 1.160779e+11 1.706070e+11
6.798849e-02 1.146929e+11 1.683178e+11
6.866584e-02 1.133283e+11 1.659304e+11
6.934994e-02 1.119159e+11 1.635767e+11
7.004085e-02 1.105464e+11 1.612785e+11
7.073865e-02 1.092314e+11 1.590739e+11
7.144339e-02 1.079319e+11 1.569450e+11
7.215516e-02 1.066477e+11 1.548445e+11
7.287402e-02 1.053787e+11 1.527721e+11
7.360005e-02 1.040373e+11 1.507274e+11
7.433330e-02 1.027070e+11 1.487041e+11
7.507386e-02 1.014021e+11 1.467066e+11
7.582180e-02 1.001223e+11 1.447359e+11
7.657719e-02 9.885866e+10 1.427916e+11
7.734011e-02 9.764468e+10 1.408828e+11
7.811062e-02 9.651090e+10 1.390180e+11
7.888881e-02 9.539022e+10 1.371555e+11
7.967476e-02 9.427490e+10 1.352796e+11
8.046854e-02 9.318755e+10 1.334654e+11
8.127022e-02 9.210302e+10 1.316625e+11
8.207989e-02 9.099386e+10 1.299325e+11
8.289763e-02 8.988664e+10 1.282077e+11
8.372351e-02 8.878290e+10 1.264244e+11
8.455763e-02 8.764917e+10 1.246280e+11
8.540005e-02 8.653551e+10 1.229227e+11
8.625086e-02 8.544012e+10 1.213364e+11
8.711015e-02 8.435856e+10 1.197366e+11
8.797801e-02 8.329066e+10 1.179555e+11
8.885451e-02 8.223625e+10 1.163395e+11
8.973974e-02 8.120295e+10 1.148469e+11
9.063379e-02 8.025479e+10 1.131551e+11
9.153674e-02 7.925936e+10 1.115588e+11
9.244870e-02 7.837150e+10 1.100518e+11
9.336974e-02 7.745100e+10 1.085158e+11
9.429995e-02 7.654927e+10 1.071075e+11
9.523943e-02 7.556508e+10 1.057318e+11
9.618827e-02 7.461614e+10 1.043721e+11
9.714657e-02 7.371681e+10 1.029888e+11
9.811441e-02 7.280791e+10 1.015908e+11
9.909190e-02 7.186215e+10 1.001879e+11
1.000791e-01 7.093093e+10 9.878777e+10
1.010762e-01 7.004502e+10 9.743524e+10
1.020832e-01 6.917815e+10 9.613265e+10
1.031002e-01 6.831218e+10 9.485037e+10
1.041274e-01 6.746817e+10 9.354851e+10
1.051647e-01 6.664957e+10 9.224478e+10
1.062125e-01 6.582254e+10 9.097883e+10
1.072706e-01 6.501550e+10 8.973022e+10
