# Energy(MeV) Fluence_Total
5.000000e-02 2.067451e+11
5.049814e-02 2.041598e+11
5.100123e-02 2.015964e+11
5.150934e-02 1.990858e+11
5.202252e-02 1.965961e+11
5.254080e-02 1.941360e+11
5.306425e-02 1.916253e+11
5.359291e-02 1.892411e+11
5.412684e-02 1.868469e+11
5.466609e-02 1.845025e+11
5.521071e-02 1.821873e+11
5.576076e-02 1.799669e+11
5.631629e-02 1.777768e+11
5.687735e-02 1.755615e+11
5.744400e-02 1.733554e+11
5.801630e-02 1.710748e+11
5.859430e-02 1.688404e+11
5.917806e-02 1.666206e+11
5.976763e-02 1.644522e+11
6.036308e-02 1.622976e+11
6.096446e-02 1.601787e+11
6.157183e-02 1.581826e+11
6.218525e-02 1.561865e+11
6.280478e-02 1.541454e+11
6.343049e-02 1.520814e+11
6.406243e-02 1.500878e+11
6.470066e-02 1.482350e+11
6.534526e-02 1.462729e+11
6.599627e-02 1.444123e+11
6.665377e-02 1.425173e+11
6.731782e-02 1.407015e+11
6.798849e-02 1.389151e+11
6.866584e-02 1.370819e+11
6.934994e-02 1.353023e+11
7.004085e-02 1.335639e+11
7.073865e-02 1.318130e+11
7.144339e-02 1.300547e+11
7.215516e-02 1.283259e+11
7.287402e-02 1.265953e+11
7.360005e-02 1.248848e+11
7.433330e-02 1.232338e+11
7.507386e-02 1.216494e+11
7.582180e-02 1.200689e+11
7.657719e-02 1.185203e+11
7.734011e-02 1.170103e+11
7.811062e-02 1.155566e+11
7.888881e-02 1.141041e+11
7.967476e-02 1.126393e+11
8.046854e-02 1.112251e+11
8.127022e-02 1.098359e+11
8.207989e-02 1.084340e+11
8.289763e-02 1.070118e+11
8.372351e-02 1.056689e+11
8.455763e-02 1.043255e+11
8.540005e-02 1.030343e+11
8.625086e-02 1.017221e+11
8.711015e-02 1.003818e+11
8.797801e-02 9.903663e+10
8.885451e-02 9.775389e+10
8.973974e-02 9.657622e+10
9.063379e-02 9.532887e+10
9.153674e-02 9.405407e+10
9.244870e-02 9.278257e+10
9.336974e-02 9.157562e+10
9.429995e-02 9.040094e+10
9.523943e-02 8.925357e+10
9.618827e-02 8.806352e+10
9.714657e-02 8.694574e+10
9.811441e-02 8.586688e+10
9.909190e-02 8.475791e+10
1.000791e-01 8.366567e+10
1.010762e-01 8.256001e+10
1.020832e-01 8.149673e+10
1.031002e-01 8.041942e+10
1.041274e-01 7.934534e+10
1.051647e-01 7.831999e+10
1.062125e-01 7.731307e+10
1.072706e-01 7.632957e+10
1.083393e-01 7.532856e+10
1.094187e-01 7.436542e+10
1.105088e-01 7.343230e+10
1.116098e-01 7.251981e+10
1.127217e-01 7.160131e+10
1.138447e-01 7.061992e+10
1.149789e-01 6.971447e+10
1.161244e-01 6.886675e+10
1.172813e-01 6.797344e+10
1.184498e-01 6.707917e+10
1.196298e-01 6.619102e+10
1.208217e-01 6.534479e+10
1.220254e-01 6.454730e+10
1.232411e-01 6.373765e+10
1.244689e-01 6.292774e+10
1.257089e-01 6.216798e+10
1.269613e-01 6.140156e+10
1.282262e-01 6.056933e+10
1.295037e-01 5.978504e+10
1.307939e-01 5.900428e+10
1.320970e-01 5.823922e+10
1.334130e-01 5.750401e+10
1.347422e-01 5.675283e+10
1.360846e-01 5.605029e+10
1.374403e-01 5.532739e+10
1.388096e-01 5.461650e+10
1.401925e-01 5.391817e+10
1.415892e-01 5.322668e+10
1.429998e-01 5.252579e+10
1.444245e-01 5.180962e+10
1.458634e-01 5.113702e+10
1.473166e-01 5.047996e+10
1.487842e-01 4.980405e+10
1.502665e-01 4.916050e+10
1.517636e-01 4.853356e+10
1.532756e-01 4.791145e+10
1.548026e-01 4.730864e+10
1.563448e-01 4.667661e+10
1.579025e-01 4.604691e+10
1.594756e-01 4.545047e+10
1.610644e-01 4.486810e+10
1.626690e-01 4.428400e+10
1.642897e-01 4.370112e+10
1.659264e-01 4.314451e+10
1.675795e-01 4.258150e+10
1.692491e-01 4.203826e+10
1.709352e-01 4.149910e+10
1.726382e-01 4.096549e+10
1.743582e-01 4.044526e+10
1.760952e-01 3.991815e+10
1.778496e-01 3.940223e+10
1.796215e-01 3.889548e+10
1.814110e-01 3.837445e+10
1.832183e-01 3.787012e+10
1.850437e-01 3.735842e+10
1.868872e-01 3.688387e+10
1.887491e-01 3.639625e+10
1.906296e-01 3.593411e+10
1.925288e-01 3.545066e+10
1.944469e-01 3.498707e+10
1.963841e-01 3.451978e+10
1.983406e-01 3.406053e+10
2.003166e-01 3.361212e+10
2.023123e-01 3.314786e+10
2.043279e-01 3.271663e+10
2.063635e-01 3.229738e+10
2.084195e-01 3.186886e+10
2.104959e-01 3.144797e+10
2.125930e-01 3.102560e+10
2.147110e-01 3.065034e+10
2.168501e-01 3.027056e+10
2.190105e-01 2.988764e+10
2.211925e-01 2.949028e+10
2.233961e-01 2.909170e+10
2.256218e-01 2.873038e+10
2.278696e-01 2.837447e+10
2.301398e-01 2.802398e+10
2.324326e-01 2.766192e+10
2.347482e-01 2.730163e+10
2.370870e-01 2.694782e+10
2.394490e-01 2.659645e+10
2.418345e-01 2.624599e+10
2.442439e-01 2.589920e+10
2.466772e-01 2.555692e+10
2.491348e-01 2.523538e+10
2.516168e-01 2.490550e+10
2.541236e-01 2.456408e+10
2.566554e-01 2.423789e+10
2.592123e-01 2.393687e+10
2.617948e-01 2.361995e+10
2.644030e-01 2.330874e+10
2.670371e-01 2.299593e+10
2.696976e-01 2.269902e+10
2.723845e-01 2.239918e+10
2.750982e-01 2.210278e+10
2.778389e-01 2.180985e+10
2.806069e-01 2.151941e+10
2.834025e-01 2.123910e+10
2.862260e-01 2.096204e+10
2.890775e-01 2.068481e+10
2.919575e-01 2.040308e+10
2.948662e-01 2.012656e+10
2.978039e-01 1.986439e+10
3.007708e-01 1.960528e+10
3.037673e-01 1.935366e+10
3.067937e-01 1.910110e+10
3.098501e-01 1.885788e+10
3.129371e-01 1.862205e+10
3.160548e-01 1.838585e+10
3.192035e-01 1.814120e+10
3.223837e-01 1.790750e+10
3.255955e-01 1.767490e+10
3.288393e-01 1.743677e+10
3.321154e-01 1.721549e+10
3.354242e-01 1.698886e+10
3.387659e-01 1.677355e+10
3.421410e-01 1.655396e+10
3.455496e-01 1.634273e+10
3.489922e-01 1.612733e+10
3.524691e-01 1.590669e+10
3.559807e-01 1.569292e+10
3.595272e-01 1.548190e+10
3.631090e-01 1.528081e+10
3.667266e-01 1.507893e+10
3.703802e-01 1.487172e+10
3.740702e-01 1.467676e+10
3.777969e-01 1.448512e+10
3.815608e-01 1.429242e+10
3.853622e-01 1.410223e+10
3.892014e-01 1.391212e+10
3.930789e-01 1.373207e+10
3.969950e-01 1.355263e+10
4.009502e-01 1.337498e+10
4.049447e-01 1.320038e+10
4.089791e-01 1.303387e+10
4.130536e-01 1.286468e+10
4.171687e-01 1.269859e+10
4.213249e-01 1.253368e+10
4.255224e-01 1.236536e+10
4.297618e-01 1.219844e+10
4.340433e-01 1.203875e+10
4.383676e-01 1.187726e+10
4.427349e-01 1.172443e+10
4.471458e-01 1.157742e+10
4.516005e-01 1.142157e+10
4.560997e-01 1.126680e+10
4.606437e-01 1.110788e+10
4.652329e-01 1.095301e+10
4.698679e-01 1.080872e+10
4.745491e-01 1.066334e+10
4.792769e-01 1.052286e+10
4.840518e-01 1.038123e+10
4.888742e-01 1.024442e+10
4.937447e-01 1.011196e+10
4.986638e-01 9.974489e+09
5.036318e-01 9.835366e+09
5.086493e-01 9.705542e+09
5.137168e-01 9.577328e+09
5.188349e-01 9.452160e+09
5.240038e-01 9.328235e+09
5.292243e-01 9.207663e+09
5.344968e-01 9.082647e+09
5.398219e-01 8.960063e+09
5.452000e-01 8.836008e+09
5.506316e-01 8.720509e+09
5.561174e-01 8.602652e+09
5.616578e-01 8.489487e+09
5.672535e-01 8.375587e+09
5.729048e-01 8.258850e+09
5.786125e-01 8.146391e+09
5.843771e-01 8.031754e+09
5.901990e-01 7.925680e+09
5.960790e-01 7.819226e+09
6.020176e-01 7.714488e+09
6.080153e-01 7.613054e+09
6.140728e-01 7.513337e+09
6.201906e-01 7.416399e+09
6.263694e-01 7.316403e+09
6.326097e-01 7.219106e+09
6.389122e-01 7.120104e+09
6.452775e-01 7.021898e+09
6.517062e-01 6.926387e+09
6.581990e-01 6.828679e+09
6.647564e-01 6.741314e+09
6.713792e-01 6.647874e+09
6.780679e-01 6.555739e+09
6.848233e-01 6.466186e+09
6.916460e-01 6.377419e+09
6.985367e-01 6.290792e+09
7.054960e-01 6.204046e+09
7.125246e-01 6.118671e+09
7.196233e-01 6.034996e+09
7.267927e-01 5.953697e+09
7.340335e-01 5.872310e+09
7.413465e-01 5.792305e+09
7.487323e-01 5.712862e+09
7.561917e-01 5.636462e+09
7.637254e-01 5.557966e+09
7.713341e-01 5.483422e+09
7.790187e-01 5.407895e+09
7.867798e-01 5.333164e+09
7.946183e-01 5.261518e+09
8.025348e-01 5.190299e+09
8.105303e-01 5.119969e+09
8.186053e-01 5.049706e+09
8.267608e-01 4.981517e+09
8.349976e-01 4.910655e+09
8.433165e-01 4.842696e+09
8.517182e-01 4.775427e+09
8.602036e-01 4.713061e+09
8.687735e-01 4.651654e+09
8.774289e-01 4.589454e+09
8.861704e-01 4.527068e+09
8.949991e-01 4.465342e+09
9.039157e-01 4.404557e+09
9.129211e-01 4.342548e+09
9.220163e-01 4.280747e+09
9.312021e-01 4.221104e+09
9.404793e-01 4.160563e+09
9.498491e-01 4.101386e+09
9.593121e-01 4.043891e+09
9.688695e-01 3.990955e+09
9.785220e-01 3.933368e+09
9.882707e-01 3.877173e+09
9.981166e-01 3.823834e+09
1.008061e+00 3.770300e+09
1.018104e+00 3.716549e+09
1.028247e+00 3.663381e+09
1.038491e+00 3.610866e+09
1.048837e+00 3.562117e+09
1.059286e+00 3.512324e+09
1.069839e+00 3.463202e+09
1.080498e+00 3.413985e+09
1.091263e+00 3.368650e+09
1.102135e+00 3.319269e+09
1.113115e+00 3.272489e+09
1.124204e+00 3.227092e+09
1.135405e+00 3.182423e+09
1.146716e+00 3.139743e+09
1.158141e+00 3.096904e+09
1.169679e+00 3.050926e+09
1.181332e+00 3.007658e+09
1.193101e+00 2.966889e+09
1.204988e+00 2.924747e+09
1.216993e+00 2.884738e+09
1.229117e+00 2.844522e+09
1.241363e+00 2.803344e+09
1.253730e+00 2.762225e+09
1.266220e+00 2.721895e+09
1.278835e+00 2.686055e+09
1.291576e+00 2.647563e+09
1.304444e+00 2.608309e+09
1.317439e+00 2.572327e+09
1.330565e+00 2.537078e+09
1.343821e+00 2.500904e+09
1.357209e+00 2.464155e+09
1.370730e+00 2.428986e+09
1.384386e+00 2.394639e+09
1.398179e+00 2.360181e+09
1.412108e+00 2.324516e+09
1.426177e+00 2.290486e+09
1.440385e+00 2.257710e+09
1.454735e+00 2.224598e+09
1.469229e+00 2.192501e+09
1.483866e+00 2.159827e+09
1.498649e+00 2.128870e+09
