# Energy(MeV) Phi16 Phi84
5.000000e-02 6.722641e+11 1.025393e+12
5.049814e-02 6.640660e+11 1.011123e+12
5.100123e-02 6.558498e+11 9.972021e+11
5.150934e-02 6.478163e+11 9.839057e+11
5.202252e-02 6.399152e+11 9.707862e+11
5.254080e-02 6.321640e+11 9.578850e+11
5.306425e-02 6.245296e+11 9.448907e+11
5.359291e-02 6.168457e+11 9.323029e+11
5.412684e-02 6.094631e+11 9.197858e+11
5.466609e-02 6.018388e+11 9.074192e+11
5.521071e-02 5.941806e+11 8.949461e+11
5.576076e-02 5.867722e+11 8.826403e+11
5.631629e-02 5.794853e+11 8.705021e+11
5.687735e-02 5.722887e+11 8.588313e+11
5.744400e-02 5.651813e+11 8.473883e+11
5.801630e-02 5.581619e+11 8.362107e+11
5.859430e-02 5.512300e+11 8.251184e+11
5.917806e-02 5.445904e+11 8.141336e+11
5.976763e-02 5.383034e+11 8.033175e+11
6.036308e-02 5.320885e+11 7.929718e+11
6.096446e-02 5.259450e+11 7.825033e+11
6.157183e-02 5.198720e+11 7.717728e+11
6.218525e-02 5.133684e+11 7.613546e+11
6.280478e-02 5.067156e+11 7.512147e+11
6.343049e-02 5.001818e+11 7.411860e+11
6.406243e-02 4.936443e+11 7.310693e+11
6.470066e-02 4.872326e+11 7.209956e+11
6.534526e-02 4.817852e+11 7.110600e+11
6.599627e-02 4.760568e+11 7.011235e+11
6.665377e-02 4.700055e+11 6.914080e+11
6.731782e-02 4.643117e+11 6.824280e+11
6.798849e-02 4.587716e+11 6.732714e+11
6.866584e-02 4.533133e+11 6.637215e+11
6.934994e-02 4.476636e+11 6.543069e+11
7.004085e-02 4.421857e+11 6.451139e+11
7.073865e-02 4.369257e+11 6.362954e+11
7.144339e-02 4.317276e+11 6.277799e+11
7.215516e-02 4.265909e+11 6.193782e+11
7.287402e-02 4.215148e+11 6.110886e+11
7.360005e-02 4.161491e+11 6.029097e+11
7.433330e-02 4.108279e+11 5.948165e+11
7.507386e-02 4.056084e+11 5.868265e+11
7.582180e-02 4.004894e+11 5.789437e+11
