# Energy(MeV) Fluence_Total
5.000000e-02 8.269802e+11
5.049814e-02 8.166393e+11
5.100123e-02 8.063858e+11
5.150934e-02 7.963431e+11
5.202252e-02 7.863846e+11
5.254080e-02 7.765441e+11
5.306425e-02 7.665010e+11
5.359291e-02 7.569643e+11
5.412684e-02 7.473877e+11
5.466609e-02 7.380098e+11
5.521071e-02 7.287491e+11
5.576076e-02 7.198676e+11
5.631629e-02 7.111072e+11
5.687735e-02 7.022461e+11
5.744400e-02 6.934215e+11
5.801630e-02 6.842992e+11
5.859430e-02 6.753616e+11
5.917806e-02 6.664825e+11
5.976763e-02 6.578088e+11
6.036308e-02 6.491905e+11
6.096446e-02 6.407147e+11
6.157183e-02 6.327303e+11
6.218525e-02 6.247462e+11
6.280478e-02 6.165815e+11
6.343049e-02 6.083254e+11
6.406243e-02 6.003512e+11
6.470066e-02 5.929400e+11
6.534526e-02 5.850917e+11
6.599627e-02 5.776491e+11
6.665377e-02 5.700692e+11
6.731782e-02 5.628060e+11
6.798849e-02 5.556602e+11
6.866584e-02 5.483278e+11
6.934994e-02 5.412092e+11
7.004085e-02 5.342556e+11
7.073865e-02 5.272520e+11
7.144339e-02 5.202189e+11
7.215516e-02 5.133034e+11
7.287402e-02 5.063811e+11
7.360005e-02 4.995390e+11
7.433330e-02 4.929352e+11
7.507386e-02 4.865975e+11
7.582180e-02 4.802756e+11
7.657719e-02 4.740811e+11
7.734011e-02 4.680413e+11
7.811062e-02 4.622265e+11
7.888881e-02 4.564162e+11
7.967476e-02 4.505573e+11
8.046854e-02 4.449005e+11
8.127022e-02 4.393436e+11
8.207989e-02 4.337361e+11
8.289763e-02 4.280471e+11
8.372351e-02 4.226757e+11
8.455763e-02 4.173022e+11
8.540005e-02 4.121372e+11
8.625086e-02 4.068882e+11
8.711015e-02 4.015271e+11
8.797801e-02 3.961465e+11
8.885451e-02 3.910155e+11
8.973974e-02 3.863049e+11
9.063379e-02 3.813155e+11
9.153674e-02 3.762163e+11
9.244870e-02 3.711303e+11
9.336974e-02 3.663025e+11
9.429995e-02 3.616037e+11
9.523943e-02 3.570143e+11
9.618827e-02 3.522541e+11
9.714657e-02 3.477829e+11
9.811441e-02 3.434675e+11
9.909190e-02 3.390316e+11
1.000791e-01 3.346627e+11
1.010762e-01 3.302400e+11
1.020832e-01 3.259869e+11
1.031002e-01 3.216777e+11
1.041274e-01 3.173814e+11
1.051647e-01 3.132800e+11
1.062125e-01 3.092523e+11
1.072706e-01 3.053183e+11
1.083393e-01 3.013142e+11
1.094187e-01 2.974617e+11
1.105088e-01 2.937292e+11
1.116098e-01 2.900792e+11
1.127217e-01 2.864053e+11
1.138447e-01 2.824797e+11
1.149789e-01 2.788579e+11
1.161244e-01 2.754670e+11
1.172813e-01 2.718938e+11
1.184498e-01 2.683167e+11
1.196298e-01 2.647641e+11
1.208217e-01 2.613792e+11
1.220254e-01 2.581892e+11
1.232411e-01 2.549506e+11
1.244689e-01 2.517109e+11
1.257089e-01 2.486719e+11
1.269613e-01 2.456063e+11
1.282262e-01 2.422773e+11
1.295037e-01 2.391401e+11
1.307939e-01 2.360171e+11
1.320970e-01 2.329569e+11
1.334130e-01 2.300161e+11
1.347422e-01 2.270113e+11
1.360846e-01 2.242012e+11
1.374403e-01 2.213096e+11
1.388096e-01 2.184660e+11
1.401925e-01 2.156727e+11
1.415892e-01 2.129067e+11
1.429998e-01 2.101031e+11
1.444245e-01 2.072385e+11
1.458634e-01 2.045481e+11
1.473166e-01 2.019198e+11
1.487842e-01 1.992162e+11
1.502665e-01 1.966420e+11
1.517636e-01 1.941343e+11
1.532756e-01 1.916458e+11
1.548026e-01 1.892346e+11
1.563448e-01 1.867064e+11
1.579025e-01 1.841876e+11
1.594756e-01 1.818019e+11
1.610644e-01 1.794724e+11
1.626690e-01 1.771360e+11
1.642897e-01 1.748045e+11
1.659264e-01 1.725780e+11
1.675795e-01 1.703260e+11
1.692491e-01 1.681530e+11
1.709352e-01 1.659964e+11
1.726382e-01 1.638619e+11
1.743582e-01 1.617810e+11
1.760952e-01 1.596726e+11
1.778496e-01 1.576089e+11
1.796215e-01 1.555819e+11
1.814110e-01 1.534978e+11
1.832183e-01 1.514805e+11
1.850437e-01 1.494337e+11
1.868872e-01 1.475355e+11
1.887491e-01 1.455850e+11
1.906296e-01 1.437364e+11
1.925288e-01 1.418026e+11
1.944469e-01 1.399483e+11
1.963841e-01 1.380791e+11
1.983406e-01 1.362421e+11
2.003166e-01 1.344485e+11
2.023123e-01 1.325914e+11
2.043279e-01 1.308665e+11
2.063635e-01 1.291895e+11
2.084195e-01 1.274754e+11
2.104959e-01 1.257919e+11
2.125930e-01 1.241024e+11
2.147110e-01 1.226014e+11
2.168501e-01 1.210822e+11
2.190105e-01 1.195506e+11
2.211925e-01 1.179611e+11
2.233961e-01 1.163668e+11
2.256218e-01 1.149215e+11
2.278696e-01 1.134979e+11
2.301398e-01 1.120959e+11
2.324326e-01 1.106477e+11
2.347482e-01 1.092065e+11
2.370870e-01 1.077913e+11
2.394490e-01 1.063858e+11
2.418345e-01 1.049839e+11
2.442439e-01 1.035968e+11
2.466772e-01 1.022277e+11
2.491348e-01 1.009415e+11
2.516168e-01 9.962202e+10
2.541236e-01 9.825632e+10
2.566554e-01 9.695155e+10
2.592123e-01 9.574748e+10
2.617948e-01 9.447980e+10
2.644030e-01 9.323497e+10
2.670371e-01 9.198373e+10
2.696976e-01 9.079607e+10
2.723845e-01 8.959671e+10
2.750982e-01 8.841112e+10
2.778389e-01 8.723942e+10
2.806069e-01 8.607763e+10
2.834025e-01 8.495640e+10
2.862260e-01 8.384818e+10
2.890775e-01 8.273923e+10
2.919575e-01 8.161231e+10
2.948662e-01 8.050622e+10
2.978039e-01 7.945757e+10
3.007708e-01 7.842112e+10
3.037673e-01 7.741463e+10
3.067937e-01 7.640439e+10
3.098501e-01 7.543153e+10
3.129371e-01 7.448819e+10
3.160548e-01 7.354340e+10
3.192035e-01 7.256479e+10
3.223837e-01 7.163002e+10
3.255955e-01 7.069959e+10
3.288393e-01 6.974708e+10
3.321154e-01 6.886197e+10
3.354242e-01 6.795544e+10
3.387659e-01 6.709421e+10
3.421410e-01 6.621584e+10
3.455496e-01 6.537093e+10
3.489922e-01 6.450933e+10
3.524691e-01 6.362678e+10
3.559807e-01 6.277170e+10
3.595272e-01 6.192761e+10
3.631090e-01 6.112325e+10
3.667266e-01 6.031573e+10
3.703802e-01 5.948688e+10
