# Energy(MeV) Fluence_4Pi(p/cm2)
1.000000e+00 3.981134e+10
1.013939e+00 6.646514e+07
1.028073e+00 2.218472e+05
1.042404e+00 7.404807e+02
1.056935e+00 2.471571e+00
1.071668e+00 8.249589e-03
1.086606e+00 2.753538e-05
1.101753e+00 9.190721e-08
1.117111e+00 3.067664e-10
1.132683e+00 1.023919e-12
1.148472e+00 3.417614e-15
1.164481e+00 1.140723e-17
1.180713e+00 3.807473e-20
1.197171e+00 1.270847e-22
1.213859e+00 4.241792e-25
1.230780e+00 1.415810e-27
1.247936e+00 4.725637e-30
1.265332e+00 1.577304e-32
1.282970e+00 5.264654e-35
1.300854e+00 1.757211e-37
1.318987e+00 5.865132e-40
1.337373e+00 1.957633e-42
1.356015e+00 6.534076e-45
1.374917e+00 2.180905e-47
1.394083e+00 7.279288e-50
1.413516e+00 2.429633e-52
1.433219e+00 8.109460e-55
1.453198e+00 2.706717e-57
1.473454e+00 9.034275e-60
1.493993e+00 3.015389e-62
1.514819e+00 1.006451e-64
1.535935e+00 3.359247e-67
1.557345e+00 1.121219e-69
1.579053e+00 3.742301e-72
1.601064e+00 1.249069e-74
1.623382e+00 4.169017e-77
1.646012e+00 1.391491e-79
1.668956e+00 4.644367e-82
1.692220e+00 1.550145e-84
1.715809e+00 5.173893e-87
1.739726e+00 1.726880e-89
1.763977e+00 5.763766e-92
1.788566e+00 1.923756e-94
1.813498e+00 6.420858e-97
1.838777e+00 2.143066e-99
1.864409e+00 7.152825e-102
1.890397e+00 2.387366e-104
1.916748e+00 7.968194e-107
1.943467e+00 2.659501e-109
1.970558e+00 8.876462e-112
1.998026e+00 2.962641e-114
2.025878e+00 9.888207e-117
2.054117e+00 3.300315e-119
2.082751e+00 1.101521e-121
2.111783e+00 3.676456e-124
2.141220e+00 1.227059e-126
2.171068e+00 4.095442e-129
2.201331e+00 1.366896e-131
2.232016e+00 4.562150e-134
2.263130e+00 1.522660e-136
2.294676e+00 5.082011e-139
2.326663e+00 1.696163e-141
2.359095e+00 5.661075e-144
2.391980e+00 1.889424e-146
2.425323e+00 6.306079e-149
2.459130e+00 2.104692e-151
2.493409e+00 7.024525e-154
2.528166e+00 2.344470e-156
2.563407e+00 7.824769e-159
2.599140e+00 2.611546e-161
2.635371e+00 8.716115e-164
2.672106e+00 2.909025e-166
2.709354e+00 9.708928e-169
2.747121e+00 3.240367e-171
2.785414e+00 1.081475e-173
2.824241e+00 3.609421e-176
2.863610e+00 1.204642e-178
2.903527e+00 4.020476e-181
2.944000e+00 1.341826e-183
2.985038e+00 4.478308e-186
3.026648e+00 1.494620e-188
3.068838e+00 4.988234e-191
3.111616e+00 1.664799e-193
3.154990e+00 5.556176e-196
3.198969e+00 1.854339e-198
3.243561e+00 6.188727e-201
3.288774e+00 2.065440e-203
3.334618e+00 6.893230e-206
3.381101e+00 2.300552e-208
3.428231e+00 7.677861e-211
3.476019e+00 2.562403e-213
3.524473e+00 8.551721e-216
3.573602e+00 2.854031e-218
3.623416e+00 9.524948e-221
3.673925e+00 3.178817e-223
3.725137e+00 1.060883e-225
3.777064e+00 3.540528e-228
3.829714e+00 1.181592e-230
3.883098e+00 3.943355e-233
3.937226e+00 1.316022e-235
3.992109e+00 4.391968e-238
4.047757e+00 1.465730e-240
4.104181e+00 4.891562e-243
4.161391e+00 1.632450e-245
4.219398e+00 5.447924e-248
4.278214e+00 1.818113e-250
4.337850e+00 6.067495e-253
4.398317e+00 2.024868e-255
4.459628e+00 6.757447e-258
4.521792e+00 2.255107e-260
4.584824e+00 7.525761e-263
4.648734e+00 2.511495e-265
4.713535e+00 8.381325e-268
4.779239e+00 2.796995e-270
4.845859e+00 9.334032e-273
4.913407e+00 3.114909e-275
