Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	5.8911e+03
1.5000e-03	0.0000e+00	5.8925e+03
2.0000e-03	0.0000e+00	5.8935e+03
2.5000e-03	0.0000e+00	5.8943e+03
3.0000e-03	0.0000e+00	5.8949e+03
3.5000e-03	0.0000e+00	5.8954e+03
4.0000e-03	0.0000e+00	5.8959e+03
4.5000e-03	0.0000e+00	5.8963e+03
5.0000e-03	0.0000e+00	5.8966e+03
5.5000e-03	0.0000e+00	5.8969e+03
6.0000e-03	0.0000e+00	5.8972e+03
6.5000e-03	0.0000e+00	5.8975e+03
7.0000e-03	0.0000e+00	5.8977e+03
7.5000e-03	0.0000e+00	5.8980e+03
8.0000e-03	0.0000e+00	5.8982e+03
8.5000e-03	0.0000e+00	5.8984e+03
9.0000e-03	0.0000e+00	5.8986e+03
9.5000e-03	0.0000e+00	5.8988e+03
1.0000e-02	0.0000e+00	5.8989e+03
1.5000e-02	0.0000e+00	5.9003e+03
2.0000e-02	0.0000e+00	5.9014e+03
2.5000e-02	0.0000e+00	5.9023e+03
3.0000e-02	0.0000e+00	5.9031e+03
3.5000e-02	0.0000e+00	5.9038e+03
4.0000e-02	0.0000e+00	5.9047e+03
4.5000e-02	0.0000e+00	5.9057e+03
5.0000e-02	0.0000e+00	5.9066e+03
5.5000e-02	0.0000e+00	5.9075e+03
6.0000e-02	0.0000e+00	5.9084e+03
6.5000e-02	0.0000e+00	5.9096e+03
7.0000e-02	0.0000e+00	5.9107e+03
7.5000e-02	0.0000e+00	5.9118e+03
8.0000e-02	0.0000e+00	5.9129e+03
8.5000e-02	0.0000e+00	5.9140e+03
9.0000e-02	0.0000e+00	5.9150e+03
9.5000e-02	0.0000e+00	5.9160e+03
1.0000e-01	0.0000e+00	5.9171e+03
1.5000e-01	0.0000e+00	5.9284e+03
2.0000e-01	0.0000e+00	5.9398e+03
2.5000e-01	0.0000e+00	5.9512e+03
3.0000e-01	0.0000e+00	5.9626e+03
3.5000e-01	0.0000e+00	5.9740e+03
4.0000e-01	0.0000e+00	5.9855e+03
4.5000e-01	0.0000e+00	5.9969e+03
5.0000e-01	0.0000e+00	6.0068e+03
5.5000e-01	0.0000e+00	6.0164e+03
6.0000e-01	0.0000e+00	6.0276e+03
6.5000e-01	0.0000e+00	6.0389e+03
7.0000e-01	0.0000e+00	6.0502e+03
7.5000e-01	0.0000e+00	6.0615e+03
8.0000e-01	0.0000e+00	6.0729e+03
8.5000e-01	0.0000e+00	6.0843e+03
9.0000e-01	0.0000e+00	6.0957e+03
9.5000e-01	0.0000e+00	6.1071e+03
1.0000e+00	2.2421e+10	6.1184e+03
1.0175e+00	2.1402e+10	6.1224e+03
1.0352e+00	2.0428e+10	6.1264e+03
1.0533e+00	1.9495e+10	6.1305e+03
1.0717e+00	1.8602e+10	6.1346e+03
1.0904e+00	1.7751e+10	6.1389e+03
1.1095e+00	1.6944e+10	6.1432e+03
1.1288e+00	1.6167e+10	6.1476e+03
1.1486e+00	1.5428e+10	6.1521e+03
1.1686e+00	1.4727e+10	6.1567e+03
1.1890e+00	1.4063e+10	6.1614e+03
1.2098e+00	1.3429e+10	6.1661e+03
1.2309e+00	1.2822e+10	6.1710e+03
1.2524e+00	1.2235e+10	6.1759e+03
1.2743e+00	1.1672e+10	6.1809e+03
1.2965e+00	1.1141e+10	6.1860e+03
1.3192e+00	1.0638e+10	6.1912e+03
1.3422e+00	1.0155e+10	6.1965e+03
1.3656e+00	9.6920e+09	6.2018e+03
1.3895e+00	9.2499e+09	6.2073e+03
1.4138e+00	8.8301e+09	6.2129e+03
1.4385e+00	8.4273e+09	6.2185e+03
1.4636e+00	8.0405e+09	6.2243e+03
1.4891e+00	7.6728e+09	6.2301e+03
1.5151e+00	7.3224e+09	6.2359e+03
1.5416e+00	6.9892e+09	6.2401e+03
1.5685e+00	6.6674e+09	6.2444e+03
1.5959e+00	6.3652e+09	6.2503e+03
1.6238e+00	6.0747e+09	6.2565e+03
1.6521e+00	5.7986e+09	6.2630e+03
1.6810e+00	5.5350e+09	6.2696e+03
1.7103e+00	5.2803e+09	6.2764e+03
1.7402e+00	5.0391e+09	6.2832e+03
1.7706e+00	4.8101e+09	6.2902e+03
1.8015e+00	4.5913e+09	6.2973e+03
1.8330e+00	4.3807e+09	6.3046e+03
1.8650e+00	4.1822e+09	6.3119e+03
1.8976e+00	3.9929e+09	6.3194e+03
1.9307e+00	3.8107e+09	6.3270e+03
1.9644e+00	3.6373e+09	6.3347e+03
1.9987e+00	3.4707e+09	6.3425e+03
2.0336e+00	3.3136e+09	6.3505e+03
2.0691e+00	3.1638e+09	6.3586e+03
2.1053e+00	3.0204e+09	6.3669e+03
2.1420e+00	2.8836e+09	6.3753e+03
2.1794e+00	2.7522e+09	6.3839e+03
2.2175e+00	2.6269e+09	6.3926e+03
2.2562e+00	2.5069e+09	6.4016e+03
2.2956e+00	2.3931e+09	6.4106e+03
2.3357e+00	2.2838e+09	6.4199e+03
2.3765e+00	2.1793e+09	6.4293e+03
2.4180e+00	2.0787e+09	6.4389e+03
2.4602e+00	1.9843e+09	6.4486e+03
2.5032e+00	1.8943e+09	6.4584e+03
2.5469e+00	1.8078e+09	6.4685e+03
2.5914e+00	1.7259e+09	6.4749e+03
2.6367e+00	1.6480e+09	6.4835e+03
2.6827e+00	1.5734e+09	6.4938e+03
2.7295e+00	1.5021e+09	6.5046e+03
2.7772e+00	1.4338e+09	6.5155e+03
2.8257e+00	1.3687e+09	6.5267e+03
2.8751e+00	1.3067e+09	6.5380e+03
