Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	5.5597e+03
1.5000e-03	0.0000e+00	5.5610e+03
2.0000e-03	0.0000e+00	5.5620e+03
2.5000e-03	0.0000e+00	5.5627e+03
3.0000e-03	0.0000e+00	5.5633e+03
3.5000e-03	0.0000e+00	5.5638e+03
4.0000e-03	0.0000e+00	5.5642e+03
4.5000e-03	0.0000e+00	5.5646e+03
5.0000e-03	0.0000e+00	5.5649e+03
5.5000e-03	0.0000e+00	5.5652e+03
6.0000e-03	0.0000e+00	5.5655e+03
6.5000e-03	0.0000e+00	5.5657e+03
7.0000e-03	0.0000e+00	5.5659e+03
7.5000e-03	0.0000e+00	5.5661e+03
8.0000e-03	0.0000e+00	5.5664e+03
8.5000e-03	0.0000e+00	5.5665e+03
9.0000e-03	0.0000e+00	5.5667e+03
9.5000e-03	0.0000e+00	5.5669e+03
1.0000e-02	0.0000e+00	5.5671e+03
1.5000e-02	0.0000e+00	5.5683e+03
2.0000e-02	0.0000e+00	5.5694e+03
2.5000e-02	0.0000e+00	5.5702e+03
3.0000e-02	0.0000e+00	5.5710e+03
3.5000e-02	0.0000e+00	5.5717e+03
4.0000e-02	0.0000e+00	5.5725e+03
4.5000e-02	0.0000e+00	5.5734e+03
5.0000e-02	0.0000e+00	5.5743e+03
5.5000e-02	0.0000e+00	5.5752e+03
6.0000e-02	0.0000e+00	5.5760e+03
6.5000e-02	0.0000e+00	5.5771e+03
7.0000e-02	0.0000e+00	5.5782e+03
7.5000e-02	0.0000e+00	5.5792e+03
8.0000e-02	0.0000e+00	5.5802e+03
8.5000e-02	0.0000e+00	5.5813e+03
9.0000e-02	0.0000e+00	5.5822e+03
9.5000e-02	0.0000e+00	5.5832e+03
1.0000e-01	0.0000e+00	5.5843e+03
1.5000e-01	0.0000e+00	5.5949e+03
2.0000e-01	0.0000e+00	5.6056e+03
2.5000e-01	0.0000e+00	5.6164e+03
3.0000e-01	0.0000e+00	5.6272e+03
3.5000e-01	0.0000e+00	5.6379e+03
4.0000e-01	0.0000e+00	5.6488e+03
4.5000e-01	0.0000e+00	5.6595e+03
5.0000e-01	0.0000e+00	5.6690e+03
5.5000e-01	0.0000e+00	5.6780e+03
6.0000e-01	0.0000e+00	5.6885e+03
6.5000e-01	0.0000e+00	5.6993e+03
7.0000e-01	0.0000e+00	5.7099e+03
7.5000e-01	0.0000e+00	5.7206e+03
