# Energy(MeV) Phi16 Phi84
1.000000e-01 1.000853e+12 3.764805e+12
1.018629e-01 9.494026e+11 3.577096e+12
1.037605e-01 8.990465e+11 3.398631e+12
1.056935e-01 8.545995e+11 3.228938e+12
1.076624e-01 8.126917e+11 3.067718e+12
1.096681e-01 7.716095e+11 2.914547e+12
1.117111e-01 7.326040e+11 2.769024e+12
1.137921e-01 6.955154e+11 2.630766e+12
1.159120e-01 6.601868e+11 2.499412e+12
1.180713e-01 6.269756e+11 2.374422e+12
1.202708e-01 5.961793e+11 2.255034e+12
1.225114e-01 5.660171e+11 2.141205e+12
1.247936e-01 5.373808e+11 2.033121e+12
1.271184e-01 5.101934e+11 1.931651e+12
1.294865e-01 4.843814e+11 1.836364e+12
1.318987e-01 4.599583e+11 1.745846e+12
1.343558e-01 4.367881e+11 1.658919e+12
1.368587e-01 4.150322e+11 1.576165e+12
1.394083e-01 3.966744e+11 1.497669e+12
1.420053e-01 3.791479e+11 1.423250e+12
1.446507e-01 3.596926e+11 1.352303e+12
1.473454e-01 3.407306e+11 1.284208e+12
1.500903e-01 3.227689e+11 1.220051e+12
1.528864e-01 3.057547e+11 1.159183e+12
1.557345e-01 2.903574e+11 1.101345e+12
1.586357e-01 2.758178e+11 1.046354e+12
1.615909e-01 2.621317e+11 9.941082e+11
1.646012e-01 2.491247e+11 9.443909e+11
1.676675e-01 2.367632e+11 8.971589e+11
1.707910e-01 2.247543e+11 8.522892e+11
1.739726e-01 2.131577e+11 8.096634e+11
1.772136e-01 2.021595e+11 7.691695e+11
1.805149e-01 1.917290e+11 7.307818e+11
1.838777e-01 1.819851e+11 6.942338e+11
1.873032e-01 1.727970e+11 6.595792e+11
1.907924e-01 1.639507e+11 6.268737e+11
1.943467e-01 1.559598e+11 5.958250e+11
1.979672e-01 1.481491e+11 5.662420e+11
2.016551e-01 1.408421e+11 5.380846e+11
2.054117e-01 1.340258e+11 5.111063e+11
2.092383e-01 1.277610e+11 4.853551e+11
2.131362e-01 1.217893e+11 4.608684e+11
2.171068e-01 1.160970e+11 4.377494e+11
2.211512e-01 1.103505e+11 4.155565e+11
2.252711e-01 1.048750e+11 3.948342e+11
2.294676e-01 9.967112e+10 3.750091e+11
2.337424e-01 9.472547e+10 3.560469e+11
2.380968e-01 9.002523e+10 3.382285e+11
2.425323e-01 8.555821e+10 3.211003e+11
2.470504e-01 8.131285e+10 3.049113e+11
2.516527e-01 7.727814e+10 2.897063e+11
2.563407e-01 7.344363e+10 2.753212e+11
2.611161e-01 6.979939e+10 2.616504e+11
2.659804e-01 6.633772e+10 2.486328e+11
2.709354e-01 6.305385e+10 2.364029e+11
2.759826e-01 5.993254e+10 2.247745e+11
2.811239e-01 5.696574e+10 2.136424e+11
2.863610e-01 5.414580e+10 2.029409e+11
2.916956e-01 5.148771e+10 1.927730e+11
2.971296e-01 4.897225e+10 1.831964e+11
3.026648e-01 4.657982e+10 1.740641e+11
3.083031e-01 4.434243e+10 1.653869e+11
3.140465e-01 4.231108e+10 1.571316e+11
3.198969e-01 4.037292e+10 1.492774e+11
3.258562e-01 3.833272e+10 1.418002e+11
3.319266e-01 3.639094e+10 1.346781e+11
3.381101e-01 3.454753e+10 1.279053e+11
3.444087e-01 3.279750e+10 1.215301e+11
3.508247e-01 3.113614e+10 1.154727e+11
3.573602e-01 2.955893e+10 1.097171e+11
3.640175e-01 2.806163e+10 1.042480e+11
3.707988e-01 2.664305e+10 9.895221e+10
3.777064e-01 2.531702e+10 9.391972e+10
3.847427e-01 2.405699e+10 8.914306e+10
3.919100e-01 2.285967e+10 8.460933e+10
3.992109e-01 2.172195e+10 8.037930e+10
