# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
1.000000e-01 2.375851e+12
1.018629e-01 2.262704e+12
1.037605e-01 2.154945e+12
1.056935e-01 2.052318e+12
1.076624e-01 1.954646e+12
1.096681e-01 1.861738e+12
1.117111e-01 1.773246e+12
1.137921e-01 1.688680e+12
1.159120e-01 1.608117e+12
1.180713e-01 1.531397e+12
1.202708e-01 1.458273e+12
1.225114e-01 1.387769e+12
1.247936e-01 1.321433e+12
1.271184e-01 1.257477e+12
1.294865e-01 1.196297e+12
1.318987e-01 1.138650e+12
1.343558e-01 1.083949e+12
1.368587e-01 1.031875e+12
1.394083e-01 9.823033e+11
1.420053e-01 9.350050e+11
1.446507e-01 8.899212e+11
1.473454e-01 8.470111e+11
1.500903e-01 8.061700e+11
1.528864e-01 7.676415e+11
1.557345e-01 7.311027e+11
1.586357e-01 6.963390e+11
1.615909e-01 6.632277e+11
1.646012e-01 6.316903e+11
1.676675e-01 6.013931e+11
1.707910e-01 5.724827e+11
1.739726e-01 5.448808e+11
1.772136e-01 5.188168e+11
1.805149e-01 4.938568e+11
1.838777e-01 4.701535e+11
1.873032e-01 4.476356e+11
1.907924e-01 4.262949e+11
1.943467e-01 4.059760e+11
1.979672e-01 3.866255e+11
2.016551e-01 3.681973e+11
2.054117e-01 3.506676e+11
2.092383e-01 3.341261e+11
2.131362e-01 3.183087e+11
2.171068e-01 3.031086e+11
2.211512e-01 2.886848e+11
2.252711e-01 2.750904e+11
2.294676e-01 2.620288e+11
2.337424e-01 2.495661e+11
2.380968e-01 2.375812e+11
2.425323e-01 2.261751e+11
2.470504e-01 2.152855e+11
2.516527e-01 2.048995e+11
2.563407e-01 1.950614e+11
2.611161e-01 1.856978e+11
2.659804e-01 1.767837e+11
2.709354e-01 1.683006e+11
2.759826e-01 1.602265e+11
2.811239e-01 1.526038e+11
2.863610e-01 1.452924e+11
2.916956e-01 1.383284e+11
2.971296e-01 1.317755e+11
3.026648e-01 1.255456e+11
3.083031e-01 1.195569e+11
3.140465e-01 1.139134e+11
3.198969e-01 1.085379e+11
3.258562e-01 1.033284e+11
3.319266e-01 9.838404e+10
3.381101e-01 9.372439e+10
3.444087e-01 8.929019e+10
3.508247e-01 8.506557e+10
3.573602e-01 8.101594e+10
3.640175e-01 7.715172e+10
3.707988e-01 7.342209e+10
3.777064e-01 6.989601e+10
3.847427e-01 6.656523e+10
3.919100e-01 6.340647e+10
3.992109e-01 6.039153e+10
4.066478e-01 5.751320e+10
4.142232e-01 5.478661e+10
4.219398e-01 5.215488e+10
4.298001e-01 4.966241e+10
4.378069e-01 4.728862e+10
4.459628e-01 4.502157e+10
4.542706e-01 4.285626e+10
4.627332e-01 4.079220e+10
4.713535e-01 3.884411e+10
4.801343e-01 3.697292e+10
4.890787e-01 3.518790e+10
4.981898e-01 3.350271e+10
5.074705e-01 3.188903e+10
5.169242e-01 3.033731e+10
5.265540e-01 2.888092e+10
5.363631e-01 2.749454e+10
5.463550e-01 2.618275e+10
5.565331e-01 2.493069e+10
5.669007e-01 2.372077e+10
5.774615e-01 2.256842e+10
5.882190e-01 2.147617e+10
5.991770e-01 2.044325e+10
6.103390e-01 1.946887e+10
6.217090e-01 1.854235e+10
6.332908e-01 1.766850e+10
6.450884e-01 1.682776e+10
6.571058e-01 1.601939e+10
6.693470e-01 1.524458e+10
6.818162e-01 1.451220e+10
6.945178e-01 1.382219e+10
7.074559e-01 1.316145e+10
7.206351e-01 1.252603e+10
7.340598e-01 1.191829e+10
7.477346e-01 1.134003e+10
7.616642e-01 1.079117e+10
7.758532e-01 1.027373e+10
7.903066e-01 9.777283e+09
8.050292e-01 9.309178e+09
8.200261e-01 8.867424e+09
8.353023e-01 8.439894e+09
8.508632e-01 8.032765e+09
8.667139e-01 7.650695e+09
8.828599e-01 7.285687e+09
8.993067e-01 6.940215e+09
9.160598e-01 6.609150e+09
9.331251e-01 6.290649e+09
9.505083e-01 5.985959e+09
9.682153e-01 5.695877e+09
9.862522e-01 5.420930e+09
1.004625e+00 5.159651e+09
1.023340e+00 4.908333e+09
1.042404e+00 4.673187e+09
1.061823e+00 4.448609e+09
1.081604e+00 4.234816e+09
1.101753e+00 4.034674e+09
1.122277e+00 3.844053e+09
1.143184e+00 3.661137e+09
1.164481e+00 3.485808e+09
1.186174e+00 3.317440e+09
1.208271e+00 3.154326e+09
1.230780e+00 3.001271e+09
1.253708e+00 2.853705e+09
1.277063e+00 2.714258e+09
1.300854e+00 2.581382e+09
1.325087e+00 2.456837e+09
1.349772e+00 2.339686e+09
1.374917e+00 2.225946e+09
1.400531e+00 2.120375e+09
1.426621e+00 2.018405e+09
1.453198e+00 1.922581e+09
1.480269e+00 1.830005e+09
1.507845e+00 1.741606e+09
1.535935e+00 1.656916e+09
1.564548e+00 1.576545e+09
1.593694e+00 1.500790e+09
1.623382e+00 1.428621e+09
1.653624e+00 1.359578e+09
1.684430e+00 1.293795e+09
1.715809e+00 1.230603e+09
1.747773e+00 1.171048e+09
1.780332e+00 1.114567e+09
1.813498e+00 1.059913e+09
1.847281e+00 1.008817e+09
1.881694e+00 9.601611e+08
1.916748e+00 9.137362e+08
1.952456e+00 8.696354e+08
1.988828e+00 8.280123e+08
2.025878e+00 7.879318e+08
2.063618e+00 7.502564e+08
2.102061e+00 7.143226e+08
2.141220e+00 6.800714e+08
2.181109e+00 6.475788e+08
2.221741e+00 6.166086e+08
2.263130e+00 5.857684e+08
2.305289e+00 5.574170e+08
2.348235e+00 5.303545e+08
2.391980e+00 5.050375e+08
2.436540e+00 4.809715e+08
2.481930e+00 4.581121e+08
2.528166e+00 4.359587e+08
2.575263e+00 4.152848e+08
2.623238e+00 3.950541e+08
2.672106e+00 3.761572e+08
2.721885e+00 3.579013e+08
2.772591e+00 3.405200e+08
2.824241e+00 3.240813e+08
2.876854e+00 3.081683e+08
2.930447e+00 2.932334e+08
2.985038e+00 2.790166e+08
3.040646e+00 2.653594e+08
3.097291e+00 2.525060e+08
3.154990e+00 2.403901e+08
3.213764e+00 2.288438e+08
3.273634e+00 2.175685e+08
3.334618e+00 2.071440e+08
3.396739e+00 1.970439e+08
3.460016e+00 1.873354e+08
3.524473e+00 1.782579e+08
