# Energy(MeV) Phi16 Phi84
1.000000e-01 4.003411e+12 1.505922e+13
1.018629e-01 3.797610e+12 1.430838e+13
1.037605e-01 3.596186e+12 1.359452e+13
1.056935e-01 3.418398e+12 1.291575e+13
1.076624e-01 3.250767e+12 1.227087e+13
1.096681e-01 3.086438e+12 1.165819e+13
1.117111e-01 2.930416e+12 1.107609e+13
1.137921e-01 2.782061e+12 1.052306e+13
1.159120e-01 2.640747e+12 9.997648e+12
1.180713e-01 2.507902e+12 9.497687e+12
1.202708e-01 2.384717e+12 9.020135e+12
1.225114e-01 2.264068e+12 8.564819e+12
1.247936e-01 2.149523e+12 8.132486e+12
1.271184e-01 2.040774e+12 7.726604e+12
1.294865e-01 1.937526e+12 7.345457e+12
1.318987e-01 1.839833e+12 6.983383e+12
1.343558e-01 1.747152e+12 6.635675e+12
1.368587e-01 1.660129e+12 6.304662e+12
1.394083e-01 1.586698e+12 5.990675e+12
1.420053e-01 1.516592e+12 5.693000e+12
1.446507e-01 1.438770e+12 5.409211e+12
1.473454e-01 1.362922e+12 5.136831e+12
1.500903e-01 1.291076e+12 4.880206e+12
1.528864e-01 1.223019e+12 4.636730e+12
1.557345e-01 1.161430e+12 4.405381e+12
1.586357e-01 1.103271e+12 4.185416e+12
1.615909e-01 1.048527e+12 3.976433e+12
1.646012e-01 9.964989e+11 3.777563e+12
1.676675e-01 9.470526e+11 3.588636e+12
1.707910e-01 8.990172e+11 3.409157e+12
1.739726e-01 8.526307e+11 3.238654e+12
1.772136e-01 8.086381e+11 3.076678e+12
1.805149e-01 7.669158e+11 2.923127e+12
1.838777e-01 7.279405e+11 2.776935e+12
1.873032e-01 6.911878e+11 2.638317e+12
1.907924e-01 6.558028e+11 2.507495e+12
1.943467e-01 6.238393e+11 2.383300e+12
1.979672e-01 5.925965e+11 2.264968e+12
2.016551e-01 5.633685e+11 2.152338e+12
2.054117e-01 5.361031e+11 2.044425e+12
2.092383e-01 5.110440e+11 1.941420e+12
2.131362e-01 4.871573e+11 1.843474e+12
2.171068e-01 4.643881e+11 1.750997e+12
2.211512e-01 4.414022e+11 1.662226e+12
2.252711e-01 4.194999e+11 1.579337e+12
2.294676e-01 3.986845e+11 1.500036e+12
2.337424e-01 3.789019e+11 1.424188e+12
2.380968e-01 3.601009e+11 1.352914e+12
2.425323e-01 3.422328e+11 1.284401e+12
2.470504e-01 3.252514e+11 1.219645e+12
2.516527e-01 3.091125e+11 1.158825e+12
2.563407e-01 2.937745e+11 1.101285e+12
2.611161e-01 2.791976e+11 1.046602e+12
2.659804e-01 2.653509e+11 9.945312e+11
2.709354e-01 2.522154e+11 9.456115e+11
2.759826e-01 2.397301e+11 8.990980e+11
2.811239e-01 2.278629e+11 8.545696e+11
2.863610e-01 2.165832e+11 8.117635e+11
2.916956e-01 2.059508e+11 7.710920e+11
2.971296e-01 1.958890e+11 7.327856e+11
