# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
1.000000e-01 9.503402e+12
1.018629e-01 9.050814e+12
1.037605e-01 8.619779e+12
1.056935e-01 8.209271e+12
1.076624e-01 7.818583e+12
1.096681e-01 7.446952e+12
1.117111e-01 7.092985e+12
1.137921e-01 6.754721e+12
1.159120e-01 6.432467e+12
1.180713e-01 6.125587e+12
1.202708e-01 5.833093e+12
1.225114e-01 5.551077e+12
1.247936e-01 5.285730e+12
1.271184e-01 5.029906e+12
1.294865e-01 4.785186e+12
1.318987e-01 4.554600e+12
1.343558e-01 4.335794e+12
1.368587e-01 4.127501e+12
1.394083e-01 3.929213e+12
1.420053e-01 3.740020e+12
1.446507e-01 3.559685e+12
1.473454e-01 3.388044e+12
1.500903e-01 3.224680e+12
1.528864e-01 3.070566e+12
1.557345e-01 2.924411e+12
1.586357e-01 2.785356e+12
1.615909e-01 2.652911e+12
1.646012e-01 2.526761e+12
1.676675e-01 2.405572e+12
1.707910e-01 2.289931e+12
1.739726e-01 2.179523e+12
1.772136e-01 2.075267e+12
1.805149e-01 1.975427e+12
1.838777e-01 1.880614e+12
1.873032e-01 1.790542e+12
1.907924e-01 1.705180e+12
1.943467e-01 1.623904e+12
1.979672e-01 1.546502e+12
2.016551e-01 1.472789e+12
2.054117e-01 1.402670e+12
2.092383e-01 1.336504e+12
2.131362e-01 1.273235e+12
2.171068e-01 1.212434e+12
2.211512e-01 1.154739e+12
2.252711e-01 1.100362e+12
2.294676e-01 1.048115e+12
2.337424e-01 9.982644e+11
2.380968e-01 9.503247e+11
2.425323e-01 9.047003e+11
2.470504e-01 8.611419e+11
2.516527e-01 8.195979e+11
2.563407e-01 7.802456e+11
2.611161e-01 7.427914e+11
2.659804e-01 7.071348e+11
2.709354e-01 6.732022e+11
2.759826e-01 6.409058e+11
2.811239e-01 6.104152e+11
2.863610e-01 5.811696e+11
2.916956e-01 5.533135e+11
2.971296e-01 5.271021e+11
3.026648e-01 5.021823e+11
3.083031e-01 4.782278e+11
3.140465e-01 4.556535e+11
3.198969e-01 4.341515e+11
3.258562e-01 4.133134e+11
3.319266e-01 3.935361e+11
3.381101e-01 3.748975e+11
3.444087e-01 3.571608e+11
3.508247e-01 3.402623e+11
3.573602e-01 3.240637e+11
3.640175e-01 3.086069e+11
3.707988e-01 2.936883e+11
3.777064e-01 2.795840e+11
3.847427e-01 2.662609e+11
3.919100e-01 2.536259e+11
3.992109e-01 2.415661e+11
4.066478e-01 2.300528e+11
4.142232e-01 2.191465e+11
4.219398e-01 2.086195e+11
4.298001e-01 1.986496e+11
4.378069e-01 1.891545e+11
4.459628e-01 1.800863e+11
4.542706e-01 1.714250e+11
4.627332e-01 1.631688e+11
4.713535e-01 1.553764e+11
4.801343e-01 1.478917e+11
4.890787e-01 1.407516e+11
4.981898e-01 1.340108e+11
5.074705e-01 1.275561e+11
5.169242e-01 1.213492e+11
5.265540e-01 1.155237e+11
5.363631e-01 1.099782e+11
5.463550e-01 1.047310e+11
5.565331e-01 9.972276e+10
5.669007e-01 9.488310e+10
5.774615e-01 9.027367e+10
5.882190e-01 8.590468e+10
5.991770e-01 8.177298e+10
6.103390e-01 7.787547e+10
6.217090e-01 7.416941e+10
6.332908e-01 7.067400e+10
6.450884e-01 6.731103e+10
6.571058e-01 6.407757e+10
6.693470e-01 6.097830e+10
6.818162e-01 5.804879e+10
6.945178e-01 5.528875e+10
7.074559e-01 5.264580e+10
7.206351e-01 5.010411e+10
7.340598e-01 4.767315e+10
7.477346e-01 4.536011e+10
7.616642e-01 4.316467e+10
7.758532e-01 4.109491e+10
7.903066e-01 3.910913e+10
8.050292e-01 3.723671e+10
8.200261e-01 3.546969e+10
8.353023e-01 3.375958e+10
8.508632e-01 3.213106e+10
8.667139e-01 3.060278e+10
8.828599e-01 2.914275e+10
8.993067e-01 2.776086e+10
9.160598e-01 2.643660e+10
9.331251e-01 2.516260e+10
9.505083e-01 2.394383e+10
9.682153e-01 2.278351e+10
9.862522e-01 2.168372e+10
1.004625e+00 2.063860e+10
1.023340e+00 1.963333e+10
1.042404e+00 1.869275e+10
1.061823e+00 1.779444e+10
1.081604e+00 1.693927e+10
1.101753e+00 1.613869e+10
1.122277e+00 1.537621e+10
1.143184e+00 1.464455e+10
1.164481e+00 1.394323e+10
1.186174e+00 1.326976e+10
1.208271e+00 1.261730e+10
1.230780e+00 1.200508e+10
1.253708e+00 1.141482e+10
1.277063e+00 1.085703e+10
1.300854e+00 1.032553e+10
1.325087e+00 9.827350e+09
1.349772e+00 9.358743e+09
1.374917e+00 8.903784e+09
1.400531e+00 8.481501e+09
1.426621e+00 8.073620e+09
1.453198e+00 7.690325e+09
1.480269e+00 7.320020e+09
1.507845e+00 6.966424e+09
1.535935e+00 6.627664e+09
1.564548e+00 6.306179e+09
1.593694e+00 6.003159e+09
1.623382e+00 5.714484e+09
1.653624e+00 5.438310e+09
1.684430e+00 5.175181e+09
1.715809e+00 4.922411e+09
1.747773e+00 4.684191e+09
1.780332e+00 4.458267e+09
1.813498e+00 4.239652e+09
1.847281e+00 4.035268e+09
1.881694e+00 3.840644e+09
1.916748e+00 3.654945e+09
1.952456e+00 3.478541e+09
1.988828e+00 3.312049e+09
2.025878e+00 3.151727e+09
2.063618e+00 3.001026e+09
2.102061e+00 2.857291e+09
2.141220e+00 2.720285e+09
2.181109e+00 2.590315e+09
2.221741e+00 2.466434e+09
2.263130e+00 2.343074e+09
2.305289e+00 2.229668e+09
2.348235e+00 2.121418e+09
2.391980e+00 2.020150e+09
2.436540e+00 1.923886e+09
2.481930e+00 1.832449e+09
2.528166e+00 1.743835e+09
2.575263e+00 1.661139e+09
2.623238e+00 1.580216e+09
2.672106e+00 1.504629e+09
2.721885e+00 1.431605e+09
2.772591e+00 1.362080e+09
2.824241e+00 1.296325e+09
2.876854e+00 1.232673e+09
2.930447e+00 1.172934e+09
2.985038e+00 1.116066e+09
3.040646e+00 1.061438e+09
3.097291e+00 1.010024e+09
3.154990e+00 9.615604e+08
3.213764e+00 9.153751e+08
3.273634e+00 8.702741e+08
3.334618e+00 8.285759e+08
3.396739e+00 7.881754e+08
3.460016e+00 7.493415e+08
3.524473e+00 7.130315e+08
3.590130e+00 6.784992e+08
3.657011e+00 6.454423e+08
3.725137e+00 6.146437e+08
3.794533e+00 5.849805e+08
3.865221e+00 5.567004e+08
3.937226e+00 5.299081e+08
4.010573e+00 5.044642e+08
4.085286e+00 4.802292e+08
4.161391e+00 4.565247e+08
4.238913e+00 4.346443e+08
4.317880e+00 4.136692e+08
4.398317e+00 3.935548e+08
4.480254e+00 3.744658e+08
4.563716e+00 3.562178e+08
4.648734e+00 3.387746e+08
4.735335e+00 3.222108e+08
4.823549e+00 3.066845e+08
4.913407e+00 2.917247e+08
5.004939e+00 2.774339e+08
5.098176e+00 2.639904e+08
5.193150e+00 2.512183e+08
5.289893e+00 2.387967e+08
5.388438e+00 2.272334e+08
5.488820e+00 2.161370e+08
5.591071e+00 2.056261e+08
5.695227e+00 1.956036e+08
5.801323e+00 1.861180e+08
5.909396e+00 1.770929e+08
6.019482e+00 1.683809e+08
6.131619e+00 1.602698e+08
6.245845e+00 1.524363e+08
6.362198e+00 1.450158e+08
6.480720e+00 1.378759e+08
6.601449e+00 1.311520e+08
6.724427e+00 1.247519e+08
6.849697e+00 1.187229e+08
6.977300e+00 1.129955e+08
7.107280e+00 1.075549e+08
7.239681e+00 1.022993e+08
7.374549e+00 9.728171e+07
7.511929e+00 9.258278e+07
7.651869e+00 8.804602e+07
7.794416e+00 8.371982e+07
7.939618e+00 7.965647e+07
8.087525e+00 7.583181e+07
8.238187e+00 7.210266e+07
8.391656e+00 6.859785e+07
8.547985e+00 6.524541e+07
8.707225e+00 6.202355e+07
8.869432e+00 5.897031e+07
9.034660e+00 5.610790e+07
9.202967e+00 5.337167e+07
9.374409e+00 5.074436e+07
9.549045e+00 4.825513e+07
9.726934e+00 4.585401e+07
9.908137e+00 4.361076e+07
1.009272e+01 4.145488e+07
1.028073e+01 3.942347e+07
1.047225e+01 3.749907e+07
1.066734e+01 3.566170e+07
1.086606e+01 3.389745e+07
1.106848e+01 3.221901e+07
1.127468e+01 3.064124e+07
1.148472e+01 2.914931e+07
1.169866e+01 2.771752e+07
1.191660e+01 2.635438e+07
1.213859e+01 2.505143e+07
1.236472e+01 2.381502e+07
1.259506e+01 2.265067e+07
1.282970e+01 2.154075e+07
1.306870e+01 2.047764e+07
1.331216e+01 1.947101e+07
1.356015e+01 1.851797e+07
1.381276e+01 1.761521e+07
1.407008e+01 1.674221e+07
1.433219e+01 1.590516e+07
1.459919e+01 1.511877e+07
1.487115e+01 1.437524e+07
1.514819e+01 1.366938e+07
1.543038e+01 1.299144e+07
1.571784e+01 1.234988e+07
1.601064e+01 1.174208e+07
1.630891e+01 1.115853e+07
1.661273e+01 1.060240e+07
1.692220e+01 1.007384e+07
1.723745e+01 9.579659e+06
1.755856e+01 9.102893e+06
1.788566e+01 8.656203e+06
1.821885e+01 8.227018e+06
1.855825e+01 7.821761e+06
1.890397e+01 7.429630e+06
1.925614e+01 7.068219e+06
1.961486e+01 6.718247e+06
1.998026e+01 6.382308e+06
2.035248e+01 6.064341e+06
2.073162e+01 5.761125e+06
2.111783e+01 5.474102e+06
2.151123e+01 5.201262e+06
2.191197e+01 4.945164e+06
2.232016e+01 4.694047e+06
2.273597e+01 4.456059e+06
2.315951e+01 4.233196e+06
2.359095e+01 4.021182e+06
2.403043e+01 3.816702e+06
2.447809e+01 3.625943e+06
2.493409e+01 3.444746e+06
2.539859e+01 3.274572e+06
2.587174e+01 3.110206e+06
2.635371e+01 2.958227e+06
2.684465e+01 2.810442e+06
2.734474e+01 2.669430e+06
