Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.1105e+03
1.5000e-03	0.0000e+00	1.1107e+03
2.0000e-03	0.0000e+00	1.1109e+03
2.5000e-03	0.0000e+00	1.1110e+03
3.0000e-03	0.0000e+00	1.1111e+03
3.5000e-03	0.0000e+00	1.1112e+03
4.0000e-03	0.0000e+00	1.1113e+03
4.5000e-03	0.0000e+00	1.1114e+03
5.0000e-03	0.0000e+00	1.1114e+03
5.5000e-03	0.0000e+00	1.1115e+03
6.0000e-03	0.0000e+00	1.1115e+03
6.5000e-03	0.0000e+00	1.1116e+03
7.0000e-03	0.0000e+00	1.1116e+03
7.5000e-03	0.0000e+00	1.1117e+03
8.0000e-03	0.0000e+00	1.1117e+03
8.5000e-03	0.0000e+00	1.1117e+03
9.0000e-03	0.0000e+00	1.1118e+03
9.5000e-03	0.0000e+00	1.1118e+03
1.0000e-02	0.0000e+00	1.1118e+03
1.5000e-02	0.0000e+00	1.1121e+03
2.0000e-02	0.0000e+00	1.1122e+03
2.5000e-02	0.0000e+00	1.1124e+03
3.0000e-02	0.0000e+00	1.1125e+03
3.5000e-02	0.0000e+00	1.1126e+03
4.0000e-02	0.0000e+00	1.1130e+03
4.5000e-02	0.0000e+00	1.1134e+03
5.0000e-02	8.4852e+10	1.1137e+03
5.1002e-02	8.3231e+10	1.1137e+03
5.2025e-02	8.1656e+10	1.1138e+03
5.3067e-02	8.0111e+10	1.1139e+03
5.4131e-02	7.8718e+10	1.1139e+03
5.5216e-02	7.7127e+10	1.1140e+03
5.6323e-02	7.5553e+10	1.1140e+03
5.7452e-02	7.4188e+10	1.1141e+03
5.8604e-02	7.2737e+10	1.1142e+03
5.9778e-02	7.1288e+10	1.1142e+03
6.0977e-02	6.9906e+10	1.1143e+03
6.2199e-02	6.8540e+10	1.1143e+03
6.3446e-02	6.7310e+10	1.1144e+03
6.4717e-02	6.5962e+10	1.1144e+03
6.6015e-02	6.4606e+10	1.1145e+03
6.7338e-02	6.3306e+10	1.1146e+03
6.8688e-02	6.2156e+10	1.1146e+03
7.0065e-02	6.1047e+10	1.1147e+03
7.1469e-02	5.9942e+10	1.1147e+03
7.2902e-02	5.8763e+10	1.1148e+03
7.4363e-02	5.7690e+10	1.1149e+03
7.5853e-02	5.6653e+10	1.1149e+03
7.7374e-02	5.5457e+10	1.1150e+03
7.8925e-02	5.4330e+10	1.1150e+03
8.0507e-02	5.3328e+10	1.1151e+03
8.2121e-02	5.2332e+10	1.1152e+03
8.3767e-02	5.1317e+10	1.1152e+03
8.5446e-02	5.0221e+10	1.1153e+03
8.7159e-02	4.9133e+10	1.1153e+03
8.8906e-02	4.8217e+10	1.1154e+03
9.0688e-02	4.7234e+10	1.1155e+03
9.2506e-02	4.6291e+10	1.1156e+03
9.4360e-02	4.5196e+10	1.1157e+03
9.6251e-02	4.4347e+10	1.1158e+03
9.8181e-02	4.3448e+10	1.1160e+03
1.0015e-01	4.2574e+10	1.1161e+03
1.0216e-01	4.1784e+10	1.1162e+03
1.0420e-01	4.0930e+10	1.1163e+03
1.0629e-01	4.0003e+10	1.1164e+03
1.0842e-01	3.9115e+10	1.1165e+03
1.1060e-01	3.8288e+10	1.1167e+03
1.1281e-01	3.7489e+10	1.1168e+03
1.1507e-01	3.6756e+10	1.1169e+03
1.1738e-01	3.6014e+10	1.1170e+03
1.1973e-01	3.5174e+10	1.1171e+03
1.2213e-01	3.4356e+10	1.1172e+03
1.2458e-01	3.3600e+10	1.1174e+03
1.2708e-01	3.2860e+10	1.1175e+03
1.2963e-01	3.2196e+10	1.1176e+03
1.3223e-01	3.1558e+10	1.1177e+03
1.3488e-01	3.0914e+10	1.1178e+03
1.3758e-01	3.0278e+10	1.1180e+03
1.4034e-01	2.9624e+10	1.1181e+03
1.4315e-01	2.8889e+10	1.1182e+03
1.4602e-01	2.8281e+10	1.1183e+03
1.4895e-01	2.7658e+10	1.1185e+03
1.5193e-01	2.7065e+10	1.1187e+03
1.5498e-01	2.6431e+10	1.1189e+03
1.5808e-01	2.5818e+10	1.1190e+03
1.6125e-01	2.5209e+10	1.1192e+03
1.6449e-01	2.4594e+10	1.1194e+03
1.6778e-01	2.3995e+10	1.1196e+03
1.7115e-01	2.3433e+10	1.1197e+03
1.7458e-01	2.2992e+10	1.1199e+03
1.7808e-01	2.2426e+10	1.1201e+03
1.8165e-01	2.1892e+10	1.1203e+03
1.8529e-01	2.1374e+10	1.1204e+03
1.8900e-01	2.0828e+10	1.1206e+03
1.9279e-01	2.0307e+10	1.1208e+03
1.9665e-01	1.9828e+10	1.1209e+03
2.0060e-01	1.9351e+10	1.1211e+03
2.0462e-01	1.8869e+10	1.1214e+03
2.0872e-01	1.8422e+10	1.1216e+03
2.1290e-01	1.8018e+10	1.1218e+03
2.1717e-01	1.7535e+10	1.1221e+03
2.2152e-01	1.7086e+10	1.1223e+03
2.2596e-01	1.6670e+10	1.1225e+03
2.3049e-01	1.6286e+10	1.1228e+03
2.3511e-01	1.5888e+10	1.1230e+03
2.3983e-01	1.5462e+10	1.1232e+03
2.4463e-01	1.5057e+10	1.1235e+03
2.4954e-01	1.4638e+10	1.1237e+03
2.5454e-01	1.4228e+10	1.1239e+03
2.5964e-01	1.3835e+10	1.1242e+03
2.6484e-01	1.3448e+10	1.1245e+03
2.7015e-01	1.3069e+10	1.1248e+03
2.7557e-01	1.2724e+10	1.1251e+03
2.8109e-01	1.2406e+10	1.1254e+03
2.8673e-01	1.2068e+10	1.1256e+03
