Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.4876e+03
1.5000e-03	0.0000e+00	2.4881e+03
2.0000e-03	0.0000e+00	2.4885e+03
2.5000e-03	0.0000e+00	2.4888e+03
3.0000e-03	0.0000e+00	2.4890e+03
3.5000e-03	0.0000e+00	2.4892e+03
4.0000e-03	0.0000e+00	2.4894e+03
4.5000e-03	0.0000e+00	2.4896e+03
5.0000e-03	0.0000e+00	2.4897e+03
5.5000e-03	0.0000e+00	2.4898e+03
6.0000e-03	0.0000e+00	2.4900e+03
6.5000e-03	0.0000e+00	2.4901e+03
7.0000e-03	0.0000e+00	2.4902e+03
7.5000e-03	0.0000e+00	2.4902e+03
8.0000e-03	0.0000e+00	2.4903e+03
8.5000e-03	0.0000e+00	2.4904e+03
9.0000e-03	0.0000e+00	2.4905e+03
9.5000e-03	0.0000e+00	2.4906e+03
1.0000e-02	0.0000e+00	2.4906e+03
1.5000e-02	0.0000e+00	2.4912e+03
2.0000e-02	0.0000e+00	2.4916e+03
2.5000e-02	0.0000e+00	2.4919e+03
3.0000e-02	0.0000e+00	2.4921e+03
3.5000e-02	0.0000e+00	2.4924e+03
4.0000e-02	0.0000e+00	2.4933e+03
4.5000e-02	0.0000e+00	2.4941e+03
5.0000e-02	1.0965e+11	2.4948e+03
5.1002e-02	1.0724e+11	2.4949e+03
5.2025e-02	1.0507e+11	2.4950e+03
5.3067e-02	1.0295e+11	2.4952e+03
5.4131e-02	1.0075e+11	2.4953e+03
5.5216e-02	9.8539e+10	2.4954e+03
5.6323e-02	9.6398e+10	2.4956e+03
5.7452e-02	9.4396e+10	2.4957e+03
5.8604e-02	9.2455e+10	2.4958e+03
5.9778e-02	9.0582e+10	2.4960e+03
6.0977e-02	8.8728e+10	2.4961e+03
6.2199e-02	8.6782e+10	2.4962e+03
6.3446e-02	8.5060e+10	2.4964e+03
6.4717e-02	8.3327e+10	2.4965e+03
6.6015e-02	8.1582e+10	2.4966e+03
6.7338e-02	7.9701e+10	2.4968e+03
6.8688e-02	7.8043e+10	2.4969e+03
7.0065e-02	7.6371e+10	2.4970e+03
7.1469e-02	7.4710e+10	2.4972e+03
7.2902e-02	7.3034e+10	2.4973e+03
7.4363e-02	7.1453e+10	2.4974e+03
7.5853e-02	6.9924e+10	2.4975e+03
7.7374e-02	6.8415e+10	2.4977e+03
7.8925e-02	6.7061e+10	2.4978e+03
8.0507e-02	6.5690e+10	2.4979e+03
8.2121e-02	6.4268e+10	2.4981e+03
8.3767e-02	6.2928e+10	2.4982e+03
8.5446e-02	6.1655e+10	2.4983e+03
8.7159e-02	6.0296e+10	2.4985e+03
8.8906e-02	5.9010e+10	2.4986e+03
9.0688e-02	5.7714e+10	2.4988e+03
9.2506e-02	5.6489e+10	2.4991e+03
9.4360e-02	5.5275e+10	2.4993e+03
9.6251e-02	5.4148e+10	2.4996e+03
9.8181e-02	5.2838e+10	2.4999e+03
1.0015e-01	5.1663e+10	2.5001e+03
1.0216e-01	5.0570e+10	2.5004e+03
1.0420e-01	4.9439e+10	2.5007e+03
1.0629e-01	4.8366e+10	2.5009e+03
1.0842e-01	4.7317e+10	2.5012e+03
1.1060e-01	4.6280e+10	2.5015e+03
1.1281e-01	4.5229e+10	2.5017e+03
1.1507e-01	4.4208e+10	2.5020e+03
1.1738e-01	4.3260e+10	2.5022e+03
1.1973e-01	4.2299e+10	2.5025e+03
1.2213e-01	4.1326e+10	2.5028e+03
1.2458e-01	4.0369e+10	2.5030e+03
1.2708e-01	3.9465e+10	2.5033e+03
1.2963e-01	3.8620e+10	2.5036e+03
1.3223e-01	3.7813e+10	2.5038e+03
1.3488e-01	3.6940e+10	2.5041e+03
1.3758e-01	3.6071e+10	2.5043e+03
1.4034e-01	3.5275e+10	2.5046e+03
1.4315e-01	3.4537e+10	2.5049e+03
1.4602e-01	3.3738e+10	2.5052e+03
1.4895e-01	3.3014e+10	2.5056e+03
1.5193e-01	3.2316e+10	2.5060e+03
1.5498e-01	3.1595e+10	2.5064e+03
1.5808e-01	3.0937e+10	2.5068e+03
1.6125e-01	3.0244e+10	2.5072e+03
1.6449e-01	2.9602e+10	2.5075e+03
1.6778e-01	2.8938e+10	2.5079e+03
1.7115e-01	2.8316e+10	2.5083e+03
1.7458e-01	2.7678e+10	2.5087e+03
1.7808e-01	2.7090e+10	2.5091e+03
1.8165e-01	2.6510e+10	2.5095e+03
1.8529e-01	2.5908e+10	2.5099e+03
1.8900e-01	2.5352e+10	2.5103e+03
1.9279e-01	2.4762e+10	2.5107e+03
1.9665e-01	2.4216e+10	2.5111e+03
2.0060e-01	2.3670e+10	2.5115e+03
2.0462e-01	2.3114e+10	2.5120e+03
2.0872e-01	2.2592e+10	2.5125e+03
2.1290e-01	2.2058e+10	2.5130e+03
2.1717e-01	2.1560e+10	2.5136e+03
2.2152e-01	2.1054e+10	2.5141e+03
2.2596e-01	2.0568e+10	2.5146e+03
2.3049e-01	2.0093e+10	2.5151e+03
2.3511e-01	1.9634e+10	2.5156e+03
2.3983e-01	1.9184e+10	2.5161e+03
2.4463e-01	1.8724e+10	2.5167e+03
2.4954e-01	1.8281e+10	2.5172e+03
2.5454e-01	1.7870e+10	2.5177e+03
2.5964e-01	1.7435e+10	2.5183e+03
2.6484e-01	1.7023e+10	2.5190e+03
2.7015e-01	1.6625e+10	2.5196e+03
2.7557e-01	1.6255e+10	2.5203e+03
2.8109e-01	1.5878e+10	2.5209e+03
2.8673e-01	1.5485e+10	2.5216e+03
2.9247e-01	1.5114e+10	2.5222e+03
2.9834e-01	1.4741e+10	2.5229e+03
3.0432e-01	1.4396e+10	2.5235e+03
3.1042e-01	1.4053e+10	2.5242e+03
3.1664e-01	1.3727e+10	2.5249e+03
3.2299e-01	1.3410e+10	2.5257e+03
3.2946e-01	1.3080e+10	2.5265e+03
3.3606e-01	1.2758e+10	2.5273e+03
3.4280e-01	1.2453e+10	2.5280e+03
3.4967e-01	1.2140e+10	2.5288e+03
3.5668e-01	1.1843e+10	2.5296e+03
3.6383e-01	1.1560e+10	2.5303e+03
3.7112e-01	1.1275e+10	2.5312e+03
3.7856e-01	1.0996e+10	2.5321e+03
3.8615e-01	1.0727e+10	2.5330e+03
3.9389e-01	1.0454e+10	2.5339e+03
4.0179e-01	1.0198e+10	2.5348e+03
4.0984e-01	9.9467e+09	2.5357e+03
4.1806e-01	9.6959e+09	2.5366e+03
4.2644e-01	9.4469e+09	2.5376e+03
4.3498e-01	9.2082e+09	2.5386e+03
4.4370e-01	8.9729e+09	2.5397e+03
4.5260e-01	8.7567e+09	2.5407e+03
4.6167e-01	8.5347e+09	2.5417e+03
4.7092e-01	8.3094e+09	2.5427e+03
4.8036e-01	8.0844e+09	2.5438e+03
4.8999e-01	7.8678e+09	2.5449e+03
4.9981e-01	7.6484e+09	2.5461e+03
5.0983e-01	7.4343e+09	2.5472e+03
5.2005e-01	7.2436e+09	2.5483e+03
5.3048e-01	7.0421e+09	2.5495e+03
5.4111e-01	6.8487e+09	2.5507e+03
5.5196e-01	6.6589e+09	2.5519e+03
5.6302e-01	6.4742e+09	2.5532e+03
5.7431e-01	6.2858e+09	2.5544e+03
5.8582e-01	6.1105e+09	2.5557e+03
5.9756e-01	5.9363e+09	2.5570e+03
6.0954e-01	5.7700e+09	2.5583e+03
6.2176e-01	5.6104e+09	2.5597e+03
6.3422e-01	5.4542e+09	2.5610e+03
6.4693e-01	5.2965e+09	2.5624e+03
6.5990e-01	5.1371e+09	2.5638e+03
6.7313e-01	4.9836e+09	2.5652e+03
6.8662e-01	4.8290e+09	2.5667e+03
7.0038e-01	4.6791e+09	2.5681e+03
7.1442e-01	4.5386e+09	2.5697e+03
7.2874e-01	4.3971e+09	2.5713e+03
7.4335e-01	4.2646e+09	2.5728e+03
7.5825e-01	4.1342e+09	2.5744e+03
7.7345e-01	4.0094e+09	2.5762e+03
7.8896e-01	3.8871e+09	2.5780e+03
8.0477e-01	3.7692e+09	2.5797e+03
8.2090e-01	3.6514e+09	2.5816e+03
8.3736e-01	3.5394e+09	2.5834e+03
8.5414e-01	3.4239e+09	2.5853e+03
8.7126e-01	3.3159e+09	2.5873e+03
8.8873e-01	3.2004e+09	2.5893e+03
9.0654e-01	3.0890e+09	2.5913e+03
9.2471e-01	2.9904e+09	2.5934e+03
9.4325e-01	2.8898e+09	2.5955e+03
9.6216e-01	2.7921e+09	2.5977e+03
9.8144e-01	2.6991e+09	2.5999e+03
