# Energy(MeV) Phi16_Planare Phi84_Planare
5.000000e-02 8.485208e+10 1.362179e+11
5.100225e-02 8.323083e+10 1.330386e+11
5.202458e-02 8.165642e+10 1.298969e+11
5.306741e-02 8.011058e+10 1.269035e+11
5.413114e-02 7.871761e+10 1.239830e+11
5.521620e-02 7.712703e+10 1.211502e+11
5.632300e-02 7.555336e+10 1.185153e+11
5.745199e-02 7.418849e+10 1.159445e+11
5.860361e-02 7.273691e+10 1.132114e+11
5.977832e-02 7.128790e+10 1.106766e+11
6.097657e-02 6.990586e+10 1.081988e+11
6.219884e-02 6.853968e+10 1.058500e+11
6.344561e-02 6.730998e+10 1.035424e+11
6.471737e-02 6.596171e+10 1.011940e+11
6.601463e-02 6.460609e+10 9.890288e+10
6.733789e-02 6.330572e+10 9.667093e+10
6.868767e-02 6.215625e+10 9.450785e+10
7.006451e-02 6.104724e+10 9.224533e+10
7.146895e-02 5.994243e+10 9.013685e+10
7.290154e-02 5.876293e+10 8.804839e+10
7.436284e-02 5.768952e+10 8.605565e+10
7.585344e-02 5.665298e+10 8.414831e+10
7.737392e-02 5.545662e+10 8.222691e+10
7.892487e-02 5.433022e+10 8.031761e+10
8.050691e-02 5.332769e+10 7.847705e+10
8.212067e-02 5.233247e+10 7.675520e+10
8.376677e-02 5.131667e+10 7.496344e+10
8.544587e-02 5.022139e+10 7.325804e+10
8.715862e-02 4.913257e+10 7.156413e+10
8.890571e-02 4.821675e+10 6.992349e+10
9.068782e-02 4.723408e+10 6.837908e+10
9.250565e-02 4.629105e+10 6.691704e+10
9.435992e-02 4.519579e+10 6.555590e+10
9.625136e-02 4.434715e+10 6.414117e+10
9.818071e-02 4.344805e+10 6.273119e+10
1.001487e-01 4.257355e+10 6.136351e+10
1.021562e-01 4.178354e+10 6.000321e+10
1.042039e-01 4.092975e+10 5.863211e+10
1.062927e-01 4.000282e+10 5.735202e+10
1.084233e-01 3.911524e+10 5.609453e+10
1.105966e-01 3.828810e+10 5.486892e+10
1.128135e-01 3.748930e+10 5.366571e+10
1.150749e-01 3.675597e+10 5.247346e+10
1.173816e-01 3.601350e+10 5.130294e+10
1.197345e-01 3.517378e+10 5.019930e+10
1.221345e-01 3.435563e+10 4.902198e+10
1.245827e-01 3.359961e+10 4.781095e+10
1.270800e-01 3.285995e+10 4.667217e+10
1.296273e-01 3.219551e+10 4.557410e+10
1.322256e-01 3.155842e+10 4.450971e+10
1.348761e-01 3.091440e+10 4.346472e+10
1.375797e-01 3.027830e+10 4.244666e+10
1.403374e-01 2.962352e+10 4.148637e+10
1.431505e-01 2.888894e+10 4.050489e+10
1.460199e-01 2.828064e+10 3.958255e+10
1.489469e-01 2.765843e+10 3.871103e+10
1.519325e-01 2.706475e+10 3.781478e+10
1.549780e-01 2.643117e+10 3.692984e+10
1.580845e-01 2.581797e+10 3.610401e+10
1.612533e-01 2.520887e+10 3.529555e+10
1.644856e-01 2.459450e+10 3.446460e+10
1.677827e-01 2.399451e+10 3.365402e+10
1.711459e-01 2.343346e+10 3.292524e+10
1.745765e-01 2.299242e+10 3.217381e+10
1.780759e-01 2.242641e+10 3.141041e+10
1.816454e-01 2.189221e+10 3.067153e+10
1.852865e-01 2.137414e+10 2.991660e+10
1.890005e-01 2.082752e+10 2.923052e+10
1.927890e-01 2.030684e+10 2.856735e+10
