# Energy(MeV) Fluence_Planare_Median(p/cm2)
5.000000e-02 1.096455e+11
5.100225e-02 1.072419e+11
5.202458e-02 1.050733e+11
5.306741e-02 1.029489e+11
5.413114e-02 1.007541e+11
5.521620e-02 9.853887e+10
5.632300e-02 9.639815e+10
5.745199e-02 9.439639e+10
5.860361e-02 9.245490e+10
5.977832e-02 9.058152e+10
6.097657e-02 8.872782e+10
6.219884e-02 8.678218e+10
6.344561e-02 8.505952e+10
6.471737e-02 8.332724e+10
6.601463e-02 8.158242e+10
6.733789e-02 7.970096e+10
6.868767e-02 7.804286e+10
7.006451e-02 7.637120e+10
7.146895e-02 7.470958e+10
7.290154e-02 7.303443e+10
7.436284e-02 7.145275e+10
7.585344e-02 6.992391e+10
7.737392e-02 6.841548e+10
7.892487e-02 6.706121e+10
8.050691e-02 6.569019e+10
8.212067e-02 6.426819e+10
8.376677e-02 6.292788e+10
8.544587e-02 6.165539e+10
8.715862e-02 6.029606e+10
8.890571e-02 5.901040e+10
9.068782e-02 5.771414e+10
9.250565e-02 5.648944e+10
9.435992e-02 5.527471e+10
9.625136e-02 5.414804e+10
9.818071e-02 5.283779e+10
1.001487e-01 5.166310e+10
1.021562e-01 5.056980e+10
1.042039e-01 4.943904e+10
1.062927e-01 4.836557e+10
1.084233e-01 4.731706e+10
1.105966e-01 4.627989e+10
1.128135e-01 4.522938e+10
1.150749e-01 4.420789e+10
1.173816e-01 4.325955e+10
1.197345e-01 4.229906e+10
1.221345e-01 4.132616e+10
1.245827e-01 4.036876e+10
1.270800e-01 3.946499e+10
1.296273e-01 3.861950e+10
1.322256e-01 3.781283e+10
1.348761e-01 3.694035e+10
1.375797e-01 3.607148e+10
1.403374e-01 3.527522e+10
1.431505e-01 3.453744e+10
1.460199e-01 3.373803e+10
1.489469e-01 3.301424e+10
1.519325e-01 3.231610e+10
1.549780e-01 3.159513e+10
1.580845e-01 3.093691e+10
1.612533e-01 3.024437e+10
1.644856e-01 2.960150e+10
1.677827e-01 2.893792e+10
1.711459e-01 2.831615e+10
1.745765e-01 2.767825e+10
1.780759e-01 2.709029e+10
1.816454e-01 2.650988e+10
1.852865e-01 2.590826e+10
1.890005e-01 2.535196e+10
1.927890e-01 2.476213e+10
1.966535e-01 2.421577e+10
2.005954e-01 2.366977e+10
2.046163e-01 2.311424e+10
2.087178e-01 2.259167e+10
2.129015e-01 2.205762e+10
2.171691e-01 2.155964e+10
2.215223e-01 2.105400e+10
2.259627e-01 2.056757e+10
2.304921e-01 2.009320e+10
2.351123e-01 1.963450e+10
2.398251e-01 1.918398e+10
2.446324e-01 1.872397e+10
2.495360e-01 1.828135e+10
2.545379e-01 1.787030e+10
2.596401e-01 1.743471e+10
2.648446e-01 1.702329e+10
2.701534e-01 1.662541e+10
2.755686e-01 1.625456e+10
