# Energy(MeV) Phi16_Sferica Phi84_Sferica
5.000000e-02 3.394083e+11 5.448715e+11
5.100225e-02 3.329233e+11 5.321545e+11
5.202458e-02 3.266257e+11 5.195875e+11
5.306741e-02 3.204423e+11 5.076141e+11
5.413114e-02 3.148704e+11 4.959322e+11
5.521620e-02 3.085081e+11 4.846010e+11
5.632300e-02 3.022135e+11 4.740611e+11
5.745199e-02 2.967540e+11 4.637781e+11
5.860361e-02 2.909476e+11 4.528456e+11
5.977832e-02 2.851516e+11 4.427065e+11
6.097657e-02 2.796234e+11 4.327950e+11
6.219884e-02 2.741587e+11 4.234002e+11
6.344561e-02 2.692399e+11 4.141698e+11
6.471737e-02 2.638468e+11 4.047758e+11
6.601463e-02 2.584244e+11 3.956115e+11
6.733789e-02 2.532229e+11 3.866837e+11
6.868767e-02 2.486250e+11 3.780314e+11
7.006451e-02 2.441889e+11 3.689813e+11
7.146895e-02 2.397697e+11 3.605474e+11
7.290154e-02 2.350517e+11 3.521936e+11
7.436284e-02 2.307581e+11 3.442226e+11
7.585344e-02 2.266119e+11 3.365933e+11
7.737392e-02 2.218265e+11 3.289076e+11
7.892487e-02 2.173209e+11 3.212704e+11
8.050691e-02 2.133108e+11 3.139082e+11
8.212067e-02 2.093299e+11 3.070208e+11
8.376677e-02 2.052667e+11 2.998538e+11
8.544587e-02 2.008856e+11 2.930322e+11
8.715862e-02 1.965303e+11 2.862565e+11
8.890571e-02 1.928670e+11 2.796939e+11
9.068782e-02 1.889363e+11 2.735163e+11
9.250565e-02 1.851642e+11 2.676682e+11
9.435992e-02 1.807832e+11 2.622236e+11
9.625136e-02 1.773886e+11 2.565647e+11
9.818071e-02 1.737922e+11 2.509248e+11
1.001487e-01 1.702942e+11 2.454540e+11
1.021562e-01 1.671342e+11 2.400128e+11
1.042039e-01 1.637190e+11 2.345284e+11
1.062927e-01 1.600113e+11 2.294081e+11
1.084233e-01 1.564610e+11 2.243781e+11
1.105966e-01 1.531524e+11 2.194757e+11
1.128135e-01 1.499572e+11 2.146628e+11
1.150749e-01 1.470239e+11 2.098938e+11
1.173816e-01 1.440540e+11 2.052118e+11
1.197345e-01 1.406951e+11 2.007972e+11
1.221345e-01 1.374225e+11 1.960879e+11
1.245827e-01 1.343984e+11 1.912438e+11
1.270800e-01 1.314398e+11 1.866887e+11
1.296273e-01 1.287820e+11 1.822964e+11
1.322256e-01 1.262337e+11 1.780388e+11
1.348761e-01 1.236576e+11 1.738589e+11
1.375797e-01 1.211132e+11 1.697866e+11
1.403374e-01 1.184941e+11 1.659455e+11
1.431505e-01 1.155557e+11 1.620195e+11
1.460199e-01 1.131226e+11 1.583302e+11
1.489469e-01 1.106337e+11 1.548441e+11
1.519325e-01 1.082590e+11 1.512591e+11
1.549780e-01 1.057247e+11 1.477194e+11
1.580845e-01 1.032719e+11 1.444160e+11
1.612533e-01 1.008355e+11 1.411822e+11
1.644856e-01 9.837801e+10 1.378584e+11
1.677827e-01 9.597806e+10 1.346161e+11
1.711459e-01 9.373383e+10 1.317010e+11
