# Energy(MeV) Fluence_Sferica_Median(p/cm2)
5.000000e-02 4.385819e+11
5.100225e-02 4.289674e+11
5.202458e-02 4.202930e+11
5.306741e-02 4.117956e+11
5.413114e-02 4.030164e+11
5.521620e-02 3.941555e+11
5.632300e-02 3.855926e+11
5.745199e-02 3.775856e+11
5.860361e-02 3.698196e+11
5.977832e-02 3.623261e+11
6.097657e-02 3.549113e+11
6.219884e-02 3.471287e+11
6.344561e-02 3.402381e+11
6.471737e-02 3.333090e+11
6.601463e-02 3.263297e+11
6.733789e-02 3.188038e+11
6.868767e-02 3.121715e+11
7.006451e-02 3.054848e+11
7.146895e-02 2.988383e+11
7.290154e-02 2.921377e+11
7.436284e-02 2.858110e+11
7.585344e-02 2.796956e+11
7.737392e-02 2.736619e+11
7.892487e-02 2.682448e+11
8.050691e-02 2.627608e+11
8.212067e-02 2.570728e+11
8.376677e-02 2.517115e+11
8.544587e-02 2.466216e+11
8.715862e-02 2.411842e+11
8.890571e-02 2.360416e+11
9.068782e-02 2.308566e+11
9.250565e-02 2.259578e+11
9.435992e-02 2.210988e+11
9.625136e-02 2.165922e+11
9.818071e-02 2.113512e+11
1.001487e-01 2.066524e+11
1.021562e-01 2.022792e+11
1.042039e-01 1.977562e+11
1.062927e-01 1.934623e+11
1.084233e-01 1.892683e+11
1.105966e-01 1.851196e+11
1.128135e-01 1.809175e+11
1.150749e-01 1.768316e+11
1.173816e-01 1.730382e+11
1.197345e-01 1.691962e+11
1.221345e-01 1.653046e+11
1.245827e-01 1.614750e+11
1.270800e-01 1.578599e+11
1.296273e-01 1.544780e+11
1.322256e-01 1.512513e+11
1.348761e-01 1.477614e+11
1.375797e-01 1.442859e+11
1.403374e-01 1.411009e+11
1.431505e-01 1.381498e+11
1.460199e-01 1.349521e+11
1.489469e-01 1.320570e+11
1.519325e-01 1.292644e+11
1.549780e-01 1.263805e+11
1.580845e-01 1.237476e+11
1.612533e-01 1.209775e+11
1.644856e-01 1.184060e+11
1.677827e-01 1.157517e+11
1.711459e-01 1.132646e+11
1.745765e-01 1.107130e+11
1.780759e-01 1.083612e+11
1.816454e-01 1.060395e+11
1.852865e-01 1.036330e+11
1.890005e-01 1.014078e+11
1.927890e-01 9.904854e+10
1.966535e-01 9.686306e+10
2.005954e-01 9.467908e+10
2.046163e-01 9.245697e+10
2.087178e-01 9.036668e+10
2.129015e-01 8.823049e+10
2.171691e-01 8.623856e+10
2.215223e-01 8.421601e+10
2.259627e-01 8.227030e+10
2.304921e-01 8.037279e+10
2.351123e-01 7.853798e+10
2.398251e-01 7.673591e+10
2.446324e-01 7.489589e+10
2.495360e-01 7.312538e+10
2.545379e-01 7.148121e+10
2.596401e-01 6.973884e+10
2.648446e-01 6.809316e+10
2.701534e-01 6.650165e+10
2.755686e-01 6.501822e+10
2.810923e-01 6.351037e+10
2.867268e-01 6.193900e+10
2.924742e-01 6.045634e+10
2.983368e-01 5.896439e+10
3.043170e-01 5.758248e+10
3.104170e-01 5.621248e+10
3.166393e-01 5.490816e+10
3.229863e-01 5.363916e+10
3.294605e-01 5.231976e+10
3.360645e-01 5.103078e+10
3.428009e-01 4.981318e+10
3.496723e-01 4.856094e+10
3.566815e-01 4.737368e+10
3.638311e-01 4.624201e+10
3.711241e-01 4.510011e+10
3.785633e-01 4.398407e+10
3.861515e-01 4.290916e+10
3.938919e-01 4.181788e+10
4.017874e-01 4.079341e+10
4.098412e-01 3.978687e+10
4.180565e-01 3.878357e+10
4.264364e-01 3.778769e+10
4.349843e-01 3.683267e+10
4.437035e-01 3.589146e+10
4.525975e-01 3.502676e+10
4.616698e-01 3.413897e+10
4.709239e-01 3.323767e+10
4.803635e-01 3.233765e+10
4.899924e-01 3.147110e+10
4.998143e-01 3.059353e+10
5.098330e-01 2.973712e+10
5.200526e-01 2.897449e+10
5.304770e-01 2.816852e+10
5.411103e-01 2.739476e+10
5.519569e-01 2.663568e+10
5.630208e-01 2.589693e+10
5.743065e-01 2.514332e+10
5.858184e-01 2.444191e+10
5.975611e-01 2.374528e+10
6.095392e-01 2.308016e+10
6.217573e-01 2.244158e+10
6.342204e-01 2.181695e+10
6.469333e-01 2.118596e+10
6.599011e-01 2.054839e+10
6.731287e-01 1.993458e+10
6.866215e-01 1.931592e+10
7.003848e-01 1.871651e+10
7.144240e-01 1.815431e+10
7.287445e-01 1.758848e+10
7.433522e-01 1.705828e+10
7.582526e-01 1.653666e+10
7.734517e-01 1.603768e+10
7.889555e-01 1.554856e+10
8.047701e-01 1.507671e+10
8.209016e-01 1.460561e+10
8.373565e-01 1.415769e+10
8.541413e-01 1.369570e+10
8.712625e-01 1.326353e+10
8.887268e-01 1.280161e+10
9.065413e-01 1.235580e+10
9.247129e-01 1.196158e+10
9.432487e-01 1.155925e+10
9.621560e-01 1.116827e+10
9.814423e-01 1.079632e+10
1.001115e+00 1.042408e+10
1.021183e+00 1.005935e+10
1.041652e+00 9.709477e+09
1.062532e+00 9.355488e+09
1.083830e+00 9.016572e+09
1.105556e+00 8.688450e+09
1.127716e+00 8.360470e+09
1.150321e+00 8.068652e+09
1.173379e+00 7.785442e+09
1.196900e+00 7.507831e+09
1.220892e+00 7.241462e+09
1.245364e+00 6.969555e+09
1.270327e+00 6.714837e+09
1.295791e+00 6.460117e+09
1.321765e+00 6.212976e+09
1.348260e+00 5.967534e+09
1.375286e+00 5.724588e+09
1.402853e+00 5.501195e+09
1.430973e+00 5.273574e+09
1.459657e+00 5.065732e+09
1.488916e+00 4.870209e+09
1.518761e+00 4.664851e+09
1.549204e+00 4.475210e+09
1.580258e+00 4.278133e+09
1.611934e+00 4.098912e+09
1.644245e+00 3.926448e+09
1.677204e+00 3.769091e+09
1.710823e+00 3.606926e+09
1.745117e+00 3.450563e+09
1.780097e+00 3.296956e+09
1.815779e+00 3.148698e+09
1.852176e+00 3.004949e+09
1.889303e+00 2.868437e+09
1.927174e+00 2.730403e+09
1.965804e+00 2.610911e+09
2.005209e+00 2.495936e+09
