Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.1101e+03
1.5000e-03	0.0000e+00	3.1108e+03
2.0000e-03	0.0000e+00	3.1112e+03
2.5000e-03	0.0000e+00	3.1116e+03
3.0000e-03	0.0000e+00	3.1119e+03
3.5000e-03	0.0000e+00	3.1122e+03
4.0000e-03	0.0000e+00	3.1124e+03
4.5000e-03	0.0000e+00	3.1126e+03
5.0000e-03	0.0000e+00	3.1128e+03
5.5000e-03	0.0000e+00	3.1129e+03
6.0000e-03	0.0000e+00	3.1131e+03
6.5000e-03	0.0000e+00	3.1132e+03
7.0000e-03	0.0000e+00	3.1133e+03
7.5000e-03	0.0000e+00	3.1135e+03
8.0000e-03	0.0000e+00	3.1136e+03
8.5000e-03	0.0000e+00	3.1137e+03
9.0000e-03	0.0000e+00	3.1138e+03
9.5000e-03	0.0000e+00	3.1138e+03
1.0000e-02	0.0000e+00	3.1139e+03
1.5000e-02	0.0000e+00	3.1146e+03
2.0000e-02	0.0000e+00	3.1151e+03
2.5000e-02	0.0000e+00	3.1155e+03
3.0000e-02	0.0000e+00	3.1158e+03
3.5000e-02	0.0000e+00	3.1162e+03
4.0000e-02	0.0000e+00	3.1173e+03
4.5000e-02	0.0000e+00	3.1182e+03
5.0000e-02	0.0000e+00	3.1191e+03
5.5000e-02	0.0000e+00	3.1199e+03
6.0000e-02	0.0000e+00	3.1206e+03
6.5000e-02	0.0000e+00	3.1213e+03
7.0000e-02	0.0000e+00	3.1219e+03
7.5000e-02	0.0000e+00	3.1225e+03
8.0000e-02	0.0000e+00	3.1230e+03
8.5000e-02	0.0000e+00	3.1235e+03
9.0000e-02	0.0000e+00	3.1240e+03
9.5000e-02	0.0000e+00	3.1249e+03
1.0000e-01	2.5363e+12	3.1258e+03
1.0155e-01	2.4336e+12	3.1260e+03
1.0312e-01	2.3351e+12	3.1263e+03
1.0472e-01	2.2407e+12	3.1266e+03
1.0634e-01	2.1505e+12	3.1268e+03
1.0799e-01	2.0640e+12	3.1271e+03
1.0966e-01	1.9811e+12	3.1273e+03
1.1136e-01	1.9018e+12	3.1276e+03
1.1309e-01	1.8258e+12	3.1278e+03
1.1484e-01	1.7527e+12	3.1281e+03
1.1662e-01	1.6826e+12	3.1283e+03
1.1843e-01	1.6154e+12	3.1286e+03
1.2026e-01	1.5506e+12	3.1289e+03
1.2213e-01	1.4881e+12	3.1291e+03
1.2402e-01	1.4283e+12	3.1294e+03
1.2594e-01	1.3707e+12	3.1296e+03
