Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.3984e+03
1.5000e-03	0.0000e+00	3.3992e+03
2.0000e-03	0.0000e+00	3.3997e+03
2.5000e-03	0.0000e+00	3.4001e+03
3.0000e-03	0.0000e+00	3.4004e+03
3.5000e-03	0.0000e+00	3.4007e+03
4.0000e-03	0.0000e+00	3.4010e+03
4.5000e-03	0.0000e+00	3.4012e+03
5.0000e-03	0.0000e+00	3.4014e+03
5.5000e-03	0.0000e+00	3.4015e+03
6.0000e-03	0.0000e+00	3.4017e+03
6.5000e-03	0.0000e+00	3.4018e+03
7.0000e-03	0.0000e+00	3.4020e+03
7.5000e-03	0.0000e+00	3.4021e+03
8.0000e-03	0.0000e+00	3.4022e+03
8.5000e-03	0.0000e+00	3.4023e+03
9.0000e-03	0.0000e+00	3.4024e+03
9.5000e-03	0.0000e+00	3.4025e+03
1.0000e-02	0.0000e+00	3.4026e+03
1.5000e-02	0.0000e+00	3.4034e+03
2.0000e-02	0.0000e+00	3.4039e+03
2.5000e-02	0.0000e+00	3.4043e+03
3.0000e-02	0.0000e+00	3.4046e+03
3.5000e-02	0.0000e+00	3.4051e+03
4.0000e-02	0.0000e+00	3.4063e+03
4.5000e-02	0.0000e+00	3.4073e+03
5.0000e-02	0.0000e+00	3.4083e+03
5.5000e-02	0.0000e+00	3.4092e+03
6.0000e-02	0.0000e+00	3.4100e+03
6.5000e-02	0.0000e+00	3.4107e+03
7.0000e-02	0.0000e+00	3.4114e+03
7.5000e-02	0.0000e+00	3.4120e+03
8.0000e-02	0.0000e+00	3.4126e+03
8.5000e-02	0.0000e+00	3.4131e+03
9.0000e-02	0.0000e+00	3.4137e+03
9.5000e-02	0.0000e+00	3.4147e+03
1.0000e-01	3.2284e+12	3.4156e+03
1.0155e-01	3.0955e+12	3.4159e+03
1.0312e-01	2.9681e+12	3.4162e+03
1.0472e-01	2.8458e+12	3.4164e+03
1.0634e-01	2.7291e+12	3.4167e+03
1.0799e-01	2.6174e+12	3.4170e+03
1.0966e-01	2.5102e+12	3.4173e+03
1.1136e-01	2.4075e+12	3.4176e+03
1.1309e-01	2.3089e+12	3.4178e+03
1.1484e-01	2.2144e+12	3.4181e+03
1.1662e-01	2.1240e+12	3.4184e+03
1.1843e-01	2.0370e+12	3.4187e+03
1.2026e-01	1.9538e+12	3.4190e+03
1.2213e-01	1.8740e+12	3.4192e+03
1.2402e-01	1.7975e+12	3.4195e+03
1.2594e-01	1.7241e+12	3.4198e+03
1.2789e-01	1.6537e+12	3.4201e+03
1.2987e-01	1.5861e+12	3.4204e+03
1.3189e-01	1.5214e+12	3.4206e+03
1.3393e-01	1.4592e+12	3.4209e+03
1.3601e-01	1.3995e+12	3.4212e+03
1.3811e-01	1.3423e+12	3.4215e+03
1.4025e-01	1.2873e+12	3.4217e+03
1.4243e-01	1.2346e+12	3.4220e+03
1.4463e-01	1.1838e+12	3.4223e+03
1.4687e-01	1.1350e+12	3.4227e+03
1.4915e-01	1.0883e+12	3.4231e+03
1.5146e-01	1.0434e+12	3.4236e+03
1.5381e-01	1.0005e+12	3.4240e+03
1.5619e-01	9.5926e+11	3.4244e+03
1.5861e-01	9.1989e+11	3.4248e+03
1.6107e-01	8.8233e+11	3.4252e+03
1.6356e-01	8.4626e+11	3.4256e+03
1.6610e-01	8.1165e+11	3.4260e+03
1.6867e-01	7.7845e+11	3.4265e+03
1.7129e-01	7.4662e+11	3.4269e+03
1.7394e-01	7.1608e+11	3.4273e+03
1.7664e-01	6.8673e+11	3.4277e+03
