Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	8.0060e+03
1.5000e-03	0.0000e+00	8.0074e+03
2.0000e-03	0.0000e+00	8.0084e+03
2.5000e-03	0.0000e+00	8.0092e+03
3.0000e-03	0.0000e+00	8.0098e+03
3.5000e-03	0.0000e+00	8.0103e+03
4.0000e-03	0.0000e+00	8.0107e+03
4.5000e-03	0.0000e+00	8.0111e+03
5.0000e-03	0.0000e+00	8.0114e+03
5.5000e-03	0.0000e+00	8.0117e+03
6.0000e-03	0.0000e+00	8.0120e+03
6.5000e-03	0.0000e+00	8.0123e+03
7.0000e-03	0.0000e+00	8.0125e+03
7.5000e-03	0.0000e+00	8.0128e+03
8.0000e-03	0.0000e+00	8.0130e+03
8.5000e-03	0.0000e+00	8.0132e+03
9.0000e-03	0.0000e+00	8.0134e+03
9.5000e-03	0.0000e+00	8.0136e+03
1.0000e-02	0.0000e+00	8.0137e+03
1.5000e-02	0.0000e+00	8.0151e+03
2.0000e-02	0.0000e+00	8.0161e+03
2.5000e-02	0.0000e+00	8.0169e+03
3.0000e-02	0.0000e+00	8.0175e+03
3.5000e-02	0.0000e+00	8.0182e+03
4.0000e-02	0.0000e+00	8.0190e+03
4.5000e-02	0.0000e+00	8.0198e+03
5.0000e-02	0.0000e+00	8.0206e+03
5.5000e-02	0.0000e+00	8.0214e+03
6.0000e-02	0.0000e+00	8.0221e+03
6.5000e-02	0.0000e+00	8.0228e+03
7.0000e-02	0.0000e+00	8.0234e+03
7.5000e-02	0.0000e+00	8.0241e+03
8.0000e-02	0.0000e+00	8.0248e+03
8.5000e-02	0.0000e+00	8.0256e+03
9.0000e-02	0.0000e+00	8.0264e+03
9.5000e-02	0.0000e+00	8.0272e+03
1.0000e-01	1.0145e+13	8.0280e+03
1.0155e-01	9.7345e+12	8.0283e+03
1.0312e-01	9.3405e+12	8.0285e+03
1.0472e-01	8.9626e+12	8.0287e+03
1.0634e-01	8.6021e+12	8.0290e+03
1.0799e-01	8.2561e+12	8.0293e+03
1.0966e-01	7.9242e+12	8.0295e+03
1.1136e-01	7.6073e+12	8.0298e+03
1.1309e-01	7.3031e+12	8.0301e+03
1.1484e-01	7.0110e+12	8.0303e+03
1.1662e-01	6.7306e+12	8.0306e+03
1.1843e-01	6.4614e+12	8.0309e+03
1.2026e-01	6.2022e+12	8.0312e+03
1.2213e-01	5.9524e+12	8.0315e+03
1.2402e-01	5.7131e+12	8.0318e+03
1.2594e-01	5.4828e+12	8.0322e+03
1.2789e-01	5.2620e+12	8.0325e+03
1.2987e-01	5.0503e+12	8.0329e+03
1.3189e-01	4.8471e+12	8.0332e+03
1.3393e-01	4.6524e+12	8.0336e+03
1.3601e-01	4.4661e+12	8.0339e+03
1.3811e-01	4.2872e+12	8.0343e+03
1.4025e-01	4.1155e+12	8.0347e+03
1.4243e-01	3.9506e+12	8.0351e+03
1.4463e-01	3.7924e+12	8.0355e+03
1.4687e-01	3.6405e+12	8.0359e+03
1.4915e-01	3.4944e+12	8.0362e+03
1.5146e-01	3.3540e+12	8.0366e+03
