Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	7.0601e+03
1.5000e-03	0.0000e+00	7.0613e+03
2.0000e-03	0.0000e+00	7.0622e+03
2.5000e-03	0.0000e+00	7.0629e+03
3.0000e-03	0.0000e+00	7.0634e+03
3.5000e-03	0.0000e+00	7.0638e+03
4.0000e-03	0.0000e+00	7.0642e+03
4.5000e-03	0.0000e+00	7.0645e+03
5.0000e-03	0.0000e+00	7.0648e+03
5.5000e-03	0.0000e+00	7.0651e+03
6.0000e-03	0.0000e+00	7.0654e+03
6.5000e-03	0.0000e+00	7.0656e+03
7.0000e-03	0.0000e+00	7.0658e+03
7.5000e-03	0.0000e+00	7.0660e+03
8.0000e-03	0.0000e+00	7.0662e+03
8.5000e-03	0.0000e+00	7.0664e+03
9.0000e-03	0.0000e+00	7.0665e+03
9.5000e-03	0.0000e+00	7.0667e+03
1.0000e-02	0.0000e+00	7.0669e+03
1.5000e-02	0.0000e+00	7.0680e+03
2.0000e-02	0.0000e+00	7.0689e+03
2.5000e-02	0.0000e+00	7.0696e+03
3.0000e-02	0.0000e+00	7.0702e+03
3.5000e-02	0.0000e+00	7.0708e+03
4.0000e-02	0.0000e+00	7.0715e+03
4.5000e-02	0.0000e+00	7.0722e+03
5.0000e-02	0.0000e+00	7.0729e+03
5.5000e-02	0.0000e+00	7.0736e+03
6.0000e-02	0.0000e+00	7.0742e+03
6.5000e-02	0.0000e+00	7.0748e+03
7.0000e-02	0.0000e+00	7.0754e+03
7.5000e-02	0.0000e+00	7.0759e+03
8.0000e-02	0.0000e+00	7.0766e+03
8.5000e-02	0.0000e+00	7.0773e+03
9.0000e-02	0.0000e+00	7.0780e+03
9.5000e-02	0.0000e+00	7.0787e+03
1.0000e-01	7.8847e+12	7.0794e+03
1.0155e-01	7.5732e+12	7.0796e+03
1.0312e-01	7.2739e+12	7.0798e+03
1.0472e-01	6.9865e+12	7.0801e+03
1.0634e-01	6.7104e+12	7.0803e+03
1.0799e-01	6.4453e+12	7.0805e+03
1.0966e-01	6.1910e+12	7.0808e+03
1.1136e-01	5.9468e+12	7.0810e+03
1.1309e-01	5.7122e+12	7.0812e+03
1.1484e-01	5.4876e+12	7.0815e+03
1.1662e-01	5.2737e+12	7.0817e+03
1.1843e-01	5.0660e+12	7.0819e+03
1.2026e-01	4.8671e+12	7.0822e+03
1.2213e-01	4.6762e+12	7.0825e+03
1.2402e-01	4.4930e+12	7.0828e+03
1.2594e-01	4.3148e+12	7.0831e+03
1.2789e-01	4.1437e+12	7.0834e+03
1.2987e-01	3.9796e+12	7.0837e+03
1.3189e-01	3.8222e+12	7.0840e+03
1.3393e-01	3.6722e+12	7.0843e+03
1.3601e-01	3.5292e+12	7.0846e+03
1.3811e-01	3.3919e+12	7.0850e+03
1.4025e-01	3.2580e+12	7.0853e+03
1.4243e-01	3.1289e+12	7.0856e+03
1.4463e-01	3.0058e+12	7.0860e+03
1.4687e-01	2.8878e+12	7.0863e+03
1.4915e-01	2.7745e+12	7.0867e+03
1.5146e-01	2.6657e+12	7.0870e+03
1.5381e-01	2.5611e+12	7.0874e+03
1.5619e-01	2.4590e+12	7.0877e+03
1.5861e-01	2.3607e+12	7.0881e+03
1.6107e-01	2.2663e+12	7.0884e+03
1.6356e-01	2.1757e+12	7.0888e+03
1.6610e-01	2.0887e+12	7.0893e+03
1.6867e-01	2.0053e+12	7.0897e+03
1.7129e-01	1.9258e+12	7.0901e+03
1.7394e-01	1.8499e+12	7.0906e+03
1.7664e-01	1.7771e+12	7.0910e+03
1.7937e-01	1.7072e+12	7.0915e+03
1.8215e-01	1.6400e+12	7.0919e+03
1.8497e-01	1.5755e+12	7.0924e+03
1.8784e-01	1.5135e+12	7.0928e+03
1.9075e-01	1.4539e+12	7.0932e+03
1.9371e-01	1.3967e+12	7.0937e+03
1.9671e-01	1.3418e+12	7.0942e+03
1.9976e-01	1.2883e+12	7.0946e+03
2.0285e-01	1.2369e+12	7.0951e+03
2.0599e-01	1.1876e+12	7.0956e+03
2.0919e-01	1.1402e+12	7.0961e+03
2.1243e-01	1.0948e+12	7.0966e+03
2.1572e-01	1.0511e+12	7.0972e+03
2.1906e-01	1.0096e+12	7.0977e+03
2.2246e-01	9.6998e+11	7.0983e+03
2.2590e-01	9.3189e+11	7.0989e+03
2.2940e-01	8.9529e+11	7.0994e+03
2.3296e-01	8.6013e+11	7.1000e+03
2.3657e-01	8.2635e+11	7.1005e+03
2.4023e-01	7.9390e+11	7.1011e+03
2.4396e-01	7.6272e+11	7.1017e+03
2.4774e-01	7.3277e+11	7.1023e+03
2.5158e-01	7.0399e+11	7.1029e+03
2.5547e-01	6.7632e+11	7.1036e+03
2.5943e-01	6.4956e+11	7.1042e+03
2.6345e-01	6.2385e+11	7.1048e+03
2.6753e-01	5.9918e+11	7.1055e+03
2.7168e-01	5.7549e+11	7.1061e+03
2.7589e-01	5.5273e+11	7.1068e+03
2.8016e-01	5.3087e+11	7.1074e+03
2.8451e-01	5.0988e+11	7.1081e+03
2.8891e-01	4.8971e+11	7.1087e+03
2.9339e-01	4.7022e+11	7.1094e+03
2.9794e-01	4.5145e+11	7.1101e+03
3.0255e-01	4.3361e+11	7.1109e+03
3.0724e-01	4.1652e+11	7.1116e+03
3.1200e-01	4.0010e+11	7.1124e+03
3.1684e-01	3.8426e+11	7.1131e+03
3.2175e-01	3.6904e+11	7.1139e+03
3.2673e-01	3.5444e+11	7.1147e+03
3.3179e-01	3.4041e+11	7.1155e+03
3.3693e-01	3.2694e+11	7.1164e+03
3.4216e-01	3.1400e+11	7.1172e+03
3.4746e-01	3.0158e+11	7.1180e+03
3.5284e-01	2.8966e+11	7.1189e+03
3.5831e-01	2.7822e+11	7.1197e+03
3.6386e-01	2.6723e+11	7.1206e+03
3.6950e-01	2.5678e+11	7.1214e+03
3.7522e-01	2.4675e+11	7.1223e+03
3.8104e-01	2.3710e+11	7.1232e+03
3.8694e-01	2.2772e+11	7.1241e+03
3.9294e-01	2.1869e+11	7.1251e+03
3.9903e-01	2.1002e+11	7.1260e+03
4.0521e-01	2.0170e+11	7.1270e+03
4.1149e-01	1.9370e+11	7.1280e+03
4.1786e-01	1.8602e+11	7.1291e+03
4.2434e-01	1.7865e+11	7.1301e+03
4.3091e-01	1.7157e+11	7.1312e+03
4.3759e-01	1.6477e+11	7.1322e+03
4.4437e-01	1.5827e+11	7.1333e+03
4.5126e-01	1.5203e+11	7.1344e+03
4.5825e-01	1.4603e+11	7.1354e+03
4.6535e-01	1.4025e+11	7.1365e+03
4.7256e-01	1.3470e+11	7.1377e+03
4.7988e-01	1.2938e+11	7.1388e+03
4.8732e-01	1.2424e+11	7.1400e+03
4.9487e-01	1.1932e+11	7.1412e+03
5.0254e-01	1.1459e+11	7.1424e+03
5.1032e-01	1.1004e+11	7.1436e+03
5.1823e-01	1.0566e+11	7.1449e+03
5.2626e-01	1.0146e+11	7.1462e+03
5.3442e-01	9.7439e+10	7.1475e+03
5.4270e-01	9.3574e+10	7.1488e+03
5.5111e-01	8.9863e+10	7.1501e+03
5.5965e-01	8.6303e+10	7.1515e+03
5.6832e-01	8.2884e+10	7.1529e+03
5.7712e-01	7.9613e+10	7.1544e+03
5.8607e-01	7.6483e+10	7.1558e+03
5.9515e-01	7.3475e+10	7.1573e+03
6.0437e-01	7.0586e+10	7.1588e+03
6.1373e-01	6.7806e+10	7.1604e+03
6.2324e-01	6.5110e+10	7.1619e+03
6.3290e-01	6.2522e+10	7.1635e+03
6.4271e-01	6.0036e+10	7.1651e+03
6.5267e-01	5.7653e+10	7.1669e+03
6.6278e-01	5.5391e+10	7.1687e+03
6.7305e-01	5.3197e+10	7.1705e+03
6.8348e-01	5.1085e+10	7.1723e+03
6.9407e-01	4.9084e+10	7.1741e+03
7.0482e-01	4.7133e+10	7.1760e+03
7.1574e-01	4.5256e+10	7.1778e+03
7.2683e-01	4.3449e+10	7.1797e+03
7.3810e-01	4.1719e+10	7.1817e+03
7.4953e-01	4.0066e+10	7.1836e+03
7.6115e-01	3.8479e+10	7.1857e+03
7.7294e-01	3.6955e+10	7.1877e+03
7.8492e-01	3.5492e+10	7.1897e+03
7.9708e-01	3.4088e+10	7.1918e+03
8.0943e-01	3.2740e+10	7.1938e+03
8.2197e-01	3.1445e+10	7.1958e+03
8.3471e-01	3.0198e+10	7.1979e+03
8.4764e-01	2.9006e+10	7.2000e+03
8.6078e-01	2.7854e+10	7.2021e+03
8.7412e-01	2.6740e+10	7.2042e+03
8.8766e-01	2.5672e+10	7.2064e+03
9.0142e-01	2.4649e+10	7.2086e+03
9.1538e-01	2.3662e+10	7.2108e+03
9.2957e-01	2.2717e+10	7.2131e+03
9.4397e-01	2.1816e+10	7.2155e+03
9.5860e-01	2.0950e+10	7.2178e+03
9.7345e-01	2.0118e+10	7.2202e+03
9.8853e-01	1.9317e+10	7.2226e+03
1.0039e+00	1.8548e+10	7.2251e+03
1.0194e+00	1.7806e+10	7.2275e+03
1.0352e+00	1.7084e+10	7.2300e+03
1.0512e+00	1.6402e+10	7.2326e+03
1.0675e+00	1.5758e+10	7.2351e+03
1.0841e+00	1.5128e+10	7.2378e+03
1.1009e+00	1.4532e+10	7.2404e+03
1.1179e+00	1.3953e+10	7.2431e+03
1.1353e+00	1.3405e+10	7.2457e+03
1.1528e+00	1.2865e+10	7.2485e+03
1.1707e+00	1.2354e+10	7.2513e+03
1.1888e+00	1.1867e+10	7.2541e+03
1.2073e+00	1.1395e+10	7.2570e+03
1.2260e+00	1.0942e+10	7.2599e+03
1.2450e+00	1.0506e+10	7.2629e+03
1.2643e+00	1.0088e+10	7.2660e+03
1.2838e+00	9.6869e+09	7.2691e+03
1.3037e+00	9.3024e+09	7.2722e+03
1.3239e+00	8.9338e+09	7.2754e+03
1.3445e+00	8.5797e+09	7.2786e+03
1.3653e+00	8.2397e+09	7.2819e+03
1.3864e+00	7.9132e+09	7.2853e+03
1.4079e+00	7.5996e+09	7.2886e+03
1.4297e+00	7.2985e+09	7.2920e+03
1.4519e+00	7.0098e+09	7.2953e+03
1.4744e+00	6.7333e+09	7.2988e+03
1.4972e+00	6.4627e+09	7.3023e+03
1.5204e+00	6.2036e+09	7.3060e+03
1.5440e+00	5.9568e+09	7.3097e+03
1.5679e+00	5.7206e+09	7.3134e+03
1.5922e+00	5.4917e+09	7.3173e+03
1.6169e+00	5.2731e+09	7.3212e+03
1.6419e+00	5.0633e+09	7.3251e+03
1.6674e+00	4.8622e+09	7.3291e+03
1.6932e+00	4.6674e+09	7.3332e+03
1.7195e+00	4.4813e+09	7.3373e+03
1.7461e+00	4.3026e+09	7.3416e+03
1.7732e+00	4.1310e+09	7.3459e+03
1.8006e+00	3.9651e+09	7.3502e+03
1.8285e+00	3.8076e+09	7.3547e+03
1.8569e+00	3.6563e+09	7.3592e+03
1.8856e+00	3.5113e+09	7.3637e+03
1.9149e+00	3.3731e+09	7.3683e+03
1.9445e+00	3.2403e+09	7.3730e+03
1.9747e+00	3.1122e+09	7.3778e+03
2.0053e+00	2.9886e+09	7.3826e+03
2.0363e+00	2.8699e+09	7.3876e+03
2.0679e+00	2.7559e+09	7.3926e+03
2.0999e+00	2.6465e+09	7.3976e+03
2.1325e+00	2.5418e+09	7.4027e+03
2.1655e+00	2.4418e+09	7.4079e+03
2.1991e+00	2.3457e+09	7.4131e+03
2.2331e+00	2.2535e+09	7.4184e+03
2.2677e+00	2.1650e+09	7.4238e+03
2.3029e+00	2.0797e+09	7.4292e+03
2.3386e+00	1.9965e+09	7.4347e+03
2.3748e+00	1.9162e+09	7.4402e+03
2.4116e+00	1.8398e+09	7.4459e+03
2.4490e+00	1.7666e+09	7.4517e+03
2.4869e+00	1.6960e+09	7.4576e+03
2.5254e+00	1.6282e+09	7.4636e+03
2.5646e+00	1.5632e+09	7.4696e+03
2.6043e+00	1.5004e+09	7.4758e+03
2.6447e+00	1.4405e+09	7.4821e+03
2.6856e+00	1.3829e+09	7.4884e+03
2.7273e+00	1.3279e+09	7.4949e+03
2.7695e+00	1.2747e+09	7.5015e+03
2.8124e+00	1.2241e+09	7.5080e+03
2.8560e+00	1.1752e+09	7.5146e+03
2.9003e+00	1.1284e+09	7.5214e+03
2.9452e+00	1.0833e+09	7.5286e+03
2.9908e+00	1.0403e+09	7.5358e+03
3.0372e+00	9.9894e+08	7.5434e+03
3.0842e+00	9.5912e+08	7.5510e+03
3.1320e+00	9.2070e+08	7.5588e+03
3.1806e+00	8.8396e+08	7.5665e+03
3.2298e+00	8.4883e+08	7.5742e+03
3.2799e+00	8.1512e+08	7.5821e+03
3.3307e+00	7.8276e+08	7.5901e+03
3.3823e+00	7.5166e+08	7.5981e+03
3.4347e+00	7.2175e+08	7.6062e+03
3.4880e+00	6.9304e+08	7.6145e+03
3.5420e+00	6.6526e+08	7.6227e+03
3.5969e+00	6.3833e+08	7.6311e+03
3.6526e+00	6.1284e+08	7.6396e+03
3.7092e+00	5.8844e+08	7.6483e+03
3.7667e+00	5.6500e+08	7.6572e+03
3.8251e+00	5.4243e+08	7.6662e+03
3.8843e+00	5.2092e+08	7.6753e+03
3.9445e+00	5.0008e+08	7.6846e+03
4.0056e+00	4.7999e+08	7.6948e+03
4.0677e+00	4.6076e+08	7.7058e+03
4.1307e+00	4.4240e+08	7.7171e+03
4.1947e+00	4.2475e+08	7.7273e+03
4.2597e+00	4.0762e+08	7.7371e+03
4.3257e+00	3.9124e+08	7.7473e+03
4.3928e+00	3.7569e+08	7.7576e+03
4.4608e+00	3.6080e+08	7.7681e+03
4.5300e+00	3.4640e+08	7.7788e+03
4.6001e+00	3.3240e+08	7.7896e+03
4.6714e+00	3.1920e+08	7.8006e+03
4.7438e+00	3.0645e+08	7.8116e+03
4.8173e+00	2.9406e+08	7.8226e+03
4.8920e+00	2.8220e+08	7.8339e+03
4.9678e+00	2.7081e+08	7.8454e+03
5.0447e+00	2.5989e+08	7.8570e+03
5.1229e+00	2.4946e+08	7.8687e+03
5.2023e+00	2.3936e+08	7.8808e+03
5.2829e+00	2.2955e+08	7.8929e+03
5.3647e+00	2.2031e+08	7.9051e+03
5.4479e+00	2.1142e+08	7.9175e+03
5.5323e+00	2.0278e+08	7.9302e+03
5.6180e+00	1.9467e+08	7.9427e+03
