# Energy(MeV) Phi16_Planar Phi84_Planar
5.000000e-02 1.261984e+11 1.725284e+13
5.049814e-02 1.244803e+11 1.679143e+13
5.100123e-02 1.227849e+11 1.634236e+13
5.150934e-02 1.211120e+11 1.590530e+13
5.202252e-02 1.194612e+11 1.547128e+13
5.254080e-02 1.178324e+11 1.504748e+13
5.306425e-02 1.162252e+11 1.463529e+13
5.359291e-02 1.146393e+11 1.423438e+13
5.412684e-02 1.130745e+11 1.384446e+13
5.466609e-02 1.115304e+11 1.346522e+13
5.521071e-02 1.100068e+11 1.309637e+13
5.576076e-02 1.085035e+11 1.273762e+13
5.631629e-02 1.070201e+11 1.238870e+13
5.687735e-02 1.055564e+11 1.204933e+13
5.744400e-02 1.041121e+11 1.171926e+13
5.801630e-02 1.026870e+11 1.139823e+13
5.859430e-02 1.012809e+11 1.108600e+13
5.917806e-02 9.989340e+10 1.078231e+13
5.976763e-02 9.852436e+10 1.048626e+13
6.036308e-02 9.717371e+10 1.019615e+13
6.096446e-02 9.585371e+10 9.914064e+12
6.157183e-02 9.458718e+10 9.639784e+12
6.218525e-02 9.336797e+10 9.373090e+12
6.280478e-02 9.216393e+10 9.113774e+12
6.343049e-02 9.097706e+10 8.861631e+12
6.406243e-02 8.981553e+10 8.616463e+12
6.470066e-02 8.866828e+10 8.381858e+12
6.534526e-02 8.753512e+10 8.155503e+12
6.599627e-02 8.641589e+10 7.935262e+12
6.665377e-02 8.531042e+10 7.720970e+12
6.731782e-02 8.421854e+10 7.512465e+12
6.798849e-02 8.314008e+10 7.308732e+12
6.866584e-02 8.207489e+10 7.114334e+12
6.934994e-02 8.101607e+10 6.924961e+12
7.004085e-02 7.992195e+10 6.740627e+12
7.073865e-02 7.884207e+10 6.561199e+12
7.144339e-02 7.777624e+10 6.386827e+12
7.215516e-02 7.672428e+10 6.222027e+12
7.287402e-02 7.568602e+10 6.061477e+12
7.360005e-02 7.466128e+10 5.905068e+12
7.433330e-02 7.364989e+10 5.752692e+12
7.507386e-02 7.267013e+10 5.604246e+12
7.582180e-02 7.171682e+10 5.459628e+12
7.657719e-02 7.077550e+10 5.318740e+12
7.734011e-02 6.984601e+10 5.181486e+12
7.811062e-02 6.892821e+10 5.047521e+12
7.888881e-02 6.802195e+10 4.915695e+12
7.967476e-02 6.712709e+10 4.783120e+12
8.046854e-02 6.624792e+10 4.651681e+12
8.127022e-02 6.538561e+10 4.523855e+12
8.207989e-02 6.453401e+10 4.399543e+12
8.289763e-02 6.369299e+10 4.278649e+12
8.372351e-02 6.286242e+10 4.161077e+12
8.455763e-02 6.204217e+10 4.046737e+12
8.540005e-02 6.123212e+10 3.934580e+12
8.625086e-02 6.043213e+10 3.825060e+12
8.711015e-02 5.964209e+10 3.718587e+12
8.797801e-02 5.886188e+10 3.617778e+12
8.885451e-02 5.809137e+10 3.520208e+12
8.973974e-02 5.733045e+10 3.425269e+12
9.063379e-02 5.657900e+10 3.332891e+12
9.153674e-02 5.583690e+10 3.243003e+12
9.244870e-02 5.510404e+10 3.155540e+12
9.336974e-02 5.439043e+10 3.070435e+12
9.429995e-02 5.368737e+10 2.987625e+12
9.523943e-02 5.299290e+10 2.907048e+12
9.618827e-02 5.227954e+10 2.828644e+12
9.714657e-02 5.155786e+10 2.752332e+12
9.811441e-02 5.086709e+10 2.675790e+12
9.909190e-02 5.019035e+10 2.601376e+12
1.000791e-01 4.952666e+10 2.529032e+12
1.010762e-01 4.887125e+10 2.458699e+12
1.020832e-01 4.822405e+10 2.390322e+12
1.031002e-01 4.758493e+10 2.323847e+12
1.041274e-01 4.695381e+10 2.259225e+12
1.051647e-01 4.633059e+10 2.199551e+12
1.062125e-01 4.571517e+10 2.141452e+12
1.072706e-01 4.510745e+10 2.084893e+12
1.083393e-01 4.450748e+10 2.030112e+12
1.094187e-01 4.391610e+10 1.976769e+12
1.105088e-01 4.334180e+10 1.924827e+12
1.116098e-01 4.277585e+10 1.874250e+12
1.127217e-01 4.221706e+10 1.825000e+12
1.138447e-01 4.166511e+10 1.777044e+12
1.149789e-01 4.111991e+10 1.730347e+12
1.161244e-01 4.058139e+10 1.684876e+12
1.172813e-01 4.004947e+10 1.640600e+12
1.184498e-01 3.952406e+10 1.597486e+12
1.196298e-01 3.900510e+10 1.555505e+12
1.208217e-01 3.849249e+10 1.514626e+12
1.220254e-01 3.798617e+10 1.474403e+12
1.232411e-01 3.748606e+10 1.435056e+12
1.244689e-01 3.699209e+10 1.396759e+12
1.257089e-01 3.650418e+10 1.359483e+12
1.269613e-01 3.602226e+10 1.323001e+12
1.282262e-01 3.554625e+10 1.287821e+12
1.295037e-01 3.507610e+10 1.253020e+12
1.307939e-01 3.460273e+10 1.219392e+12
1.320970e-01 3.411473e+10 1.186108e+12
1.334130e-01 3.363318e+10 1.152119e+12
1.347422e-01 3.315800e+10 1.120149e+12
1.360846e-01 3.269863e+10 1.089441e+12
1.374403e-01 3.225453e+10 1.059306e+12
1.388096e-01 3.181603e+10 1.030319e+12
1.401925e-01 3.138308e+10 1.002125e+12
1.415892e-01 3.095558e+10 9.746887e+11
1.429998e-01 3.053512e+10 9.492595e+11
1.444245e-01 3.012163e+10 9.250046e+11
1.458634e-01 2.971331e+10 9.013690e+11
1.473166e-01 2.931012e+10 8.783369e+11
1.487842e-01 2.891197e+10 8.558929e+11
1.502665e-01 2.851882e+10 8.335999e+11
1.517636e-01 2.811704e+10 8.112388e+11
1.532756e-01 2.770368e+10 7.896893e+11
1.548026e-01 2.729598e+10 7.684847e+11
1.563448e-01 2.689388e+10 7.478490e+11
1.579025e-01 2.649729e+10 7.277671e+11
1.594756e-01 2.612080e+10 7.081243e+11
1.610644e-01 2.575455e+10 6.889326e+11
1.626690e-01 2.539304e+10 6.702606e+11
1.642897e-01 2.503732e+10 6.520943e+11
1.659264e-01 2.469186e+10 6.344201e+11
1.675795e-01 2.435077e+10 6.172245e+11
1.692491e-01 2.401400e+10 6.004947e+11
1.709352e-01 2.368149e+10 5.842180e+11
1.726382e-01 2.335320e+10 5.683822e+11
1.743582e-01 2.302906e+10 5.529753e+11
1.760952e-01 2.270619e+10 5.379857e+11
1.778496e-01 2.237680e+10 5.234022e+11
1.796215e-01 2.202930e+10 5.092136e+11
1.814110e-01 2.169959e+10 4.954094e+11
1.832183e-01 2.137443e+10 4.819791e+11
1.850437e-01 2.105627e+10 4.689126e+11
1.868872e-01 2.074693e+10 4.569456e+11
1.887491e-01 2.044176e+10 4.454218e+11
1.906296e-01 2.014207e+10 4.341681e+11
1.925288e-01 1.985827e+10 4.219780e+11
1.944469e-01 1.957810e+10 4.100807e+11
1.963841e-01 1.930152e+10 3.985188e+11
1.983406e-01 1.902848e+10 3.872828e+11
2.003166e-01 1.876029e+10 3.763635e+11
2.023123e-01 1.849913e+10 3.661446e+11
2.043279e-01 1.824124e+10 3.562161e+11
2.063635e-01 1.797335e+10 3.465566e+11
2.084195e-01 1.770819e+10 3.371587e+11
2.104959e-01 1.746521e+10 3.280155e+11
2.125930e-01 1.722521e+10 3.191200e+11
2.147110e-01 1.698312e+10 3.104655e+11
2.168501e-01 1.673921e+10 3.020455e+11
2.190105e-01 1.649846e+10 2.938536e+11
2.211925e-01 1.626082e+10 2.858837e+11
2.233961e-01 1.602625e+10 2.785915e+11
2.256218e-01 1.579473e+10 2.719036e+11
2.278696e-01 1.556621e+10 2.653750e+11
2.301398e-01 1.534066e+10 2.590020e+11
2.324326e-01 1.512068e+10 2.523061e+11
2.347482e-01 1.490540e+10 2.455510e+11
2.370870e-01 1.469289e+10 2.389345e+11
2.394490e-01 1.448312e+10 2.324961e+11
2.418345e-01 1.427604e+10 2.262310e+11
2.442439e-01 1.407164e+10 2.201238e+11
2.466772e-01 1.386987e+10 2.140771e+11
2.491348e-01 1.367071e+10 2.081928e+11
2.516168e-01 1.347412e+10 2.024542e+11
2.541236e-01 1.328007e+10 1.969321e+11
2.566554e-01 1.308853e+10 1.917781e+11
2.592123e-01 1.289750e+10 1.865757e+11
2.617948e-01 1.270859e+10 1.815061e+11
2.644030e-01 1.252218e+10 1.765513e+11
2.670371e-01 1.233450e+10 1.717285e+11
2.696976e-01 1.214915e+10 1.670373e+11
2.723845e-01 1.197460e+10 1.624741e+11
2.750982e-01 1.178760e+10 1.581467e+11
2.778389e-01 1.160265e+10 1.539714e+11
2.806069e-01 1.142068e+10 1.499062e+11
2.834025e-01 1.124399e+10 1.459481e+11
2.862260e-01 1.106973e+10 1.420944e+11
2.890775e-01 1.089786e+10 1.383424e+11
2.919575e-01 1.073026e+10 1.346892e+11
2.948662e-01 1.057165e+10 1.311324e+11
2.978039e-01 1.041915e+10 1.275902e+11
3.007708e-01 1.026854e+10 1.240034e+11
3.037673e-01 1.011982e+10 1.205146e+11
3.067937e-01 9.968522e+09 1.171167e+11
3.098501e-01 9.815510e+09 1.138778e+11
3.129371e-01 9.664553e+09 1.110333e+11
3.160548e-01 9.515625e+09 1.082597e+11
3.192035e-01 9.368700e+09 1.055554e+11
3.223837e-01 9.223756e+09 1.027974e+11
3.255955e-01 9.080766e+09 1.000713e+11
3.288393e-01 8.939707e+09 9.739212e+10
3.321154e-01 8.800555e+09 9.478458e+10
3.354242e-01 8.663286e+09 9.224674e+10
3.387659e-01 8.527878e+09 8.986542e+10
3.421410e-01 8.394307e+09 8.757092e+10
3.455496e-01 8.262550e+09 8.533488e+10
3.489922e-01 8.132585e+09 8.315579e+10
3.524691e-01 8.004390e+09 8.103222e+10
3.559807e-01 7.881249e+09 7.895658e+10
3.595272e-01 7.761426e+09 7.688832e+10
3.631090e-01 7.643168e+09 7.485466e+10
3.667266e-01 7.526601e+09 7.278623e+10
3.703802e-01 7.404185e+09 7.074931e+10
3.740702e-01 7.285669e+09 6.876102e+10
3.777969e-01 7.168788e+09 6.682854e+10
3.815608e-01 7.053520e+09 6.495029e+10
3.853622e-01 6.939846e+09 6.316684e+10
3.892014e-01 6.827745e+09 6.157337e+10
3.930789e-01 6.717198e+09 6.003472e+10
3.969950e-01 6.608187e+09 5.843852e+10
4.009502e-01 6.497967e+09 5.686408e+10
4.049447e-01 6.385907e+09 5.538579e+10
4.089791e-01 6.275530e+09 5.401889e+10
4.130536e-01 6.166814e+09 5.266860e+10
4.171687e-01 6.059735e+09 5.134831e+10
4.213249e-01 5.954271e+09 5.005902e+10
4.255224e-01 5.850401e+09 4.864807e+10
4.297618e-01 5.748103e+09 4.731870e+10
4.340433e-01 5.647355e+09 4.609094e+10
4.383676e-01 5.550199e+09 4.489496e+10
4.427349e-01 5.454480e+09 4.372992e+10
4.471458e-01 5.360179e+09 4.258200e+10
4.516005e-01 5.267276e+09 4.142940e+10
4.560997e-01 5.175755e+09 4.028199e+10
4.606437e-01 5.085922e+09 3.923183e+10
4.652329e-01 4.998466e+09 3.820899e+10
4.698679e-01 4.912291e+09 3.721274e+10
4.745491e-01 4.829387e+09 3.624218e+10
4.792769e-01 4.748976e+09 3.529412e+10
4.840518e-01 4.665967e+09 3.437079e+10
4.888742e-01 4.588581e+09 3.347156e+10
4.937447e-01 4.510996e+09 3.259580e+10
4.986638e-01 4.434281e+09 3.174289e+10
5.036318e-01 4.359790e+09 3.091469e+10
5.086493e-01 4.287338e+09 3.016479e+10
5.137168e-01 4.216530e+09 2.938204e+10
5.188349e-01 4.143027e+09 2.864830e+10
5.240038e-01 4.074322e+09 2.794897e+10
5.292243e-01 4.004485e+09 2.725934e+10
5.344968e-01 3.935871e+09 2.655205e+10
5.398219e-01 3.868868e+09 2.583011e+10
5.452000e-01 3.802804e+09 2.512522e+10
5.506316e-01 3.737668e+09 2.443887e+10
5.561174e-01 3.673449e+09 2.382328e+10
5.616578e-01 3.610136e+09 2.316443e+10
5.672535e-01 3.546906e+09 2.251233e+10
5.729048e-01 3.484804e+09 2.191289e+10
5.786125e-01 3.422923e+09 2.132941e+10
5.843771e-01 3.361951e+09 2.073914e+10
5.901990e-01 3.303163e+09 2.019181e+10
5.960790e-01 3.246150e+09 1.965927e+10
6.020176e-01 3.189542e+09 1.913637e+10
6.080153e-01 3.137356e+09 1.862890e+10
6.140728e-01 3.087201e+09 1.813716e+10
6.201906e-01 3.032347e+09 1.768209e+10
6.263694e-01 2.974039e+09 1.722026e+10
6.326097e-01 2.912073e+09 1.673898e+10
6.389122e-01 2.849640e+09 1.629256e+10
6.452775e-01 2.788371e+09 1.583122e+10
6.517062e-01 2.728246e+09 1.537209e+10
6.581990e-01 2.677573e+09 1.492067e+10
6.647564e-01 2.625148e+09 1.448171e+10
6.713792e-01 2.572836e+09 1.405564e+10
6.780679e-01 2.531750e+09 1.364831e+10
6.848233e-01 2.480517e+09 1.327534e+10
6.916460e-01 2.429750e+09 1.292724e+10
6.985367e-01 2.380976e+09 1.256870e+10
7.054960e-01 2.334574e+09 1.221021e+10
7.125246e-01 2.293142e+09 1.186062e+10
7.196233e-01 2.244223e+09 1.151567e+10
7.267927e-01 2.202135e+09 1.121057e+10
7.340335e-01 2.162569e+09 1.092739e+10
7.413465e-01 2.124126e+09 1.066540e+10
7.487323e-01 2.087084e+09 1.037267e+10
7.561917e-01 2.047608e+09 1.007799e+10
7.637254e-01 2.005784e+09 9.789151e+09
7.713341e-01 1.964545e+09 9.541830e+09
7.790187e-01 1.923911e+09 9.306019e+09
7.867798e-01 1.886179e+09 9.076000e+09
7.946183e-01 1.853626e+09 8.851631e+09
