# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
5.000000e-02 1.460998e+12
5.049814e-02 1.432121e+12
5.100123e-02 1.403814e+12
5.150934e-02 1.376067e+12
5.202252e-02 1.348868e+12
5.254080e-02 1.322206e+12
5.306425e-02 1.296071e+12
5.359291e-02 1.270452e+12
5.412684e-02 1.245340e+12
5.466609e-02 1.220723e+12
5.521071e-02 1.195849e+12
5.576076e-02 1.171478e+12
5.631629e-02 1.147603e+12
5.687735e-02 1.124214e+12
5.744400e-02 1.101302e+12
5.801630e-02 1.079002e+12
5.859430e-02 1.057447e+12
5.917806e-02 1.036321e+12
5.976763e-02 1.015614e+12
6.036308e-02 9.957105e+11
6.096446e-02 9.763926e+11
6.157183e-02 9.574471e+11
6.218525e-02 9.388667e+11
6.280478e-02 9.203600e+11
6.343049e-02 9.021334e+11
6.406243e-02 8.842675e+11
6.470066e-02 8.667551e+11
6.534526e-02 8.495130e+11
6.599627e-02 8.325649e+11
6.665377e-02 8.159529e+11
6.731782e-02 7.996702e+11
6.798849e-02 7.837106e+11
6.866584e-02 7.680674e+11
6.934994e-02 7.527345e+11
7.004085e-02 7.377599e+11
7.073865e-02 7.234535e+11
7.144339e-02 7.093950e+11
7.215516e-02 6.952729e+11
7.287402e-02 6.814297e+11
7.360005e-02 6.678600e+11
7.433330e-02 6.545584e+11
7.507386e-02 6.415196e+11
7.582180e-02 6.287383e+11
7.657719e-02 6.162330e+11
7.734011e-02 6.043625e+11
7.811062e-02 5.927183e+11
7.888881e-02 5.812959e+11
7.967476e-02 5.700913e+11
8.046854e-02 5.591002e+11
8.127022e-02 5.483186e+11
8.207989e-02 5.377427e+11
8.289763e-02 5.269108e+11
8.372351e-02 5.163284e+11
8.455763e-02 5.064019e+11
8.540005e-02 4.966657e+11
8.625086e-02 4.871161e+11
8.711015e-02 4.777389e+11
8.797801e-02 4.679569e+11
8.885451e-02 4.584329e+11
8.973974e-02 4.496259e+11
9.063379e-02 4.409872e+11
9.153674e-02 4.324679e+11
9.244870e-02 4.240310e+11
9.336974e-02 4.157568e+11
9.429995e-02 4.075274e+11
9.523943e-02 3.993630e+11
9.618827e-02 3.917626e+11
9.714657e-02 3.842259e+11
9.811441e-02 3.767199e+11
9.909190e-02 3.693587e+11
