# Energy(MeV) Phi16_Spherical Phi84_Spherical
5.000000e-02 5.047937e+11 6.901134e+13
5.049814e-02 4.979210e+11 6.716571e+13
5.100123e-02 4.911394e+11 6.536944e+13
5.150934e-02 4.844478e+11 6.362120e+13
5.202252e-02 4.778449e+11 6.188512e+13
5.254080e-02 4.713296e+11 6.018991e+13
5.306425e-02 4.649008e+11 5.854114e+13
5.359291e-02 4.585572e+11 5.693753e+13
5.412684e-02 4.522979e+11 5.537785e+13
5.466609e-02 4.461216e+11 5.386089e+13
5.521071e-02 4.400273e+11 5.238548e+13
5.576076e-02 4.340138e+11 5.095048e+13
5.631629e-02 4.280802e+11 4.955479e+13
5.687735e-02 4.222254e+11 4.819733e+13
5.744400e-02 4.164484e+11 4.687705e+13
5.801630e-02 4.107481e+11 4.559293e+13
5.859430e-02 4.051235e+11 4.434399e+13
5.917806e-02 3.995736e+11 4.312926e+13
5.976763e-02 3.940974e+11 4.194503e+13
6.036308e-02 3.886948e+11 4.078459e+13
6.096446e-02 3.834148e+11 3.965626e+13
6.157183e-02 3.783487e+11 3.855914e+13
6.218525e-02 3.734719e+11 3.749236e+13
6.280478e-02 3.686557e+11 3.645510e+13
6.343049e-02 3.639082e+11 3.544653e+13
6.406243e-02 3.592621e+11 3.446585e+13
6.470066e-02 3.546731e+11 3.352743e+13
6.534526e-02 3.501405e+11 3.262201e+13
6.599627e-02 3.456636e+11 3.174105e+13
6.665377e-02 3.412417e+11 3.088388e+13
6.731782e-02 3.368742e+11 3.004986e+13
6.798849e-02 3.325603e+11 2.923493e+13
6.866584e-02 3.282995e+11 2.845734e+13
6.934994e-02 3.240643e+11 2.769984e+13
7.004085e-02 3.196878e+11 2.696251e+13
7.073865e-02 3.153683e+11 2.624479e+13
7.144339e-02 3.111050e+11 2.554731e+13
7.215516e-02 3.068971e+11 2.488811e+13
7.287402e-02 3.027441e+11 2.424591e+13
7.360005e-02 2.986451e+11 2.362027e+13
7.433330e-02 2.945996e+11 2.301077e+13
7.507386e-02 2.906805e+11 2.241698e+13
7.582180e-02 2.868673e+11 2.183851e+13
7.657719e-02 2.831020e+11 2.127496e+13
7.734011e-02 2.793841e+11 2.072594e+13
7.811062e-02 2.757128e+11 2.019008e+13
7.888881e-02 2.720878e+11 1.966278e+13
7.967476e-02 2.685084e+11 1.913248e+13
8.046854e-02 2.649917e+11 1.860673e+13
8.127022e-02 2.615424e+11 1.809542e+13
8.207989e-02 2.581360e+11 1.759817e+13
8.289763e-02 2.547720e+11 1.711459e+13
8.372351e-02 2.514497e+11 1.664431e+13
8.455763e-02 2.481687e+11 1.618695e+13
8.540005e-02 2.449285e+11 1.573832e+13
8.625086e-02 2.417285e+11 1.530024e+13
8.711015e-02 2.385684e+11 1.487435e+13
8.797801e-02 2.354475e+11 1.447111e+13
8.885451e-02 2.323655e+11 1.408083e+13
8.973974e-02 2.293218e+11 1.370108e+13
9.063379e-02 2.263160e+11 1.333156e+13
9.153674e-02 2.233476e+11 1.297201e+13
9.244870e-02 2.204162e+11 1.262216e+13
9.336974e-02 2.175617e+11 1.228174e+13
9.429995e-02 2.147495e+11 1.195050e+13
9.523943e-02 2.119716e+11 1.162819e+13
9.618827e-02 2.091182e+11 1.131458e+13
9.714657e-02 2.062314e+11 1.100933e+13
9.811441e-02 2.034684e+11 1.070316e+13
9.909190e-02 2.007614e+11 1.040551e+13
1.000791e-01 1.981066e+11 1.011613e+13
1.010762e-01 1.954850e+11 9.834797e+12
1.020832e-01 1.928962e+11 9.561289e+12
1.031002e-01 1.903397e+11 9.295387e+12
1.041274e-01 1.878153e+11 9.036899e+12
1.051647e-01 1.853224e+11 8.798202e+12
1.062125e-01 1.828607e+11 8.565807e+12
1.072706e-01 1.804298e+11 8.339572e+12
1.083393e-01 1.780299e+11 8.120447e+12
1.094187e-01 1.756644e+11 7.907077e+12
1.105088e-01 1.733672e+11 7.699310e+12
1.116098e-01 1.711034e+11 7.496998e+12
1.127217e-01 1.688682e+11 7.300000e+12
1.138447e-01 1.666604e+11 7.108175e+12
1.149789e-01 1.644797e+11 6.921388e+12
1.161244e-01 1.623256e+11 6.739505e+12
1.172813e-01 1.601979e+11 6.562400e+12
1.184498e-01 1.580963e+11 6.389946e+12
1.196298e-01 1.560204e+11 6.222020e+12
1.208217e-01 1.539700e+11 6.058505e+12
1.220254e-01 1.519447e+11 5.897613e+12
1.232411e-01 1.499442e+11 5.740226e+12
1.244689e-01 1.479683e+11 5.587036e+12
1.257089e-01 1.460167e+11 5.437933e+12
1.269613e-01 1.440890e+11 5.292003e+12
1.282262e-01 1.421850e+11 5.151285e+12
1.295037e-01 1.403044e+11 5.012081e+12
1.307939e-01 1.384109e+11 4.877569e+12
1.320970e-01 1.364589e+11 4.744434e+12
1.334130e-01 1.345327e+11 4.608476e+12
1.347422e-01 1.326320e+11 4.480596e+12
1.360846e-01 1.307945e+11 4.357765e+12
1.374403e-01 1.290181e+11 4.237222e+12
1.388096e-01 1.272641e+11 4.121275e+12
1.401925e-01 1.255323e+11 4.008501e+12
1.415892e-01 1.238223e+11 3.898755e+12
1.429998e-01 1.221405e+11 3.797038e+12
1.444245e-01 1.204865e+11 3.700018e+12
1.458634e-01 1.188533e+11 3.605476e+12
1.473166e-01 1.172405e+11 3.513348e+12
1.487842e-01 1.156479e+11 3.423572e+12
1.502665e-01 1.140753e+11 3.334400e+12
1.517636e-01 1.124682e+11 3.244955e+12
1.532756e-01 1.108147e+11 3.158757e+12
1.548026e-01 1.091839e+11 3.073939e+12
1.563448e-01 1.075755e+11 2.991396e+12
1.579025e-01 1.059892e+11 2.911068e+12
1.594756e-01 1.044832e+11 2.832497e+12
1.610644e-01 1.030182e+11 2.755730e+12
1.626690e-01 1.015722e+11 2.681042e+12
1.642897e-01 1.001493e+11 2.608377e+12
1.659264e-01 9.876743e+10 2.537680e+12
1.675795e-01 9.740307e+10 2.468898e+12
1.692491e-01 9.605599e+10 2.401979e+12
1.709352e-01 9.472596e+10 2.336872e+12
1.726382e-01 9.341278e+10 2.273529e+12
1.743582e-01 9.211625e+10 2.211901e+12
1.760952e-01 9.082477e+10 2.151943e+12
1.778496e-01 8.950718e+10 2.093609e+12
1.796215e-01 8.811721e+10 2.036854e+12
1.814110e-01 8.679834e+10 1.981638e+12
1.832183e-01 8.549771e+10 1.927916e+12
1.850437e-01 8.422510e+10 1.875650e+12
1.868872e-01 8.298772e+10 1.827782e+12
1.887491e-01 8.176703e+10 1.781687e+12
1.906296e-01 8.056827e+10 1.736672e+12
1.925288e-01 7.943308e+10 1.687912e+12
1.944469e-01 7.831240e+10 1.640323e+12
1.963841e-01 7.720608e+10 1.594075e+12
1.983406e-01 7.611392e+10 1.549131e+12
