# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
5.000000e-02 5.843990e+12
5.049814e-02 5.728483e+12
5.100123e-02 5.615257e+12
5.150934e-02 5.504268e+12
5.202252e-02 5.395472e+12
5.254080e-02 5.288825e+12
5.306425e-02 5.184284e+12
5.359291e-02 5.081809e+12
5.412684e-02 4.981359e+12
5.466609e-02 4.882893e+12
5.521071e-02 4.783397e+12
5.576076e-02 4.685913e+12
5.631629e-02 4.590413e+12
5.687735e-02 4.496858e+12
5.744400e-02 4.405207e+12
5.801630e-02 4.316010e+12
5.859430e-02 4.229789e+12
5.917806e-02 4.145282e+12
5.976763e-02 4.062455e+12
6.036308e-02 3.982842e+12
6.096446e-02 3.905571e+12
6.157183e-02 3.829788e+12
6.218525e-02 3.755467e+12
6.280478e-02 3.681440e+12
6.343049e-02 3.608534e+12
6.406243e-02 3.537070e+12
6.470066e-02 3.467020e+12
6.534526e-02 3.398052e+12
6.599627e-02 3.330260e+12
6.665377e-02 3.263811e+12
6.731782e-02 3.198681e+12
6.798849e-02 3.134842e+12
6.866584e-02 3.072270e+12
6.934994e-02 3.010938e+12
7.004085e-02 2.951040e+12
7.073865e-02 2.893814e+12
7.144339e-02 2.837580e+12
7.215516e-02 2.781092e+12
7.287402e-02 2.725719e+12
7.360005e-02 2.671440e+12
7.433330e-02 2.618234e+12
7.507386e-02 2.566078e+12
7.582180e-02 2.514953e+12
7.657719e-02 2.464932e+12
7.734011e-02 2.417450e+12
7.811062e-02 2.370873e+12
7.888881e-02 2.325184e+12
7.967476e-02 2.280365e+12
8.046854e-02 2.236401e+12
8.127022e-02 2.193275e+12
8.207989e-02 2.150971e+12
8.289763e-02 2.107643e+12
8.372351e-02 2.065313e+12
8.455763e-02 2.025608e+12
8.540005e-02 1.986663e+12
8.625086e-02 1.948465e+12
8.711015e-02 1.910956e+12
8.797801e-02 1.871828e+12
8.885451e-02 1.833732e+12
8.973974e-02 1.798503e+12
9.063379e-02 1.763949e+12
9.153674e-02 1.729872e+12
9.244870e-02 1.696124e+12
9.336974e-02 1.663027e+12
9.429995e-02 1.630110e+12
9.523943e-02 1.597452e+12
9.618827e-02 1.567050e+12
9.714657e-02 1.536904e+12
9.811441e-02 1.506879e+12
9.909190e-02 1.477435e+12
1.000791e-01 1.448559e+12
1.010762e-01 1.419148e+12
1.020832e-01 1.389840e+12
1.031002e-01 1.361023e+12
1.041274e-01 1.332803e+12
1.051647e-01 1.305167e+12
1.062125e-01 1.278104e+12
1.072706e-01 1.251601e+12
1.083393e-01 1.225648e+12
1.094187e-01 1.201271e+12
1.105088e-01 1.177427e+12
1.116098e-01 1.154055e+12
1.127217e-01 1.131146e+12
1.138447e-01 1.108691e+12
1.149789e-01 1.086680e+12
1.161244e-01 1.065106e+12
1.172813e-01 1.043958e+12
1.184498e-01 1.023229e+12
1.196298e-01 1.002911e+12
1.208217e-01 9.829952e+11
1.220254e-01 9.634738e+11
1.232411e-01 9.443389e+11
1.244689e-01 9.255831e+11
1.257089e-01 9.071987e+11
1.269613e-01 8.891784e+11
1.282262e-01 8.715151e+11
1.295037e-01 8.542016e+11
1.307939e-01 8.372311e+11
1.320970e-01 8.205967e+11
1.334130e-01 8.043164e+11
1.347422e-01 7.884227e+11
1.360846e-01 7.728386e+11
1.374403e-01 7.575580e+11
1.388096e-01 7.425751e+11
1.401925e-01 7.275584e+11
1.415892e-01 7.126725e+11
1.429998e-01 6.980909e+11
1.444245e-01 6.838075e+11
1.458634e-01 6.698161e+11
1.473166e-01 6.561108e+11
1.487842e-01 6.426856e+11
1.502665e-01 6.295350e+11
1.517636e-01 6.167527e+11
1.532756e-01 6.043228e+11
1.548026e-01 5.925712e+11
1.563448e-01 5.810435e+11
1.579025e-01 5.697353e+11
1.594756e-01 5.586426e+11
1.610644e-01 5.477614e+11
1.626690e-01 5.370875e+11
1.642897e-01 5.266171e+11
1.659264e-01 5.163464e+11
1.675795e-01 5.062717e+11
1.692491e-01 4.963891e+11
1.709352e-01 4.865732e+11
1.726382e-01 4.764349e+11
1.743582e-01 4.665046e+11
1.760952e-01 4.567783e+11
1.778496e-01 4.472517e+11
1.796215e-01 4.379208e+11
1.814110e-01 4.287816e+11
1.832183e-01 4.198302e+11
1.850437e-01 4.110627e+11
1.868872e-01 4.024754e+11
1.887491e-01 3.940646e+11
1.906296e-01 3.858268e+11
1.925288e-01 3.777584e+11
1.944469e-01 3.698845e+11
1.963841e-01 3.623914e+11
1.983406e-01 3.550454e+11
2.003166e-01 3.478438e+11
2.023123e-01 3.407837e+11
2.043279e-01 3.338624e+11
2.063635e-01 3.271822e+11
2.084195e-01 3.207006e+11
2.104959e-01 3.143445e+11
2.125930e-01 3.081117e+11
2.147110e-01 3.020805e+11
2.168501e-01 2.962854e+11
2.190105e-01 2.906000e+11
2.211925e-01 2.850224e+11
2.233961e-01 2.792918e+11
2.256218e-01 2.735933e+11
2.278696e-01 2.680105e+11
2.301398e-01 2.625409e+11
2.324326e-01 2.572809e+11
2.347482e-01 2.522444e+11
2.370870e-01 2.473051e+11
2.394490e-01 2.424612e+11
2.418345e-01 2.377108e+11
2.442439e-01 2.330523e+11
2.466772e-01 2.284837e+11
2.491348e-01 2.239513e+11
2.516168e-01 2.193990e+11
2.541236e-01 2.149386e+11
2.566554e-01 2.105682e+11
2.592123e-01 2.062860e+11
2.617948e-01 2.020901e+11
2.644030e-01 1.979789e+11
2.670371e-01 1.939507e+11
2.696976e-01 1.899158e+11
2.723845e-01 1.859295e+11
2.750982e-01 1.820244e+11
2.778389e-01 1.781986e+11
2.806069e-01 1.745844e+11
2.834025e-01 1.711013e+11
2.862260e-01 1.675412e+11
2.890775e-01 1.640435e+11
2.919575e-01 1.606185e+11
2.948662e-01 1.572647e+11
2.978039e-01 1.539806e+11
3.007708e-01 1.507648e+11
3.037673e-01 1.476158e+11
3.067937e-01 1.445323e+11
3.098501e-01 1.414593e+11
3.129371e-01 1.382761e+11
3.160548e-01 1.354769e+11
3.192035e-01 1.327370e+11
3.223837e-01 1.300728e+11
3.255955e-01 1.274416e+11
3.288393e-01 1.247635e+11
3.321154e-01 1.221231e+11
3.354242e-01 1.196453e+11
3.387659e-01 1.172823e+11
3.421410e-01 1.149655e+11
3.455496e-01 1.126942e+11
3.489922e-01 1.104674e+11
3.524691e-01 1.081997e+11
3.559807e-01 1.059251e+11
3.595272e-01 1.036913e+11
3.631090e-01 1.015046e+11
3.667266e-01 9.936403e+10
3.703802e-01 9.730434e+10
3.740702e-01 9.530810e+10
3.777969e-01 9.335266e+10
3.815608e-01 9.137426e+10
3.853622e-01 8.938936e+10
3.892014e-01 8.742591e+10
3.930789e-01 8.553566e+10
3.969950e-01 8.370872e+10
4.009502e-01 8.192639e+10
4.049447e-01 8.028027e+10
4.089791e-01 7.862491e+10
4.130536e-01 7.696721e+10
4.171687e-01 7.535676e+10
4.213249e-01 7.378531e+10
4.255224e-01 7.224639e+10
4.297618e-01 7.073933e+10
4.340433e-01 6.921271e+10
4.383676e-01 6.773297e+10
4.427349e-01 6.642867e+10
4.471458e-01 6.510725e+10
4.516005e-01 6.378575e+10
4.560997e-01 6.249068e+10
4.606437e-01 6.122863e+10
4.652329e-01 6.000519e+10
4.698679e-01 5.880577e+10
4.745491e-01 5.757551e+10
4.792769e-01 5.636458e+10
4.840518e-01 5.517896e+10
4.888742e-01 5.397945e+10
4.937447e-01 5.275235e+10
4.986638e-01 5.165009e+10
5.036318e-01 5.059661e+10
5.086493e-01 4.955979e+10
5.137168e-01 4.850213e+10
5.188349e-01 4.743358e+10
5.240038e-01 4.638847e+10
5.292243e-01 4.536626e+10
5.344968e-01 4.436648e+10
5.398219e-01 4.338862e+10
5.452000e-01 4.247213e+10
5.506316e-01 4.158404e+10
5.561174e-01 4.074489e+10
5.616578e-01 3.991772e+10
5.672535e-01 3.909455e+10
5.729048e-01 3.834276e+10
5.786125e-01 3.758041e+10
5.843771e-01 3.683100e+10
5.901990e-01 3.609620e+10
5.960790e-01 3.537570e+10
6.020176e-01 3.466924e+10
6.080153e-01 3.397673e+10
6.140728e-01 3.329737e+10
6.201906e-01 3.263142e+10
6.263694e-01 3.197847e+10
6.326097e-01 3.132806e+10
6.389122e-01 3.066373e+10
6.452775e-01 3.002971e+10
6.517062e-01 2.942229e+10
6.581990e-01 2.882696e+10
6.647564e-01 2.824351e+10
6.713792e-01 2.765928e+10
6.780679e-01 2.706660e+10
6.848233e-01 2.648650e+10
6.916460e-01 2.591873e+10
6.985367e-01 2.534266e+10
7.054960e-01 2.475287e+10
7.125246e-01 2.422885e+10
7.196233e-01 2.372517e+10
7.267927e-01 2.325870e+10
7.340335e-01 2.277446e+10
7.413465e-01 2.219751e+10
7.487323e-01 2.164624e+10
7.561917e-01 2.122856e+10
7.637254e-01 2.079814e+10
7.713341e-01 2.032808e+10
7.790187e-01 1.985947e+10
7.867798e-01 1.943761e+10
7.946183e-01 1.904917e+10
8.025348e-01 1.864946e+10
8.105303e-01 1.824426e+10
8.186053e-01 1.785445e+10
8.267608e-01 1.750129e+10
8.349976e-01 1.713180e+10
8.433165e-01 1.674568e+10
8.517182e-01 1.641181e+10
8.602036e-01 1.608440e+10
8.687735e-01 1.576335e+10
8.774289e-01 1.544853e+10
8.861704e-01 1.513981e+10
8.949991e-01 1.480309e+10
9.039157e-01 1.447872e+10
9.129211e-01 1.419730e+10
9.220163e-01 1.392117e+10
9.312021e-01 1.362939e+10
9.404793e-01 1.333103e+10
9.498491e-01 1.304200e+10
9.593121e-01 1.273656e+10
9.688695e-01 1.249563e+10
9.785220e-01 1.219820e+10
9.882707e-01 1.192407e+10
9.981166e-01 1.166534e+10
1.008061e+00 1.140725e+10
1.018104e+00 1.115315e+10
1.028247e+00 1.088803e+10
1.038491e+00 1.065257e+10
1.048837e+00 1.042481e+10
1.059286e+00 1.019036e+10
1.069839e+00 9.957873e+09
1.080498e+00 9.753735e+09
1.091263e+00 9.546562e+09
1.102135e+00 9.336155e+09
1.113115e+00 9.119208e+09
1.124204e+00 8.935381e+09
1.135405e+00 8.747305e+09
1.146716e+00 8.519997e+09
1.158141e+00 8.324899e+09
1.169679e+00 8.154906e+09
1.181332e+00 7.992078e+09
1.193101e+00 7.810672e+09
1.204988e+00 7.649295e+09
1.216993e+00 7.489510e+09
