# Energy(MeV) Phi16_Planar Phi84_Planar
1.000000e-01 5.166615e+11 2.430316e+12
1.015495e-01 4.952698e+11 2.332087e+12
1.031230e-01 4.769535e+11 2.237592e+12
1.047209e-01 4.593443e+11 2.146532e+12
1.063436e-01 4.423740e+11 2.059178e+12
1.079914e-01 4.260196e+11 1.975766e+12
1.096647e-01 4.098786e+11 1.895372e+12
1.113639e-01 3.927248e+11 1.819949e+12
1.130895e-01 3.764269e+11 1.747384e+12
1.148418e-01 3.612695e+11 1.677394e+12
1.166213e-01 3.466028e+11 1.609858e+12
1.184284e-01 3.316763e+11 1.545041e+12
1.202634e-01 3.173927e+11 1.482834e+12
1.221269e-01 3.037242e+11 1.423131e+12
1.240193e-01 2.906443e+11 1.365830e+12
1.259409e-01 2.781278e+11 1.310705e+12
1.278924e-01 2.661502e+11 1.257802e+12
1.298741e-01 2.547644e+11 1.207033e+12
1.318865e-01 2.440462e+11 1.158469e+12
1.339301e-01 2.340248e+11 1.112224e+12
1.360053e-01 2.244150e+11 1.067825e+12
1.381127e-01 2.152000e+11 1.025199e+12
1.402528e-01 2.063636e+11 9.842733e+11
1.424260e-01 1.978902e+11 9.449382e+11
1.446329e-01 1.897649e+11 9.067796e+11
1.468740e-01 1.819734e+11 8.703703e+11
1.491498e-01 1.745019e+11 8.353225e+11
1.514609e-01 1.673373e+11 8.016859e+11
1.538078e-01 1.604670e+11 7.693969e+11
1.561910e-01 1.538789e+11 7.383935e+11
1.586112e-01 1.475614e+11 7.086393e+11
1.610689e-01 1.415034e+11 6.800460e+11
1.635647e-01 1.356943e+11 6.525961e+11
1.660991e-01 1.301237e+11 6.262541e+11
1.686728e-01 1.247819e+11 6.009752e+11
1.712864e-01 1.196724e+11 5.767165e+11
1.739405e-01 1.148021e+11 5.534370e+11
1.766357e-01 1.101300e+11 5.310970e+11
1.793727e-01 1.056481e+11 5.096586e+11
1.821520e-01 1.013485e+11 4.890855e+11
1.849745e-01 9.722395e+10 4.693428e+11
1.878407e-01 9.326724e+10 4.504713e+11
1.907513e-01 8.947156e+10 4.327211e+11
1.937070e-01 8.583034e+10 4.156702e+11
1.967085e-01 8.233732e+10 3.992752e+11
1.997565e-01 7.898645e+10 3.833870e+11
2.028517e-01 7.565972e+10 3.676524e+11
2.059949e-01 7.245603e+10 3.529722e+11
2.091868e-01 6.938803e+10 3.389162e+11
2.124281e-01 6.644264e+10 3.254198e+11
2.157197e-01 6.357589e+10 3.124607e+11
2.190623e-01 6.083289e+10 3.000356e+11
2.224567e-01 5.820831e+10 2.881408e+11
2.259036e-01 5.569703e+10 2.767208e+11
2.294040e-01 5.329414e+10 2.657532e+11
2.329586e-01 5.099498e+10 2.552203e+11
2.365683e-01 4.879507e+10 2.451047e+11
2.402340e-01 4.669010e+10 2.353900e+11
2.439564e-01 4.467600e+10 2.259814e+11
2.477365e-01 4.274882e+10 2.169458e+11
2.515752e-01 4.090483e+10 2.082471e+11
2.554733e-01 3.914042e+10 1.997071e+11
2.594319e-01 3.746804e+10 1.914840e+11
2.634518e-01 3.592260e+10 1.837932e+11
2.675340e-01 3.444095e+10 1.764317e+11
2.716794e-01 3.302045e+10 1.692321e+11
2.758891e-01 3.165857e+10 1.623262e+11
2.801640e-01 3.035290e+10 1.557022e+11
2.845052e-01 2.910110e+10 1.493484e+11
2.889136e-01 2.788061e+10 1.433363e+11
2.933903e-01 2.668804e+10 1.375788e+11
2.979364e-01 2.554648e+10 1.320321e+11
3.025529e-01 2.445375e+10 1.266902e+11
3.072410e-01 2.340777e+10 1.215708e+11
3.120017e-01 2.240653e+10 1.167742e+11
3.168361e-01 2.144813e+10 1.121461e+11
3.217455e-01 2.053072e+10 1.075402e+11
3.267310e-01 1.965255e+10 1.032454e+11
3.317937e-01 1.881194e+10 9.920426e+10
3.369348e-01 1.800730e+10 9.530278e+10
3.421556e-01 1.723707e+10 9.154862e+10
3.474573e-01 1.649979e+10 8.793567e+10
3.528412e-01 1.579405e+10 8.450413e+10
3.583085e-01 1.511850e+10 8.119845e+10
3.638605e-01 1.447184e+10 7.795285e+10
3.694985e-01 1.385285e+10 7.481835e+10
3.752239e-01 1.326033e+10 7.180987e+10
3.810380e-01 1.269557e+10 6.892232e+10
3.869422e-01 1.215559e+10 6.614985e+10
3.929379e-01 1.163858e+10 6.347135e+10
3.990264e-01 1.114356e+10 6.090128e+10
4.052094e-01 1.066960e+10 5.845682e+10
4.114881e-01 1.021579e+10 5.615346e+10
4.178641e-01 9.781290e+09 5.394084e+10
4.243389e-01 9.365268e+09 5.176308e+10
4.309140e-01 8.966941e+09 4.966064e+10
4.375911e-01 8.585555e+09 4.767198e+10
4.443715e-01 8.220392e+09 4.576884e+10
4.512571e-01 7.870760e+09 4.394166e+10
4.582493e-01 7.535999e+09 4.218740e+10
4.653499e-01 7.215477e+09 4.049153e+10
4.725605e-01 6.908587e+09 3.885772e+10
4.798828e-01 6.614750e+09 3.729756e+10
4.873186e-01 6.333412e+09 3.582687e+10
4.948696e-01 6.064039e+09 3.437750e+10
5.025377e-01 5.806124e+09 3.297004e+10
5.103245e-01 5.559178e+09 3.163328e+10
5.182320e-01 5.322736e+09 3.039048e+10
5.262620e-01 5.096351e+09 2.916723e+10
5.344164e-01 4.879594e+09 2.800708e+10
5.426972e-01 4.672057e+09 2.689070e+10
5.511063e-01 4.473347e+09 2.580706e+10
5.596457e-01 4.283088e+09 2.475805e+10
5.683174e-01 4.100922e+09 2.376778e+10
5.771235e-01 3.926503e+09 2.282778e+10
5.860661e-01 3.759503e+09 2.193261e+10
5.951472e-01 3.599607e+09 2.107016e+10
6.043690e-01 3.446510e+09 2.023820e+10
6.137337e-01 3.299926e+09 1.942519e+10
6.232435e-01 3.159576e+09 1.864089e+10
6.329007e-01 3.025195e+09 1.789525e+10
6.427075e-01 2.896530e+09 1.718640e+10
6.526662e-01 2.773338e+09 1.648009e+10
6.627793e-01 2.655385e+09 1.580683e+10
6.730491e-01 2.542448e+09 1.515828e+10
6.834780e-01 2.434316e+09 1.454119e+10
6.940685e-01 2.330782e+09 1.394831e+10
7.048231e-01 2.231652e+09 1.337267e+10
7.157444e-01 2.136738e+09 1.282151e+10
7.268348e-01 2.045861e+09 1.230064e+10
7.380971e-01 1.958849e+09 1.180538e+10
7.495340e-01 1.875538e+09 1.133322e+10
7.611480e-01 1.795770e+09 1.086437e+10
7.729420e-01 1.719395e+09 1.041057e+10
7.849188e-01 1.646268e+09 9.979412e+09
7.970811e-01 1.576251e+09 9.580850e+09
8.094319e-01 1.509213e+09 9.211807e+09
8.219740e-01 1.445025e+09 8.847066e+09
8.347105e-01 1.383568e+09 8.487796e+09
8.476444e-01 1.324724e+09 8.142314e+09
8.607786e-01 1.268384e+09 7.813273e+09
8.741164e-01 1.214439e+09 7.503491e+09
8.876609e-01 1.162789e+09 7.192891e+09
9.014152e-01 1.113335e+09 6.894715e+09
