# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
1.000000e-01 1.402916e+12
1.015495e-01 1.349879e+12
1.031230e-01 1.298074e+12
1.047209e-01 1.248258e+12
1.063436e-01 1.200871e+12
1.079914e-01 1.155566e+12
1.096647e-01 1.111969e+12
1.113639e-01 1.070017e+12
1.130895e-01 1.029647e+12
1.148418e-01 9.907999e+11
1.166213e-01 9.534184e+11
1.184284e-01 9.174470e+11
1.202634e-01 8.830980e+11
1.221269e-01 8.501082e+11
1.240193e-01 8.181660e+11
1.259409e-01 7.873354e+11
1.278924e-01 7.576665e+11
1.298741e-01 7.290929e+11
1.318865e-01 7.013068e+11
1.339301e-01 6.748208e+11
1.360053e-01 6.495666e+11
1.381127e-01 6.254063e+11
1.402528e-01 6.020168e+11
1.424260e-01 5.795967e+11
1.446329e-01 5.576407e+11
1.468740e-01 5.363046e+11
1.491498e-01 5.158039e+11
1.514609e-01 4.962715e+11
1.538078e-01 4.774787e+11
1.561910e-01 4.593975e+11
1.586112e-01 4.420010e+11
1.610689e-01 4.252631e+11
1.635647e-01 4.091590e+11
1.660991e-01 3.936647e+11
1.686728e-01 3.787571e+11
1.712864e-01 3.645537e+11
1.739405e-01 3.508971e+11
1.766357e-01 3.376447e+11
1.793727e-01 3.248927e+11
1.821520e-01 3.126223e+11
1.849745e-01 3.008153e+11
1.878407e-01 2.894541e+11
1.907513e-01 2.784636e+11
1.937070e-01 2.678987e+11
1.967085e-01 2.578196e+11
1.997565e-01 2.482080e+11
2.028517e-01 2.388129e+11
2.059949e-01 2.297735e+11
2.091868e-01 2.210761e+11
2.124281e-01 2.127105e+11
2.157197e-01 2.046916e+11
2.190623e-01 1.969614e+11
2.224567e-01 1.895230e+11
2.259036e-01 1.823655e+11
2.294040e-01 1.754782e+11
2.329586e-01 1.688509e+11
2.365683e-01 1.624691e+11
2.402340e-01 1.563664e+11
2.439564e-01 1.504769e+11
2.477365e-01 1.447235e+11
2.515752e-01 1.391745e+11
2.554733e-01 1.339219e+11
2.594319e-01 1.288295e+11
2.634518e-01 1.239674e+11
2.675340e-01 1.193262e+11
2.716794e-01 1.147727e+11
2.758891e-01 1.104365e+11
2.801640e-01 1.063057e+11
2.845052e-01 1.023294e+11
2.889136e-01 9.848528e+10
2.933903e-01 9.472268e+10
2.979364e-01 9.111018e+10
3.025529e-01 8.770041e+10
3.072410e-01 8.440907e+10
3.120017e-01 8.119444e+10
3.168361e-01 7.810220e+10
3.217455e-01 7.512769e+10
3.267310e-01 7.228830e+10
3.317937e-01 6.955866e+10
3.369348e-01 6.692307e+10
3.421556e-01 6.439507e+10
3.474573e-01 6.197952e+10
3.528412e-01 5.964067e+10
3.583085e-01 5.738404e+10
3.638605e-01 5.522267e+10
3.694985e-01 5.313329e+10
3.752239e-01 5.111777e+10
3.810380e-01 4.916461e+10
3.869422e-01 4.728777e+10
3.929379e-01 4.549267e+10
3.990264e-01 4.377083e+10
4.052094e-01 4.210769e+10
4.114881e-01 4.050944e+10
4.178641e-01 3.898985e+10
4.243389e-01 3.752625e+10
4.309140e-01 3.611803e+10
4.375911e-01 3.473706e+10
4.443715e-01 3.341544e+10
4.512571e-01 3.216228e+10
4.582493e-01 3.091712e+10
4.653499e-01 2.972017e+10
4.725605e-01 2.858296e+10
4.798828e-01 2.750077e+10
4.873186e-01 2.645917e+10
4.948696e-01 2.545700e+10
5.025377e-01 2.449275e+10
5.103245e-01 2.356309e+10
5.182320e-01 2.266899e+10
5.262620e-01 2.180150e+10
5.344164e-01 2.096718e+10
5.426972e-01 2.016697e+10
5.511063e-01 1.941012e+10
5.596457e-01 1.867307e+10
5.683174e-01 1.795889e+10
5.771235e-01 1.727792e+10
5.860661e-01 1.662515e+10
5.951472e-01 1.599437e+10
6.043690e-01 1.539324e+10
6.137337e-01 1.481465e+10
6.232435e-01 1.424871e+10
6.329007e-01 1.370382e+10
6.427075e-01 1.318612e+10
6.526662e-01 1.267657e+10
6.627793e-01 1.219912e+10
6.730491e-01 1.173167e+10
6.834780e-01 1.128244e+10
6.940685e-01 1.085231e+10
7.048231e-01 1.044629e+10
7.157444e-01 1.004651e+10
7.268348e-01 9.669899e+09
7.380971e-01 9.304798e+09
7.495340e-01 8.948573e+09
7.611480e-01 8.608548e+09
7.729420e-01 8.286427e+09
7.849188e-01 7.979985e+09
7.970811e-01 7.683562e+09
8.094319e-01 7.396491e+09
8.219740e-01 7.118127e+09
8.347105e-01 6.848360e+09
8.476444e-01 6.590549e+09
8.607786e-01 6.340289e+09
8.741164e-01 6.099215e+09
8.876609e-01 5.871209e+09
9.014152e-01 5.651970e+09
9.153826e-01 5.438407e+09
9.295665e-01 5.228801e+09
9.439702e-01 5.030419e+09
9.585970e-01 4.838991e+09
9.734505e-01 4.650289e+09
9.885341e-01 4.469775e+09
1.003851e+00 4.299372e+09
1.019406e+00 4.135458e+09
1.035202e+00 3.975164e+09
1.051242e+00 3.824524e+09
1.067531e+00 3.677137e+09
1.084073e+00 3.534802e+09
1.100870e+00 3.401064e+09
1.117928e+00 3.272837e+09
1.135251e+00 3.146941e+09
1.152842e+00 3.025167e+09
1.170705e+00 2.909367e+09
1.188845e+00 2.795075e+09
1.207266e+00 2.686107e+09
1.225973e+00 2.582816e+09
1.244969e+00 2.483012e+09
1.264260e+00 2.385169e+09
1.283850e+00 2.292084e+09
1.303743e+00 2.204606e+09
1.323945e+00 2.120742e+09
1.344459e+00 2.038225e+09
1.365291e+00 1.961834e+09
1.386447e+00 1.887635e+09
1.407930e+00 1.815851e+09
1.429746e+00 1.742645e+09
1.451900e+00 1.675612e+09
1.474397e+00 1.612088e+09
1.497243e+00 1.551888e+09
1.520442e+00 1.492226e+09
1.544002e+00 1.434432e+09
1.567926e+00 1.378759e+09
1.592221e+00 1.324673e+09
1.616892e+00 1.272845e+09
1.641946e+00 1.223463e+09
1.667388e+00 1.176650e+09
1.693224e+00 1.131980e+09
1.719461e+00 1.088352e+09
1.746104e+00 1.046835e+09
1.773160e+00 1.007107e+09
1.800635e+00 9.679629e+08
1.828536e+00 9.300025e+08
1.856869e+00 8.938836e+08
1.885641e+00 8.590280e+08
1.914859e+00 8.263859e+08
1.944530e+00 7.948503e+08
1.974661e+00 7.638812e+08
2.005258e+00 7.343569e+08
2.036330e+00 7.064205e+08
2.067883e+00 6.790344e+08
2.099924e+00 6.527941e+08
2.132463e+00 6.277556e+08
2.165505e+00 6.041664e+08
2.199060e+00 5.812339e+08
2.233134e+00 5.588738e+08
2.267737e+00 5.368391e+08
2.302875e+00 5.153893e+08
2.338559e+00 4.957093e+08
2.374795e+00 4.764189e+08
2.411592e+00 4.573597e+08
2.448960e+00 4.398396e+08
2.486906e+00 4.228942e+08
2.525441e+00 4.064639e+08
2.564573e+00 3.905224e+08
2.604311e+00 3.755382e+08
2.644665e+00 3.612323e+08
2.685644e+00 3.472526e+08
2.727258e+00 3.339392e+08
2.769517e+00 3.210243e+08
2.812431e+00 3.085835e+08
2.856009e+00 2.964950e+08
2.900263e+00 2.851572e+08
2.945203e+00 2.739491e+08
2.990839e+00 2.632317e+08
3.037182e+00 2.531514e+08
3.084243e+00 2.435435e+08
3.132033e+00 2.336846e+08
3.180564e+00 2.246487e+08
3.229847e+00 2.159624e+08
3.279894e+00 2.075567e+08
3.330716e+00 1.992735e+08
3.382325e+00 1.913740e+08
3.434734e+00 1.839170e+08
3.487956e+00 1.767171e+08
3.542002e+00 1.699141e+08
3.596885e+00 1.634120e+08
3.652619e+00 1.569438e+08
3.709216e+00 1.508400e+08
3.766690e+00 1.447768e+08
3.825055e+00 1.390573e+08
3.884325e+00 1.336051e+08
3.944512e+00 1.284856e+08
4.005633e+00 1.234675e+08
4.067700e+00 1.187261e+08
4.130729e+00 1.141930e+08
4.194735e+00 1.097873e+08
4.259732e+00 1.054583e+08
4.325737e+00 1.012500e+08
4.392764e+00 9.715735e+07
4.460830e+00 9.336337e+07
4.529951e+00 8.972525e+07
4.600143e+00 8.608899e+07
4.671422e+00 8.261218e+07
4.743806e+00 7.940174e+07
4.817311e+00 7.634112e+07
4.891955e+00 7.335717e+07
4.967756e+00 7.040041e+07
5.044732e+00 6.761388e+07
5.122900e+00 6.495717e+07
5.202279e+00 6.238645e+07
5.282889e+00 5.996480e+07
5.364747e+00 5.762485e+07
5.447874e+00 5.538098e+07
5.532289e+00 5.322407e+07
