# Energy(MeV) Phi16_Spherical Phi84_Spherical
1.000000e-01 2.066646e+12 9.721263e+12
1.015495e-01 1.981079e+12 9.328347e+12
1.031230e-01 1.907814e+12 8.950368e+12
1.047209e-01 1.837377e+12 8.586129e+12
1.063436e-01 1.769496e+12 8.236712e+12
1.079914e-01 1.704078e+12 7.903063e+12
1.096647e-01 1.639514e+12 7.581489e+12
1.113639e-01 1.570899e+12 7.279795e+12
1.130895e-01 1.505707e+12 6.989537e+12
1.148418e-01 1.445078e+12 6.709577e+12
1.166213e-01 1.386411e+12 6.439433e+12
1.184284e-01 1.326705e+12 6.180165e+12
1.202634e-01 1.269571e+12 5.931335e+12
1.221269e-01 1.214897e+12 5.692523e+12
1.240193e-01 1.162577e+12 5.463321e+12
1.259409e-01 1.112511e+12 5.242822e+12
1.278924e-01 1.064601e+12 5.031207e+12
1.298741e-01 1.019058e+12 4.828134e+12
1.318865e-01 9.761849e+11 4.633877e+12
1.339301e-01 9.360990e+11 4.448897e+12
1.360053e-01 8.976600e+11 4.271301e+12
1.381127e-01 8.608001e+11 4.100794e+12
1.402528e-01 8.254545e+11 3.937093e+12
1.424260e-01 7.915609e+11 3.779753e+12
1.446329e-01 7.590596e+11 3.627118e+12
1.468740e-01 7.278934e+11 3.481481e+12
1.491498e-01 6.980075e+11 3.341290e+12
1.514609e-01 6.693492e+11 3.206744e+12
1.538078e-01 6.418680e+11 3.077588e+12
1.561910e-01 6.155157e+11 2.953574e+12
1.586112e-01 5.902458e+11 2.834557e+12
1.610689e-01 5.660138e+11 2.720184e+12
1.635647e-01 5.427770e+11 2.610384e+12
1.660991e-01 5.204947e+11 2.505016e+12
1.686728e-01 4.991275e+11 2.403901e+12
1.712864e-01 4.786896e+11 2.306866e+12
1.739405e-01 4.592084e+11 2.213748e+12
1.766357e-01 4.405201e+11 2.124388e+12
1.793727e-01 4.225923e+11 2.038635e+12
1.821520e-01 4.053941e+11 1.956342e+12
1.849745e-01 3.888958e+11 1.877371e+12
1.878407e-01 3.730690e+11 1.801885e+12
1.907513e-01 3.578862e+11 1.730884e+12
1.937070e-01 3.433214e+11 1.662681e+12
1.967085e-01 3.293493e+11 1.597101e+12
1.997565e-01 3.159458e+11 1.533548e+12
2.028517e-01 3.026389e+11 1.470610e+12
2.059949e-01 2.898241e+11 1.411889e+12
2.091868e-01 2.775521e+11 1.355665e+12
2.124281e-01 2.657705e+11 1.301679e+12
2.157197e-01 2.543035e+11 1.249843e+12
2.190623e-01 2.433316e+11 1.200142e+12
2.224567e-01 2.328332e+11 1.152563e+12
2.259036e-01 2.227881e+11 1.106883e+12
2.294040e-01 2.131766e+11 1.063013e+12
2.329586e-01 2.039799e+11 1.020881e+12
2.365683e-01 1.951803e+11 9.804188e+11
2.402340e-01 1.867604e+11 9.415599e+11
2.439564e-01 1.787040e+11 9.039256e+11
2.477365e-01 1.709953e+11 8.677831e+11
2.515752e-01 1.636193e+11 8.329884e+11
2.554733e-01 1.565617e+11 7.988284e+11
2.594319e-01 1.498721e+11 7.659361e+11
2.634518e-01 1.436904e+11 7.351727e+11
2.675340e-01 1.377638e+11 7.057269e+11
2.716794e-01 1.320818e+11 6.769283e+11
2.758891e-01 1.266343e+11 6.493049e+11
2.801640e-01 1.214116e+11 6.228088e+11
2.845052e-01 1.164044e+11 5.973938e+11
2.889136e-01 1.115224e+11 5.733451e+11
2.933903e-01 1.067521e+11 5.503154e+11
2.979364e-01 1.021859e+11 5.281285e+11
3.025529e-01 9.781502e+10 5.067609e+11
3.072410e-01 9.363109e+10 4.862831e+11
3.120017e-01 8.962614e+10 4.670969e+11
3.168361e-01 8.579251e+10 4.485842e+11
3.217455e-01 8.212286e+10 4.301609e+11
3.267310e-01 7.861019e+10 4.129818e+11
3.317937e-01 7.524778e+10 3.968170e+11
3.369348e-01 7.202919e+10 3.812111e+11
3.421556e-01 6.894829e+10 3.661945e+11
3.474573e-01 6.599917e+10 3.517427e+11
3.528412e-01 6.317621e+10 3.380165e+11
3.583085e-01 6.047399e+10 3.247938e+11
3.638605e-01 5.788737e+10 3.118114e+11
3.694985e-01 5.541139e+10 2.992734e+11
3.752239e-01 5.304132e+10 2.872395e+11
3.810380e-01 5.078229e+10 2.756893e+11
3.869422e-01 4.862238e+10 2.645994e+11
3.929379e-01 4.655433e+10 2.538854e+11
3.990264e-01 4.457426e+10 2.436051e+11
4.052094e-01 4.267840e+10 2.338273e+11
4.114881e-01 4.086317e+10 2.246138e+11
4.178641e-01 3.912516e+10 2.157634e+11
4.243389e-01 3.746107e+10 2.070523e+11
4.309140e-01 3.586776e+10 1.986425e+11
4.375911e-01 3.434222e+10 1.906879e+11
4.443715e-01 3.288157e+10 1.830754e+11
4.512571e-01 3.148304e+10 1.757666e+11
4.582493e-01 3.014400e+10 1.687496e+11
4.653499e-01 2.886191e+10 1.619661e+11
4.725605e-01 2.763435e+10 1.554309e+11
4.798828e-01 2.645900e+10 1.491902e+11
4.873186e-01 2.533365e+10 1.433075e+11
4.948696e-01 2.425616e+10 1.375100e+11
5.025377e-01 2.322450e+10 1.318801e+11
5.103245e-01 2.223671e+10 1.265331e+11
5.182320e-01 2.129095e+10 1.215619e+11
5.262620e-01 2.038540e+10 1.166689e+11
5.344164e-01 1.951838e+10 1.120283e+11
5.426972e-01 1.868823e+10 1.075628e+11
5.511063e-01 1.789339e+10 1.032283e+11
5.596457e-01 1.713235e+10 9.903221e+10
5.683174e-01 1.640369e+10 9.507110e+10
5.771235e-01 1.570601e+10 9.131110e+10
5.860661e-01 1.503801e+10 8.773044e+10
5.951472e-01 1.439843e+10 8.428064e+10
6.043690e-01 1.378604e+10 8.095278e+10
6.137337e-01 1.319970e+10 7.770076e+10
6.232435e-01 1.263830e+10 7.456358e+10
6.329007e-01 1.210078e+10 7.158100e+10
6.427075e-01 1.158612e+10 6.874561e+10
6.526662e-01 1.109335e+10 6.592035e+10
6.627793e-01 1.062154e+10 6.322731e+10
6.730491e-01 1.016979e+10 6.063310e+10
6.834780e-01 9.737262e+09 5.816478e+10
6.940685e-01 9.323128e+09 5.579324e+10
7.048231e-01 8.926607e+09 5.349068e+10
7.157444e-01 8.546951e+09 5.128605e+10
7.268348e-01 8.183443e+09 4.920255e+10
7.380971e-01 7.835395e+09 4.722153e+10
7.495340e-01 7.502150e+09 4.533288e+10
7.611480e-01 7.183079e+09 4.345750e+10
7.729420e-01 6.877579e+09 4.164228e+10
7.849188e-01 6.585072e+09 3.991765e+10
7.970811e-01 6.305006e+09 3.832340e+10
8.094319e-01 6.036851e+09 3.684723e+10
8.219740e-01 5.780101e+09 3.538826e+10
8.347105e-01 5.534272e+09 3.395119e+10
8.476444e-01 5.298898e+09 3.256925e+10
8.607786e-01 5.073534e+09 3.125309e+10
8.741164e-01 4.857756e+09 3.001396e+10
8.876609e-01 4.651155e+09 2.877156e+10
9.014152e-01 4.453341e+09 2.757886e+10
9.153826e-01 4.263940e+09 2.648373e+10
9.295665e-01 4.082595e+09 2.544764e+10
9.439702e-01 3.908962e+09 2.445157e+10
9.585970e-01 3.743620e+09 2.350750e+10
9.734505e-01 3.585910e+09 2.258706e+10
9.885341e-01 3.434845e+09 2.168388e+10
1.003851e+00 3.290143e+09 2.081976e+10
1.019406e+00 3.151538e+09 2.000506e+10
1.035202e+00 3.018771e+09 1.921178e+10
1.051242e+00 2.891598e+09 1.846273e+10
1.067531e+00 2.769783e+09 1.772238e+10
1.084073e+00 2.653100e+09 1.701836e+10
1.100870e+00 2.541332e+09 1.634205e+10
1.117928e+00 2.434273e+09 1.567777e+10
1.135251e+00 2.331724e+09 1.505119e+10
1.152842e+00 2.233495e+09 1.444000e+10
1.170705e+00 2.139404e+09 1.388538e+10
1.188845e+00 2.049278e+09 1.334278e+10
1.207266e+00 1.962948e+09 1.280260e+10
1.225973e+00 1.880255e+09 1.229922e+10
1.244969e+00 1.801046e+09 1.181955e+10
1.264260e+00 1.725173e+09 1.134600e+10
1.283850e+00 1.652497e+09 1.089276e+10
1.303743e+00 1.582883e+09 1.044583e+10
1.323945e+00 1.516202e+09 1.001828e+10
1.344459e+00 1.452329e+09 9.616598e+09
1.365291e+00 1.391148e+09 9.243380e+09
1.386447e+00 1.332543e+09 8.877761e+09
1.407930e+00 1.276408e+09 8.527668e+09
1.429746e+00 1.222638e+09 8.182362e+09
1.451900e+00 1.171132e+09 7.859865e+09
1.474397e+00 1.121797e+09 7.553335e+09
1.497243e+00 1.074540e+09 7.249313e+09
1.520442e+00 1.029273e+09 6.964233e+09
1.544002e+00 9.859140e+08 6.689318e+09
1.567926e+00 9.443813e+08 6.420393e+09
1.592221e+00 9.045982e+08 6.165337e+09
