# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
1.000000e-01 5.611663e+12
1.015495e-01 5.399516e+12
1.031230e-01 5.192298e+12
1.047209e-01 4.993032e+12
1.063436e-01 4.803486e+12
1.079914e-01 4.622262e+12
1.096647e-01 4.447875e+12
1.113639e-01 4.280066e+12
1.130895e-01 4.118587e+12
1.148418e-01 3.963200e+12
1.166213e-01 3.813674e+12
1.184284e-01 3.669788e+12
1.202634e-01 3.532392e+12
1.221269e-01 3.400433e+12
1.240193e-01 3.272664e+12
1.259409e-01 3.149342e+12
1.278924e-01 3.030666e+12
1.298741e-01 2.916372e+12
1.318865e-01 2.805227e+12
1.339301e-01 2.699283e+12
1.360053e-01 2.598266e+12
1.381127e-01 2.501625e+12
1.402528e-01 2.408067e+12
1.424260e-01 2.318387e+12
1.446329e-01 2.230563e+12
1.468740e-01 2.145218e+12
1.491498e-01 2.063215e+12
1.514609e-01 1.985086e+12
1.538078e-01 1.909915e+12
1.561910e-01 1.837590e+12
1.586112e-01 1.768004e+12
1.610689e-01 1.701052e+12
1.635647e-01 1.636636e+12
1.660991e-01 1.574659e+12
1.686728e-01 1.515028e+12
1.712864e-01 1.458215e+12
1.739405e-01 1.403588e+12
1.766357e-01 1.350579e+12
1.793727e-01 1.299571e+12
1.821520e-01 1.250489e+12
1.849745e-01 1.203261e+12
1.878407e-01 1.157816e+12
1.907513e-01 1.113854e+12
1.937070e-01 1.071595e+12
1.967085e-01 1.031278e+12
1.997565e-01 9.928322e+11
2.028517e-01 9.552518e+11
2.059949e-01 9.190938e+11
2.091868e-01 8.843045e+11
2.124281e-01 8.508419e+11
2.157197e-01 8.187663e+11
2.190623e-01 7.878455e+11
2.224567e-01 7.580921e+11
2.259036e-01 7.294620e+11
2.294040e-01 7.019128e+11
2.329586e-01 6.754037e+11
2.365683e-01 6.498763e+11
2.402340e-01 6.254657e+11
2.439564e-01 6.019077e+11
2.477365e-01 5.788942e+11
2.515752e-01 5.566979e+11
2.554733e-01 5.356876e+11
2.594319e-01 5.153180e+11
2.634518e-01 4.958696e+11
2.675340e-01 4.773048e+11
2.716794e-01 4.590908e+11
2.758891e-01 4.417461e+11
2.801640e-01 4.252230e+11
2.845052e-01 4.093176e+11
2.889136e-01 3.939411e+11
2.933903e-01 3.788907e+11
2.979364e-01 3.644407e+11
3.025529e-01 3.508016e+11
3.072410e-01 3.376363e+11
3.120017e-01 3.247778e+11
3.168361e-01 3.124088e+11
3.217455e-01 3.005108e+11
3.267310e-01 2.891532e+11
3.317937e-01 2.782346e+11
3.369348e-01 2.676923e+11
3.421556e-01 2.575803e+11
3.474573e-01 2.479181e+11
3.528412e-01 2.385627e+11
3.583085e-01 2.295361e+11
3.638605e-01 2.208907e+11
3.694985e-01 2.125331e+11
3.752239e-01 2.044711e+11
3.810380e-01 1.966584e+11
3.869422e-01 1.891511e+11
3.929379e-01 1.819707e+11
3.990264e-01 1.750833e+11
4.052094e-01 1.684308e+11
4.114881e-01 1.620378e+11
4.178641e-01 1.559594e+11
4.243389e-01 1.501050e+11
4.309140e-01 1.444721e+11
4.375911e-01 1.389482e+11
4.443715e-01 1.336617e+11
4.512571e-01 1.286491e+11
4.582493e-01 1.236685e+11
4.653499e-01 1.188807e+11
4.725605e-01 1.143318e+11
4.798828e-01 1.100031e+11
4.873186e-01 1.058367e+11
4.948696e-01 1.018280e+11
5.025377e-01 9.797101e+10
5.103245e-01 9.425237e+10
5.182320e-01 9.067597e+10
5.262620e-01 8.720599e+10
5.344164e-01 8.386873e+10
5.426972e-01 8.066786e+10
5.511063e-01 7.764050e+10
5.596457e-01 7.469229e+10
5.683174e-01 7.183554e+10
5.771235e-01 6.911168e+10
5.860661e-01 6.650061e+10
5.951472e-01 6.397747e+10
6.043690e-01 6.157298e+10
6.137337e-01 5.925862e+10
6.232435e-01 5.699486e+10
6.329007e-01 5.481530e+10
6.427075e-01 5.274448e+10
6.526662e-01 5.070627e+10
6.627793e-01 4.879650e+10
6.730491e-01 4.692669e+10
6.834780e-01 4.512975e+10
6.940685e-01 4.340922e+10
7.048231e-01 4.178518e+10
7.157444e-01 4.018606e+10
7.268348e-01 3.867960e+10
7.380971e-01 3.721919e+10
7.495340e-01 3.579429e+10
7.611480e-01 3.443419e+10
7.729420e-01 3.314571e+10
7.849188e-01 3.191994e+10
7.970811e-01 3.073425e+10
8.094319e-01 2.958597e+10
8.219740e-01 2.847251e+10
8.347105e-01 2.739344e+10
8.476444e-01 2.636220e+10
8.607786e-01 2.536116e+10
8.741164e-01 2.439686e+10
8.876609e-01 2.348484e+10
9.014152e-01 2.260788e+10
9.153826e-01 2.175363e+10
9.295665e-01 2.091520e+10
9.439702e-01 2.012168e+10
9.585970e-01 1.935597e+10
9.734505e-01 1.860116e+10
9.885341e-01 1.787910e+10
1.003851e+00 1.719749e+10
1.019406e+00 1.654183e+10
1.035202e+00 1.590066e+10
1.051242e+00 1.529810e+10
1.067531e+00 1.470855e+10
1.084073e+00 1.413921e+10
1.100870e+00 1.360426e+10
1.117928e+00 1.309135e+10
1.135251e+00 1.258776e+10
1.152842e+00 1.210067e+10
1.170705e+00 1.163747e+10
1.188845e+00 1.118030e+10
1.207266e+00 1.074443e+10
1.225973e+00 1.033126e+10
1.244969e+00 9.932047e+09
1.264260e+00 9.540678e+09
1.283850e+00 9.168337e+09
1.303743e+00 8.818424e+09
1.323945e+00 8.482970e+09
1.344459e+00 8.152900e+09
1.365291e+00 7.847338e+09
1.386447e+00 7.550539e+09
1.407930e+00 7.263403e+09
1.429746e+00 6.970580e+09
1.451900e+00 6.702450e+09
1.474397e+00 6.448354e+09
1.497243e+00 6.207553e+09
1.520442e+00 5.968906e+09
1.544002e+00 5.737726e+09
1.567926e+00 5.515038e+09
1.592221e+00 5.298693e+09
1.616892e+00 5.091379e+09
1.641946e+00 4.893852e+09
1.667388e+00 4.706599e+09
1.693224e+00 4.527919e+09
1.719461e+00 4.353410e+09
1.746104e+00 4.187338e+09
1.773160e+00 4.028430e+09
1.800635e+00 3.871852e+09
1.828536e+00 3.720010e+09
1.856869e+00 3.575534e+09
1.885641e+00 3.436112e+09
1.914859e+00 3.305544e+09
1.944530e+00 3.179401e+09
1.974661e+00 3.055525e+09
2.005258e+00 2.937428e+09
2.036330e+00 2.825682e+09
2.067883e+00 2.716137e+09
2.099924e+00 2.611177e+09
2.132463e+00 2.511023e+09
2.165505e+00 2.416666e+09
2.199060e+00 2.324936e+09
2.233134e+00 2.235495e+09
2.267737e+00 2.147356e+09
2.302875e+00 2.061557e+09
2.338559e+00 1.982837e+09
2.374795e+00 1.905676e+09
2.411592e+00 1.829439e+09
2.448960e+00 1.759359e+09
2.486906e+00 1.691577e+09
2.525441e+00 1.625856e+09
2.564573e+00 1.562090e+09
2.604311e+00 1.502153e+09
2.644665e+00 1.444929e+09
2.685644e+00 1.389011e+09
2.727258e+00 1.335757e+09
2.769517e+00 1.284097e+09
2.812431e+00 1.234334e+09
2.856009e+00 1.185980e+09
2.900263e+00 1.140629e+09
2.945203e+00 1.095796e+09
2.990839e+00 1.052927e+09
3.037182e+00 1.012606e+09
3.084243e+00 9.741742e+08
3.132033e+00 9.347384e+08
3.180564e+00 8.985947e+08
3.229847e+00 8.638497e+08
3.279894e+00 8.302269e+08
3.330716e+00 7.970939e+08
3.382325e+00 7.654960e+08
3.434734e+00 7.356678e+08
3.487956e+00 7.068683e+08
3.542002e+00 6.796564e+08
3.596885e+00 6.536482e+08
3.652619e+00 6.277752e+08
3.709216e+00 6.033600e+08
3.766690e+00 5.791072e+08
3.825055e+00 5.562293e+08
3.884325e+00 5.344204e+08
3.944512e+00 5.139425e+08
