# Energy(MeV) Phi16_Planare Phi84_Planare
1.000000e+00 4.083736e+09 6.065801e+09
1.013939e+00 3.938541e+09 5.844900e+09
1.028073e+00 3.799888e+09 5.628971e+09
1.042404e+00 3.666105e+09 5.420802e+09
1.056935e+00 3.536763e+09 5.220569e+09
1.071668e+00 3.410319e+09 5.027659e+09
1.086606e+00 3.288395e+09 4.841449e+09
1.101753e+00 3.170829e+09 4.660499e+09
1.117111e+00 3.057732e+09 4.488596e+09
1.132683e+00 2.950372e+09 4.322364e+09
1.148472e+00 2.849299e+09 4.163746e+09
1.164481e+00 2.750524e+09 4.010673e+09
1.180713e+00 2.652411e+09 3.861101e+09
1.197171e+00 2.558326e+09 3.717341e+09
1.213859e+00 2.467252e+09 3.578794e+09
1.230780e+00 2.379568e+09 3.444370e+09
1.247936e+00 2.296746e+09 3.317012e+09
1.265332e+00 2.215405e+09 3.194633e+09
1.282970e+00 2.135454e+09 3.076890e+09
1.300854e+00 2.060543e+09 2.963389e+09
1.318987e+00 1.987040e+09 2.853876e+09
1.337373e+00 1.919353e+09 2.748409e+09
1.356015e+00 1.851603e+09 2.647346e+09
1.374917e+00 1.787953e+09 2.550265e+09
1.394083e+00 1.725066e+09 2.456622e+09
1.413516e+00 1.664032e+09 2.364418e+09
1.433219e+00 1.604883e+09 2.276669e+09
1.453198e+00 1.547830e+09 2.192303e+09
1.473454e+00 1.492798e+09 2.111782e+09
1.493993e+00 1.439725e+09 2.033728e+09
1.514819e+00 1.388598e+09 1.958596e+09
1.535935e+00 1.339280e+09 1.884956e+09
1.557345e+00 1.291976e+09 1.815067e+09
1.579053e+00 1.246661e+09 1.747436e+09
1.601064e+00 1.202818e+09 1.682973e+09
1.623382e+00 1.160204e+09 1.620506e+09
1.646012e+00 1.119495e+09 1.560358e+09
1.668956e+00 1.079515e+09 1.502441e+09
1.692220e+00 1.041412e+09 1.446673e+09
1.715809e+00 1.004854e+09 1.393261e+09
1.739726e+00 9.694790e+08 1.343224e+09
1.763977e+00 9.358380e+08 1.292594e+09
1.788566e+00 9.030892e+08 1.244560e+09
1.813498e+00 8.706734e+08 1.198866e+09
1.838777e+00 8.400730e+08 1.155508e+09
1.864409e+00 8.104554e+08 1.113437e+09
1.890397e+00 7.821283e+08 1.072548e+09
1.916748e+00 7.541946e+08 1.032824e+09
1.943467e+00 7.272567e+08 9.938368e+08
1.970558e+00 7.012258e+08 9.568314e+08
1.998026e+00 6.765500e+08 9.206045e+08
2.025878e+00 6.528497e+08 8.868705e+08
2.054117e+00 6.297590e+08 8.538032e+08
2.082751e+00 6.072859e+08 8.219259e+08
2.111783e+00 5.857958e+08 7.915795e+08
2.141220e+00 5.650936e+08 7.628154e+08
2.171068e+00 5.449143e+08 7.355048e+08
2.201331e+00 5.253319e+08 7.088881e+08
2.232016e+00 5.064781e+08 6.835334e+08
2.263130e+00 4.884299e+08 6.583051e+08
