# Energy(MeV) Fluence_Planare_Median
1.000000e+00 4.950891e+09
1.013939e+00 4.769245e+09
1.028073e+00 4.599512e+09
1.042404e+00 4.432859e+09
1.056935e+00 4.272199e+09
1.071668e+00 4.117658e+09
1.086606e+00 3.968506e+09
1.101753e+00 3.826802e+09
1.117111e+00 3.687500e+09
1.132683e+00 3.551365e+09
1.148472e+00 3.422189e+09
1.164481e+00 3.297320e+09
1.180713e+00 3.184077e+09
1.197171e+00 3.070874e+09
1.213859e+00 2.959183e+09
1.230780e+00 2.851822e+09
1.247936e+00 2.748907e+09
1.265332e+00 2.649587e+09
1.282970e+00 2.554247e+09
1.300854e+00 2.461068e+09
1.318987e+00 2.372024e+09
1.337373e+00 2.285905e+09
1.356015e+00 2.203080e+09
1.374917e+00 2.123573e+09
1.394083e+00 2.047187e+09
1.413516e+00 1.974196e+09
1.433219e+00 1.902909e+09
1.453198e+00 1.834524e+09
1.473454e+00 1.767559e+09
1.493993e+00 1.703481e+09
1.514819e+00 1.641750e+09
1.535935e+00 1.581665e+09
1.557345e+00 1.524863e+09
1.579053e+00 1.469467e+09
1.601064e+00 1.416131e+09
1.623382e+00 1.364814e+09
1.646012e+00 1.315441e+09
1.668956e+00 1.267969e+09
1.692220e+00 1.221893e+09
1.715809e+00 1.177561e+09
1.739726e+00 1.134727e+09
1.763977e+00 1.093263e+09
1.788566e+00 1.053200e+09
1.813498e+00 1.015310e+09
1.838777e+00 9.784653e+08
1.864409e+00 9.429344e+08
1.890397e+00 9.087332e+08
1.916748e+00 8.753362e+08
1.943467e+00 8.436538e+08
1.970558e+00 8.133594e+08
1.998026e+00 7.834903e+08
2.025878e+00 7.552777e+08
2.054117e+00 7.282575e+08
2.082751e+00 7.018336e+08
2.111783e+00 6.764771e+08
2.141220e+00 6.524743e+08
2.171068e+00 6.291486e+08
2.201331e+00 6.065390e+08
2.232016e+00 5.845586e+08
2.263130e+00 5.635454e+08
2.294676e+00 5.432235e+08
2.326663e+00 5.234389e+08
2.359095e+00 5.048162e+08
2.391980e+00 4.866495e+08
2.425323e+00 4.691103e+08
2.459130e+00 4.520685e+08
2.493409e+00 4.356323e+08
2.528166e+00 4.197950e+08
2.563407e+00 4.044341e+08
2.599140e+00 3.896192e+08
2.635371e+00 3.754326e+08
2.672106e+00 3.618076e+08
2.709354e+00 3.487252e+08
2.747121e+00 3.367006e+08
2.785414e+00 3.244541e+08
2.824241e+00 3.129399e+08
2.863610e+00 3.013984e+08
2.903527e+00 2.904785e+08
2.944000e+00 2.797592e+08
2.985038e+00 2.693835e+08
3.026648e+00 2.595304e+08
3.068838e+00 2.500004e+08
3.111616e+00 2.406951e+08
3.154990e+00 2.318798e+08
3.198969e+00 2.236276e+08
