Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.4870e+03
1.5000e-03	0.0000e+00	2.4875e+03
2.0000e-03	0.0000e+00	2.4879e+03
2.5000e-03	0.0000e+00	2.4882e+03
3.0000e-03	0.0000e+00	2.4884e+03
3.5000e-03	0.0000e+00	2.4886e+03
4.0000e-03	0.0000e+00	2.4888e+03
4.5000e-03	0.0000e+00	2.4890e+03
5.0000e-03	0.0000e+00	2.4891e+03
5.5000e-03	0.0000e+00	2.4892e+03
6.0000e-03	0.0000e+00	2.4893e+03
6.5000e-03	0.0000e+00	2.4895e+03
7.0000e-03	0.0000e+00	2.4896e+03
7.5000e-03	0.0000e+00	2.4896e+03
8.0000e-03	0.0000e+00	2.4897e+03
8.5000e-03	0.0000e+00	2.4898e+03
9.0000e-03	0.0000e+00	2.4899e+03
9.5000e-03	0.0000e+00	2.4900e+03
1.0000e-02	0.0000e+00	2.4900e+03
1.5000e-02	0.0000e+00	2.4906e+03
2.0000e-02	0.0000e+00	2.4910e+03
2.5000e-02	0.0000e+00	2.4913e+03
3.0000e-02	0.0000e+00	2.4915e+03
3.5000e-02	0.0000e+00	2.4918e+03
4.0000e-02	0.0000e+00	2.4927e+03
4.5000e-02	0.0000e+00	2.4935e+03
5.0000e-02	0.0000e+00	2.4942e+03
5.5000e-02	0.0000e+00	2.4948e+03
6.0000e-02	0.0000e+00	2.4954e+03
6.5000e-02	0.0000e+00	2.4959e+03
7.0000e-02	0.0000e+00	2.4964e+03
7.5000e-02	0.0000e+00	2.4969e+03
8.0000e-02	0.0000e+00	2.4973e+03
8.5000e-02	0.0000e+00	2.4977e+03
9.0000e-02	0.0000e+00	2.4981e+03
9.5000e-02	0.0000e+00	2.4988e+03
1.0000e-01	0.0000e+00	2.4995e+03
1.5000e-01	0.0000e+00	2.5051e+03
2.0000e-01	0.0000e+00	2.5108e+03
2.5000e-01	0.0000e+00	2.5166e+03
3.0000e-01	0.0000e+00	2.5224e+03
3.5000e-01	0.0000e+00	2.5282e+03
4.0000e-01	0.0000e+00	2.5340e+03
4.5000e-01	0.0000e+00	2.5398e+03
5.0000e-01	0.0000e+00	2.5455e+03
5.5000e-01	0.0000e+00	2.5511e+03
6.0000e-01	0.0000e+00	2.5566e+03
6.5000e-01	0.0000e+00	2.5621e+03
7.0000e-01	0.0000e+00	2.5674e+03
7.5000e-01	0.0000e+00	2.5729e+03
8.0000e-01	0.0000e+00	2.5785e+03
8.5000e-01	0.0000e+00	2.5842e+03
9.0000e-01	0.0000e+00	2.5899e+03
9.5000e-01	0.0000e+00	2.5957e+03
1.0000e+00	4.0837e+09	2.6014e+03
1.0139e+00	3.9385e+09	2.6030e+03
1.0281e+00	3.7999e+09	2.6046e+03
1.0424e+00	3.6661e+09	2.6063e+03
1.0569e+00	3.5368e+09	2.6080e+03
1.0717e+00	3.4103e+09	2.6097e+03
1.0866e+00	3.2884e+09	2.6114e+03
1.1018e+00	3.1708e+09	2.6131e+03
1.1171e+00	3.0577e+09	2.6149e+03
1.1327e+00	2.9504e+09	2.6167e+03
1.1485e+00	2.8493e+09	2.6185e+03
1.1645e+00	2.7505e+09	2.6204e+03
1.1807e+00	2.6524e+09	2.6222e+03
1.1972e+00	2.5583e+09	2.6241e+03
1.2139e+00	2.4673e+09	2.6261e+03
1.2308e+00	2.3796e+09	2.6280e+03
1.2479e+00	2.2967e+09	2.6300e+03
1.2653e+00	2.2154e+09	2.6320e+03
1.2830e+00	2.1355e+09	2.6340e+03
1.3009e+00	2.0605e+09	2.6361e+03
1.3190e+00	1.9870e+09	2.6382e+03
1.3374e+00	1.9194e+09	2.6403e+03
1.3560e+00	1.8516e+09	2.6425e+03
1.3749e+00	1.7880e+09	2.6446e+03
1.3941e+00	1.7251e+09	2.6469e+03
1.4135e+00	1.6640e+09	2.6491e+03
