Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.0467e+03
1.5000e-03	0.0000e+00	3.0474e+03
2.0000e-03	0.0000e+00	3.0478e+03
2.5000e-03	0.0000e+00	3.0482e+03
3.0000e-03	0.0000e+00	3.0485e+03
3.5000e-03	0.0000e+00	3.0487e+03
4.0000e-03	0.0000e+00	3.0490e+03
4.5000e-03	0.0000e+00	3.0492e+03
5.0000e-03	0.0000e+00	3.0493e+03
5.5000e-03	0.0000e+00	3.0495e+03
6.0000e-03	0.0000e+00	3.0496e+03
6.5000e-03	0.0000e+00	3.0498e+03
7.0000e-03	0.0000e+00	3.0499e+03
7.5000e-03	0.0000e+00	3.0500e+03
8.0000e-03	0.0000e+00	3.0501e+03
8.5000e-03	0.0000e+00	3.0502e+03
9.0000e-03	0.0000e+00	3.0503e+03
9.5000e-03	0.0000e+00	3.0504e+03
1.0000e-02	0.0000e+00	3.0505e+03
1.5000e-02	0.0000e+00	3.0511e+03
2.0000e-02	0.0000e+00	3.0516e+03
2.5000e-02	0.0000e+00	3.0520e+03
3.0000e-02	0.0000e+00	3.0523e+03
3.5000e-02	0.0000e+00	3.0527e+03
4.0000e-02	0.0000e+00	3.0537e+03
4.5000e-02	0.0000e+00	3.0547e+03
5.0000e-02	0.0000e+00	3.0556e+03
5.5000e-02	0.0000e+00	3.0563e+03
6.0000e-02	0.0000e+00	3.0570e+03
6.5000e-02	0.0000e+00	3.0577e+03
7.0000e-02	0.0000e+00	3.0583e+03
7.5000e-02	0.0000e+00	3.0589e+03
8.0000e-02	0.0000e+00	3.0594e+03
8.5000e-02	0.0000e+00	3.0599e+03
9.0000e-02	0.0000e+00	3.0604e+03
9.5000e-02	0.0000e+00	3.0613e+03
1.0000e-01	0.0000e+00	3.0621e+03
1.5000e-01	0.0000e+00	3.0690e+03
2.0000e-01	0.0000e+00	3.0760e+03
2.5000e-01	0.0000e+00	3.0831e+03
3.0000e-01	0.0000e+00	3.0903e+03
3.5000e-01	0.0000e+00	3.0974e+03
4.0000e-01	0.0000e+00	3.1045e+03
4.5000e-01	0.0000e+00	3.1116e+03
5.0000e-01	0.0000e+00	3.1186e+03
5.5000e-01	0.0000e+00	3.1255e+03
6.0000e-01	0.0000e+00	3.1323e+03
6.5000e-01	0.0000e+00	3.1390e+03
7.0000e-01	0.0000e+00	3.1456e+03
7.5000e-01	0.0000e+00	3.1523e+03
8.0000e-01	0.0000e+00	3.1592e+03
8.5000e-01	0.0000e+00	3.1662e+03
9.0000e-01	0.0000e+00	3.1732e+03
9.5000e-01	0.0000e+00	3.1803e+03
1.0000e+00	4.9509e+09	3.1873e+03
1.0139e+00	4.7692e+09	3.1893e+03
1.0281e+00	4.5995e+09	3.1913e+03
