# Energy(MeV) Phi16 Phi84
5.000000e-02 5.180218e+10 8.861312e+10
5.100225e-02 5.084885e+10 8.661013e+10
5.202458e-02 4.994853e+10 8.465983e+10
5.306741e-02 4.905053e+10 8.262770e+10
5.413114e-02 4.799183e+10 8.074945e+10
5.521620e-02 4.709238e+10 7.886242e+10
5.632300e-02 4.629065e+10 7.699296e+10
5.745199e-02 4.546467e+10 7.514283e+10
5.860361e-02 4.455100e+10 7.336877e+10
5.977832e-02 4.377938e+10 7.171023e+10
6.097657e-02 4.286142e+10 6.999065e+10
6.219884e-02 4.213838e+10 6.848199e+10
6.344561e-02 4.139305e+10 6.693464e+10
6.471737e-02 4.066570e+10 6.539802e+10
6.601463e-02 3.987106e+10 6.390435e+10
6.733789e-02 3.905375e+10 6.241868e+10
6.868767e-02 3.836547e+10 6.103657e+10
7.006451e-02 3.760991e+10 5.978416e+10
7.146895e-02 3.681872e+10 5.846321e+10
7.290154e-02 3.608857e+10 5.710820e+10
7.436284e-02 3.545290e+10 5.583563e+10
7.585344e-02 3.484232e+10 5.448709e+10
7.737392e-02 3.414492e+10 5.326914e+10
7.892487e-02 3.352169e+10 5.211063e+10
8.050691e-02 3.287054e+10 5.099973e+10
8.212067e-02 3.214677e+10 4.991572e+10
8.376677e-02 3.149329e+10 4.885122e+10
8.544587e-02 3.091524e+10 4.768801e+10
8.715862e-02 3.032157e+10 4.664944e+10
8.890571e-02 2.973657e+10 4.564546e+10
9.068782e-02 2.909067e+10 4.457230e+10
9.250565e-02 2.849895e+10 4.365122e+10
9.435992e-02 2.793028e+10 4.263207e+10
9.625136e-02 2.740065e+10 4.168740e+10
9.818071e-02 2.690252e+10 4.069431e+10
1.001487e-01 2.641105e+10 3.979803e+10
1.021562e-01 2.581473e+10 3.886680e+10
1.042039e-01 2.537726e+10 3.798574e+10
1.062927e-01 2.493787e+10 3.714620e+10
1.084233e-01 2.443700e+10 3.623578e+10
1.105966e-01 2.399588e+10 3.541630e+10
1.128135e-01 2.348114e+10 3.460001e+10
1.150749e-01 2.298677e+10 3.379063e+10
1.173816e-01 2.249347e+10 3.303341e+10
1.197345e-01 2.206350e+10 3.233013e+10
1.221345e-01 2.162777e+10 3.163732e+10
1.245827e-01 2.114465e+10 3.092082e+10
1.270800e-01 2.071255e+10 3.015652e+10
1.296273e-01 2.032017e+10 2.949928e+10
1.322256e-01 1.989574e+10 2.883213e+10
1.348761e-01 1.945508e+10 2.816141e+10
1.375797e-01 1.902345e+10 2.753105e+10
1.403374e-01 1.859630e+10 2.691355e+10
1.431505e-01 1.817973e+10 2.632438e+10
1.460199e-01 1.777165e+10 2.571213e+10
1.489469e-01 1.739798e+10 2.509564e+10
1.519325e-01 1.699344e+10 2.450453e+10
1.549780e-01 1.659674e+10 2.397725e+10
1.580845e-01 1.622100e+10 2.344221e+10
1.612533e-01 1.585317e+10 2.290258e+10
1.644856e-01 1.550014e+10 2.235920e+10
1.677827e-01 1.516801e+10 2.186732e+10
1.711459e-01 1.486422e+10 2.138553e+10
1.745765e-01 1.452676e+10 2.090778e+10
1.780759e-01 1.421551e+10 2.043368e+10
1.816454e-01 1.389545e+10 1.998722e+10
1.852865e-01 1.361674e+10 1.951091e+10
1.890005e-01 1.329187e+10 1.904245e+10
1.927890e-01 1.299776e+10 1.858791e+10
1.966535e-01 1.270781e+10 1.815155e+10
2.005954e-01 1.239150e+10 1.772803e+10
2.046163e-01 1.212021e+10 1.732420e+10
2.087178e-01 1.182641e+10 1.692343e+10
2.129015e-01 1.153513e+10 1.653133e+10
