# Energy(MeV) Fluence_Pi
5.000000e-02 6.882500e+10
5.100225e-02 6.748890e+10
5.202458e-02 6.611048e+10
5.306741e-02 6.473619e+10
5.413114e-02 6.341823e+10
5.521620e-02 6.208419e+10
5.632300e-02 6.067486e+10
5.745199e-02 5.942182e+10
5.860361e-02 5.825777e+10
5.977832e-02 5.697822e+10
6.097657e-02 5.573595e+10
6.219884e-02 5.459234e+10
6.344561e-02 5.350585e+10
6.471737e-02 5.234319e+10
6.601463e-02 5.118914e+10
6.733789e-02 5.009755e+10
6.868767e-02 4.905961e+10
7.006451e-02 4.806292e+10
7.146895e-02 4.709775e+10
7.290154e-02 4.614169e+10
7.436284e-02 4.513000e+10
7.585344e-02 4.416026e+10
7.737392e-02 4.326780e+10
7.892487e-02 4.236744e+10
8.050691e-02 4.150383e+10
8.212067e-02 4.055406e+10
8.376677e-02 3.970713e+10
8.544587e-02 3.886057e+10
8.715862e-02 3.802597e+10
8.890571e-02 3.719730e+10
9.068782e-02 3.642487e+10
9.250565e-02 3.567298e+10
9.435992e-02 3.490446e+10
9.625136e-02 3.417119e+10
9.818071e-02 3.343365e+10
1.001487e-01 3.268310e+10
1.021562e-01 3.199618e+10
1.042039e-01 3.129003e+10
1.062927e-01 3.063361e+10
1.084233e-01 2.995313e+10
1.105966e-01 2.935911e+10
1.128135e-01 2.875565e+10
1.150749e-01 2.809312e+10
1.173816e-01 2.749248e+10
1.197345e-01 2.691583e+10
1.221345e-01 2.635058e+10
1.245827e-01 2.577917e+10
1.270800e-01 2.521271e+10
1.296273e-01 2.465748e+10
1.322256e-01 2.413012e+10
1.348761e-01 2.359250e+10
1.375797e-01 2.310225e+10
1.403374e-01 2.260493e+10
1.431505e-01 2.211497e+10
1.460199e-01 2.163538e+10
1.489469e-01 2.116075e+10
1.519325e-01 2.067125e+10
1.549780e-01 2.022488e+10
1.580845e-01 1.977411e+10
1.612533e-01 1.934439e+10
1.644856e-01 1.890548e+10
1.677827e-01 1.846565e+10
1.711459e-01 1.805585e+10
1.745765e-01 1.768243e+10
1.780759e-01 1.728864e+10
