# Energy(MeV) Phi16 Phi84
5.000000e-02 2.072087e+11 3.544525e+11
5.100225e-02 2.033954e+11 3.464405e+11
5.202458e-02 1.997941e+11 3.386393e+11
5.306741e-02 1.962021e+11 3.305108e+11
5.413114e-02 1.919673e+11 3.229978e+11
5.521620e-02 1.883695e+11 3.154497e+11
5.632300e-02 1.851626e+11 3.079719e+11
5.745199e-02 1.818587e+11 3.005713e+11
5.860361e-02 1.782040e+11 2.934751e+11
5.977832e-02 1.751175e+11 2.868409e+11
6.097657e-02 1.714457e+11 2.799626e+11
6.219884e-02 1.685535e+11 2.739279e+11
6.344561e-02 1.655722e+11 2.677386e+11
6.471737e-02 1.626628e+11 2.615921e+11
6.601463e-02 1.594842e+11 2.556174e+11
6.733789e-02 1.562150e+11 2.496747e+11
6.868767e-02 1.534619e+11 2.441463e+11
7.006451e-02 1.504396e+11 2.391367e+11
7.146895e-02 1.472749e+11 2.338529e+11
7.290154e-02 1.443543e+11 2.284328e+11
7.436284e-02 1.418116e+11 2.233425e+11
7.585344e-02 1.393693e+11 2.179484e+11
7.737392e-02 1.365797e+11 2.130766e+11
7.892487e-02 1.340868e+11 2.084425e+11
8.050691e-02 1.314822e+11 2.039989e+11
8.212067e-02 1.285871e+11 1.996629e+11
8.376677e-02 1.259732e+11 1.954049e+11
8.544587e-02 1.236610e+11 1.907520e+11
8.715862e-02 1.212863e+11 1.865978e+11
8.890571e-02 1.189463e+11 1.825819e+11
9.068782e-02 1.163627e+11 1.782892e+11
9.250565e-02 1.139958e+11 1.746049e+11
9.435992e-02 1.117211e+11 1.705283e+11
9.625136e-02 1.096026e+11 1.667496e+11
9.818071e-02 1.076101e+11 1.627772e+11
1.001487e-01 1.056442e+11 1.591921e+11
1.021562e-01 1.032589e+11 1.554672e+11
1.042039e-01 1.015090e+11 1.519430e+11
1.062927e-01 9.975147e+10 1.485848e+11
1.084233e-01 9.774801e+10 1.449431e+11
1.105966e-01 9.598353e+10 1.416652e+11
1.128135e-01 9.392457e+10 1.384000e+11
1.150749e-01 9.194707e+10 1.351625e+11
1.173816e-01 8.997389e+10 1.321336e+11
1.197345e-01 8.825400e+10 1.293205e+11
1.221345e-01 8.651107e+10 1.265493e+11
1.245827e-01 8.457859e+10 1.236833e+11
1.270800e-01 8.285021e+10 1.206261e+11
1.296273e-01 8.128068e+10 1.179971e+11
1.322256e-01 7.958294e+10 1.153285e+11
1.348761e-01 7.782032e+10 1.126456e+11
1.375797e-01 7.609380e+10 1.101242e+11
1.403374e-01 7.438518e+10 1.076542e+11
1.431505e-01 7.271890e+10 1.052975e+11
1.460199e-01 7.108661e+10 1.028485e+11
1.489469e-01 6.959194e+10 1.003825e+11
1.519325e-01 6.797375e+10 9.801813e+10
1.549780e-01 6.638697e+10 9.590898e+10
1.580845e-01 6.488400e+10 9.376883e+10
1.612533e-01 6.341267e+10 9.161031e+10
1.644856e-01 6.200057e+10 8.943681e+10
1.677827e-01 6.067204e+10 8.746926e+10
1.711459e-01 5.945689e+10 8.554213e+10
1.745765e-01 5.810704e+10 8.363110e+10
1.780759e-01 5.686202e+10 8.173473e+10
1.816454e-01 5.558182e+10 7.994888e+10
1.852865e-01 5.446697e+10 7.804365e+10
1.890005e-01 5.316750e+10 7.616980e+10
1.927890e-01 5.199105e+10 7.435165e+10
1.966535e-01 5.083124e+10 7.260622e+10
2.005954e-01 4.956600e+10 7.091211e+10
2.046163e-01 4.848085e+10 6.929678e+10
2.087178e-01 4.730563e+10 6.769374e+10
2.129015e-01 4.614053e+10 6.612533e+10
2.171691e-01 4.514360e+10 6.458356e+10
2.215223e-01 4.400912e+10 6.299127e+10
2.259627e-01 4.291381e+10 6.144560e+10
2.304921e-01 4.195226e+10 6.005076e+10
2.351123e-01 4.105522e+10 5.858604e+10
2.398251e-01 4.007473e+10 5.721904e+10
2.446324e-01 3.901012e+10 5.587880e+10
2.495360e-01 3.806704e+10 5.459570e+10
2.545379e-01 3.718043e+10 5.329134e+10
2.596401e-01 3.621848e+10 5.206806e+10
2.648446e-01 3.533652e+10 5.083440e+10
2.701534e-01 3.441086e+10 4.962741e+10
2.755686e-01 3.347606e+10 4.846834e+10
2.810923e-01 3.256842e+10 4.735202e+10
2.867268e-01 3.170682e+10 4.624784e+10
2.924742e-01 3.089745e+10 4.519320e+10
2.983368e-01 3.004687e+10 4.413164e+10
