# Energy(MeV) Fluence_4Pi
5.000000e-02 2.753000e+11
5.100225e-02 2.699556e+11
5.202458e-02 2.644419e+11
5.306741e-02 2.589448e+11
5.413114e-02 2.536729e+11
5.521620e-02 2.483368e+11
5.632300e-02 2.426994e+11
5.745199e-02 2.376873e+11
5.860361e-02 2.330311e+11
5.977832e-02 2.279129e+11
6.097657e-02 2.229438e+11
6.219884e-02 2.183694e+11
6.344561e-02 2.140234e+11
6.471737e-02 2.093728e+11
6.601463e-02 2.047566e+11
6.733789e-02 2.003902e+11
6.868767e-02 1.962385e+11
7.006451e-02 1.922517e+11
7.146895e-02 1.883910e+11
7.290154e-02 1.845668e+11
7.436284e-02 1.805200e+11
7.585344e-02 1.766411e+11
7.737392e-02 1.730712e+11
7.892487e-02 1.694698e+11
8.050691e-02 1.660153e+11
8.212067e-02 1.622162e+11
8.376677e-02 1.588285e+11
8.544587e-02 1.554423e+11
8.715862e-02 1.521039e+11
8.890571e-02 1.487892e+11
9.068782e-02 1.456995e+11
9.250565e-02 1.426919e+11
9.435992e-02 1.396178e+11
9.625136e-02 1.366848e+11
9.818071e-02 1.337346e+11
1.001487e-01 1.307324e+11
1.021562e-01 1.279847e+11
1.042039e-01 1.251601e+11
1.062927e-01 1.225344e+11
1.084233e-01 1.198125e+11
1.105966e-01 1.174364e+11
1.128135e-01 1.150226e+11
1.150749e-01 1.123725e+11
1.173816e-01 1.099699e+11
1.197345e-01 1.076633e+11
1.221345e-01 1.054023e+11
1.245827e-01 1.031167e+11
1.270800e-01 1.008508e+11
1.296273e-01 9.862994e+10
1.322256e-01 9.652046e+10
1.348761e-01 9.437001e+10
1.375797e-01 9.240899e+10
1.403374e-01 9.041972e+10
1.431505e-01 8.845989e+10
1.460199e-01 8.654152e+10
1.489469e-01 8.464299e+10
1.519325e-01 8.268501e+10
1.549780e-01 8.089951e+10
1.580845e-01 7.909643e+10
1.612533e-01 7.737757e+10
1.644856e-01 7.562193e+10
1.677827e-01 7.386258e+10
1.711459e-01 7.222338e+10
1.745765e-01 7.072972e+10
1.780759e-01 6.915455e+10
1.816454e-01 6.760695e+10
1.852865e-01 6.609364e+10
1.890005e-01 6.463618e+10
1.927890e-01 6.322657e+10
1.966535e-01 6.178206e+10
2.005954e-01 6.036090e+10
2.046163e-01 5.906694e+10
2.087178e-01 5.773206e+10
2.129015e-01 5.647166e+10
2.171691e-01 5.521195e+10
2.215223e-01 5.398183e+10
2.259627e-01 5.283208e+10
2.304921e-01 5.164482e+10
2.351123e-01 5.044889e+10
2.398251e-01 4.931890e+10
2.446324e-01 4.812948e+10
2.495360e-01 4.703482e+10
2.545379e-01 4.600533e+10
2.596401e-01 4.501081e+10
2.648446e-01 4.397719e+10
2.701534e-01 4.295871e+10
2.755686e-01 4.195726e+10
2.810923e-01 4.091853e+10
2.867268e-01 4.000705e+10
2.924742e-01 3.911639e+10
2.983368e-01 3.825617e+10
3.043170e-01 3.735968e+10
3.104170e-01 3.652294e+10
3.166393e-01 3.572586e+10
3.229863e-01 3.490281e+10
3.294605e-01 3.404786e+10
3.360645e-01 3.327669e+10
3.428009e-01 3.249678e+10
3.496723e-01 3.169557e+10
3.566815e-01 3.095403e+10
3.638311e-01 3.026716e+10
3.711241e-01 2.955822e+10
3.785633e-01 2.884258e+10
3.861515e-01 2.816202e+10
3.938919e-01 2.750304e+10
4.017874e-01 2.682017e+10
4.098412e-01 2.618066e+10
4.180565e-01 2.555550e+10
4.264364e-01 2.495413e+10
4.349843e-01 2.434755e+10
4.437035e-01 2.375056e+10
4.525975e-01 2.316328e+10
4.616698e-01 2.260363e+10
4.709239e-01 2.204478e+10
4.803635e-01 2.147703e+10
4.899924e-01 2.093636e+10
4.998143e-01 2.045228e+10
5.098330e-01 1.991864e+10
5.200526e-01 1.943208e+10
5.304770e-01 1.892867e+10
5.411103e-01 1.840930e+10
5.519569e-01 1.790882e+10
5.630208e-01 1.746236e+10
5.743065e-01 1.700403e+10
5.858184e-01 1.656175e+10
5.975611e-01 1.611828e+10
6.095392e-01 1.568259e+10
6.217573e-01 1.525666e+10
6.342204e-01 1.482567e+10
6.469333e-01 1.441863e+10
6.599011e-01 1.402523e+10
6.731287e-01 1.364344e+10
6.866215e-01 1.325945e+10
7.003848e-01 1.287403e+10
7.144240e-01 1.251533e+10
7.287445e-01 1.215054e+10
7.433522e-01 1.180210e+10
7.582526e-01 1.145854e+10
7.734517e-01 1.112293e+10
7.889555e-01 1.078768e+10
8.047701e-01 1.047209e+10
8.209016e-01 1.017845e+10
8.373565e-01 9.891187e+09
8.541413e-01 9.604253e+09
8.712625e-01 9.325128e+09
8.887268e-01 9.040626e+09
9.065413e-01 8.764443e+09
9.247129e-01 8.498267e+09
9.432487e-01 8.239250e+09
9.621560e-01 7.972030e+09
9.814423e-01 7.731008e+09
1.001115e+00 7.484162e+09
1.021183e+00 7.243350e+09
1.041652e+00 7.010869e+09
1.062532e+00 6.778256e+09
1.083830e+00 6.552750e+09
1.105556e+00 6.329182e+09
1.127716e+00 6.114600e+09
1.150321e+00 5.906257e+09
1.173379e+00 5.713797e+09
1.196900e+00 5.508835e+09
1.220892e+00 5.314218e+09
1.245364e+00 5.135786e+09
1.270327e+00 4.962910e+09
1.295791e+00 4.789171e+09
1.321765e+00 4.619104e+09
1.348260e+00 4.459132e+09
1.375286e+00 4.305451e+09
1.402853e+00 4.157455e+09
1.430973e+00 4.008350e+09
1.459657e+00 3.863050e+09
1.488916e+00 3.724699e+09
1.518761e+00 3.582515e+09
1.549204e+00 3.442035e+09
1.580258e+00 3.308859e+09
1.611934e+00 3.186896e+09
1.644245e+00 3.060470e+09
1.677204e+00 2.939798e+09
1.710823e+00 2.833375e+09
1.745117e+00 2.720836e+09
1.780097e+00 2.614158e+09
1.815779e+00 2.504308e+09
1.852176e+00 2.399301e+09
1.889303e+00 2.303062e+09
1.927174e+00 2.206302e+09
1.965804e+00 2.116393e+09
2.005209e+00 2.023061e+09
2.045403e+00 1.936222e+09
2.086403e+00 1.854016e+09
2.128224e+00 1.776579e+09
2.170885e+00 1.702660e+09
2.214400e+00 1.623308e+09
2.258787e+00 1.550926e+09
2.304064e+00 1.487746e+09
2.350249e+00 1.423253e+09
2.397360e+00 1.363575e+09
2.445415e+00 1.301544e+09
2.494433e+00 1.238461e+09
2.544434e+00 1.181906e+09
2.595437e+00 1.128663e+09
2.647462e+00 1.076407e+09
2.700530e+00 1.025216e+09
2.754662e+00 9.782059e+08
2.809879e+00 9.308483e+08
2.866203e+00 8.854658e+08
2.923656e+00 8.451064e+08
2.982260e+00 8.058975e+08
3.042039e+00 7.676550e+08
3.103017e+00 7.305944e+08
3.165216e+00 6.964066e+08
3.228663e+00 6.623938e+08
3.293381e+00 6.302166e+08
3.359397e+00 5.994183e+08
3.426736e+00 5.698776e+08
3.495424e+00 5.416422e+08
3.565490e+00 5.151112e+08
3.636960e+00 4.894522e+08
3.709862e+00 4.649174e+08
3.784226e+00 4.416069e+08
3.860081e+00 4.193587e+08
3.937456e+00 3.985434e+08
4.016382e+00 3.787254e+08
4.096890e+00 3.594756e+08
4.179012e+00 3.413524e+08
4.262780e+00 3.241260e+08
4.348227e+00 3.078865e+08
4.435387e+00 2.922624e+08
4.524294e+00 2.776040e+08
4.614983e+00 2.636292e+08
4.707490e+00 2.503529e+08
4.801851e+00 2.378409e+08
4.898104e+00 2.256366e+08
4.996286e+00 2.141343e+08
5.096436e+00 2.033978e+08
5.198594e+00 1.931158e+08
5.302799e+00 1.832758e+08
5.409093e+00 1.738243e+08
5.517518e+00 1.649915e+08
5.628116e+00 1.564983e+08
5.740932e+00 1.483379e+08
5.856008e+00 1.408200e+08
5.973391e+00 1.335622e+08
6.093127e+00 1.267104e+08
6.215264e+00 1.201433e+08
6.339848e+00 1.142157e+08
6.466930e+00 1.084218e+08
6.596559e+00 1.027592e+08
6.728787e+00 9.745280e+07
6.863665e+00 9.239474e+07
7.001246e+00 8.757715e+07
7.141586e+00 8.314951e+07
7.284738e+00 7.894373e+07
7.430760e+00 7.498497e+07
7.579709e+00 7.117449e+07
7.731644e+00 6.752631e+07
7.886624e+00 6.407817e+07
8.044711e+00 6.080554e+07
8.205967e+00 5.775383e+07
8.370455e+00 5.489129e+07
8.538240e+00 5.205550e+07
8.709388e+00 4.938492e+07
8.883967e+00 4.686403e+07
9.062045e+00 4.443883e+07
9.243693e+00 4.210970e+07
9.428983e+00 3.992329e+07
9.617986e+00 3.786704e+07
9.810778e+00 3.593314e+07
1.000743e+01 3.405711e+07
1.020803e+01 3.229494e+07
1.041265e+01 3.059378e+07
1.062137e+01 2.895843e+07
1.083428e+01 2.749195e+07
1.105145e+01 2.608624e+07
1.127297e+01 2.476210e+07
1.149894e+01 2.348803e+07
1.172944e+01 2.228462e+07
1.196455e+01 2.113618e+07
1.220438e+01 2.006220e+07
1.244902e+01 1.901116e+07
1.269856e+01 1.804738e+07
1.295310e+01 1.711304e+07
1.321274e+01 1.623804e+07
1.347759e+01 1.540569e+07
1.374775e+01 1.458635e+07
1.402332e+01 1.384288e+07
1.430442e+01 1.312331e+07
1.459115e+01 1.243853e+07
1.488362e+01 1.179468e+07
1.518197e+01 1.118591e+07
1.548629e+01 1.061118e+07
1.579671e+01 1.006027e+07
1.611335e+01 9.546791e+06
1.643634e+01 9.044857e+06
1.676581e+01 8.570776e+06
1.710188e+01 8.113792e+06
1.744468e+01 7.681696e+06
1.779436e+01 7.283743e+06
1.815105e+01 6.910509e+06
1.851488e+01 6.543798e+06
1.888601e+01 6.196367e+06
1.926458e+01 5.870815e+06
1.965074e+01 5.565507e+06
2.004464e+01 5.277545e+06
2.044643e+01 5.004328e+06
2.085628e+01 4.749310e+06
2.127434e+01 4.500524e+06
2.170078e+01 4.265908e+06
2.213577e+01 4.040615e+06
2.257948e+01 3.831368e+06
2.303209e+01 3.630795e+06
2.349376e+01 3.441762e+06
2.396469e+01 3.263150e+06
2.444506e+01 3.086736e+06
2.493506e+01 2.922059e+06
2.543488e+01 2.766356e+06
2.594472e+01 2.619526e+06
2.646478e+01 2.480333e+06
2.699527e+01 2.348107e+06
2.753639e+01 2.223204e+06
2.808835e+01 2.105482e+06
2.865138e+01 1.992163e+06
2.922570e+01 1.886430e+06
2.981152e+01 1.786469e+06
3.040909e+01 1.691770e+06
3.101864e+01 1.603524e+06
3.164041e+01 1.520377e+06
3.227464e+01 1.439207e+06
3.292158e+01 1.362800e+06
3.358149e+01 1.289652e+06
3.425463e+01 1.220572e+06
3.494126e+01 1.154600e+06
3.564165e+01 1.093070e+06
3.635609e+01 1.033234e+06
3.708484e+01 9.786936e+05
3.782820e+01 9.274362e+05
3.858647e+01 8.786985e+05
3.935993e+01 8.323295e+05
4.014890e+01 7.876166e+05
4.095368e+01 7.460064e+05
4.177459e+01 7.059434e+05
4.261196e+01 6.688107e+05
4.346611e+01 6.332866e+05
4.433739e+01 5.988495e+05
4.522613e+01 5.665835e+05
4.613268e+01 5.359572e+05
4.705741e+01 5.076722e+05
4.800067e+01 4.804671e+05
4.896284e+01 4.546726e+05
4.994430e+01 4.301062e+05
5.094543e+01 4.062452e+05
5.196662e+01 3.835977e+05
5.300829e+01 3.626825e+05
5.407084e+01 3.425635e+05
5.515468e+01 3.238376e+05
5.626026e+01 3.065736e+05
5.738799e+01 2.899637e+05
5.853833e+01 2.742103e+05
5.971172e+01 2.594713e+05
6.090864e+01 2.454875e+05
6.212955e+01 2.321714e+05
6.337493e+01 2.193522e+05
6.464528e+01 2.071392e+05
6.594109e+01 1.958533e+05
6.726287e+01 1.850993e+05
6.861115e+01 1.750139e+05
6.998645e+01 1.654103e+05
7.138933e+01 1.561541e+05
7.282032e+01 1.471667e+05
7.428000e+01 1.385756e+05
7.576894e+01 1.308174e+05
7.728772e+01 1.235865e+05
7.883694e+01 1.167292e+05
8.041722e+01 1.102642e+05
8.202918e+01 1.041399e+05
8.367345e+01 9.818138e+04
8.535068e+01 9.268398e+04
8.706153e+01 8.746623e+04
8.880667e+01 8.250175e+04
9.058679e+01 7.786016e+04
9.240260e+01 7.331976e+04
9.425480e+01 6.916700e+04
9.614413e+01 6.525299e+04
9.807133e+01 6.154558e+04
