# Energy(MeV) Phi16_Planar Phi84_Planar
5.000000e-02 3.294655e+10 8.293176e+16
5.062360e-02 3.264705e+10 8.006682e+16
5.125498e-02 3.235002e+10 7.730086e+16
5.189423e-02 3.205544e+10 7.463047e+16
5.254145e-02 3.176329e+10 7.205233e+16
5.319675e-02 3.147355e+10 6.956326e+16
5.386022e-02 3.118620e+10 6.716018e+16
5.453196e-02 3.090122e+10 6.484013e+16
5.521208e-02 3.061858e+10 6.260022e+16
5.590069e-02 3.033828e+10 6.043771e+16
5.659788e-02 3.006028e+10 5.834990e+16
5.730377e-02 2.978458e+10 5.633422e+16
5.801846e-02 2.951114e+10 5.438818e+16
5.874207e-02 2.923995e+10 5.250937e+16
5.947470e-02 2.897100e+10 5.069547e+16
6.021646e-02 2.870426e+10 4.894423e+16
6.096748e-02 2.843971e+10 4.725349e+16
6.172787e-02 2.817733e+10 4.562116e+16
6.249774e-02 2.791835e+10 4.404523e+16
6.327721e-02 2.766794e+10 4.252374e+16
6.406640e-02 2.741953e+10 4.105481e+16
6.486544e-02 2.717310e+10 3.963663e+16
6.567444e-02 2.692864e+10 3.826744e+16
6.649353e-02 2.668693e+10 3.694555e+16
6.732283e-02 2.644781e+10 3.566933e+16
6.816248e-02 2.621058e+10 3.443720e+16
6.901261e-02 2.602524e+10 3.324763e+16
6.987333e-02 2.584554e+10 3.210245e+16
7.074479e-02 2.566680e+10 3.100467e+16
7.162712e-02 2.548903e+10 2.994443e+16
7.252045e-02 2.531220e+10 2.892045e+16
7.342492e-02 2.513632e+10 2.793148e+16
7.434068e-02 2.496139e+10 2.697634e+16
7.526786e-02 2.478738e+10 2.605385e+16
7.620660e-02 2.461301e+10 2.516291e+16
7.715704e-02 2.438269e+10 2.430244e+16
7.811934e-02 2.417081e+10 2.347140e+16
7.909365e-02 2.398462e+10 2.266877e+16
8.008010e-02 2.379960e+10 2.189359e+16
8.107886e-02 2.361573e+10 2.114492e+16
8.209008e-02 2.343300e+10 2.042185e+16
8.311390e-02 2.325142e+10 1.972351e+16
8.415050e-02 2.307097e+10 1.904905e+16
8.520002e-02 2.289165e+10 1.839765e+16
8.626263e-02 2.271154e+10 1.776853e+16
8.733850e-02 2.249433e+10 1.716092e+16
8.842779e-02 2.227893e+10 1.657409e+16
8.953066e-02 2.206531e+10 1.600733e+16
9.064728e-02 2.185347e+10 1.545995e+16
9.177783e-02 2.164338e+10 1.493129e+16
9.292249e-02 2.143504e+10 1.442070e+16
9.408141e-02 2.122842e+10 1.392735e+16
9.525480e-02 2.106320e+10 1.344984e+16
9.644281e-02 2.090138e+10 1.298870e+16
9.764565e-02 2.074052e+10 1.254337e+16
9.886348e-02 2.058061e+10 1.211331e+16
1.000965e-01 2.042165e+10 1.169799e+16
1.013449e-01 2.026842e+10 1.129692e+16
1.026089e-01 2.011947e+10 1.090959e+16
1.038886e-01 1.997131e+10 1.053555e+16
1.051843e-01 1.982392e+10 1.017432e+16
1.064962e-01 1.967730e+10 9.825488e+15
1.078244e-01 1.953145e+10 9.488612e+15
1.091692e-01 1.938635e+10 9.163287e+15
1.105307e-01 1.924184e+10 8.849115e+15
1.119093e-01 1.902868e+10 8.545715e+15
1.133050e-01 1.881759e+10 8.252717e+15
1.147181e-01 1.860857e+10 7.969765e+15
1.161489e-01 1.840158e+10 7.696515e+15
1.175975e-01 1.821399e+10 7.432633e+15
1.190642e-01 1.805958e+10 7.177798e+15
1.205492e-01 1.790618e+10 6.931701e+15
1.220526e-01 1.775948e+10 6.694041e+15
1.235749e-01 1.762226e+10 6.464530e+15
1.251161e-01 1.748576e+10 6.242888e+15
1.266765e-01 1.732341e+10 6.028845e+15
1.282565e-01 1.715495e+10 5.822140e+15
1.298561e-01 1.703551e+10 5.622523e+15
1.314756e-01 1.693541e+10 5.429750e+15
1.331154e-01 1.681410e+10 5.243586e+15
1.347756e-01 1.668190e+10 5.063805e+15
1.364565e-01 1.655039e+10 4.890188e+15
1.381584e-01 1.641959e+10 4.722523e+15
1.398815e-01 1.627897e+10 4.560607e+15
1.416261e-01 1.613705e+10 4.404243e+15
1.433925e-01 1.598368e+10 4.253239e+15
1.451809e-01 1.579531e+10 4.107413e+15
1.469916e-01 1.560881e+10 3.966587e+15
1.488248e-01 1.542416e+10 3.830589e+15
1.506810e-01 1.524135e+10 3.699254e+15
1.525603e-01 1.506035e+10 3.572422e+15
1.544630e-01 1.488116e+10 3.449938e+15
1.563895e-01 1.470375e+10 3.331654e+15
1.583400e-01 1.452811e+10 3.217425e+15
1.603148e-01 1.435421e+10 3.107113e+15
1.623142e-01 1.418205e+10 3.000583e+15
1.643386e-01 1.401169e+10 2.897705e+15
1.663882e-01 1.385178e+10 2.798355e+15
1.684634e-01 1.369411e+10 2.702411e+15
1.705645e-01 1.355222e+10 2.609756e+15
1.726918e-01 1.344400e+10 2.520279e+15
1.748456e-01 1.333628e+10 2.433869e+15
1.770262e-01 1.322908e+10 2.350421e+15
1.792341e-01 1.312238e+10 2.269835e+15
1.814695e-01 1.301618e+10 2.192012e+15
1.837328e-01 1.291049e+10 2.116857e+15
1.860243e-01 1.280529e+10 2.044279e+15
1.883444e-01 1.270058e+10 1.974189e+15
1.906934e-01 1.259637e+10 1.906502e+15
1.930718e-01 1.249265e+10 1.841136e+15
1.954798e-01 1.238941e+10 1.778011e+15
1.979178e-01 1.228666e+10 1.717050e+15
2.003862e-01 1.216697e+10 1.658180e+15
2.028854e-01 1.204255e+10 1.601328e+15
2.054158e-01 1.191905e+10 1.546425e+15
2.079777e-01 1.179644e+10 1.493404e+15
2.105716e-01 1.168254e+10 1.442202e+15
2.131979e-01 1.157536e+10 1.392755e+15
2.158569e-01 1.146878e+10 1.345003e+15
2.185491e-01 1.135335e+10 1.298888e+15
2.212748e-01 1.122467e+10 1.254355e+15
2.240345e-01 1.109708e+10 1.211348e+15
2.268287e-01 1.097056e+10 1.169816e+15
2.296577e-01 1.084510e+10 1.129708e+15
2.325220e-01 1.072070e+10 1.090975e+15
2.354220e-01 1.059736e+10 1.053570e+15
2.383582e-01 1.047505e+10 1.017447e+15
2.413310e-01 1.036678e+10 9.825633e+14
2.443409e-01 1.027264e+10 9.488753e+14
2.473883e-01 1.017898e+10 9.163423e+14
2.504737e-01 1.008733e+10 8.849248e+14
2.535976e-01 9.997803e+09 8.545844e+14
2.567605e-01 9.908682e+09 8.252843e+14
2.599628e-01 9.819969e+09 7.969887e+14
2.632050e-01 9.731662e+09 7.696633e+14
2.664877e-01 9.643759e+09 7.432747e+14
2.698114e-01 9.556258e+09 7.177909e+14
2.731764e-01 9.469160e+09 6.931809e+14
2.765835e-01 9.382461e+09 6.694146e+14
2.800330e-01 9.296161e+09 6.464632e+14
2.835256e-01 9.210259e+09 6.242987e+14
2.870617e-01 9.124753e+09 6.028941e+14
2.906420e-01 9.039643e+09 5.822233e+14
2.942668e-01 8.954927e+09 5.622613e+14
2.979369e-01 8.870603e+09 5.429838e+14
3.016528e-01 8.786672e+09 5.243671e+14
3.054150e-01 8.703131e+09 5.063888e+14
3.092241e-01 8.619981e+09 4.890268e+14
3.130808e-01 8.532003e+09 4.722601e+14
3.169855e-01 8.410718e+09 4.560683e+14
3.209390e-01 8.290983e+09 4.404316e+14
3.249417e-01 8.199733e+09 4.253311e+14
3.289944e-01 8.102802e+09 4.107483e+14
3.330976e-01 7.982018e+09 3.966654e+14
3.372520e-01 7.877988e+09 3.830654e+14
3.414582e-01 7.811876e+09 3.699317e+14
3.457168e-01 7.723000e+09 3.572483e+14
3.500286e-01 7.651346e+09 3.449998e+14
3.543942e-01 7.561357e+09 3.331712e+14
3.588142e-01 7.447110e+09 3.217481e+14
3.632893e-01 7.331152e+09 3.107167e+14
3.678202e-01 7.216600e+09 3.000636e+14
