# Energy(MeV) Fluence_Planar_Median(cm^-2*MeV^-1)
5.000000e-02 1.685515e+12
5.062360e-02 1.644290e+12
5.125498e-02 1.604072e+12
5.189423e-02 1.564836e+12
5.254145e-02 1.526557e+12
5.319675e-02 1.489213e+12
5.386022e-02 1.452781e+12
5.453196e-02 1.417239e+12
5.521208e-02 1.382564e+12
5.590069e-02 1.348736e+12
5.659788e-02 1.315734e+12
5.730377e-02 1.283538e+12
5.801846e-02 1.252128e+12
5.874207e-02 1.221485e+12
5.947470e-02 1.191591e+12
6.021646e-02 1.162426e+12
6.096748e-02 1.133974e+12
6.172787e-02 1.106507e+12
6.249774e-02 1.079799e+12
6.327721e-02 1.053733e+12
6.406640e-02 1.028294e+12
6.486544e-02 1.003467e+12
6.567444e-02 9.792378e+11
6.649353e-02 9.555909e+11
6.732283e-02 9.325130e+11
6.816248e-02 9.099903e+11
6.901261e-02 8.880095e+11
6.987333e-02 8.665575e+11
7.074479e-02 8.456218e+11
7.162712e-02 8.251898e+11
7.252045e-02 8.052495e+11
7.342492e-02 7.857891e+11
7.434068e-02 7.667971e+11
7.526786e-02 7.482621e+11
7.620660e-02 7.301733e+11
7.715704e-02 7.125199e+11
7.811934e-02 6.951914e+11
7.909365e-02 6.781130e+11
8.008010e-02 6.614527e+11
8.107886e-02 6.452001e+11
8.209008e-02 6.293454e+11
8.311390e-02 6.138788e+11
8.415050e-02 5.987908e+11
8.520002e-02 5.840722e+11
8.626263e-02 5.696170e+11
8.733850e-02 5.553913e+11
8.842779e-02 5.413398e+11
8.953066e-02 5.276429e+11
9.064728e-02 5.142917e+11
9.177783e-02 5.012775e+11
9.292249e-02 4.885919e+11
9.408141e-02 4.762264e+11
9.525480e-02 4.641827e+11
9.644281e-02 4.527331e+11
9.764565e-02 4.415649e+11
9.886348e-02 4.306712e+11
1.000965e-01 4.200452e+11
1.013449e-01 4.096805e+11
1.026089e-01 3.995705e+11
1.038886e-01 3.897091e+11
1.051843e-01 3.800901e+11
1.064962e-01 3.707076e+11
1.078244e-01 3.615558e+11
1.091692e-01 3.526290e+11
1.105307e-01 3.441201e+11
1.119093e-01 3.358488e+11
1.133050e-01 3.277752e+11
1.147181e-01 3.198945e+11
1.161489e-01 3.122021e+11
1.175975e-01 3.046937e+11
1.190642e-01 2.973646e+11
1.205492e-01 2.902108e+11
1.220526e-01 2.832281e+11
1.235749e-01 2.764122e+11
1.251161e-01 2.697594e+11
1.266765e-01 2.633413e+11
1.282565e-01 2.571555e+11
1.298561e-01 2.511119e+11
1.314756e-01 2.452074e+11
1.331154e-01 2.394388e+11
1.347756e-01 2.338030e+11
1.364565e-01 2.282970e+11
1.381584e-01 2.229177e+11
1.398815e-01 2.176624e+11
1.416261e-01 2.125282e+11
1.433925e-01 2.075124e+11
1.451809e-01 2.026122e+11
1.469916e-01 1.978250e+11
1.488248e-01 1.931071e+11
1.506810e-01 1.881434e+11
1.525603e-01 1.832491e+11
1.544630e-01 1.785483e+11
1.563895e-01 1.743222e+11
1.583400e-01 1.701943e+11
1.603148e-01 1.661461e+11
1.623142e-01 1.621643e+11
1.643386e-01 1.582762e+11
1.663882e-01 1.544796e+11
1.684634e-01 1.507724e+11
1.705645e-01 1.471525e+11
1.726918e-01 1.436178e+11
1.748456e-01 1.401665e+11
1.770262e-01 1.367965e+11
1.792341e-01 1.335059e+11
1.814695e-01 1.302929e+11
1.837328e-01 1.271557e+11
1.860243e-01 1.240925e+11
1.883444e-01 1.211015e+11
1.906934e-01 1.181812e+11
1.930718e-01 1.152925e+11
1.954798e-01 1.124682e+11
1.979178e-01 1.097123e+11
2.003862e-01 1.070233e+11
2.028854e-01 1.043994e+11
2.054158e-01 1.018391e+11
2.079777e-01 9.934089e+10
2.105716e-01 9.690328e+10
2.131979e-01 9.455001e+10
2.158569e-01 9.229008e+10
2.185491e-01 8.999223e+10
2.212748e-01 8.775103e+10
2.240345e-01 8.557410e+10
2.268287e-01 8.339064e+10
2.296577e-01 8.125996e+10
2.325220e-01 7.918322e+10
2.354220e-01 7.715906e+10
2.383582e-01 7.518616e+10
2.413310e-01 7.326322e+10
2.443409e-01 7.138899e+10
2.473883e-01 6.956223e+10
2.504737e-01 6.778176e+10
2.535976e-01 6.604639e+10
2.567605e-01 6.436522e+10
2.599628e-01 6.277608e+10
2.632050e-01 6.115165e+10
2.664877e-01 5.951355e+10
2.698114e-01 5.791907e+10
2.731764e-01 5.640834e+10
2.765835e-01 5.501873e+10
2.800330e-01 5.366266e+10
2.835256e-01 5.229022e+10
2.870617e-01 5.093583e+10
2.906420e-01 4.961627e+10
2.942668e-01 4.833064e+10
2.979369e-01 4.707807e+10
3.016528e-01 4.589913e+10
3.054150e-01 4.477909e+10
3.092241e-01 4.368590e+10
3.130808e-01 4.261893e+10
3.169855e-01 4.157756e+10
3.209390e-01 4.056117e+10
3.249417e-01 3.956917e+10
3.289944e-01 3.860099e+10
3.330976e-01 3.765606e+10
3.372520e-01 3.671709e+10
3.414582e-01 3.575127e+10
3.457168e-01 3.481070e+10
3.500286e-01 3.395947e+10
3.543942e-01 3.313159e+10
3.588142e-01 3.229127e+10
3.632893e-01 3.147199e+10
3.678202e-01 3.067323e+10
3.724077e-01 2.989449e+10
3.770524e-01 2.912459e+10
3.817549e-01 2.835252e+10
3.865162e-01 2.760072e+10
3.913368e-01 2.688135e+10
3.962176e-01 2.618341e+10
4.011592e-01 2.550272e+10
4.061624e-01 2.484990e+10
4.112281e-01 2.422441e+10
4.163569e-01 2.355971e+10
4.215497e-01 2.295810e+10
4.268073e-01 2.233595e+10
4.321304e-01 2.172324e+10
4.375199e-01 2.114610e+10
