# Energy(MeV) Phi16_Spherical Phi84_Spherical
5.000000e-02 1.317862e+11 3.317270e+17
5.062360e-02 1.305882e+11 3.202673e+17
5.125498e-02 1.294001e+11 3.092035e+17
5.189423e-02 1.282217e+11 2.985219e+17
5.254145e-02 1.270532e+11 2.882093e+17
5.319675e-02 1.258942e+11 2.782530e+17
5.386022e-02 1.247448e+11 2.686407e+17
5.453196e-02 1.236049e+11 2.593605e+17
5.521208e-02 1.224743e+11 2.504009e+17
5.590069e-02 1.213531e+11 2.417508e+17
5.659788e-02 1.202411e+11 2.333996e+17
5.730377e-02 1.191383e+11 2.253369e+17
5.801846e-02 1.180446e+11 2.175527e+17
5.874207e-02 1.169598e+11 2.100375e+17
5.947470e-02 1.158840e+11 2.027819e+17
6.021646e-02 1.148170e+11 1.957769e+17
6.096748e-02 1.137588e+11 1.890140e+17
6.172787e-02 1.127093e+11 1.824847e+17
6.249774e-02 1.116734e+11 1.761809e+17
6.327721e-02 1.106718e+11 1.700950e+17
6.406640e-02 1.096781e+11 1.642192e+17
6.486544e-02 1.086924e+11 1.585465e+17
6.567444e-02 1.077145e+11 1.530698e+17
6.649353e-02 1.067477e+11 1.477822e+17
6.732283e-02 1.057912e+11 1.426773e+17
6.816248e-02 1.048423e+11 1.377488e+17
6.901261e-02 1.041010e+11 1.329905e+17
6.987333e-02 1.033822e+11 1.284098e+17
7.074479e-02 1.026672e+11 1.240187e+17
7.162712e-02 1.019561e+11 1.197777e+17
7.252045e-02 1.012488e+11 1.156818e+17
7.342492e-02 1.005453e+11 1.117259e+17
7.434068e-02 9.984555e+10 1.079053e+17
7.526786e-02 9.914954e+10 1.042154e+17
7.620660e-02 9.845206e+10 1.006517e+17
7.715704e-02 9.753074e+10 9.720977e+16
7.811934e-02 9.668325e+10 9.388559e+16
7.909365e-02 9.593848e+10 9.067509e+16
8.008010e-02 9.519838e+10 8.757437e+16
8.107886e-02 9.446290e+10 8.457969e+16
8.209008e-02 9.373202e+10 8.168741e+16
8.311390e-02 9.300569e+10 7.889405e+16
8.415050e-02 9.228389e+10 7.619620e+16
8.520002e-02 9.156658e+10 7.359061e+16
8.626263e-02 9.084617e+10 7.107413e+16
8.733850e-02 8.997733e+10 6.864370e+16
8.842779e-02 8.911572e+10 6.629638e+16
8.953066e-02 8.826125e+10 6.402933e+16
9.064728e-02 8.741388e+10 6.183980e+16
9.177783e-02 8.657353e+10 5.972515e+16
9.292249e-02 8.574016e+10 5.768282e+16
9.408141e-02 8.491369e+10 5.570941e+16
9.525480e-02 8.425280e+10 5.379936e+16
9.644281e-02 8.360552e+10 5.195480e+16
9.764565e-02 8.296207e+10 5.017348e+16
9.886348e-02 8.232243e+10 4.845323e+16
1.000965e-01 8.168658e+10 4.679197e+16
1.013449e-01 8.107368e+10 4.518766e+16
1.026089e-01 8.047790e+10 4.363836e+16
1.038886e-01 7.988524e+10 4.214218e+16
1.051843e-01 7.929568e+10 4.069730e+16
1.064962e-01 7.870920e+10 3.930195e+16
1.078244e-01 7.812578e+10 3.795445e+16
1.091692e-01 7.754541e+10 3.665315e+16
1.105307e-01 7.696734e+10 3.539646e+16
1.119093e-01 7.611470e+10 3.418286e+16
1.133050e-01 7.527037e+10 3.301087e+16
1.147181e-01 7.443427e+10 3.187906e+16
1.161489e-01 7.360631e+10 3.078606e+16
1.175975e-01 7.285597e+10 2.973053e+16
1.190642e-01 7.223831e+10 2.871119e+16
1.205492e-01 7.162474e+10 2.772680e+16
1.220526e-01 7.103792e+10 2.677616e+16
1.235749e-01 7.048902e+10 2.585812e+16
1.251161e-01 6.994305e+10 2.497155e+16
1.266765e-01 6.929363e+10 2.411538e+16
1.282565e-01 6.861980e+10 2.328856e+16
1.298561e-01 6.814206e+10 2.249009e+16
1.314756e-01 6.774165e+10 2.171900e+16
1.331154e-01 6.725640e+10 2.097434e+16
1.347756e-01 6.672759e+10 2.025522e+16
1.364565e-01 6.620158e+10 1.956075e+16
1.381584e-01 6.567835e+10 1.889009e+16
1.398815e-01 6.511589e+10 1.824243e+16
1.416261e-01 6.454820e+10 1.761697e+16
1.433925e-01 6.393472e+10 1.701296e+16
1.451809e-01 6.318123e+10 1.642965e+16
1.469916e-01 6.243522e+10 1.586635e+16
1.488248e-01 6.169664e+10 1.532236e+16
1.506810e-01 6.096539e+10 1.479702e+16
1.525603e-01 6.024142e+10 1.428969e+16
1.544630e-01 5.952465e+10 1.379975e+16
1.563895e-01 5.881501e+10 1.332662e+16
1.583400e-01 5.811243e+10 1.286970e+16
1.603148e-01 5.741685e+10 1.242845e+16
1.623142e-01 5.672820e+10 1.200233e+16
1.643386e-01 5.604677e+10 1.159082e+16
1.663882e-01 5.540710e+10 1.119342e+16
1.684634e-01 5.477645e+10 1.080964e+16
1.705645e-01 5.420888e+10 1.043903e+16
1.726918e-01 5.377598e+10 1.008111e+16
1.748456e-01 5.334514e+10 9.735474e+15
1.770262e-01 5.291632e+10 9.401685e+15
1.792341e-01 5.248952e+10 9.079340e+15
1.814695e-01 5.206474e+10 8.768047e+15
1.837328e-01 5.164195e+10 8.467427e+15
1.860243e-01 5.122115e+10 8.177114e+15
1.883444e-01 5.080234e+10 7.896755e+15
1.906934e-01 5.038549e+10 7.626008e+15
1.930718e-01 4.997059e+10 7.364543e+15
1.954798e-01 4.955765e+10 7.112044e+15
1.979178e-01 4.914664e+10 6.868201e+15
2.003862e-01 4.866786e+10 6.632719e+15
2.028854e-01 4.817022e+10 6.405311e+15
2.054158e-01 4.767619e+10 6.185699e+15
2.079777e-01 4.718576e+10 5.973617e+15
2.105716e-01 4.673018e+10 5.768806e+15
2.131979e-01 4.630143e+10 5.571018e+15
2.158569e-01 4.587512e+10 5.380011e+15
2.185491e-01 4.541338e+10 5.195553e+15
2.212748e-01 4.489868e+10 5.017419e+15
2.240345e-01 4.438831e+10 4.845392e+15
2.268287e-01 4.388223e+10 4.679264e+15
2.296577e-01 4.338041e+10 4.518831e+15
2.325220e-01 4.288282e+10 4.363900e+15
2.354220e-01 4.238942e+10 4.214280e+15
2.383582e-01 4.190019e+10 4.069789e+15
2.413310e-01 4.146713e+10 3.930253e+15
2.443409e-01 4.109057e+10 3.795501e+15
2.473883e-01 4.071592e+10 3.665369e+15
2.504737e-01 4.034933e+10 3.539699e+15
2.535976e-01 3.999121e+10 3.418338e+15
2.567605e-01 3.963473e+10 3.301137e+15
2.599628e-01 3.927988e+10 3.187955e+15
2.632050e-01 3.892665e+10 3.078653e+15
2.664877e-01 3.857503e+10 2.973099e+15
2.698114e-01 3.822503e+10 2.871164e+15
2.731764e-01 3.787664e+10 2.772724e+15
2.765835e-01 3.752984e+10 2.677658e+15
2.800330e-01 3.718464e+10 2.585853e+15
2.835256e-01 3.684104e+10 2.497195e+15
2.870617e-01 3.649901e+10 2.411576e+15
2.906420e-01 3.615857e+10 2.328893e+15
2.942668e-01 3.581971e+10 2.249045e+15
2.979369e-01 3.548241e+10 2.171935e+15
3.016528e-01 3.514669e+10 2.097468e+15
3.054150e-01 3.481253e+10 2.025555e+15
3.092241e-01 3.447992e+10 1.956107e+15
3.130808e-01 3.412801e+10 1.889041e+15
3.169855e-01 3.364287e+10 1.824273e+15
3.209390e-01 3.316393e+10 1.761727e+15
3.249417e-01 3.279893e+10 1.701324e+15
3.289944e-01 3.241121e+10 1.642993e+15
3.330976e-01 3.192807e+10 1.586662e+15
3.372520e-01 3.151195e+10 1.532262e+15
3.414582e-01 3.124750e+10 1.479727e+15
3.457168e-01 3.089200e+10 1.428993e+15
3.500286e-01 3.060539e+10 1.379999e+15
3.543942e-01 3.024543e+10 1.332685e+15
3.588142e-01 2.978844e+10 1.286993e+15
3.632893e-01 2.932461e+10 1.242867e+15
3.678202e-01 2.886640e+10 1.200254e+15
3.724077e-01 2.841375e+10 1.159103e+15
3.770524e-01 2.797463e+10 1.119362e+15
3.817549e-01 2.762229e+10 1.080984e+15
3.865162e-01 2.722239e+10 1.043921e+15
3.913368e-01 2.681909e+10 1.008130e+15
3.962176e-01 2.645185e+10 9.735651e+14
4.011592e-01 2.606446e+10 9.401857e+14
4.061624e-01 2.575165e+10 9.079507e+14
4.112281e-01 2.545007e+10 8.768209e+14
4.163569e-01 2.516309e+10 8.467584e+14
4.215497e-01 2.492558e+10 8.177266e+14
4.268073e-01 2.475270e+10 7.896902e+14
4.321304e-01 2.444014e+10 7.626151e+14
4.375199e-01 2.409997e+10 7.364682e+14
4.429767e-01 2.385079e+10 7.112178e+14
4.485015e-01 2.349227e+10 6.868332e+14
4.540952e-01 2.320308e+10 6.632846e+14
4.597587e-01 2.286635e+10 6.405433e+14
4.654928e-01 2.256652e+10 6.185818e+14
4.712984e-01 2.228561e+10 5.973732e+14
4.771764e-01 2.199493e+10 5.768918e+14
4.831277e-01 2.172064e+10 5.571127e+14
4.891533e-01 2.141203e+10 5.380116e+14
4.952540e-01 2.112209e+10 5.195655e+14
5.014308e-01 2.086834e+10 5.017518e+14
5.076847e-01 2.054059e+10 4.845488e+14
5.140165e-01 2.025180e+10 4.679357e+14
5.204273e-01 2.004485e+10 4.518922e+14
5.269181e-01 1.971576e+10 4.363987e+14
5.334898e-01 1.945687e+10 4.214365e+14
5.401435e-01 1.916642e+10 4.069872e+14
5.468801e-01 1.887102e+10 3.930333e+14
5.537008e-01 1.860481e+10 3.795579e+14
5.606066e-01 1.826104e+10 3.665445e+14
5.675984e-01 1.799330e+10 3.539772e+14
5.746775e-01 1.781269e+10 3.418408e+14
5.818449e-01 1.766379e+10 3.301206e+14
5.891017e-01 1.739586e+10 3.188021e+14
5.964489e-01 1.709386e+10 3.078718e+14
6.038878e-01 1.680294e+10 2.973161e+14
6.114195e-01 1.655563e+10 2.871224e+14
6.190451e-01 1.634401e+10 2.772782e+14
6.267658e-01 1.621325e+10 2.677715e+14
6.345829e-01 1.599768e+10 2.585908e+14
6.424974e-01 1.572268e+10 2.497248e+14
6.505106e-01 1.551779e+10 2.411628e+14
6.586238e-01 1.523210e+10 2.328944e+14
6.668381e-01 1.499802e+10 2.249094e+14
6.751549e-01 1.480881e+10 2.171982e+14
6.835754e-01 1.457069e+10 2.097514e+14
6.921010e-01 1.426426e+10 2.025599e+14
7.007328e-01 1.403583e+10 1.956150e+14
7.094724e-01 1.383793e+10 1.889082e+14
7.183209e-01 1.370082e+10 1.824314e+14
7.272798e-01 1.346413e+10 1.761766e+14
7.363504e-01 1.325659e+10 1.701362e+14
7.455342e-01 1.305803e+10 1.643030e+14
7.548325e-01 1.289752e+10 1.586697e+14
7.642467e-01 1.272379e+10 1.532296e+14
7.737784e-01 1.253362e+10 1.479760e+14
7.834289e-01 1.232061e+10 1.429026e+14
7.931999e-01 1.213084e+10 1.380031e+14
