# Energy(MeV) Fluence_Spherical_Median(cm^-2*MeV^-1)
5.000000e-02 6.742061e+12
5.062360e-02 6.577162e+12
5.125498e-02 6.416289e+12
5.189423e-02 6.259343e+12
5.254145e-02 6.106229e+12
5.319675e-02 5.956853e+12
5.386022e-02 5.811125e+12
5.453196e-02 5.668955e+12
5.521208e-02 5.530256e+12
5.590069e-02 5.394944e+12
5.659788e-02 5.262936e+12
5.730377e-02 5.134151e+12
5.801846e-02 5.008512e+12
5.874207e-02 4.885940e+12
5.947470e-02 4.766362e+12
6.021646e-02 4.649704e+12
6.096748e-02 4.535895e+12
6.172787e-02 4.426030e+12
6.249774e-02 4.319197e+12
6.327721e-02 4.214933e+12
6.406640e-02 4.113178e+12
6.486544e-02 4.013870e+12
6.567444e-02 3.916951e+12
6.649353e-02 3.822364e+12
6.732283e-02 3.730052e+12
6.816248e-02 3.639961e+12
6.901261e-02 3.552038e+12
6.987333e-02 3.466230e+12
7.074479e-02 3.382487e+12
7.162712e-02 3.300759e+12
7.252045e-02 3.220998e+12
7.342492e-02 3.143156e+12
7.434068e-02 3.067188e+12
7.526786e-02 2.993049e+12
7.620660e-02 2.920693e+12
7.715704e-02 2.850080e+12
7.811934e-02 2.780765e+12
7.909365e-02 2.712452e+12
8.008010e-02 2.645811e+12
8.107886e-02 2.580801e+12
8.209008e-02 2.517382e+12
8.311390e-02 2.455515e+12
8.415050e-02 2.395163e+12
8.520002e-02 2.336289e+12
8.626263e-02 2.278468e+12
8.733850e-02 2.221565e+12
8.842779e-02 2.165359e+12
8.953066e-02 2.110572e+12
9.064728e-02 2.057167e+12
9.177783e-02 2.005110e+12
9.292249e-02 1.954367e+12
9.408141e-02 1.904906e+12
9.525480e-02 1.856731e+12
9.644281e-02 1.810932e+12
9.764565e-02 1.766259e+12
9.886348e-02 1.722685e+12
1.000965e-01 1.680181e+12
1.013449e-01 1.638722e+12
1.026089e-01 1.598282e+12
1.038886e-01 1.558836e+12
1.051843e-01 1.520360e+12
1.064962e-01 1.482830e+12
1.078244e-01 1.446223e+12
1.091692e-01 1.410516e+12
1.105307e-01 1.376480e+12
1.119093e-01 1.343395e+12
1.133050e-01 1.311101e+12
1.147181e-01 1.279578e+12
1.161489e-01 1.248809e+12
1.175975e-01 1.218775e+12
1.190642e-01 1.189459e+12
1.205492e-01 1.160843e+12
1.220526e-01 1.132912e+12
1.235749e-01 1.105649e+12
1.251161e-01 1.079038e+12
1.266765e-01 1.053365e+12
1.282565e-01 1.028622e+12
1.298561e-01 1.004448e+12
1.314756e-01 9.808297e+11
1.331154e-01 9.577553e+11
1.347756e-01 9.352120e+11
1.364565e-01 9.131878e+11
1.381584e-01 8.916709e+11
1.398815e-01 8.706497e+11
1.416261e-01 8.501129e+11
1.433925e-01 8.300495e+11
1.451809e-01 8.104486e+11
1.469916e-01 7.912999e+11
1.488248e-01 7.724285e+11
1.506810e-01 7.525734e+11
1.525603e-01 7.329962e+11
1.544630e-01 7.141934e+11
1.563895e-01 6.972886e+11
1.583400e-01 6.807772e+11
1.603148e-01 6.645844e+11
1.623142e-01 6.486571e+11
1.643386e-01 6.331046e+11
1.663882e-01 6.179183e+11
1.684634e-01 6.030895e+11
1.705645e-01 5.886099e+11
1.726918e-01 5.744714e+11
1.748456e-01 5.606660e+11
1.770262e-01 5.471859e+11
1.792341e-01 5.340236e+11
1.814695e-01 5.211716e+11
1.837328e-01 5.086227e+11
1.860243e-01 4.963698e+11
1.883444e-01 4.844061e+11
1.906934e-01 4.727246e+11
1.930718e-01 4.611702e+11
1.954798e-01 4.498729e+11
1.979178e-01 4.388494e+11
2.003862e-01 4.280930e+11
2.028854e-01 4.175975e+11
2.054158e-01 4.073563e+11
2.079777e-01 3.973635e+11
2.105716e-01 3.876131e+11
2.131979e-01 3.782000e+11
2.158569e-01 3.691603e+11
2.185491e-01 3.599689e+11
2.212748e-01 3.510041e+11
2.240345e-01 3.422964e+11
2.268287e-01 3.335626e+11
2.296577e-01 3.250398e+11
2.325220e-01 3.167329e+11
2.354220e-01 3.086362e+11
2.383582e-01 3.007446e+11
2.413310e-01 2.930529e+11
2.443409e-01 2.855560e+11
2.473883e-01 2.782489e+11
2.504737e-01 2.711270e+11
2.535976e-01 2.641856e+11
2.567605e-01 2.574609e+11
2.599628e-01 2.511043e+11
2.632050e-01 2.446066e+11
2.664877e-01 2.380542e+11
2.698114e-01 2.316763e+11
2.731764e-01 2.256334e+11
2.765835e-01 2.200749e+11
2.800330e-01 2.146506e+11
2.835256e-01 2.091609e+11
2.870617e-01 2.037433e+11
2.906420e-01 1.984651e+11
2.942668e-01 1.933225e+11
2.979369e-01 1.883123e+11
3.016528e-01 1.835965e+11
3.054150e-01 1.791163e+11
3.092241e-01 1.747436e+11
3.130808e-01 1.704757e+11
3.169855e-01 1.663102e+11
3.209390e-01 1.622447e+11
3.249417e-01 1.582767e+11
3.289944e-01 1.544040e+11
3.330976e-01 1.506242e+11
3.372520e-01 1.468684e+11
3.414582e-01 1.430051e+11
3.457168e-01 1.392428e+11
3.500286e-01 1.358379e+11
3.543942e-01 1.325264e+11
3.588142e-01 1.291651e+11
3.632893e-01 1.258879e+11
3.678202e-01 1.226929e+11
3.724077e-01 1.195780e+11
3.770524e-01 1.164984e+11
3.817549e-01 1.134101e+11
3.865162e-01 1.104029e+11
3.913368e-01 1.075254e+11
3.962176e-01 1.047336e+11
4.011592e-01 1.020109e+11
4.061624e-01 9.939959e+10
4.112281e-01 9.689763e+10
4.163569e-01 9.423885e+10
4.215497e-01 9.183239e+10
4.268073e-01 8.934381e+10
4.321304e-01 8.689295e+10
4.375199e-01 8.458440e+10
4.429767e-01 8.233641e+10
4.485015e-01 8.006627e+10
4.540952e-01 7.787340e+10
4.597587e-01 7.588168e+10
4.654928e-01 7.392438e+10
4.712984e-01 7.202259e+10
4.771764e-01 7.016877e+10
4.831277e-01 6.833789e+10
4.891533e-01 6.635157e+10
4.952540e-01 6.440466e+10
5.014308e-01 6.275678e+10
5.076847e-01 6.116166e+10
5.140165e-01 5.957038e+10
5.204273e-01 5.799621e+10
5.269181e-01 5.647365e+10
5.334898e-01 5.503624e+10
5.401435e-01 5.360122e+10
5.468801e-01 5.218666e+10
5.537008e-01 5.075144e+10
5.606066e-01 4.935331e+10
5.675984e-01 4.803069e+10
5.746775e-01 4.678916e+10
5.818449e-01 4.557893e+10
5.891017e-01 4.439028e+10
5.964489e-01 4.317267e+10
6.038878e-01 4.198536e+10
6.114195e-01 4.077255e+10
6.190451e-01 3.961994e+10
6.267658e-01 3.853315e+10
6.345829e-01 3.756181e+10
6.424974e-01 3.655449e+10
6.505106e-01 3.552559e+10
6.586238e-01 3.454117e+10
6.668381e-01 3.359902e+10
6.751549e-01 3.265195e+10
6.835754e-01 3.178999e+10
6.921010e-01 3.091093e+10
7.007328e-01 3.011667e+10
7.094724e-01 2.930686e+10
7.183209e-01 2.854290e+10
7.272798e-01 2.779293e+10
7.363504e-01 2.709135e+10
7.455342e-01 2.640634e+10
7.548325e-01 2.567675e+10
7.642467e-01 2.493609e+10
7.737784e-01 2.425570e+10
