# Energy(MeV) Phi16 Phi84
1.000000e+00 5.572301e+08 6.921256e+08
1.011599e+00 5.454303e+08 6.771970e+08
1.023332e+00 5.338803e+08 6.625665e+08
1.035202e+00 5.225750e+08 6.482501e+08
1.047209e+00 5.115090e+08 6.342417e+08
1.059356e+00 5.006774e+08 6.205347e+08
1.071643e+00 4.900751e+08 6.071226e+08
1.084073e+00 4.796974e+08 5.939990e+08
1.096647e+00 4.695394e+08 5.811578e+08
1.109367e+00 4.595965e+08 5.685929e+08
1.122234e+00 4.498699e+08 5.562984e+08
1.135251e+00 4.403710e+08 5.442684e+08
1.148418e+00 4.310727e+08 5.324974e+08
1.161739e+00 4.219706e+08 5.209796e+08
1.175214e+00 4.130608e+08 5.097098e+08
1.188845e+00 4.043391e+08 4.986825e+08
1.202634e+00 3.958016e+08 4.878891e+08
1.216583e+00 3.874443e+08 4.772894e+08
1.230694e+00 3.792635e+08 4.669189e+08
1.244969e+00 3.712554e+08 4.567725e+08
1.259409e+00 3.634165e+08 4.468455e+08
1.274017e+00 3.557430e+08 4.371330e+08
1.288794e+00 3.482316e+08 4.276395e+08
1.303743e+00 3.408787e+08 4.185227e+08
1.318865e+00 3.336812e+08 4.095979e+08
1.334162e+00 3.266356e+08 4.007589e+08
1.349637e+00 3.197387e+08 3.921096e+08
1.365291e+00 3.129875e+08 3.836459e+08
1.381127e+00 3.063789e+08 3.753613e+08
1.397147e+00 2.999098e+08 3.672265e+08
1.413352e+00 2.935772e+08 3.592669e+08
1.429746e+00 2.873735e+08 3.514789e+08
1.446329e+00 2.812521e+08 3.438586e+08
1.463105e+00 2.752611e+08 3.364025e+08
1.480075e+00 2.693977e+08 3.291071e+08
1.497243e+00 2.636591e+08 3.219690e+08
1.514609e+00 2.580429e+08 3.149868e+08
1.532177e+00 2.525463e+08 3.081699e+08
1.549948e+00 2.471667e+08 3.014995e+08
1.567926e+00 2.419018e+08 2.949350e+08
1.586112e+00 2.367490e+08 2.885385e+08
1.604509e+00 2.317060e+08 2.822839e+08
1.623120e+00 2.267704e+08 2.761639e+08
1.641946e+00 2.219658e+08 2.701757e+08
1.660991e+00 2.172964e+08 2.643164e+08
1.680257e+00 2.127253e+08 2.585833e+08
1.699746e+00 2.082504e+08 2.529925e+08
1.719461e+00 2.038696e+08 2.475281e+08
1.739405e+00 1.995809e+08 2.421808e+08
1.759580e+00 1.953825e+08 2.369482e+08
1.779989e+00 1.912724e+08 2.318279e+08
1.800635e+00 1.872488e+08 2.268174e+08
1.821520e+00 1.833098e+08 2.219144e+08
1.842648e+00 1.794536e+08 2.171166e+08
1.864021e+00 1.756786e+08 2.124217e+08
1.885641e+00 1.719830e+08 2.078276e+08
1.907513e+00 1.683652e+08 2.033321e+08
1.929638e+00 1.648235e+08 1.989331e+08
1.952019e+00 1.613562e+08 1.946216e+08
1.974661e+00 1.579400e+08 1.904028e+08
1.997565e+00 1.545953e+08 1.862746e+08
2.020734e+00 1.513215e+08 1.822352e+08
2.044172e+00 1.481170e+08 1.782827e+08
2.067883e+00 1.449804e+08 1.744152e+08
2.091868e+00 1.418861e+08 1.706309e+08
2.116131e+00 1.388512e+08 1.669280e+08
2.140676e+00 1.358813e+08 1.633048e+08
2.165505e+00 1.329749e+08 1.597596e+08
2.190623e+00 1.301307e+08 1.562906e+08
2.216032e+00 1.273487e+08 1.528963e+08
2.241735e+00 1.246356e+08 1.495750e+08
2.267737e+00 1.219804e+08 1.463252e+08
2.294040e+00 1.193817e+08 1.431454e+08
2.320648e+00 1.168384e+08 1.400340e+08
2.347565e+00 1.143493e+08 1.369896e+08
2.374795e+00 1.119132e+08 1.340245e+08
2.402340e+00 1.095290e+08 1.311261e+08
2.430204e+00 1.071956e+08 1.282897e+08
2.458392e+00 1.049120e+08 1.255141e+08
2.486906e+00 1.026770e+08 1.227979e+08
2.515752e+00 1.004896e+08 1.201399e+08
2.544932e+00 9.834877e+07 1.175388e+08
2.574450e+00 9.628235e+07 1.149935e+08
2.604311e+00 9.426824e+07 1.124895e+08
2.634518e+00 9.229627e+07 1.100225e+08
2.665075e+00 9.036556e+07 1.076083e+08
2.695987e+00 8.847524e+07 1.052464e+08
2.727258e+00 8.662447e+07 1.029359e+08
2.758891e+00 8.481241e+07 1.006755e+08
2.790891e+00 8.300714e+07 9.846412e+07
2.823262e+00 8.123803e+07 9.630755e+07
2.856009e+00 7.950783e+07 9.420553e+07
2.889136e+00 7.781447e+07 9.214887e+07
2.922647e+00 7.615719e+07 9.013658e+07
2.956546e+00 7.453520e+07 8.816772e+07
2.990839e+00 7.294776e+07 8.624136e+07
3.025529e+00 7.139413e+07 8.435088e+07
3.060622e+00 6.987359e+07 8.249838e+07
3.096122e+00 6.838677e+07 8.068606e+07
3.132033e+00 6.695134e+07 7.890488e+07
3.168361e+00 6.554967e+07 7.713936e+07
3.205111e+00 6.417832e+07 7.541286e+07
3.242287e+00 6.283565e+07 7.372451e+07
3.279894e+00 6.152108e+07 7.207660e+07
3.317937e+00 6.023401e+07 7.048622e+07
