# Energy(MeV) Phi16 Phi84
5.000000e-01 6.098334e+08 9.221164e+08
5.076744e-01 5.923372e+08 8.937822e+08
5.154667e-01 5.752509e+08 8.662562e+08
5.233785e-01 5.586357e+08 8.395497e+08
5.314118e-01 5.425002e+08 8.140333e+08
5.395683e-01 5.268304e+08 7.897678e+08
5.478501e-01 5.116743e+08 7.662253e+08
5.562590e-01 4.970511e+08 7.433843e+08
5.647969e-01 4.828330e+08 7.205546e+08
5.734659e-01 4.689768e+08 6.982548e+08
5.822680e-01 4.553410e+08 6.766340e+08
5.912051e-01 4.421013e+08 6.555900e+08
6.002795e-01 4.292464e+08 6.352003e+08
6.094931e-01 4.168899e+08 6.154444e+08
6.188481e-01 4.051461e+08 5.963028e+08
6.283467e-01 3.937420e+08 5.779605e+08
6.379911e-01 3.824076e+08 5.603974e+08
6.477836e-01 3.712924e+08 5.431688e+08
6.577263e-01 3.609487e+08 5.264306e+08
6.678217e-01 3.505708e+08 5.101714e+08
6.780720e-01 3.404497e+08 4.943655e+08
6.884796e-01 3.306861e+08 4.790111e+08
6.990470e-01 3.212021e+08 4.638668e+08
7.097766e-01 3.119898e+08 4.495885e+08
7.206709e-01 3.030414e+08 4.357700e+08
7.317324e-01 2.944372e+08 4.221809e+08
7.429636e-01 2.860618e+08 4.089517e+08
7.543673e-01 2.778513e+08 3.961670e+08
7.659460e-01 2.697850e+08 3.837817e+08
7.777024e-01 2.619526e+08 3.720328e+08
7.896392e-01 2.543791e+08 3.604988e+08
8.017593e-01 2.470514e+08 3.496365e+08
8.140654e-01 2.399345e+08 3.390609e+08
8.265604e-01 2.330269e+08 3.285823e+08
8.392472e-01 2.263197e+08 3.184371e+08
8.521287e-01 2.198302e+08 3.085812e+08
8.652079e-01 2.135304e+08 2.990294e+08
8.784878e-01 2.074853e+08 2.899443e+08
8.919716e-01 2.015066e+08 2.812514e+08
9.056624e-01 1.956998e+08 2.728190e+08
9.195633e-01 1.900602e+08 2.646056e+08
9.336776e-01 1.845828e+08 2.563750e+08
9.480084e-01 1.792149e+08 2.483947e+08
9.625593e-01 1.740420e+08 2.406626e+08
9.773335e-01 1.690296e+08 2.331711e+08
9.923345e-01 1.641612e+08 2.259848e+08
1.007566e+00 1.593962e+08 2.192184e+08
1.023031e+00 1.547275e+08 2.125675e+08
1.038733e+00 1.501953e+08 2.060048e+08
1.054676e+00 1.458706e+08 1.996638e+08
1.070865e+00 1.417598e+08 1.936397e+08
1.087301e+00 1.377401e+08 1.876922e+08
1.103990e+00 1.337885e+08 1.820163e+08
1.120935e+00 1.299808e+08 1.765469e+08
1.138140e+00 1.262435e+08 1.711645e+08
1.155609e+00 1.226386e+08 1.659601e+08
1.173346e+00 1.191504e+08 1.608987e+08
1.191356e+00 1.157525e+08 1.559601e+08
1.209642e+00 1.124681e+08 1.513373e+08
1.228209e+00 1.092759e+08 1.467874e+08
1.247060e+00 1.061756e+08 1.423741e+08
1.266201e+00 1.031624e+08 1.380473e+08
1.285636e+00 1.002110e+08 1.338606e+08
1.305369e+00 9.736301e+07 1.298127e+08
1.325405e+00 9.460413e+07 1.258179e+08
1.345748e+00 9.184848e+07 1.220268e+08
1.366404e+00 8.915097e+07 1.182618e+08
1.387377e+00 8.652354e+07 1.146809e+08
1.408672e+00 8.397192e+07 1.112068e+08
1.430293e+00 8.154303e+07 1.077611e+08
1.452247e+00 7.915904e+07 1.043458e+08
1.474537e+00 7.682818e+07 1.011789e+08
1.497169e+00 7.457042e+07 9.812617e+07
1.520149e+00 7.238061e+07 9.520366e+07
1.543482e+00 7.026178e+07 9.226228e+07
