# Energy(MeV) Planare_Fluence(cm^-2*MeV^-1)
5.000000e-01 7.561553e+08
5.076744e-01 7.335813e+08
5.154667e-01 7.115971e+08
5.233785e-01 6.902714e+08
5.314118e-01 6.695845e+08
5.395683e-01 6.496440e+08
5.478501e-01 6.303869e+08
5.562590e-01 6.117003e+08
5.647969e-01 5.936368e+08
5.734659e-01 5.760255e+08
5.822680e-01 5.591622e+08
5.912051e-01 5.428516e+08
6.002795e-01 5.267425e+08
6.094931e-01 5.110227e+08
6.188481e-01 4.957792e+08
6.283467e-01 4.810368e+08
6.379911e-01 4.668126e+08
6.477836e-01 4.529910e+08
6.577263e-01 4.395841e+08
6.678217e-01 4.264662e+08
6.780720e-01 4.136658e+08
6.884796e-01 4.013269e+08
6.990470e-01 3.894471e+08
7.097766e-01 3.777463e+08
7.206709e-01 3.663774e+08
7.317324e-01 3.554371e+08
7.429636e-01 3.449284e+08
7.543673e-01 3.348116e+08
7.659460e-01 3.250202e+08
7.777024e-01 3.153399e+08
7.896392e-01 3.060021e+08
8.017593e-01 2.970001e+08
8.140654e-01 2.882627e+08
8.265604e-01 2.796802e+08
8.392472e-01 2.714336e+08
8.521287e-01 2.632737e+08
8.652079e-01 2.553544e+08
8.784878e-01 2.477910e+08
8.919716e-01 2.403906e+08
9.056624e-01 2.332585e+08
9.195633e-01 2.263034e+08
9.336776e-01 2.196536e+08
9.480084e-01 2.132230e+08
9.625593e-01 2.069600e+08
9.773335e-01 2.008693e+08
9.923345e-01 1.948913e+08
1.007566e+00 1.890481e+08
1.023031e+00 1.834399e+08
1.038733e+00 1.779843e+08
1.054676e+00 1.726943e+08
1.070865e+00 1.675835e+08
1.087301e+00 1.626278e+08
1.103990e+00 1.578106e+08
1.120935e+00 1.531240e+08
1.138140e+00 1.485996e+08
1.155609e+00 1.442310e+08
1.173346e+00 1.400065e+08
1.191356e+00 1.358926e+08
1.209642e+00 1.318695e+08
1.228209e+00 1.279444e+08
1.247060e+00 1.241291e+08
1.266201e+00 1.204322e+08
1.285636e+00 1.168904e+08
1.305369e+00 1.134341e+08
1.325405e+00 1.100617e+08
1.345748e+00 1.067538e+08
1.366404e+00 1.035719e+08
1.387377e+00 1.004860e+08
1.408672e+00 9.750268e+07
1.430293e+00 9.459121e+07
1.452247e+00 9.178115e+07
1.474537e+00 8.898538e+07
1.497169e+00 8.631300e+07
1.520149e+00 8.368507e+07
1.543482e+00 8.121431e+07
1.567172e+00 7.880637e+07
1.591227e+00 7.645951e+07
1.615650e+00 7.417927e+07
1.640449e+00 7.194183e+07
1.665628e+00 6.978203e+07
1.691193e+00 6.766274e+07
1.717151e+00 6.563782e+07
1.743508e+00 6.366852e+07
1.770268e+00 6.173133e+07
1.797440e+00 5.990398e+07
1.825029e+00 5.815389e+07
1.853041e+00 5.642082e+07
1.881483e+00 5.474573e+07
1.910362e+00 5.309361e+07
1.939683e+00 5.148150e+07
1.969455e+00 4.993891e+07
1.999684e+00 4.843911e+07
2.030377e+00 4.700216e+07
2.061541e+00 4.562302e+07
2.093184e+00 4.426705e+07
2.125312e+00 4.290054e+07
2.157933e+00 4.163691e+07
2.191055e+00 4.040767e+07
2.224685e+00 3.919667e+07
2.258831e+00 3.801936e+07
2.293502e+00 3.689043e+07
2.328704e+00 3.580661e+07
2.364447e+00 3.473757e+07
2.400739e+00 3.370582e+07
2.437588e+00 3.268873e+07
2.475002e+00 3.170645e+07
2.512990e+00 3.075853e+07
2.551562e+00 2.985133e+07
2.590725e+00 2.896110e+07
2.630490e+00 2.810535e+07
2.670865e+00 2.726236e+07
2.711860e+00 2.644285e+07
2.753484e+00 2.566847e+07
2.795747e+00 2.492006e+07
2.838658e+00 2.416348e+07
2.882229e+00 2.344929e+07
2.926468e+00 2.275361e+07
2.971386e+00 2.207288e+07
3.016993e+00 2.141668e+07
3.063300e+00 2.078005e+07
3.110319e+00 2.016294e+07
3.158058e+00 1.955811e+07
3.206531e+00 1.897545e+07
3.255748e+00 1.839595e+07
3.305720e+00 1.784355e+07
3.356459e+00 1.730878e+07
3.407977e+00 1.678411e+07
3.460285e+00 1.627665e+07
3.513397e+00 1.579649e+07
3.567323e+00 1.532811e+07
3.622078e+00 1.488335e+07
3.677673e+00 1.444689e+07
3.734121e+00 1.401404e+07
3.791435e+00 1.360006e+07
3.849630e+00 1.319182e+07
3.908717e+00 1.279815e+07
3.968711e+00 1.241644e+07
4.029627e+00 1.204440e+07
4.091477e+00 1.167862e+07
4.154276e+00 1.132141e+07
4.218040e+00 1.097317e+07
4.282782e+00 1.064397e+07
4.348518e+00 1.032438e+07
4.415263e+00 1.002087e+07
4.483032e+00 9.716471e+06
4.551842e+00 9.427337e+06
4.621707e+00 9.146390e+06
4.692645e+00 8.872098e+06
4.764672e+00 8.604210e+06
4.837804e+00 8.349546e+06
4.912059e+00 8.100775e+06
4.987454e+00 7.859369e+06
5.064006e+00 7.622563e+06
5.141732e+00 7.395395e+06
5.220652e+00 7.176670e+06
5.300783e+00 6.958751e+06
5.382144e+00 6.747044e+06
5.464754e+00 6.542370e+06
5.548632e+00 6.346069e+06
5.633797e+00 6.157759e+06
5.720270e+00 5.971064e+06
5.808069e+00 5.787910e+06
5.897217e+00 5.612937e+06
5.987732e+00 5.445993e+06
6.079637e+00 5.288291e+06
6.172953e+00 5.129183e+06
6.267701e+00 4.974018e+06
6.363903e+00 4.822646e+06
6.461581e+00 4.677796e+06
6.560759e+00 4.536003e+06
6.661460e+00 4.400130e+06
6.763706e+00 4.266585e+06
6.867521e+00 4.138412e+06
6.972929e+00 4.014811e+06
7.079956e+00 3.893742e+06
7.188625e+00 3.776997e+06
7.298963e+00 3.664285e+06
7.410994e+00 3.553222e+06
7.524744e+00 3.445460e+06
7.640240e+00 3.343637e+06
7.757509e+00 3.244580e+06
7.876578e+00 3.145212e+06
7.997475e+00 3.052425e+06
8.120227e+00 2.958557e+06
8.244863e+00 2.868363e+06
8.371413e+00 2.783183e+06
8.499905e+00 2.698525e+06
8.630369e+00 2.617250e+06
