Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.2864e+03
1.5000e-03	0.0000e+00	2.2869e+03
2.0000e-03	0.0000e+00	2.2872e+03
2.5000e-03	0.0000e+00	2.2875e+03
3.0000e-03	0.0000e+00	2.2877e+03
3.5000e-03	0.0000e+00	2.2879e+03
4.0000e-03	0.0000e+00	2.2881e+03
4.5000e-03	0.0000e+00	2.2882e+03
5.0000e-03	0.0000e+00	2.2884e+03
5.5000e-03	0.0000e+00	2.2885e+03
6.0000e-03	0.0000e+00	2.2886e+03
6.5000e-03	0.0000e+00	2.2887e+03
7.0000e-03	0.0000e+00	2.2888e+03
7.5000e-03	0.0000e+00	2.2889e+03
8.0000e-03	0.0000e+00	2.2890e+03
8.5000e-03	0.0000e+00	2.2890e+03
9.0000e-03	0.0000e+00	2.2891e+03
9.5000e-03	0.0000e+00	2.2892e+03
1.0000e-02	0.0000e+00	2.2892e+03
1.5000e-02	0.0000e+00	2.2897e+03
2.0000e-02	0.0000e+00	2.2901e+03
2.5000e-02	0.0000e+00	2.2904e+03
3.0000e-02	0.0000e+00	2.2906e+03
3.5000e-02	0.0000e+00	2.2909e+03
4.0000e-02	0.0000e+00	2.2917e+03
4.5000e-02	0.0000e+00	2.2925e+03
5.0000e-02	0.0000e+00	2.2931e+03
5.5000e-02	0.0000e+00	2.2937e+03
6.0000e-02	0.0000e+00	2.2943e+03
6.5000e-02	0.0000e+00	2.2947e+03
7.0000e-02	0.0000e+00	2.2952e+03
7.5000e-02	0.0000e+00	2.2956e+03
8.0000e-02	0.0000e+00	2.2960e+03
8.5000e-02	0.0000e+00	2.2964e+03
9.0000e-02	0.0000e+00	2.2968e+03
9.5000e-02	0.0000e+00	2.2975e+03
1.0000e-01	0.0000e+00	2.2981e+03
1.5000e-01	0.0000e+00	2.3034e+03
2.0000e-01	0.0000e+00	2.3087e+03
2.5000e-01	0.0000e+00	2.3142e+03
3.0000e-01	0.0000e+00	2.3196e+03
3.5000e-01	0.0000e+00	2.3250e+03
4.0000e-01	0.0000e+00	2.3305e+03
4.5000e-01	0.0000e+00	2.3359e+03
5.0000e-01	7.5616e+08	2.3412e+03
5.0767e-01	7.3358e+08	2.3421e+03
5.1547e-01	7.1160e+08	2.3429e+03
5.2338e-01	6.9027e+08	2.3437e+03
5.3141e-01	6.6958e+08	2.3445e+03
5.3957e-01	6.4964e+08	2.3454e+03
5.4785e-01	6.3039e+08	2.3463e+03
5.5626e-01	6.1170e+08	2.3472e+03
5.6480e-01	5.9364e+08	2.3481e+03
5.7347e-01	5.7603e+08	2.3490e+03
5.8227e-01	5.5916e+08	2.3499e+03
5.9121e-01	5.4285e+08	2.3508e+03
6.0028e-01	5.2674e+08	2.3518e+03
6.0949e-01	5.1102e+08	2.3527e+03
6.1885e-01	4.9578e+08	2.3537e+03
6.2835e-01	4.8104e+08	2.3547e+03
6.3799e-01	4.6681e+08	2.3556e+03
6.4778e-01	4.5299e+08	2.3566e+03
6.5773e-01	4.3958e+08	2.3577e+03
6.6782e-01	4.2647e+08	2.3587e+03
6.7807e-01	4.1367e+08	2.3597e+03
6.8848e-01	4.0133e+08	2.3608e+03
6.9905e-01	3.8945e+08	2.3618e+03
7.0978e-01	3.7775e+08	2.3629e+03
7.2067e-01	3.6638e+08	2.3641e+03
7.3173e-01	3.5544e+08	2.3652e+03
7.4296e-01	3.4493e+08	2.3663e+03
7.5437e-01	3.3481e+08	2.3675e+03
7.6595e-01	3.2502e+08	2.3687e+03
7.7770e-01	3.1534e+08	2.3700e+03
7.8964e-01	3.0600e+08	2.3713e+03
8.0176e-01	2.9700e+08	2.3725e+03
8.1407e-01	2.8826e+08	2.3738e+03
8.2656e-01	2.7968e+08	2.3752e+03
8.3925e-01	2.7143e+08	2.3765e+03
8.5213e-01	2.6327e+08	2.3779e+03
8.6521e-01	2.5535e+08	2.3793e+03
8.7849e-01	2.4779e+08	2.3807e+03
8.9197e-01	2.4039e+08	2.3822e+03
9.0566e-01	2.3326e+08	2.3837e+03
9.1956e-01	2.2630e+08	2.3851e+03
9.3368e-01	2.1965e+08	2.3867e+03
9.4801e-01	2.1322e+08	2.3882e+03
9.6256e-01	2.0696e+08	2.3898e+03
9.7733e-01	2.0087e+08	2.3913e+03
9.9233e-01	1.9489e+08	2.3930e+03
1.0076e+00	1.8905e+08	2.3947e+03
1.0230e+00	1.8344e+08	2.3963e+03
1.0387e+00	1.7798e+08	2.3980e+03
1.0547e+00	1.7269e+08	2.3998e+03
1.0709e+00	1.6758e+08	2.4015e+03
1.0873e+00	1.6263e+08	2.4033e+03
1.1040e+00	1.5781e+08	2.4051e+03
1.1209e+00	1.5312e+08	2.4069e+03
1.1381e+00	1.4860e+08	2.4088e+03
1.1556e+00	1.4423e+08	2.4107e+03
1.1733e+00	1.4001e+08	2.4126e+03
1.1914e+00	1.3589e+08	2.4146e+03
1.2096e+00	1.3187e+08	2.4166e+03
1.2282e+00	1.2794e+08	2.4186e+03
1.2471e+00	1.2413e+08	2.4206e+03
1.2662e+00	1.2043e+08	2.4227e+03
1.2856e+00	1.1689e+08	2.4248e+03
1.3054e+00	1.1343e+08	2.4269e+03
1.3254e+00	1.1006e+08	2.4291e+03
1.3457e+00	1.0675e+08	2.4313e+03
1.3664e+00	1.0357e+08	2.4336e+03
1.3874e+00	1.0049e+08	2.4359e+03
1.4087e+00	9.7503e+07	2.4382e+03
1.4303e+00	9.4591e+07	2.4405e+03
1.4522e+00	9.1781e+07	2.4429e+03
1.4745e+00	8.8985e+07	2.4453e+03
