Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.0367e+03
1.5000e-03	0.0000e+00	2.0371e+03
2.0000e-03	0.0000e+00	2.0374e+03
2.5000e-03	0.0000e+00	2.0377e+03
3.0000e-03	0.0000e+00	2.0379e+03
3.5000e-03	0.0000e+00	2.0380e+03
4.0000e-03	0.0000e+00	2.0382e+03
4.5000e-03	0.0000e+00	2.0383e+03
5.0000e-03	0.0000e+00	2.0384e+03
5.5000e-03	0.0000e+00	2.0385e+03
6.0000e-03	0.0000e+00	2.0386e+03
6.5000e-03	0.0000e+00	2.0387e+03
7.0000e-03	0.0000e+00	2.0388e+03
7.5000e-03	0.0000e+00	2.0389e+03
8.0000e-03	0.0000e+00	2.0390e+03
8.5000e-03	0.0000e+00	2.0390e+03
9.0000e-03	0.0000e+00	2.0391e+03
9.5000e-03	0.0000e+00	2.0392e+03
1.0000e-02	0.0000e+00	2.0392e+03
1.5000e-02	0.0000e+00	2.0397e+03
2.0000e-02	0.0000e+00	2.0400e+03
2.5000e-02	0.0000e+00	2.0402e+03
3.0000e-02	0.0000e+00	2.0404e+03
3.5000e-02	0.0000e+00	2.0407e+03
4.0000e-02	0.0000e+00	2.0414e+03
4.5000e-02	0.0000e+00	2.0421e+03
5.0000e-02	0.0000e+00	2.0427e+03
5.5000e-02	0.0000e+00	2.0432e+03
6.0000e-02	0.0000e+00	2.0437e+03
6.5000e-02	0.0000e+00	2.0441e+03
7.0000e-02	0.0000e+00	2.0445e+03
7.5000e-02	0.0000e+00	2.0449e+03
8.0000e-02	0.0000e+00	2.0453e+03
8.5000e-02	0.0000e+00	2.0456e+03
9.0000e-02	0.0000e+00	2.0460e+03
9.5000e-02	0.0000e+00	2.0466e+03
1.0000e-01	0.0000e+00	2.0471e+03
1.5000e-01	0.0000e+00	2.0518e+03
2.0000e-01	0.0000e+00	2.0566e+03
2.5000e-01	0.0000e+00	2.0615e+03
3.0000e-01	0.0000e+00	2.0663e+03
3.5000e-01	0.0000e+00	2.0712e+03
4.0000e-01	0.0000e+00	2.0760e+03
4.5000e-01	0.0000e+00	2.0808e+03
5.0000e-01	6.0983e+08	2.0856e+03
5.0767e-01	5.9234e+08	2.0863e+03
5.1547e-01	5.7525e+08	2.0871e+03
5.2338e-01	5.5864e+08	2.0878e+03
5.3141e-01	5.4250e+08	2.0885e+03
5.3957e-01	5.2683e+08	2.0893e+03
5.4785e-01	5.1167e+08	2.0901e+03
5.5626e-01	4.9705e+08	2.0909e+03
5.6480e-01	4.8283e+08	2.0917e+03
5.7347e-01	4.6898e+08	2.0925e+03
5.8227e-01	4.5534e+08	2.0933e+03
5.9121e-01	4.4210e+08	2.0942e+03
6.0028e-01	4.2925e+08	2.0950e+03
6.0949e-01	4.1689e+08	2.0959e+03
6.1885e-01	4.0515e+08	2.0967e+03
6.2835e-01	3.9374e+08	2.0976e+03
6.3799e-01	3.8241e+08	2.0985e+03
6.4778e-01	3.7129e+08	2.0994e+03
6.5773e-01	3.6095e+08	2.1003e+03
6.6782e-01	3.5057e+08	2.1012e+03
6.7807e-01	3.4045e+08	2.1021e+03
6.8848e-01	3.3069e+08	2.1030e+03
6.9905e-01	3.2120e+08	2.1040e+03
7.0978e-01	3.1199e+08	2.1050e+03
7.2067e-01	3.0304e+08	2.1060e+03
7.3173e-01	2.9444e+08	2.1070e+03
7.4296e-01	2.8606e+08	2.1080e+03
