# Energy(MeV) Phi16 Phi84
5.000000e-01 2.439333e+09 3.688466e+09
5.076744e-01 2.369349e+09 3.575129e+09
5.154667e-01 2.301004e+09 3.465025e+09
5.233785e-01 2.234543e+09 3.358199e+09
5.314118e-01 2.170001e+09 3.256133e+09
5.395683e-01 2.107322e+09 3.159071e+09
5.478501e-01 2.046697e+09 3.064901e+09
5.562590e-01 1.988205e+09 2.973537e+09
5.647969e-01 1.931332e+09 2.882218e+09
5.734659e-01 1.875907e+09 2.793019e+09
5.822680e-01 1.821364e+09 2.706536e+09
5.912051e-01 1.768405e+09 2.622360e+09
6.002795e-01 1.716986e+09 2.540801e+09
6.094931e-01 1.667559e+09 2.461778e+09
6.188481e-01 1.620584e+09 2.385211e+09
6.283467e-01 1.574968e+09 2.311842e+09
6.379911e-01 1.529630e+09 2.241589e+09
6.477836e-01 1.485170e+09 2.172675e+09
6.577263e-01 1.443795e+09 2.105722e+09
6.678217e-01 1.402283e+09 2.040686e+09
6.780720e-01 1.361799e+09 1.977462e+09
6.884796e-01 1.322744e+09 1.916044e+09
6.990470e-01 1.284809e+09 1.855467e+09
7.097766e-01 1.247959e+09 1.798354e+09
7.206709e-01 1.212166e+09 1.743080e+09
7.317324e-01 1.177749e+09 1.688724e+09
7.429636e-01 1.144247e+09 1.635807e+09
7.543673e-01 1.111405e+09 1.584668e+09
7.659460e-01 1.079140e+09 1.535127e+09
7.777024e-01 1.047810e+09 1.488131e+09
7.896392e-01 1.017517e+09 1.441995e+09
8.017593e-01 9.882057e+08 1.398546e+09
8.140654e-01 9.597378e+08 1.356244e+09
8.265604e-01 9.321078e+08 1.314329e+09
8.392472e-01 9.052788e+08 1.273748e+09
8.521287e-01 8.793209e+08 1.234325e+09
8.652079e-01 8.541218e+08 1.196118e+09
8.784878e-01 8.299414e+08 1.159777e+09
8.919716e-01 8.060263e+08 1.125006e+09
9.056624e-01 7.827993e+08 1.091276e+09
9.195633e-01 7.602407e+08 1.058422e+09
9.336776e-01 7.383313e+08 1.025500e+09
9.480084e-01 7.168596e+08 9.935787e+08
9.625593e-01 6.961680e+08 9.626506e+08
9.773335e-01 6.761182e+08 9.326846e+08
9.923345e-01 6.566449e+08 9.039393e+08
1.007566e+00 6.375848e+08 8.768736e+08
1.023031e+00 6.189099e+08 8.502699e+08
1.038733e+00 6.007813e+08 8.240194e+08
1.054676e+00 5.834823e+08 7.986553e+08
1.070865e+00 5.670392e+08 7.745589e+08
1.087301e+00 5.509602e+08 7.507688e+08
1.103990e+00 5.351542e+08 7.280654e+08
1.120935e+00 5.199231e+08 7.061876e+08
1.138140e+00 5.049739e+08 6.846580e+08
1.155609e+00 4.905544e+08 6.638405e+08
1.173346e+00 4.766017e+08 6.435949e+08
1.191356e+00 4.630101e+08 6.238403e+08
1.209642e+00 4.498723e+08 6.053494e+08
1.228209e+00 4.371035e+08 5.871496e+08
1.247060e+00 4.247024e+08 5.694962e+08
1.266201e+00 4.126496e+08 5.521891e+08
1.285636e+00 4.008439e+08 5.354423e+08
1.305369e+00 3.894520e+08 5.192507e+08
1.325405e+00 3.784165e+08 5.032718e+08
1.345748e+00 3.673939e+08 4.881073e+08
1.366404e+00 3.566039e+08 4.730472e+08
1.387377e+00 3.460941e+08 4.587238e+08
1.408672e+00 3.358877e+08 4.448274e+08
1.430293e+00 3.261721e+08 4.310443e+08
1.452247e+00 3.166362e+08 4.173833e+08
1.474537e+00 3.073127e+08 4.047156e+08
1.497169e+00 2.982817e+08 3.925047e+08
1.520149e+00 2.895224e+08 3.808146e+08
1.543482e+00 2.810471e+08 3.690491e+08
1.567172e+00 2.728476e+08 3.577406e+08
1.591227e+00 2.649546e+08 3.467146e+08
1.615650e+00 2.572033e+08 3.358944e+08
1.640449e+00 2.498039e+08 3.255405e+08
1.665628e+00 2.426597e+08 3.153696e+08
1.691193e+00 2.356571e+08 3.058391e+08
1.717151e+00 2.289917e+08 2.964139e+08
1.743508e+00 2.222668e+08 2.871746e+08
1.770268e+00 2.157970e+08 2.786016e+08
