# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
5.000000e-01 3.024621e+09
5.076744e-01 2.934325e+09
5.154667e-01 2.846388e+09
5.233785e-01 2.761086e+09
5.314118e-01 2.678338e+09
5.395683e-01 2.598576e+09
5.478501e-01 2.521548e+09
5.562590e-01 2.446801e+09
5.647969e-01 2.374547e+09
5.734659e-01 2.304102e+09
5.822680e-01 2.236649e+09
5.912051e-01 2.171406e+09
6.002795e-01 2.106970e+09
6.094931e-01 2.044091e+09
6.188481e-01 1.983117e+09
6.283467e-01 1.924147e+09
6.379911e-01 1.867251e+09
6.477836e-01 1.811964e+09
6.577263e-01 1.758336e+09
6.678217e-01 1.705865e+09
6.780720e-01 1.654663e+09
6.884796e-01 1.605307e+09
6.990470e-01 1.557789e+09
7.097766e-01 1.510985e+09
7.206709e-01 1.465510e+09
7.317324e-01 1.421748e+09
7.429636e-01 1.379714e+09
7.543673e-01 1.339246e+09
7.659460e-01 1.300081e+09
7.777024e-01 1.261360e+09
7.896392e-01 1.224008e+09
8.017593e-01 1.188000e+09
8.140654e-01 1.153051e+09
8.265604e-01 1.118721e+09
8.392472e-01 1.085734e+09
8.521287e-01 1.053095e+09
8.652079e-01 1.021417e+09
8.784878e-01 9.911640e+08
8.919716e-01 9.615624e+08
9.056624e-01 9.330341e+08
9.195633e-01 9.052137e+08
9.336776e-01 8.786143e+08
9.480084e-01 8.528920e+08
9.625593e-01 8.278399e+08
9.773335e-01 8.034774e+08
9.923345e-01 7.795654e+08
1.007566e+00 7.561925e+08
1.023031e+00 7.337595e+08
1.038733e+00 7.119373e+08
1.054676e+00 6.907773e+08
1.070865e+00 6.703338e+08
1.087301e+00 6.505113e+08
1.103990e+00 6.312426e+08
1.120935e+00 6.124962e+08
1.138140e+00 5.943985e+08
1.155609e+00 5.769241e+08
1.173346e+00 5.600258e+08
1.191356e+00 5.435705e+08
1.209642e+00 5.274780e+08
1.228209e+00 5.117775e+08
1.247060e+00 4.965165e+08
1.266201e+00 4.817288e+08
1.285636e+00 4.675617e+08
1.305369e+00 4.537364e+08
1.325405e+00 4.402467e+08
1.345748e+00 4.270152e+08
1.366404e+00 4.142878e+08
1.387377e+00 4.019442e+08
1.408672e+00 3.900107e+08
1.430293e+00 3.783648e+08
1.452247e+00 3.671246e+08
1.474537e+00 3.559415e+08
1.497169e+00 3.452520e+08
1.520149e+00 3.347403e+08
1.543482e+00 3.248572e+08
1.567172e+00 3.152255e+08
1.591227e+00 3.058380e+08
1.615650e+00 2.967171e+08
1.640449e+00 2.877673e+08
1.665628e+00 2.791281e+08
1.691193e+00 2.706509e+08
1.717151e+00 2.625513e+08
1.743508e+00 2.546741e+08
1.770268e+00 2.469253e+08
1.797440e+00 2.396159e+08
1.825029e+00 2.326156e+08
1.853041e+00 2.256833e+08
1.881483e+00 2.189829e+08
1.910362e+00 2.123744e+08
1.939683e+00 2.059260e+08
1.969455e+00 1.997557e+08
1.999684e+00 1.937564e+08
2.030377e+00 1.880086e+08
2.061541e+00 1.824921e+08
2.093184e+00 1.770682e+08
2.125312e+00 1.716022e+08
2.157933e+00 1.665476e+08
2.191055e+00 1.616307e+08
2.224685e+00 1.567867e+08
2.258831e+00 1.520774e+08
2.293502e+00 1.475617e+08
2.328704e+00 1.432265e+08
2.364447e+00 1.389503e+08
2.400739e+00 1.348233e+08
2.437588e+00 1.307549e+08
2.475002e+00 1.268258e+08
2.512990e+00 1.230341e+08
2.551562e+00 1.194053e+08
2.590725e+00 1.158444e+08
2.630490e+00 1.124214e+08
2.670865e+00 1.090494e+08
2.711860e+00 1.057714e+08
2.753484e+00 1.026739e+08
2.795747e+00 9.968025e+07
2.838658e+00 9.665392e+07
