Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	4.4249e+03
1.5000e-03	0.0000e+00	4.4259e+03
2.0000e-03	0.0000e+00	4.4267e+03
2.5000e-03	0.0000e+00	4.4273e+03
3.0000e-03	0.0000e+00	4.4278e+03
3.5000e-03	0.0000e+00	4.4281e+03
4.0000e-03	0.0000e+00	4.4285e+03
4.5000e-03	0.0000e+00	4.4288e+03
5.0000e-03	0.0000e+00	4.4290e+03
5.5000e-03	0.0000e+00	4.4293e+03
6.0000e-03	0.0000e+00	4.4295e+03
6.5000e-03	0.0000e+00	4.4297e+03
7.0000e-03	0.0000e+00	4.4299e+03
7.5000e-03	0.0000e+00	4.4300e+03
8.0000e-03	0.0000e+00	4.4302e+03
8.5000e-03	0.0000e+00	4.4304e+03
9.0000e-03	0.0000e+00	4.4305e+03
9.5000e-03	0.0000e+00	4.4306e+03
1.0000e-02	0.0000e+00	4.4308e+03
1.5000e-02	0.0000e+00	4.4318e+03
2.0000e-02	0.0000e+00	4.4326e+03
2.5000e-02	0.0000e+00	4.4333e+03
3.0000e-02	0.0000e+00	4.4339e+03
3.5000e-02	0.0000e+00	4.4345e+03
4.0000e-02	0.0000e+00	4.4351e+03
4.5000e-02	0.0000e+00	4.4359e+03
5.0000e-02	0.0000e+00	4.4365e+03
5.5000e-02	0.0000e+00	4.4372e+03
6.0000e-02	0.0000e+00	4.4379e+03
6.5000e-02	0.0000e+00	4.4388e+03
7.0000e-02	0.0000e+00	4.4397e+03
7.5000e-02	0.0000e+00	4.4405e+03
8.0000e-02	0.0000e+00	4.4413e+03
8.5000e-02	0.0000e+00	4.4421e+03
9.0000e-02	0.0000e+00	4.4429e+03
9.5000e-02	0.0000e+00	4.4436e+03
1.0000e-01	0.0000e+00	4.4445e+03
1.5000e-01	0.0000e+00	4.4529e+03
2.0000e-01	0.0000e+00	4.4615e+03
2.5000e-01	0.0000e+00	4.4700e+03
3.0000e-01	0.0000e+00	4.4786e+03
3.5000e-01	0.0000e+00	4.4872e+03
4.0000e-01	0.0000e+00	4.4958e+03
4.5000e-01	0.0000e+00	4.5044e+03
5.0000e-01	3.0246e+09	4.5119e+03
5.0767e-01	2.9343e+09	4.5129e+03
5.1547e-01	2.8464e+09	4.5140e+03
5.2338e-01	2.7611e+09	4.5150e+03
5.3141e-01	2.6783e+09	4.5161e+03
5.3957e-01	2.5986e+09	4.5174e+03
5.4785e-01	2.5215e+09	4.5189e+03
5.5626e-01	2.4468e+09	4.5203e+03
5.6480e-01	2.3745e+09	4.5217e+03
5.7347e-01	2.3041e+09	4.5231e+03
5.8227e-01	2.2366e+09	4.5246e+03
5.9121e-01	2.1714e+09	4.5261e+03
6.0028e-01	2.1070e+09	4.5276e+03
6.0949e-01	2.0441e+09	4.5293e+03
6.1885e-01	1.9831e+09	4.5309e+03
6.2835e-01	1.9241e+09	4.5325e+03
6.3799e-01	1.8673e+09	4.5341e+03
6.4778e-01	1.8120e+09	4.5358e+03
6.5773e-01	1.7583e+09	4.5375e+03
6.6782e-01	1.7059e+09	4.5392e+03
6.7807e-01	1.6547e+09	4.5410e+03
6.8848e-01	1.6053e+09	4.5427e+03
6.9905e-01	1.5578e+09	4.5445e+03
7.0978e-01	1.5110e+09	4.5463e+03
7.2067e-01	1.4655e+09	4.5482e+03
7.3173e-01	1.4217e+09	4.5501e+03
7.4296e-01	1.3797e+09	4.5520e+03
7.5437e-01	1.3392e+09	4.5539e+03
7.6595e-01	1.3001e+09	4.5559e+03
7.7770e-01	1.2614e+09	4.5579e+03
7.8964e-01	1.2240e+09	4.5600e+03
8.0176e-01	1.1880e+09	4.5620e+03
8.1407e-01	1.1531e+09	4.5641e+03
8.2656e-01	1.1187e+09	4.5663e+03
8.3925e-01	1.0857e+09	4.5685e+03
8.5213e-01	1.0531e+09	4.5707e+03
8.6521e-01	1.0214e+09	4.5729e+03
8.7849e-01	9.9116e+08	4.5752e+03
8.9197e-01	9.6156e+08	4.5775e+03
9.0566e-01	9.3303e+08	4.5798e+03
9.1956e-01	9.0521e+08	4.5822e+03
9.3368e-01	8.7861e+08	4.5846e+03
9.4801e-01	8.5289e+08	4.5871e+03
9.6256e-01	8.2784e+08	4.5896e+03
9.7733e-01	8.0348e+08	4.5921e+03
9.9233e-01	7.7957e+08	4.5947e+03
1.0076e+00	7.5619e+08	4.5973e+03
1.0230e+00	7.3376e+08	4.5999e+03
1.0387e+00	7.1194e+08	4.6026e+03
1.0547e+00	6.9078e+08	4.6053e+03
1.0709e+00	6.7033e+08	4.6081e+03
1.0873e+00	6.5051e+08	4.6109e+03
1.1040e+00	6.3124e+08	4.6137e+03
1.1209e+00	6.1250e+08	4.6166e+03
1.1381e+00	5.9440e+08	4.6196e+03
1.1556e+00	5.7692e+08	4.6226e+03
1.1733e+00	5.6003e+08	4.6256e+03
1.1914e+00	5.4357e+08	4.6287e+03
1.2096e+00	5.2748e+08	4.6319e+03
1.2282e+00	5.1178e+08	4.6351e+03
1.2471e+00	4.9652e+08	4.6384e+03
1.2662e+00	4.8173e+08	4.6416e+03
1.2856e+00	4.6756e+08	4.6450e+03
1.3054e+00	4.5374e+08	4.6484e+03
1.3254e+00	4.4025e+08	4.6519e+03
1.3457e+00	4.2702e+08	4.6554e+03
1.3664e+00	4.1429e+08	4.6589e+03
1.3874e+00	4.0194e+08	4.6625e+03
1.4087e+00	3.9001e+08	4.6662e+03
1.4303e+00	3.7836e+08	4.6700e+03
1.4522e+00	3.6712e+08	4.6737e+03
1.4745e+00	3.5594e+08	4.6776e+03
1.4972e+00	3.4525e+08	4.6815e+03
1.5201e+00	3.3474e+08	4.6851e+03
1.5435e+00	3.2486e+08	4.6880e+03
1.5672e+00	3.1523e+08	4.6909e+03
1.5912e+00	3.0584e+08	4.6948e+03
1.6157e+00	2.9672e+08	4.6989e+03
1.6404e+00	2.8777e+08	4.7031e+03
1.6656e+00	2.7913e+08	4.7075e+03
1.6912e+00	2.7065e+08	4.7119e+03
1.7172e+00	2.6255e+08	4.7164e+03
1.7435e+00	2.5467e+08	4.7209e+03
1.7703e+00	2.4693e+08	4.7256e+03
1.7974e+00	2.3962e+08	4.7303e+03
1.8250e+00	2.3262e+08	4.7351e+03
1.8530e+00	2.2568e+08	4.7399e+03
1.8815e+00	2.1898e+08	4.7449e+03
1.9104e+00	2.1237e+08	4.7498e+03
1.9397e+00	2.0593e+08	4.7549e+03
1.9695e+00	1.9976e+08	4.7600e+03
1.9997e+00	1.9376e+08	4.7652e+03
2.0304e+00	1.8801e+08	4.7705e+03
2.0615e+00	1.8249e+08	4.7759e+03
2.0932e+00	1.7707e+08	4.7814e+03
2.1253e+00	1.7160e+08	4.7869e+03
2.1579e+00	1.6655e+08	4.7926e+03
2.1911e+00	1.6163e+08	4.7983e+03
2.2247e+00	1.5679e+08	4.8041e+03
2.2588e+00	1.5208e+08	4.8101e+03
2.2935e+00	1.4756e+08	4.8161e+03
2.3287e+00	1.4323e+08	4.8222e+03
2.3644e+00	1.3895e+08	4.8285e+03
2.4007e+00	1.3482e+08	4.8348e+03
2.4376e+00	1.3075e+08	4.8412e+03
2.4750e+00	1.2683e+08	4.8477e+03
2.5130e+00	1.2303e+08	4.8543e+03
2.5516e+00	1.1941e+08	4.8609e+03
2.5907e+00	1.1584e+08	4.8652e+03
2.6305e+00	1.1242e+08	4.8708e+03
2.6709e+00	1.0905e+08	4.8776e+03
2.7119e+00	1.0577e+08	4.8848e+03
2.7535e+00	1.0267e+08	4.8920e+03
2.7957e+00	9.9680e+07	4.8993e+03
2.8387e+00	9.6654e+07	4.9068e+03
2.8822e+00	9.3797e+07	4.9143e+03
2.9265e+00	9.1014e+07	4.9220e+03
2.9714e+00	8.8292e+07	4.9298e+03
3.0170e+00	8.5667e+07	4.9378e+03
3.0633e+00	8.3120e+07	4.9458e+03
3.1103e+00	8.0652e+07	4.9540e+03
3.1581e+00	7.8232e+07	4.9623e+03
3.2065e+00	7.5902e+07	4.9707e+03
3.2557e+00	7.3584e+07	4.9792e+03
3.3057e+00	7.1374e+07	4.9879e+03
3.3565e+00	6.9235e+07	4.9969e+03
3.4080e+00	6.7136e+07	5.0060e+03
3.4603e+00	6.5107e+07	5.0153e+03
3.5134e+00	6.3186e+07	5.0246e+03
3.5673e+00	6.1312e+07	5.0340e+03
3.6221e+00	5.9533e+07	5.0436e+03
3.6777e+00	5.7788e+07	5.0533e+03
3.7341e+00	5.6056e+07	5.0632e+03
3.7914e+00	5.4400e+07	5.0731e+03
3.8496e+00	5.2767e+07	5.0832e+03
3.9087e+00	5.1193e+07	5.0935e+03
3.9687e+00	4.9666e+07	5.1040e+03
4.0296e+00	4.8178e+07	5.1147e+03
4.0915e+00	4.6714e+07	5.1256e+03
4.1543e+00	4.5286e+07	5.1366e+03
4.2180e+00	4.3893e+07	5.1477e+03
4.2828e+00	4.2576e+07	5.1590e+03
4.3485e+00	4.1298e+07	5.1705e+03
4.4153e+00	4.0083e+07	5.1822e+03
4.4830e+00	3.8866e+07	5.1941e+03
4.5518e+00	3.7709e+07	5.2061e+03
4.6217e+00	3.6586e+07	5.2183e+03
4.6926e+00	3.5488e+07	5.2308e+03
4.7647e+00	3.4417e+07	5.2435e+03
4.8378e+00	3.3398e+07	5.2563e+03
4.9121e+00	3.2403e+07	5.2693e+03
4.9875e+00	3.1437e+07	5.2825e+03
5.0640e+00	3.0490e+07	5.2959e+03
5.1417e+00	2.9582e+07	5.3095e+03
5.2207e+00	2.8707e+07	5.3233e+03
5.3008e+00	2.7835e+07	5.3370e+03
5.3821e+00	2.6988e+07	5.3510e+03
5.4648e+00	2.6169e+07	5.3654e+03
5.5486e+00	2.5384e+07	5.3801e+03
5.6338e+00	2.4631e+07	5.3949e+03
5.7203e+00	2.3884e+07	5.4099e+03
5.8081e+00	2.3152e+07	5.4252e+03
5.8972e+00	2.2452e+07	5.4408e+03
5.9877e+00	2.1784e+07	5.4566e+03
6.0796e+00	2.1153e+07	5.4726e+03
6.1730e+00	2.0517e+07	5.4888e+03
6.2677e+00	1.9896e+07	5.5054e+03
6.3639e+00	1.9291e+07	5.5226e+03
6.4616e+00	1.8711e+07	5.5398e+03
6.5608e+00	1.8144e+07	5.5570e+03
6.6615e+00	1.7601e+07	5.5743e+03
6.7637e+00	1.7066e+07	5.5920e+03
